,route_name,주소,stat_id,stat_name,lat,lng,geohash
0,공항철도,서울특별시 용산구 청파로 378,4001.0,서울역,37.553247,126.969769,wydm9k
1,공항철도,서울특별시 마포구 마포대로 92,4002.0,공덕,37.54253,126.952024,wydm8f
2,공항철도,서울특별시 마포구 양화로 188,4003.0,홍대입구,37.557438,126.926715,wydm8m
3,공항철도,서울특별시 마포구 성암로 184,4004.0,디지털미디어시티,37.576958,126.898609,wydjz8
4,공항철도,서울특별시 강서구 마곡중앙로 지하 135,4020.0,마곡나루,37.565543,126.827378,wydjwn
5,공항철도,서울특별시 강서구 하늘길 77,4005.0,김포공항,37.561842,126.801904,wydjtm
6,우이신설선,서울특별시 강북구 삼양로 지하 676,11321.0,북한산우이,37.662909,127.012706,wydq60
7,우이신설선,서울특별시 강북구 삼양로 595,11322.0,솔밭공원,37.65603,127.013273,wydq4r
8,우이신설선,서울특별시 강북구 삼양로 519,11323.0,4.19 민주묘지,37.649502,127.013684,wydq4m
9,우이신설선,서울특별시 강북구 삼양로 426,11324.0,가오리,37.641537,127.016789,wydq4k
10,우이신설선,서울특별시 강북구 삼양로 341,11325.0,화계,37.634133,127.017511,wydq47
11,우이신설선,서울특별시 강북구 삼양로 지하 259,11326.0,삼양,37.626914,127.018106,wydq43
12,우이신설선,서울특별시 강북구 삼양로 197,11327.0,삼양사거리,37.621337,127.020473,wydq42
13,우이신설선,서울특별시 강북구 솔샘로 지하 189,11328.0,솔샘,37.620238,127.013626,wydq42
14,우이신설선,서울특별시 성북구 보국문로 지하 88,11329.0,북한산보국문,37.612072,127.008251,wydmfp
15,우이신설선,서울특별시 성북구 아리랑로 지하 122,11330.0,정릉,37.603133,127.013396,wydmfm
16,우이신설선,서울특별시 성북구 동선동1가 116-1,11331.0,성신여대입구,37.592467,127.016516,wydmf7
17,우이신설선,서울특별시 성북구 보문동1가 127-6,11332.0,보문,37.585286,127.019381,wydmf6
18,우이신설선,서울특별시 동대문구 신설동 132-259,11333.0,신설동,37.576095,127.023242,wydmf2
19,신분당선,서울특별시 강남구 강남대로 620-2,1907.0,신사,37.516334,127.020114,wydm6m
20,신분당선,서울특별시 강남구 강남대로 492-2,1908.0,논현,37.511093,127.021415,wydm6k
21,신분당선,서울특별시 강남구 강남대로 302-2,1909.0,신논현,37.504598,127.02506,wydm6e
22,신분당선,서울특별시 강남구 강남대로 지하 396,1910.0,강남,37.496837,127.028104,wydm6d
23,신분당선,서울시 서초구 남부순환로 지하 2585,1911.0,양재,37.483809,127.034653,wydm4x
24,신분당선,서울특별시 서초구 매헌로 지하 116,1912.0,양재시민의숲,37.470023,127.03842,wydm4v
25,신분당선,서울특별시 서초구 청계산로 지하 179,1913.0,청계산입구,37.447211,127.055664,wydm51
26,신림선,서울시 영등포구 여의도동 56,11711.0,샛강,37.5170969,126.929399,wydm2m
27,신림선,서울시 영등포구 신길동 1376-1,11712.0,대방,37.5133059,126.9257265,wydm2m
28,신림선,서울시 동작구 대방동 466-41,11713.0,서울지방병무청,37.5060464,126.9227083,wydm25
29,신림선,서울시 동작구 대방동 466-49,11714.0,보라매,37.5002739,126.9204355,wydm24
30,신림선,서울시 동작구 신대방동 722,11715.0,보라매공원,37.4955691,126.9180827,wydm21
31,신림선,서울시 동작구 신대방동 425,11716.0,보라매병원,37.4929598,126.9234964,wydm21
32,신림선,서울시 관악구 봉천동 985,11717.0,당곡,37.4902998,126.9275133,wydm22
33,신림선,서울시 관악구 신림동 1467-10,11718.0,신림,37.4849266,126.9296159,wydm0r
34,신림선,서울시 관악구 신림동 808-717,11719.0,서원,37.4782341,126.9330365,wydm0q
35,신림선,서울시 관악구 신림동 110-99,11720.0,서울대벤처타운,37.4720019,126.9339351,wydm0m
36,신림선,서울시 관악구 신림동 211-10,11721.0,관악산(서울대),37.4691018,126.9450639,wydm0t
37,수도권 1호선,서울특별시 동대문구 왕산로 지하205(전농동),125.0,청량리,37.579956,127.044585,wydmfc
38,수도권 1호선,서울특별시 동대문구 왕산로 지하93(제기동),126.0,제기동,37.578103,127.034893,wydmf8
39,수도권 1호선,서울특별시 동대문구 왕산로 지하1(신설동),127.0,신설동,37.576048,127.024634,wydmf8
40,수도권 1호선,서울특별시 종로구 종로 359(숭인동),199.0,동묘앞,37.573197,127.01648,wydmdr
41,수도권 1호선,서울특별시 종로구 종로 지하302(창신동),128.0,동대문,37.571687,127.01093,wydmdp
42,수도권 1호선,서울특별시 종로구 종로 지하216(종로5가),129.0,종로5가,37.570926,127.001849,wydm9z
43,수도권 1호선,서울특별시 종로구 종로 지하129(종로3가),130.0,종로3가,37.570406,126.991847,wydm9z
44,수도권 1호선,서울특별시 종로구 종로 지하55(종로1가),131.0,종각,37.570161,126.982923,wydm9x
45,수도권 1호선,서울특별시 중구 세종대로 지하101(정동),132.0,시청,37.565715,126.977088,wydm9q
46,수도권 1호선,서울특별시 중구 세종대로 지하2(남대문로 5가),133.0,서울역,37.556228,126.972135,wydm9k
47,수도권 2호선,서울특별시 중구 서소문로 지하127(서소문동),201.0,시청,37.563588,126.975411,wydm9q
48,수도권 2호선,서울특별시 중구 을지로 지하42(을지로1가),202.0,을지로입구,37.566014,126.982618,wydm9w
49,수도권 2호선,서울특별시 중구 을지로 지하106(을지로3가),203.0,을지로3가,37.566306,126.991696,wydm9y
50,수도권 2호선,서울특별시 중구 을지로 지하178(을지로4가),204.0,을지로4가,37.566595,126.997817,wydm9y
51,수도권 2호선,서울특별시 중구 을지로 지하279(을지로7가),205.0,동대문역사문화공원,37.565613,127.009054,wydmdn
52,수도권 2호선,서울특별시 중구 퇴계로 지하431-1(신당동),206.0,신당,37.56564,127.019614,wydmdq
53,수도권 2호선,서울특별시 성동구 왕십리로 지하374(하왕십리동),207.0,상왕십리,37.564354,127.029354,wydmdw
54,수도권 2호선,서울특별시 성동구 왕십리로 지하300(행당동),208.0,왕십리,37.561238,127.036954,wydmdv
55,수도권 2호선,서울특별시 성동구 왕십리로 206(행당동),209.0,한양대,37.555273,127.043655,wydmdu
56,수도권 2호선,서울특별시 성동구 아차산로 18(성수동1가),210.0,뚝섬,37.547184,127.047367,wydme5
57,수도권 2호선,서울특별시 성동구 아차산로 100(성수동2가),211.0,성수,37.544581,127.055961,wydme4
58,수도권 2호선,서울특별시 광진구 아차산로 243(화양동),212.0,건대입구,37.540373,127.069191,wydmed
59,수도권 2호선,서울특별시 광진구 아차산로 384-1(구의동),213.0,구의,37.537077,127.085916,wydmec
60,수도권 2호선,서울특별시 광진구 강변역로 53(구의동),214.0,강변,37.535095,127.094681,wydms1
61,수도권 2호선,서울특별시 송파구 오금로 20(신천동),215.0,잠실나루,37.520733,127.10379,wydmkq
62,수도권 2호선,서울특별시 송파구 올림픽로 지하265(신천동),216.0,잠실,37.513262,127.100159,wydmkj
63,수도권 2호선,서울특별시 송파구 올림픽로 지하140(잠실동),217.0,잠실새내,37.511687,127.086162,wydm7u
64,수도권 2호선,서울특별시 송파구 올림픽로 지하23(잠실동),218.0,종합운동장,37.511022,127.073704,wydm7s
65,수도권 2호선,서울특별시 강남구 테헤란로 지하538(삼성동),219.0,삼성,37.508844,127.06316,wydm7k
66,수도권 2호선,서울특별시 강남구 테헤란로 지하340(삼성동),220.0,선릉,37.504286,127.048203,wydm75
67,수도권 2호선,서울특별시 강남구 테헤란로 지하156(역삼동),221.0,역삼,37.500622,127.036456,wydm6f
68,수도권 2호선,서울특별시 강남구 강남대로 지하396(역삼동),222.0,강남,37.49799,127.027912,wydm6d
69,수도권 2호선,서울특별시 서초구 서초대로 지하294(서초동),223.0,교대,37.493961,127.014667,wydm63
70,수도권 2호선,서울특별시 서초구 서초대로 지하233(서초동),224.0,서초,37.491897,127.007917,wydm61
71,수도권 2호선,서울특별시 서초구 방배로 지하80(방배동),225.0,방배,37.481426,126.997596,wydm1z
72,수도권 2호선,서울특별시 동작구 남부순환로 지하2089(사당동),226.0,사당,37.476538,126.981544,wydm1w
73,수도권 2호선,서울특별시 관악구 남부순환로 지하1928(봉천동),227.0,낙성대,37.47693,126.963693,wydm1n
74,수도권 2호선,서울특별시 관악구 남부순환로 지하1822(봉천동),228.0,서울대입구,37.481247,126.952739,wydm0z
75,수도권 2호선,서울특별시 관악구 남부순환로 지하1721(봉천동),229.0,봉천,37.482362,126.941892,wydm0x
76,수도권 2호선,서울특별시 관악구 남부순환로 지하1614(신림동),230.0,신림,37.484201,126.929715,wydm0r
77,수도권 2호선,서울특별시 동작구 대림로 2(신대방동),231.0,신대방,37.487462,126.913149,wydjrb
78,수도권 2호선,서울특별시 구로구 도림천로 477(구로동),232.0,구로디지털단지,37.485266,126.901401,wydjpx
79,수도권 2호선,서울특별시 구로구 도림천로 351(구로동),233.0,대림,37.493243,126.894932,wydjr9
80,수도권 2호선,서울특별시 구로구 새말로 지하 117-21(신도림동),234.0,신도림,37.508961,126.891084,wydjrk
81,수도권 2호선,서울특별시 영등포구 당산로 지하28(문래동3가),235.0,문래,37.517933,126.89476,wydjrt
82,수도권 2호선,서울특별시 영등포구 당산로 지하121(당산동3가),236.0,영등포구청,37.525706,126.89661,wydjrx
83,수도권 2호선,서울특별시 영등포구 당산로 229(당산동6가),237.0,당산,37.534946,126.902767,wydjx9
84,수도권 2호선,서울특별시 마포구 양화로 지하55(서교동),238.0,합정,37.549457,126.913808,wydjxg
85,수도권 2호선,서울특별시 마포구 양화로 지하160(동교동),239.0,홍대입구,37.55679,126.923708,wydm8j
86,수도권 2호선,서울특별시 마포구 신촌로 지하90(노고산동),240.0,신촌,37.555131,126.936926,wydm8s
87,수도권 2호선,서울특별시 마포구 신촌로 지하180(염리동),241.0,이대,37.556733,126.946013,wydm8s
88,수도권 2호선,서울특별시 마포구 신촌로 지하270(아현동),242.0,아현,37.557345,126.956141,wydm8v
89,수도권 2호선,서울특별시 서대문구 서소문로 지하17(충정로3가),243.0,충정로,37.559704,126.964378,wydm9j
90,수도권 2호선,서울특별시 성동구 용답길 86(용답동),251.0,용답,37.561904,127.050899,wydmej
91,수도권 2호선,서울특별시 성동구 천호대로 232(용답동),252.0,신답,37.57004,127.046481,wydmep
92,수도권 2호선,서울특별시 동대문구 천호대로 지하129(용두동),254.0,용두,37.574028,127.038091,wydmfb
93,수도권 2호선,서울특별시 동대문구 왕산로 지하 1(신설동),253.0,신설동,37.574747,127.024932,wydmf8
94,수도권 2호선,서울특별시 구로구 경인로67길 160(신도림동),261.0,도림천,37.514287,126.882768,wydjrm
95,수도권 2호선,서울특별시 양천구 목동로3길 지하33(신정동),262.0,양천구청,37.512398,126.865819,wydjqu
96,수도권 2호선,서울특별시 양천구 중앙로 지하261(신정동),263.0,신정네거리,37.520074,126.852912,wydjqw
97,수도권 3호선,서울특별시 은평구 진관2로 지하15-25 (진관동),320.0,구파발,37.636763,126.918821,wydq05
98,수도권 3호선,서울특별시 은평구 통일로 지하849(갈현동),321.0,연신내,37.619229,126.921038,wydq00
99,수도권 3호선,서울특별시 은평구 통일로 지하723-1(대조동),322.0,불광,37.610553,126.92982,wydmbq
100,수도권 3호선,서울특별시 은평구 통일로 지하602-1(녹번동),323.0,녹번,37.600927,126.935756,wydmbm
101,수도권 3호선,서울특별시 서대문구 통일로 지하440-1(홍제동),324.0,홍제,37.589066,126.943736,wydmbd
102,수도권 3호선,서울특별시 서대문구 통일로 지하361(홍제동),325.0,무악재,37.582299,126.950291,wydmbc
103,수도권 3호선,서울특별시 서대문구 통일로 지하247(현저동),326.0,독립문,37.574571,126.957748,wydmbb
104,수도권 3호선,서울특별시 종로구 사직로 지하130(적선동),327.0,경복궁,37.575762,126.97353,wydmc2
105,수도권 3호선,서울특별시 종로구 율곡로 지하62(안국동),328.0,안국,37.576477,126.985443,wydmc8
106,수도권 3호선,서울특별시 종로구 돈화문로 지하30(묘동),329.0,종로3가,37.571605,126.991791,wydm9z
107,수도권 3호선,서울특별시 중구 을지로 지하129(을지로3가),330.0,을지로3가,37.566672,126.992548,wydm9y
108,수도권 3호선,서울특별시 중구 퇴계로 지하214(필동2가),331.0,충무로,37.56143,126.994072,wydm9v
109,수도권 3호선,서울특별시 중구 동호로 지하256(장충동2가),332.0,동대입구,37.559052,127.005602,wydmdj
110,수도권 3호선,서울특별시 중구 다산로 지하122(신당동),333.0,약수,37.554867,127.010541,wydmdh
111,수도권 3호선,서울특별시 성동구 동호로 지하104(금호동4가),334.0,금호,37.548034,127.015872,wydmd7
112,수도권 3호선,서울특별시 성동구 동호로 21(옥수동),335.0,옥수,37.541684,127.017269,wydmd6
113,수도권 3호선,서울특별시 강남구 압구정로 지하172(신사동),336.0,압구정,37.527072,127.028461,wydm6x
114,수도권 3호선,서울특별시 강남구 도산대로 지하102(신사동),337.0,신사,37.516334,127.020114,wydm6m
115,수도권 3호선,서울특별시 서초구 잠원로4길 지하46(잠원동),338.0,잠원,37.512759,127.01122,wydm6h
116,수도권 3호선,서울특별시 서초구 신반포로 지하188(반포동),339.0,고속터미널,37.504891,127.004916,wydm65
117,수도권 3호선,서울특별시 서초구 서초대로 지하294(서초동),340.0,교대,37.493025,127.013786,wydm63
118,수도권 3호선,서울특별시 서초구 서초중앙로 지하31(서초동),341.0,남부터미널,37.485013,127.016189,wydm4r
119,수도권 3호선,서울특별시 서초구 남부순환로 지하2585(서초동),342.0,양재,37.484477,127.033902,wydm4x
120,수도권 3호선,서울특별시 강남구 남부순환로 지하2744(도곡동),343.0,매봉,37.486947,127.046769,wydm70
121,수도권 3호선,서울특별시 강남구 남부순환로 지하2814(도곡동),344.0,도곡,37.490922,127.055452,wydm71
122,수도권 3호선,서울특별시 강남구 남부순환로 지하2952(대치동),345.0,대치,37.494612,127.063642,wydm73
123,수도권 3호선,서울특별시 강남구 남부순환로 지하3104(대치동),346.0,학여울,37.496663,127.070594,wydm7d
124,수도권 3호선,서울특별시 강남구 일원로 지하2(일원동),347.0,대청,37.493514,127.079532,wydm7c
125,수도권 3호선,서울특별시 강남구 일원로 지하121(일원동),348.0,일원,37.483681,127.08439,wydm5z
126,수도권 3호선,서울특별시 강남구 광평로 지하270(수서동),349.0,수서,37.487378,127.101907,wydmk2
127,수도권 3호선,서울특별시 송파구 송파대로 지하257(가락동),350.0,가락시장,37.492245,127.117757,wydmk9
128,수도권 3호선,서울특별시 송파구 중대로 지하149(가락동),351.0,경찰병원,37.495918,127.12454,wydmkc
129,수도권 3호선,서울특별시 송파구 오금로 지하321(오금동),352.0,오금,37.502129,127.128319,wydmkg
130,수도권 4호선,서울특별시 노원구 상계로 305(상계동),409.0,당고개,37.670272,127.079066,wydq7c
131,수도권 4호선,서울특별시 노원구 상계로 182(상계동),410.0,상계,37.660878,127.073572,wydq5x
132,수도권 4호선,서울특별시 노원구 상계로 69-1(상계동),411.0,노원,37.65627,127.063276,wydq5r
133,수도권 4호선,서울특별시 도봉구 마들로11길 77(창동),412.0,창동,37.653088,127.047274,wydq5n
134,수도권 4호선,서울특별시 도봉구 도봉로 지하 486-1(창동),413.0,쌍문,37.648627,127.034709,wydq4t
135,수도권 4호선,서울특별시 강북구 도봉로 지하338(수유동),414.0,수유,37.638052,127.025732,wydq4e
136,수도권 4호선,서울특별시 강북구 도봉로 지하198(미아동),415.0,미아,37.62667,127.025983,wydq49
137,수도권 4호선,서울특별시 강북구 도봉로 지하50(미아동),416.0,미아사거리,37.613292,127.030053,wydmfx
138,수도권 4호선,서울특별시 성북구 동소문로 지하248(길음동),417.0,길음,37.603407,127.025053,wydmft
139,수도권 4호선,서울특별시 성북구 동소문로 지하102(동선동4가),418.0,성신여대입구,37.592612,127.016441,wydmf7
140,수도권 4호선,서울특별시 성북구 삼선교로 지하1(삼선동1가),419.0,한성대입구,37.588458,127.006221,wydmf4
141,수도권 4호선,서울특별시 종로구 대학로 지하120(명륜4가),420.0,혜화,37.582336,127.001844,wydmcc
142,수도권 4호선,서울특별시 종로구 율곡로 지하308(종로6가),421.0,동대문,37.57093,127.009287,wydmdp
143,수도권 4호선,서울특별시 중구 장충단로 지하230(광희동2가),422.0,동대문역사문화공원,37.565133,127.007885,wydmdn
144,수도권 4호선,서울특별시 중구 퇴계로 지하214(필동2가),423.0,충무로,37.561207,126.99408,wydm9v
145,수도권 4호선,서울특별시 중구 퇴계로 지하126(충무로2가),424.0,명동,37.560989,126.986325,wydm9t
146,수도권 4호선,서울특별시 중구 퇴계로 지하54(남창동),425.0,회현,37.558514,126.978246,wydm9m
147,수도권 4호선,서울특별시 용산구 한강대로 지하392(동자동),426.0,서울역,37.55281,126.972556,wydm9k
148,수도권 4호선,서울특별시 용산구 한강대로 지하306(갈월동),427.0,숙대입구,37.54456,126.972106,wydm96
149,수도권 4호선,서울특별시 용산구 한강대로 지하180(한강로1가),428.0,삼각지,37.534075,126.9726,wydm92
150,수도권 4호선,서울특별시 용산구 한강대로 지하112(한강로2가),429.0,신용산,37.52917,126.967894,wydm3p
151,수도권 4호선,서울특별시 용산구 서빙고로 지하83(용산동5가),430.0,이촌,37.522295,126.974733,wydm3q
152,수도권 4호선,서울특별시 동작구 현충로 257(동작동),431.0,동작,37.502852,126.980347,wydm3e
153,수도권 4호선,서울특별시 동작구 동작대로 지하117(사당동),432.0,총신대입구(이수),37.486263,126.981989,wydm38
154,수도권 4호선,서울특별시 동작구  동작대로 지하3(사당동),433.0,사당,37.476955,126.981651,wydm1w
155,수도권 4호선,서울특별시 서초구 과천대로 지하816(방배동),434.0,남태령,37.463873,126.989134,wydm1s
156,수도권 5호선,서울특별시 강서구 금낭화로 지하132(방화동),510.0,방화,37.577446,126.812741,wydjv8
157,수도권 5호선,서울특별시 강서구 양천로 22(방화동),511.0,개화산,37.572399,126.806171,wydjtx
158,수도권 5호선,서울특별시 강서구 하늘길 지하77(방화동),512.0,김포공항,37.562384,126.801292,wydjtq
159,수도권 5호선,서울특별시 강서구 공항대로 지하33(공항동),513.0,송정,37.561184,126.811973,wydjtt
160,수도권 5호선,서울특별시 강서구 공항대로 지하163(마곡동),514.0,마곡,37.560183,126.825448,wydjtv
161,수도권 5호선,서울특별시 강서구 공항대로 지하267(마곡동),515.0,발산,37.558598,126.837668,wydjwm
162,수도권 5호선,서울특별시 강서구 강서로 지하262(화곡동),516.0,우장산,37.548768,126.836318,wydjw5
163,수도권 5호선,서울특별시 강서구 화곡로 지하168(화곡동),517.0,화곡,37.541513,126.840461,wydjw6
164,수도권 5호선,서울특별시 강서구 강서로 지하54(화곡동),518.0,까치산,37.531768,126.846683,wydjw2
165,수도권 5호선,서울특별시 양천구 오목로 지하179(신정동),519.0,신정,37.524997,126.856191,wydjqx
