역번호,역이름,위도,경도,geohash
101000331,남산예장버스환승주차장,37.5593717,126.9891487,wydm9t
101000053,퇴계로3가.한옥마을.한국의집,37.5609706,126.9921714,wydm9v
101000054,충무로역2번출구.대한극장앞,37.5612232,126.9949175,wydm9v
101000103,퇴계로5가,37.5623804,126.999966,wydm9y
101000293,장충문화체육센터.권기옥활동터,37.5601745,127.0025921,wydmdj
101000117,동대입구역.장충동,37.5581343,127.0053855,wydmdj
101000106,국립극장.반얀트리호텔,37.5516853,127.0009473,wydm9u
101000149,남산북측순환로입구,37.5506986,126.9988218,wydm9g
102000226,남산서울타워,37.5512446,126.9907563,wydm9e
102000316,남산도서관,37.5523436,126.9818461,wydm9s
101000111,백범광장,37.555737,126.980093,wydm9s
101000265,힐튼호텔,37.5566267,126.9767113,wydm9k
101000029,남대문시장악세사리전문상가,37.5586132,126.9762051,wydm9m
101000033,시청앞,37.56235,126.9766,wydm9q
101000033,시청앞,37.5623584,126.9765742,wydm9q
101000039,서울신문사,37.5684,126.9773667,wydm9r
101000039,서울신문사,37.5683632,126.9773647,wydm9r
100000023,KT광화문지사,37.5724333,126.9773167,wydm9r
100000023,KT광화문지사,37.5722264,126.977332,wydm9r
100000415,국립고궁박물관,37.5787966,126.9740462,wydmc3
100000416,청와대,37.5827467,126.9737776,wydmc3
100000417,춘추문,37.5829107,126.9797313,wydmc3
100000418,경복궁.국립민속박물관,37.5795319,126.9795002,wydmc3
100000104,안국역.인사동,37.5757849,126.9842425,wydmc8
100000413,남인사마당,37.5713191,126.9874286,wydm9x
100000004,종로2가.삼일교(중),37.5686833,126.9875333,wydm9x
100000004,종로2가.삼일교,37.5685792,126.987613,wydm9x
108000014,우이동도선사입구.북한산우이역,37.6624998,127.0128184,wydq60
108000015,우이동성원아파트,37.660809,127.013424,wydq4r
109000115,쌍문동청한빌라,37.6574593,127.0150062,wydq4r
109000117,쌍문동우이빌라,37.6572415,127.0185305,wydq4r
109000119,초당초등학교,37.6573507,127.0231371,wydq4r
109000121,방학동우성아파트,37.6574046,127.0242705,wydq4x
109900046,청구아파트,37.6575159,127.0264127,wydq4x
109000125,쌍문동성원아파트,37.6576477,127.0289334,wydq4x
109000127,쌍문동한양.현대아파트,37.6578002,127.0317568,wydq4x
109000129,쌍문동삼익금호1차아파트,37.6580029,127.0349134,wydq4z
109000131,도봉구보건소앞,37.6571614,127.0376717,wydq4z
109000013,도봉구민회관.도봉문화원(중),37.65445,127.0380667,wydq4y
109000013,도봉구민회관.도봉문화원,37.6545598,127.0381736,wydq4y
109000015,쌍문역(중),37.6488333,127.03475,wydq4t
109000015,쌍문역,37.6488174,127.0347686,wydq4t
109000017,우이1교앞(중),37.64515,127.03255,wydq4t
109000017,우이1교앞,37.6452929,127.0326524,wydq4t
108000001,수유3동우체국(중),37.64135,127.0291167,wydq4s
108000001,수유3동우체국,37.6412417,127.0290427,wydq4s
108000378,수유(강북구청)역(중),37.6385167,127.0261,wydq4e
108000378,수유(강북구청)역,37.638477,127.0261,wydq4e
108000003,수유역(중),37.6366667,127.0241333,wydq4e
108000003,수유역,37.636659,127.0241165,wydq4e
108000005,수유시장.성신여대미아캠퍼스앞(중),37.6309,127.02425,wydq4d
108000005,수유시장.성신여대미아캠퍼스앞,37.6312262,127.0241719,wydq4d
108000007,미아역.신일중고(중),37.6249,127.0266333,wydq49
108000007,미아역.신일중고,37.6248696,127.0266493,wydq49
108000009,도봉세무서.성북시장(중),37.61975,127.0287167,wydq48
108000009,도봉세무서.성북시장,37.619714,127.0287194,wydq48
108000011,미아사거리역(중),37.6137833,127.0299167,wydmfx
108000011,미아사거리역,37.6137621,127.0299325,wydmfx
107000058,성가복지병원,37.6059333,127.0311167,wydmft
107000058,성가복지병원,37.6058827,127.0311378,wydmft
107000060,종암경찰서,37.6014667,127.0330333,wydmft
107000060,종암사거리입구,37.6014326,127.0330443,wydmft
107000062,종암동주민센터,37.5993167,127.03415,wydmfs
107000062,종암동주민센터,37.5994152,127.0341075,wydmfs
107000064,숭례초교,37.5948667,127.0356667,wydmfg
107000064,숭례초교,37.5948052,127.0356811,wydmfg
107000066,고대앞,37.5887,127.0349167,wydmff
107000066,고대앞,37.5885636,127.0348108,wydmfd
107000067,우신향병원,37.5851833,127.0316167,wydmfd
107000067,우신향병원,37.5851359,127.0316104,wydmfd
107000068,안암오거리,37.5826167,127.0289833,wydmf9
107000068,안암오거리,37.5826117,127.0290051,wydmf9
107000069,대광초교,37.5797333,127.0250333,wydmf9
107000069,대광초교,37.5797066,127.0250277,wydmf9
100000147,신설동로타리,37.5755333,127.0226833,wydmf2
100000147,신설동로터리,37.5759288,127.0227802,wydmf2
100000367,동묘앞(중),37.5742167,127.0195333,wydmf2
100000367,동묘앞,37.5742434,127.019672,wydmf2
100000365,동대문.흥인지문(중),37.5721,127.0124833,wydmdp
100000365,동대문(흥인지문),37.5719529,127.0120461,wydmdp
100000397,종로6가.동대문종합시장(중),37.5711667,127.0057,wydmdp
100000397,종로6가.동대문종합시장,37.5711272,127.0057137,wydmdp
100000395,종로5가.광장시장(중),37.5709167,126.9993167,wydm9z
100000395,종로5가.광장시장,37.5708806,126.9993346,wydm9z
100000393,종로4가.종묘(중),37.5706667,126.9952833,wydm9z
100000393,종로4가.종묘,37.5706271,126.9952838,wydm9z
100000391,종로3가.탑골공원(중),37.5703667,126.9899833,wydm9x
100000391,종로3가.탑골공원,37.5703605,126.9899877,wydm9x
100000389,종로2가,37.57025,126.9862333,wydm9x
100000389,종로2가,37.5702571,126.9862474,wydm9x
100000387,종로1가(중),37.57025,126.9813833,wydm9x
100000387,종로1가,37.570229,126.9813906,wydm9x
100000385,광화문(중),37.57025,126.9777667,wydm9r
100000385,광화문,37.5702168,126.9780854,wydm9r
100000028,서울역사박물관.경교장.강북삼성병원,37.5700333,126.9713,wydm9r
100000028,서울역사박물관.경교장.강북삼성병원,37.570023,126.971248,wydm9r
100000376,강북삼성병원,37.5681459,126.9686004,wydm9p
112000169,서대문경찰서,37.563413,126.968395,wydm9n
101000036,서소문,37.56325,126.9748833,wydm9q
101000036,서소문,37.5632067,126.9748872,wydm9q
100000386,종로1가(중),37.5701333,126.9809,wydm9x
100000386,종로1가,37.5701482,126.981066,wydm9x
100000388,종로2가(중),37.5701167,126.9855333,wydm9x
100000388,종로2가,37.5701386,126.9855426,wydm9x
100000390,종로3가.탑골공원(중),37.5702333,126.9895667,wydm9x
100000390,종로3가.탑골공원,37.5702449,126.9895646,wydm9x
100000392,종로4가.종묘(중),37.5705,126.9947167,wydm9z
100000392,종로4가.종묘,37.5705069,126.9947218,wydm9z
100000394,종로5가.광장시장(중),37.57075,126.99885,wydm9z
100000394,종로5가.광장시장,37.5707567,126.9988498,wydm9z
100000396,종로6가.동대문종합시장(중),37.5709833,127.00345,wydmdp
100000396,종로6가.동대문종합시장,37.5709624,127.0034638,wydmdp
100000398,동대문역.흥인지문(중),37.5723167,127.01345,wydmdr
100000398,동대문역.흥인지문,37.5723023,127.0134512,wydmdr
100000366,동묘앞(중),37.5737667,127.0185667,wydmf2
100000366,동묘앞,37.5737786,127.0184085,wydmf2
105000552,신설동역1번출구,37.5766833,127.0233667,wydmf2
105000552,신설동역1번출구,37.5766303,127.0233166,wydmf2
105000092,대광고등학교앞,37.5798167,127.02555,wydmf9
105000092,대광고등학교앞,37.5797777,127.0255621,wydmf9
105000091,안암오거리,37.5824333,127.03,wydmf9
105000091,안암오거리,37.5824024,127.0300037,wydmf9
105000090,우신향병원,37.5855667,127.03225,wydmfd
105000090,우신향병원,37.5855475,127.0322934,wydmfd
105000089,고려대학교앞,37.5881667,127.03475,wydmfd
105000089,고려대학교앞,37.5881473,127.0347743,wydmfd
107000065,숭례초등학교,37.59435,127.0361667,wydmfg
107000065,숭례초등학교,37.5943969,127.0361701,wydmfg
107000063,종암동주민센터,37.5988167,127.03465,wydmfs
107000063,종암동주민센터,37.5981892,127.0349442,wydmfu
107000061,종암경찰서,37.6010667,127.0337833,wydmft
107000061,종암사거리입구,37.601044,127.0337882,wydmft
107000059,성가복지병원,37.6057833,127.0315667,wydmft
107000059,성가복지병원,37.6057447,127.0315874,wydmft
108000012,미아사거리역(중),37.6129167,127.0302,wydmfx
108000012,미아사거리역,37.6128943,127.0302131,wydmfx
108000010,도봉세무서.성북시장(중),37.6188667,127.0292333,wydq48
108000010,도봉세무서.성북시장,37.6188372,127.029248,wydq48
108000008,미아역.신일중고(중),37.6241333,127.0271167,wydq49
108000008,미아역.신일중고,37.6241099,127.027135,wydq49
108000006,수유시장.성신여대미아캠퍼스앞(중),37.6305667,127.0245333,wydq4d
108000006,수유시장.성신여대미아캠퍼스앞,37.6305307,127.0245722,wydq4d
108000004,수유역.강북구청(중),37.6375167,127.0252167,wydq4e
108000004,수유역.강북구청,37.6374887,127.0252317,wydq4e
108000002,수유3동우체국(중),37.64085,127.0288167,wydq4s
108000002,수유3동우체국,37.6406741,127.0286651,wydq4s
109000042,우이1교앞,37.6439937,127.0321793,wydq4s
109000041,쌍문역,37.647356,127.0342217,wydq4t
109000036,함석헌기념관.정의여중고,37.6526308,127.0373872,wydq4y
109000038,도봉구민회관.도봉문화원,37.6541047,127.0382221,wydq4y
109000132,도봉구보건소앞,37.6574389,127.0375891,wydq4z
109000130,쌍문동금호1차삼익아파트,37.6582514,127.0345433,wydq4x
109000128,쌍문동현대.한양아파트,37.6580003,127.0313205,wydq4x
109000126,쌍문동성원아파트,37.6578235,127.0285379,wydq4x
109900076,청구아파트,37.657715,127.0265443,wydq4x
109000122,방학동우성.청구아파트,37.657656,127.0251,wydq4x
109000120,초당초등학교,37.657531,127.022295,wydq4r
109000118,쌍문동우이빌라,37.6574362,127.0181088,wydq4r
109000116,쌍문동청한빌라,37.657732,127.014762,wydq4r
109000236,동아운수앞,37.658907,127.013997,wydq4r
