정류장번호,정류장명,위도,경도
100000415,국립고궁박물관,37.5787966,126.9740462
100000416,청와대,37.5827467,126.9737776
100000417,춘추문,37.5829107,126.9797313
100000418,경복궁.국립민속박물관,37.5795319,126.9795002
108000382,영신여객차고지(우이동종점),37.6628289,127.0119655
108000014,우이동도선사입구.북한산우이역,37.6624998,127.0128184
108000015,우이동성원아파트,37.660809,127.013424
108000017,진성빌라사거리,37.6596909,127.0137598
108000018,서라벌중학교.우이동대우아파트,37.654607,127.012832
108000019,덕성여대솔밭근린공원,37.6513809,127.0126091
108000020,국립4.19민주묘지입구사거리,37.6491109,127.0137114
108000032,인수동장미원,37.6450333,127.0155272
108000034,가오리역,37.6418977,127.0165777
108000046,우이초등학교,37.6365089,127.017114
108000068,화계사입구,37.6333403,127.0174696
108000070,빨래골입구.수유1동주민센터,37.6298588,127.0177651
108000072,롯데마트삼양점.래미안1차아파트,37.6252947,127.018224
108000074,삼양초등학교,37.6230732,127.0191278
108000076,강북청소년문화정보도서관입구,37.621645,127.0202509
108000078,삼양동사거리,37.6185,127.0211833
108000078,삼양동사거리,37.6180883,127.0213079
108000080,송천초등학교.미아뉴타운입구,37.6154833,127.0221
108000080,송천초등학교.미아뉴타운입구,37.6154596,127.0221103
107000081,미아초교,37.6115667,127.0220333
107000081,미아초교,37.6115318,127.0220389
107000083,길음동동부아파트,37.6078667,127.0232833
107000083,길음동동부아파트,37.6074364,127.0234369
107000003,길음뉴타운(중),37.60365,127.02415
107000003,길음뉴타운,37.6036262,127.0241681
107000005,미아리고개.미아리예술극장(중),37.59885,127.0217
107000005,미아리고개.미아리예술극장,37.5988112,127.021709
107000007,돈암사거리.성신여대입구(중),37.5937667,127.0181333
107000007,돈암사거리.성신여대입구,37.5937432,127.0181313
107000009,삼선교.한성대학교(중),37.5898667,127.0092333
107000009,삼선교.한성대학교,37.5898525,127.0092322
100000132,혜화역.서울연극센터(장면총리가옥),37.5840228,127.0013281
100000125,혜화역.서울대병원입구,37.5810636,127.0019395
100000126,방송통신대.이화장,37.5781296,127.0019937
100000127,이화동(이화장),37.5761193,127.0006951
100000076,창덕궁.서울돈화문국악당,37.5775405,126.9885394
100000369,안국역.서울공예박물관,37.5764011,126.9847682
100000106,조계사,37.5725167,126.9828167
100000106,조계사.종로경찰서,37.5724858,126.9828258
100000330,종로1가,37.5703667,126.98045
100000330,종로1가,37.57037,126.980129
100000023,KT광화문지사,37.5724333,126.9773167
100000023,KT광화문지사,37.5722264,126.977332
100000022,경복궁,37.5756167,126.9787333
100000022,경복궁,37.5755767,126.9787471
100000104,안국역.인사동,37.5757849,126.9842425
100000103,창덕궁.우리소리박물관,37.5772728,126.9886349
100000414,창덕궁.돈화문국악당,37.5773031,126.9910846
100000159,원남동사거리,37.5757228,126.9982146
100000122,현대그룹빌딩,37.57585,127.0005333
100000122,현대그룹빌딩,37.575873,127.000533
100000123,통신대(이화장),37.5781667,127.00245
100000123,방송통신대.이화장,37.578043,127.002437
100000124,혜화역.마로니에공원,37.58115,127.0022667
100000124,혜화역.마로니에공원,37.5811194,127.0022769
100000133,혜화역.동성중고(장면총리가옥),37.5846,127.0017167
100000133,혜화역.동성중고(장면총리가옥),37.5845697,127.0017176
107000010,삼선교.한성대학교.조소앙활동터(중),37.58935,127.0083667
107000010,삼선교.한성대학교.조소앙활동터,37.5893128,127.0083738
107000008,돈암사거리.성신여대입구(중),37.5933333,127.0178333
107000008,돈암사거리.성신여대입구,37.5933062,127.017839
107000006,미아리고개.미아리예술극장(중),37.59795,127.0218167
107000006,미아리고개.미아리예술극장,37.597921,127.0218209
107000033,돈암동삼성아파트입구,37.6019,127.0245667
107000033,돈암동삼성아파트입구,37.6018744,127.0245753
107000084,길음동동부아파트,37.6078333,127.0235333
107000084,길음동동부아파트,37.60781,127.0235409
107000082,미아초교,37.6109167,127.02245
107000082,미아초교,37.6108866,127.0224658
108000081,송천초등학교.미아뉴타운입구,37.6142167,127.0223
108000081,송천초등학교.미아뉴타운입구,37.6140963,127.0223138
108000079,삼양동사거리,37.6185667,127.02145
108000079,삼양동사거리,37.6185334,127.0214576
108000077,강북청소년문화정보도서관입구,37.6215172,127.0205867
108000075,삼양초등학교,37.623407,127.019088
108000073,롯데마트삼양점.래미안1차아파트,37.6253019,127.0184845
108000071,빨래골입구.서울수유초등학교,37.630007,127.017982
108000069,화계사입구,37.6332538,127.0177047
108000047,우이초등학교,37.63681,127.017357
108000035,가오리역,37.6416805,127.0168113
108000033,인수동장미원,37.6445998,127.0159997
108000021,국립4.19민주묘지입구사거리,37.649113,127.014019
109000135,덕성여대입구,37.65106,127.013138
109000134,서라벌중학교.우이동대우아파트,37.655025,127.013223
109000133,북서울교회,37.6572562,127.0136533
109000236,동아운수앞,37.658907,127.013997
108000016,우이동성원아파트,37.662045,127.013357
108000383,영신여객차고지(우이동종점),37.6631389,127.0118528
108000037,북부성모병원,37.6467578,127.0170948
108000038,수유2동주민센터우이시장,37.6450886,127.0194289
108000040,광산사거리,37.6433419,127.0218795
108000058,강북구청,37.640412,127.02602
108000378,수유(강북구청)역(중),37.6385167,127.0261
108000378,수유(강북구청)역,37.638477,127.0261
108000003,수유역(중),37.6366667,127.0241333
108000003,수유역,37.636659,127.0241165
108000005,수유시장.성신여대미아캠퍼스앞(중),37.6309,127.02425
108000005,수유시장.성신여대미아캠퍼스앞,37.6312262,127.0241719
108000007,미아역.신일중고(중),37.6249,127.0266333
108000007,미아역.신일중고,37.6248696,127.0266493
108000009,도봉세무서.성북시장(중),37.61975,127.0287167
108000009,도봉세무서.성북시장,37.619714,127.0287194
108000189,롯데백화점미아점,37.6147094,127.0307561
108000339,미아사거리역2번출구,37.6130228,127.0303904
