route_id,route_name,day,sat,holiday
100000020,청와대A01(자율주행),15,-1,-1
100100014,109,14,14,16
100100017,120,6,10,10
100100046,270,10,11,12
100100047,271,6,10,10
100100082,507,9,12,15
100100086,601,12,13,14
100100087,602,8,9,11
100100088,603,10,13,14
100100103,701,11,13,15
100100116,742,11,12,13
100100132,1111,8,8,8
100100144,1128,12,12,12
100100202,2227,11,12,14
100100216,3217,9,11,12
100100220,3314,10,12,15
100100225,3413,9,11,13
100100229,3417,7,10,10
100100232,3422,16,18,22
100100246,4432,9,11,11
100100250,5511,7,11,13
100100263,5528,17,20,24
100100273,5616,16,17,20
100100302,6624,9,10,11
100100306,6629,11,13,14
100100307,6630,20,25,28
100100318,6645,14,16,17
100100346,7612,10,11,14
100100363,7737,10,10,10
100100373,6101,40,40,40
100100412,6001,18,18,18
100100413,6002,18,18,18
100100414,6003,25,25,25
100100415,6004,35,35,35
100100417,6008,70,70,70
100100418,6011,35,35,35
100100419,6012,70,70,70
100100420,6013,30,30,30
100100421,6014,45,45,45
100100422,6015,16,16,16
100100423,6016,60,60,60
100100451,6716,11,13,14
100100500,4312,10,12,14
100100506,6006,105,105,105
100100507,6009,30,30,30
100100508,6300,35,35,35
100100509,6020,60,60,60
100100513,6100,55,55,55
100100533,6017,50,50,50
100100538,6018,95,95,95
100100549,100,10,10,12
100100552,7739,12,16,19
100100567,6701,30,30,30
100100570,6705,15,15,15
100100572,6703,50,50,50
100100573,6702,45,45,45
100100584,6010,70,70,70
100100587,705,17,20,20
100100595,241,9,11,15
100100610,N15,20,25,25
100100611,2312,16,19,19
100900008,종로02,12,13,13
100900011,종로05,11,14,14
103000001,8441,11,11,11
103900002,성동08,11,9,9
103900010,성동13,21,22,22
103900011,성동03-1,11,11,11
103900012,성동03-2,14,16,16
103900013,성동14,15,15,15
104000009,111,22,26,28
104000010,2416,16,17,19
104000011,N31,38,38,38
104000012,411,14,15,17
104900001,광진04,9,10,10
104900002,광진03,7,8,10
104900003,광진02,18,18,25
104900005,광진01,12,15,16
105900002,동대문02,11,12,15
106000001,8221,10,10,10
107000001,1116,18,20,20
107000002,343,13,15,16
107000003,8002,25,25,25
107000004,8003,30,30,30
107000005,9409,28,30,30
107900012,성북06,15,20,20
107900016,성북14-2,13,13,13
108000001,8551,11,11,11
108000002,1167,14,14,16
108900002,강북02,8,9,9
108900009,강북10,7,8,8
108900010,도봉02,6,6,8
108900014,서대문15,14,14,14
109900001,도봉01,12,12,13
109900010,노원15,11,14,16
109900011,노원14,8,9,11
110000002,173,11,13,14
110000004,8146,5,-1,-1
110000005,8101,7,-1,-1
110900009,노원02,13,14,14
111000008,674,17,18,18
111000009,8771,11,11,11
111000010,7734,10,12,12
111000012,774,25,25,25
111000014,761,13,15,16
111000016,N75,30,30,30
111000017,N72,30,30,30
111000018,8701,10,-1,-1
111000019,2236,11,13,14
111900005,은평05,10,10,9
111900006,은평07,13,13,13
111900010,은평10,18,25,25
111900011,은평08-1,18,18,18
111900012,은평08-2,18,18,18
112000003,8773,43,-1,-1
112900002,서대문12,10,14,14
112900006,서대문11,16,18,18
112900011,서대문04,15,16,16
112900014,서대문02대,12,15,
113000002,452,12,12,13
113000003,8762,16,-1,-1
113900008,마포10,6,6,7
113900017,마포18-1,11,17,17
114000001,6649,15,20,20
114900002,양천02,7,7,9
114900004,관악11,16,16,16
114900005,영등포13,16,16,16
114900006,영등포12,19,21,21
115000005,6648,15,17,18
115000006,6019,50,50,50
115000007,654,12,14,15
115000009,N6002,20,20,20
115000010,N64,30,30,30
115900001,강서04,12,16,16
115900006,강서01,11,13,13
115900007,강서07,31,31,31
115900008,강서05-1,23,23,23
116000001,8552,10,10,10
116000002,6615,18,20,20
116000004,660,15,17,19
116000005,8561,11,-1,-1
116900006,구로07,17,20,23
116900007,구로09,12,13,13
116900015,구로08,13,16,16
116900018,양천04,10,11,13
117000002,N51,30,30,30
117900001,금천05,11,23,23
117900004,금천06,14,17,17
118900008,영등포10,15,20,20
119900003,서초05,20,20,20
119900005,서초16,15,17,21
119900021,동작12,15,15,16
119900022,동작05,16,19,19
120900005,관악01,7,7,8
121900001,서초21,10,12,14
121900002,서초08,14,20,25
121900003,서초10,13,14,16
121900016,서초18,5,6,9
122000001,4435,15,16,16
122000002,6102,50,50,50
122000009,6105,55,55,55
122900002,강남05,11,13,14
122900005,강남06,11,13,15
122900010,강남06-2,20,21,23
123000010,741,10,11,14
123000011,708,12,14,17
123000013,N73,35,35,35
123900001,송파01,17,23,23
123900002,송파02,21,23,23
123900003,송파03,18,25,25
124000006,6200,120,120,120
124000013,6103,35,35,35
100100417,N6001,20,20,20
124000038,342,11,12,14
124000039,3323,15,20,20
124900001,강동05,12,14,14
124900002,강동01,9,11,13
124900003,강동02,16,19,19
