"route_name";"route_id";"day";"sat";"holiday"
"TOUR11";100000017;40;40;40
"TOUR12";100000018;65;66;66
"청와대A01(자율주행)";100000020;15;-1;-1
"1";100100001;8;9;9
"101";100100006;10;14;14
"102";100100007;11;10;14
"103";100100008;9;10;10
"104";100100009;9;10;10
"105";100100010;12;12;13
"106";100100011;14;16;19
"107";100100012;12;15;19
"109";100100014;14;14;16
"110B국민대";100100015;8;10;10
"110A고려대";100100016;8;10;10
"120";100100017;6;10;10
"130";100100018;8;11;11
"140";100100019;7;11;11
"141";100100020;11;10;10
"142";100100021;9;10;10
"143";100100022;7;10;10
"144";100100023;8;11;12
"145";100100024;9;11;13
"146";100100025;8;10;11
"147";100100026;9;10;11
"148";100100027;9;12;11
"150";100100029;8;10;13
"151";100100030;7;14;14
"152";100100031;7;11;11
"163";100100032;7;10;10
"160";100100033;8;10;12
"162";100100034;8;10;10
"171";100100036;9;12;12
"172";100100037;10;10;11
"201";100100038;17;18;26
"202";100100039;8;10;12
"260";100100042;10;11;13
"261";100100043;10;12;12
"262";100100044;9;10;11
"270";100100046;10;11;12
"271";100100047;6;10;10
"272";100100048;6;10;10
"273";100100049;8;10;11
"301";100100051;8;10;10
"302";100100052;15;15;15
"303";100100053;8;10;11
"340";100100055;7;10;10
"341";100100056;12;14;16
"360";100100057;6;10;10
"370";100100061;4;6;7
"401";100100062;11;13;16
"402";100100063;9;11;13
"406";100100064;13;12;12
"420";100100068;9;10;11
"441";100100070;10;11;12
"461";100100071;11;12;13
"470";100100073;10;12;13
"472";100100075;7;10;10
"500";100100076;9;11;14
"501";100100077;7;10;10
"503";100100078;14;16;18
"504";100100079;7;10;10
"505";100100080;12;11;17
"506";100100081;14;14;15
"507";100100082;9;12;15
"540";100100083;14;15;16
"571";100100084;11;13;13
"600";100100085;8;10;11
"601";100100086;12;13;14
"602";100100087;8;9;11
"603";100100088;10;13;14
"604";100100089;12;13;15
"605";100100090;11;11;13
"606";100100091;15;16;17
"640";100100093;10;13;14
"641";100100094;6;10;10
"643";100100096;10;11;11
"650";100100097;9;12;13
"651";100100098;11;13;14
"652";100100099;13;13;14
"661";100100102;20;25;25
"701";100100103;11;13;15
"702A서오릉";100100104;7;10;11
"702B용두초교";100100105;14;15;16
"704";100100107;15;15;18
"710";100100110;9;12;13
"720";100100111;9;11;11
"721";100100112;8;10;11
"750A";100100114;10;10;10
"742";100100116;11;12;13
"752";100100117;11;12;11
"753";100100118;12;13;17
"17";100100124;12;13;13
"1014";100100129;8;10;10
"1017";100100130;14;16;19
"1020";100100131;9;12;13
"1111";100100132;8;8;8
"1113";100100133;15;18;18
"1114";100100134;15;15;15
"1119";100100137;7;10;10
"1120";100100138;16;18;19
"1124";100100139;16;17;18
"1126";100100142;8;10;11
"1127";100100143;14;14;14
"1128";100100144;12;12;12
"1129";100100145;25;25;25
"1130";100100146;9;10;10
"1131";100100147;17;21;27
"1132";100100148;8;10;10
"1133";100100149;12;12;18
"1135";100100150;10;13;13
"1136";100100151;15;13;14
