"train_id";"start_stat_id";"end_stat_id";"week";"way";"is_direct";"route_name"
"K5144";1300;1629;1;1;0;"경의중앙선"
"K5148";1299;1629;1;1;0;"경의중앙선"
"K5146";1310;1622;1;1;0;"경의중앙선"
"K5150";1300;1629;1;1;0;"경의중앙선"
"K5152";1300;1629;1;1;0;"경의중앙선"
"K5154";1310;1629;1;1;0;"경의중앙선"
"K5156";1300;1629;1;1;0;"경의중앙선"
"K5158";1300;1629;1;1;0;"경의중앙선"
"K5160";1310;1617;1;1;0;"경의중앙선"
"K5162";1299;1617;1;1;0;"경의중앙선"
"K5164";1310;1318;1;1;0;"경의중앙선"
"K5166";1300;1318;1;1;0;"경의중앙선"
"K5142";191;1622;1;1;0;"경의중앙선"
"K5140";1310;1629;1;1;0;"경의중앙선"
"K5138";1300;1629;1;1;0;"경의중앙선"
"K2237";1629;1610;1;1;0;"경의중앙선"
"K2239";1629;1610;1;1;0;"경의중앙선"
"K2241";1629;1610;1;1;0;"경의중앙선"
"K5136";1310;1629;1;1;0;"경의중앙선"
"K5134";1300;1629;1;1;0;"경의중앙선"
"K5132";1308;1622;1;1;0;"경의중앙선"
"K5130";1300;1629;1;1;0;"경의중앙선"
"K5141";1629;1310;1;2;0;"경의중앙선"
"K5143";1629;1300;1;2;0;"경의중앙선"
"K5145";1629;1300;1;2;0;"경의중앙선"
"K5147";1629;1310;1;2;0;"경의중앙선"
"K5853";1629;1300;1;2;1;"경의중앙선"
"K5149";1629;1300;1;2;0;"경의중앙선"
"K5151";1629;1310;1;2;0;"경의중앙선"
"K5153";1622;1300;1;2;0;"경의중앙선"
"K5155";1629;1310;1;2;0;"경의중앙선"
"K5157";1622;1300;1;2;0;"경의중앙선"
"K5159";1629;1310;1;2;0;"경의중앙선"
"K5161";1629;1310;1;2;0;"경의중앙선"
"K5163";1622;191;1;2;0;"경의중앙선"
"K5165";1629;191;1;2;0;"경의중앙선"
"K5167";1629;191;1;2;0;"경의중앙선"
"K5133";1629;1299;1;2;0;"경의중앙선"
"K5127";1629;1300;1;2;0;"경의중앙선"
"K5129";1629;1300;1;2;0;"경의중앙선"
"K5137";1629;1300;1;2;0;"경의중앙선"
"K5139";1629;1300;1;2;0;"경의중앙선"
"K5135";1318;1308;1;2;0;"경의중앙선"
"K2516";1610;1629;1;2;1;"경의중앙선"
"K2240";1610;1629;1;2;0;"경의중앙선"
"K2242";1610;1629;1;2;0;"경의중앙선"
"K2238";1610;1629;1;2;0;"경의중앙선"
"K5124";1310;1629;2;1;0;"경의중앙선"
"K5126";1299;1629;2;1;0;"경의중앙선"
"K5128";1310;1629;2;1;0;"경의중앙선"
"K5130";1310;1629;2;1;0;"경의중앙선"
"K5132";1300;1629;2;1;0;"경의중앙선"
"K5134";1300;1318;2;1;0;"경의중앙선"
"K5136";1310;1629;2;1;0;"경의중앙선"
"K5138";1300;1629;2;1;0;"경의중앙선"
"K5140";1300;1617;2;1;0;"경의중앙선"
"K5142";1310;1617;2;1;0;"경의중앙선"
"K5144";1299;1318;2;1;0;"경의중앙선"
"K5122";1300;1629;2;1;0;"경의중앙선"
"K2231";1618;1610;2;1;0;"경의중앙선"
"K2233";1629;1610;2;1;0;"경의중앙선"
"K2235";1629;1610;2;1;0;"경의중앙선"
"K5120";1310;1629;2;1;0;"경의중앙선"
"K5118";1300;1629;2;1;0;"경의중앙선"
"K5116";1310;1629;2;1;0;"경의중앙선"
"K5114";1300;1629;2;1;0;"경의중앙선"
"K5112";1310;1629;2;1;0;"경의중앙선"
"K5123";1629;1310;2;2;0;"경의중앙선"
"K5125";1629;1300;2;2;0;"경의중앙선"
"K5127";1629;1300;2;2;0;"경의중앙선"
"K5129";1629;1310;2;2;0;"경의중앙선"
"K5131";1629;1300;2;2;0;"경의중앙선"
"K5133";1629;1310;2;2;0;"경의중앙선"
"K5135";1629;1300;2;2;0;"경의중앙선"
"K5137";1629;1300;2;2;0;"경의중앙선"
"K5139";1629;1310;2;2;0;"경의중앙선"
"K5141";1629;1310;2;2;0;"경의중앙선"
"K5143";1629;1310;2;2;0;"경의중앙선"
"K5145";1629;191;2;2;0;"경의중앙선"
"K5121";1629;1299;2;2;0;"경의중앙선"
"K5113";1629;1300;2;2;0;"경의중앙선"
"K5117";1629;1300;2;2;0;"경의중앙선"
"K5119";1629;1310;2;2;0;"경의중앙선"
"K2232";1610;1629;2;2;0;"경의중앙선"
"K2234";1610;1629;2;2;0;"경의중앙선"
"K2236";1610;1629;2;2;0;"경의중앙선"
"K8404";1830;1806;1;1;1;"경춘선"
"K8090";1830;1806;1;1;0;"경춘선"
"K8100";1830;1806;1;1;0;"경춘선"
"K8086";1830;1810;1;1;0;"경춘선"
"K8088";1830;1810;1;1;0;"경춘선"
"K8092";1830;1810;1;1;0;"경춘선"
"K8094";1830;1810;1;1;0;"경춘선"
"K8096";1830;1810;1;1;0;"경춘선"
"K8098";1830;1810;1;1;0;"경춘선"
"K8102";1830;1810;1;1;0;"경춘선"
"K8104";1830;1810;1;1;0;"경춘선"
"K8106";1830;1818;1;1;0;"경춘선"
"K8108";1830;1818;1;1;0;"경춘선"
"K8405";1806;1830;1;2;1;"경춘선"
"K8099";1806;1830;1;2;0;"경춘선"
"K8109";1806;1820;1;2;0;"경춘선"
"K8093";1810;1830;1;2;0;"경춘선"
"K8095";1810;1830;1;2;0;"경춘선"
"K8097";1810;1830;1;2;0;"경춘선"
"K8101";1810;1830;1;2;0;"경춘선"
"K8103";1810;1818;1;2;0;"경춘선"
"K8105";1810;1830;1;2;0;"경춘선"
"K8107";1810;1820;1;2;0;"경춘선"
"K8303";1809;1830;1;2;0;"경춘선"
"K8089";1810;1830;1;2;0;"경춘선"
"K8087";1810;1830;1;2;0;"경춘선"
"K8074";1830;1806;2;1;0;"경춘선"
"K8082";1830;1806;2;1;0;"경춘선"
"K8072";1830;1810;2;1;0;"경춘선"
"K8076";1830;1810;2;1;0;"경춘선"
"K8078";1830;1810;2;1;0;"경춘선"
"K8080";1830;1810;2;1;0;"경춘선"
"K8084";1830;1810;2;1;0;"경춘선"
"K8086";1830;1810;2;1;0;"경춘선"
"K8088";1830;1818;2;1;0;"경춘선"
"K8079";1806;1830;2;2;0;"경춘선"
"K8085";1806;1818;2;2;0;"경춘선"
"K8075";1810;1830;2;2;0;"경춘선"
"K8077";1810;1830;2;2;0;"경춘선"
"K8081";1810;1830;2;2;0;"경춘선"
"K8083";1810;1830;2;2;0;"경춘선"
"K8073";1810;1830;2;2;0;"경춘선"
"K8071";1810;1830;2;2;0;"경춘선"
"K8069";1810;1830;2;2;0;"경춘선"
"K8067";1806;1830;2;2;0;"경춘선"
"A2164";4013;4001;1;1;0;"공항철도선"
"A3100";4007;4001;1;1;0;"공항철도선"
"A2166";4013;4001;1;1;0;"공항철도선"
"A3102";4007;4001;1;1;0;"공항철도선"
"A2168";4013;4001;1;1;0;"공항철도선"
"A2170";4013;4001;1;1;0;"공항철도선"
"A1048";4013;4001;1;1;1;"공항철도선"
"A3104";4007;4001;1;1;0;"공항철도선"
"A2172";4013;4001;1;1;0;"공항철도선"
"A2174";4013;4001;1;1;0;"공항철도선"
"A2176";4013;4001;1;1;0;"공항철도선"
"A2178";4013;4001;1;1;0;"공항철도선"
"A1050";4013;4001;1;1;1;"공항철도선"
"A2180";4013;4001;1;1;0;"공항철도선"
"A2182";4013;4001;1;1;0;"공항철도선"
"A2184";4013;4001;1;1;0;"공항철도선"
"A2186";4013;4001;1;1;0;"공항철도선"
"A2188";4013;4001;1;1;0;"공항철도선"
"A2190";4013;4001;1;1;0;"공항철도선"
"A2192";4013;4001;1;1;0;"공항철도선"
"A1052";4013;4001;1;1;1;"공항철도선"
"A2194";4013;4001;1;1;0;"공항철도선"
"A2196";4013;4001;1;1;0;"공항철도선"
