,열차번호,출발역코드,도착역코드,요일,방향,급행선,노선명
0,K5144,1300,1629,1,1,0,경의중앙선
1,K5148,1299,1629,1,1,0,경의중앙선
2,K5146,1310,1622,1,1,0,경의중앙선
3,K5150,1300,1629,1,1,0,경의중앙선
4,K5152,1300,1629,1,1,0,경의중앙선
5,K5154,1310,1629,1,1,0,경의중앙선
6,K5156,1300,1629,1,1,0,경의중앙선
7,K5158,1300,1629,1,1,0,경의중앙선
8,K5160,1310,1617,1,1,0,경의중앙선
9,K5162,1299,1617,1,1,0,경의중앙선
10,K5164,1310,1318,1,1,0,경의중앙선
11,K5166,1300,1318,1,1,0,경의중앙선
12,K5142,191,1622,1,1,0,경의중앙선
13,K5140,1310,1629,1,1,0,경의중앙선
14,K5138,1300,1629,1,1,0,경의중앙선
15,K2237,1629,1610,1,1,0,경의중앙선
16,K2239,1629,1610,1,1,0,경의중앙선
17,K2241,1629,1610,1,1,0,경의중앙선
18,K5136,1310,1629,1,1,0,경의중앙선
19,K5134,1300,1629,1,1,0,경의중앙선
20,K5132,1308,1622,1,1,0,경의중앙선
21,K5130,1300,1629,1,1,0,경의중앙선
22,K5141,1629,1310,1,2,0,경의중앙선
23,K5143,1629,1300,1,2,0,경의중앙선
24,K5145,1629,1300,1,2,0,경의중앙선
25,K5147,1629,1310,1,2,0,경의중앙선
26,K5853,1629,1300,1,2,1,경의중앙선
27,K5149,1629,1300,1,2,0,경의중앙선
28,K5151,1629,1310,1,2,0,경의중앙선
29,K5153,1622,1300,1,2,0,경의중앙선
30,K5155,1629,1310,1,2,0,경의중앙선
31,K5157,1622,1300,1,2,0,경의중앙선
32,K5159,1629,1310,1,2,0,경의중앙선
33,K5161,1629,1310,1,2,0,경의중앙선
34,K5163,1622,191,1,2,0,경의중앙선
35,K5165,1629,191,1,2,0,경의중앙선
36,K5167,1629,191,1,2,0,경의중앙선
37,K5133,1629,1299,1,2,0,경의중앙선
38,K5127,1629,1300,1,2,0,경의중앙선
39,K5129,1629,1300,1,2,0,경의중앙선
40,K5137,1629,1300,1,2,0,경의중앙선
41,K5139,1629,1300,1,2,0,경의중앙선
42,K5135,1318,1308,1,2,0,경의중앙선
43,K2516,1610,1629,1,2,1,경의중앙선
44,K2240,1610,1629,1,2,0,경의중앙선
45,K2242,1610,1629,1,2,0,경의중앙선
46,K2238,1610,1629,1,2,0,경의중앙선
47,K5124,1310,1629,2,1,0,경의중앙선
48,K5126,1299,1629,2,1,0,경의중앙선
49,K5128,1310,1629,2,1,0,경의중앙선
50,K5130,1310,1629,2,1,0,경의중앙선
51,K5132,1300,1629,2,1,0,경의중앙선
52,K5134,1300,1318,2,1,0,경의중앙선
53,K5136,1310,1629,2,1,0,경의중앙선
54,K5138,1300,1629,2,1,0,경의중앙선
55,K5140,1300,1617,2,1,0,경의중앙선
56,K5142,1310,1617,2,1,0,경의중앙선
57,K5144,1299,1318,2,1,0,경의중앙선
58,K5122,1300,1629,2,1,0,경의중앙선
59,K2231,1618,1610,2,1,0,경의중앙선
60,K2233,1629,1610,2,1,0,경의중앙선
61,K2235,1629,1610,2,1,0,경의중앙선
62,K5120,1310,1629,2,1,0,경의중앙선
63,K5118,1300,1629,2,1,0,경의중앙선
64,K5116,1310,1629,2,1,0,경의중앙선
65,K5114,1300,1629,2,1,0,경의중앙선
66,K5112,1310,1629,2,1,0,경의중앙선
67,K5123,1629,1310,2,2,0,경의중앙선
68,K5125,1629,1300,2,2,0,경의중앙선
69,K5127,1629,1300,2,2,0,경의중앙선
70,K5129,1629,1310,2,2,0,경의중앙선
71,K5131,1629,1300,2,2,0,경의중앙선
72,K5133,1629,1310,2,2,0,경의중앙선
73,K5135,1629,1300,2,2,0,경의중앙선
74,K5137,1629,1300,2,2,0,경의중앙선
75,K5139,1629,1310,2,2,0,경의중앙선
76,K5141,1629,1310,2,2,0,경의중앙선
77,K5143,1629,1310,2,2,0,경의중앙선
78,K5145,1629,191,2,2,0,경의중앙선
79,K5121,1629,1299,2,2,0,경의중앙선
80,K5113,1629,1300,2,2,0,경의중앙선
81,K5117,1629,1300,2,2,0,경의중앙선
82,K5119,1629,1310,2,2,0,경의중앙선
83,K2232,1610,1629,2,2,0,경의중앙선
84,K2234,1610,1629,2,2,0,경의중앙선
85,K2236,1610,1629,2,2,0,경의중앙선
86,K8404,1830,1806,1,1,1,경춘선
87,K8090,1830,1806,1,1,0,경춘선
88,K8100,1830,1806,1,1,0,경춘선
89,K8086,1830,1810,1,1,0,경춘선
90,K8088,1830,1810,1,1,0,경춘선
91,K8092,1830,1810,1,1,0,경춘선
92,K8094,1830,1810,1,1,0,경춘선
93,K8096,1830,1810,1,1,0,경춘선
94,K8098,1830,1810,1,1,0,경춘선
95,K8102,1830,1810,1,1,0,경춘선
96,K8104,1830,1810,1,1,0,경춘선
97,K8106,1830,1818,1,1,0,경춘선
98,K8108,1830,1818,1,1,0,경춘선
99,K8405,1806,1830,1,2,1,경춘선
100,K8099,1806,1830,1,2,0,경춘선
101,K8109,1806,1820,1,2,0,경춘선
102,K8093,1810,1830,1,2,0,경춘선
103,K8095,1810,1830,1,2,0,경춘선
104,K8097,1810,1830,1,2,0,경춘선
