역사명,노선명,주소,위도,경도,역번호,외부코드
까치울,7호선,경기도 부천시 원미구 길주로 지하 626 (춘의동),37.50613,126.81093,3753,751
부천종합운동장,7호선,경기도 부천시 원미구 길주로 지하 502 (춘의동),37.50502,126.79661,3754,752
춘의,7호선,경기도 부천시 원미구 길주로 지하 406 (춘의동),37.50365,126.78828,3755,753
신중동,7호선,경기도 부천시 원미구 길주로 지하 314 (중동),37.50282,126.77566,3756,754
부천시청,7호선,경기도 부천시 원미구 길주로 지하 202 (중동),37.50444,126.76364,3757,755
상동,7호선,경기도 부천시 원미구 길주로 지하 104 (상동),37.505814,126.753163,3758,756
삼산체육관,7호선,인천광역시 부평구 길주로 지하 713 (삼산동),37.50724,126.74179,3759,757
굴포천,7호선,인천광역시 부평구 길주로 지하 623 (삼산동),37.50681,126.73234,3760,758
부평구청,7호선,인천광역시 부평구 길주로 지하 527 (갈산동),37.50848,126.72077,3761,759
산곡,7호선,인천광역시 부평구 길주로 지하 379 (산곡동),37.5086,126.7035277,3762,760
석남(거북시장),7호선,인천광역시 서구 길주로 지하 120 (석남동),37.5062285,126.6762813,3763,761
서울역,공항철도선,서울특별시 용산구 청파로 378,37.553247,126.969769,4201,A01
공덕,공항철도선,서울특별시 마포구 마포대로 92,37.54253,126.952024,4202,A02
홍대입구,공항철도선,서울특별시 마포구 양화로 188,37.557438,126.926715,4203,A03
디지털미디어시티,공항철도선,서울특별시 마포구 성암로 184,37.576958,126.898609,4204,A04
마곡나루,공항철도선,서울특별시 강서구 마곡중앙로 지하 135,37.565543,126.827378,4206,A042
김포공항,공항철도선,서울특별시 강서구 하늘길 77,37.561842,126.801904,4207,A05
계양,공항철도선,인천광역시 계양구 다남로 24,37.571662,126.7363,4208,A06
검암,공항철도선,인천광역시 서구 검바위로 26,37.569098,126.674007,4209,A07
청라국제도시,공항철도선,인천광역시 서구 에코로 163,37.556409,126.624648,4210,A071
영종,공항철도선,인천광역시 중구 백운로414번길 75,37.51202,126.524254,4217,A072
운서,공항철도선,인천광역시 중구 흰바위로59번길 26,37.492904,126.49379,4211,A08
공항화물청사,공항철도선,인천광역시 중구 공항동로135번길 86,37.459041,126.477516,4212,A09
인천공항1터미널,공항철도선,인천광역시 중구 공항로 271,37.447464,126.452508,4213,A10
인천공항2터미널,공항철도선,인천광역시 중구 공항로 272,37.460699,126.441442,4215,A11
북한산우이,우이신설선,서울특별시 강북구 삼양로 지하 676,37.662909,127.012706,4701,941
솔밭공원,우이신설선,서울특별시 강북구 삼양로 595,37.65603,127.013273,4702,942
4.19민주묘지,우이신설선,서울특별시 강북구 삼양로 519,37.649502,127.013684,4703,943
가오리,우이신설선,서울특별시 강북구 삼양로 426,37.641537,127.016789,4704,944
화계,우이신설선,서울특별시 강북구 삼양로 341,37.634133,127.017511,4705,945
삼양,우이신설선,서울특별시 강북구 삼양로 지하 259,37.626914,127.018106,4706,946
삼양사거리,우이신설선,서울특별시 강북구 삼양로 197,37.621337,127.020473,4707,947
솔샘,우이신설선,서울특별시 강북구 솔샘로 지하 189,37.620238,127.013626,4708,948
북한산보국문,우이신설선,서울특별시 성북구 보국문로 지하 88,37.612072,127.008251,4709,949
정릉,우이신설선,서울특별시 성북구 아리랑로 지하 122,37.603133,127.013396,4710,950
성신여대입구(돈암),우이신설선,서울특별시 성북구 동선동1가 116-1,37.592467,127.016516,4711,951
보문,우이신설선,서울특별시 성북구 보문동1가 127-6,37.585286,127.019381,4712,952
신설동,우이신설선,서울특별시 동대문구 신설동 132-259,37.576095,127.023242,4713,953
신사,신분당선,서울특별시 강남구 강남대로 620-2,37.516334,127.020114,4304,D4
논현,신분당선,서울특별시 강남구 강남대로 492-2,37.511093,127.021415,4305,D5
신논현,신분당선,서울특별시 강남구 강남대로 302-2,37.504598,127.02506,4306,D6
강남,신분당선,서울특별시 강남구 강남대로 지하 396,37.496837,127.028104,4307,D7
양재(서초구청),신분당선,서울시 서초구 남부순환로 지하 2585,37.483809,127.034653,4308,D8
양재시민의숲(매헌),신분당선,서울특별시 서초구 매헌로 지하 116,37.470023,127.03842,4309,D9
청계산입구,신분당선,서울특별시 서초구 청계산로 지하 179,37.447211,127.055664,4310,D10
판교,신분당선,경기도 성남시 분당구 판교역로 지하 160,37.394761,127.112217,4311,D11
정자,신분당선,"경기도 성남시 분당구 성남대로 지하 333 ",37.367098,127.108403,4312,D12
미금,신분당선,경기도 성남시 성남대로 지하 163 (금곡동),37.349982,127.108918,4313,D13
동천,신분당선,경기도 용인시 수지구 신수로 지하760,37.337928,127.102976,4314,D14
