역사명,노선명,주소,위도,경도,역코드
까치울,수도권 7호선,경기도 부천시 원미구 길주로 지하 626 (춘의동),37.50613,126.81093,751.0
부천종합운동장,수도권 7호선,경기도 부천시 원미구 길주로 지하 502 (춘의동),37.50502,126.79661,752.0
춘의,수도권 7호선,경기도 부천시 원미구 길주로 지하 406 (춘의동),37.50365,126.78828,753.0
신중동,수도권 7호선,경기도 부천시 원미구 길주로 지하 314 (중동),37.50282,126.77566,754.0
부천시청,수도권 7호선,경기도 부천시 원미구 길주로 지하 202 (중동),37.50444,126.76364,755.0
상동,수도권 7호선,경기도 부천시 원미구 길주로 지하 104 (상동),37.505814,126.753163,756.0
삼산체육관,수도권 7호선,인천광역시 부평구 길주로 지하 713 (삼산동),37.50724,126.74179,757.0
굴포천,수도권 7호선,인천광역시 부평구 길주로 지하 623 (삼산동),37.50681,126.73234,758.0
부평구청,수도권 7호선,인천광역시 부평구 길주로 지하 527 (갈산동),37.50848,126.72077,759.0
산곡,수도권 7호선,인천광역시 부평구 길주로 지하 379 (산곡동),37.5086,126.7035277,760.0
석남,수도권 7호선,인천광역시 서구 길주로 지하 120 (석남동),37.5062285,126.6762813,761.0
서울역,공항철도,서울특별시 용산구 청파로 378,37.553247,126.969769,4001.0
공덕,공항철도,서울특별시 마포구 마포대로 92,37.54253,126.952024,4002.0
홍대입구,공항철도,서울특별시 마포구 양화로 188,37.557438,126.926715,4003.0
디지털미디어시티,공항철도,서울특별시 마포구 성암로 184,37.576958,126.898609,4004.0
마곡나루,공항철도,서울특별시 강서구 마곡중앙로 지하 135,37.565543,126.827378,4020.0
김포공항,공항철도,서울특별시 강서구 하늘길 77,37.561842,126.801904,4005.0
계양,공항철도,인천광역시 계양구 다남로 24,37.571662,126.7363,4006.0
검암,공항철도,인천광역시 서구 검바위로 26,37.569098,126.674007,4007.0
청라국제도시,공항철도,인천광역시 서구 에코로 163,37.556409,126.624648,4011.0
