시발역,문산,문산,문산,문산,문산,문산,문산,문산,문산,문산,문산,문산,임진강,문산,문산,문산,문산,문산,문산,문산,문산,문산,임진강,문산,문산,문산,문산,문산,문산,문산,문산,,,,,,,,
종착역,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,문산,서울,서울,서울,서울,서울,서울,서울,서울,서울,문산,서울,서울,서울,서울,서울,서울,서울,서울,,,,,,,,
열차번호,K2201,K2203,K2205,K2501,K2207,K2209,K2211,K2503,K2505,K2213,K2215,K2217,K2601,K2219,K2507,K2509,K2221,K2511,K2513,K2515,K2223,K2225,K2603,K2227,K2229,K2231,K2233,K2235,K2237,K2239,K2241,,,,,,,,
임진강,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,,,,,,,,,,,,,
,,,,,,,,,,,,,10:50:00,,,,,,,,,,17:25:00,,,,,,,,,,,,,,,,
운천,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,10:54:00,        ,        ,        ,        ,        ,        ,        ,        ,        ,17:29:00,        ,        ,        ,,,,,,,,,,,,,
,,,,,,,,,,,,,10:54:30,,,,,,,,,,17:29:30,,,,,,,,,,,,,,,,
문산,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,11:00:30,        ,        ,        ,        ,        ,        ,        ,        ,        ,17:35:30,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
,5:09:00,5:45:00,6:12:00,6:35:00,6:44:00,6:57:00,7:20:00,8:00:00,8:14:00,8:28:00,9:25:00,10:14:00,        ,11:14:00,12:16:00,13:00:00,13:43:00,14:58:00,15:50:00,16:30:00,16:41:00,17:13:00,        ,17:30:00,18:12:00,18:30:00,19:08:00,19:58:00,20:47:00,22:05:00,22:46:00,,,,,,,,
파주,5:12:30,5:48:30,6:15:30,        ,6:47:30,7:00:30,7:23:30,        ,        ,8:31:30,9:28:30,10:17:30,        ,11:17:30,        ,        ,13:46:30,        ,        ,        ,16:44:30,17:16:30,        ,17:33:30,18:15:30,18:33:30,19:11:30,20:01:30,20:50:30,22:08:30,22:49:30,        ,        ,        ,        ,        ,        ,        ,        
,5:13:00,5:49:00,6:16:00,6:38:00,6:48:00,7:01:00,7:24:00,8:03:00,8:17:00,8:32:00,9:29:00,10:18:00,,11:18:00,12:19:00,13:03:00,13:47:00,15:01:00,15:53:00,16:33:00,16:45:00,17:17:00,,17:34:00,18:16:00,18:34:00,19:12:00,20:02:00,20:51:00,22:09:00,22:50:00,,,,,,,,
