시발역,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,문산,서울,서울,서울,서울,서울,서울,서울,문산,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,,,,,,,,
종착역,문산,문산,문산,문산,문산,문산,문산,문산,문산,문산,문산,임진강,문산,문산,문산,문산,문산,문산,문산,임진강,문산,문산,문산,문산,문산,문산,문산,문산,문산,문산,문산,,,,,,,,
열차번호,K2202,K2204,K2206,K2208,K2210,K2212,K2214,K2216,K2218,K2220,K2222,K2602,K2224,K2502,K2504,K2226,K2506,K2508,K2510,K2604,K2228,K2230,K2512,K2232,K2234,K2514,K2236,K2238,K2516,K2240,K2242,,,,,,,,
서울,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
,5:45:00,6:32:00,6:58:00,7:23:00,7:40:00,7:54:00,8:12:00,8:30:00,9:03:00,9:20:00,9:43:00,,10:50:00,11:34:00,12:38:00,13:31:00,14:20:00,15:17:00,16:14:00,,17:03:00,17:38:00,18:10:00,18:28:00,19:00:00,19:22:00,19:52:00,20:47:00,21:11:00,22:04:00,23:37:00,,,,,,,,
신촌,5:50:30,6:37:30,7:03:30,7:28:30,7:45:30,7:59:30,8:17:30,8:35:30,9:08:30,9:25:30,9:48:30,        ,10:55:30,11:39:30,12:43:30,13:36:30,14:25:30,15:22:30,16:19:30,        ,17:08:30,17:43:30,18:15:30,18:34:00,19:05:30,19:27:30,19:57:30,20:52:30,21:16:30,22:09:30,23:42:30,        ,        ,        ,        ,        ,        ,        ,        
,5:51:00,6:38:00,7:04:00,7:29:00,7:46:00,8:00:00,8:18:00,8:36:00,9:09:00,9:26:00,9:49:00,,10:56:00,11:40:00,12:44:00,13:37:00,14:26:00,15:23:00,16:20:00,,17:09:00,17:44:00,18:16:00,18:34:30,19:06:00,19:28:00,19:58:00,20:53:00,21:17:00,22:10:00,23:43:00,,,,,,,,
가좌,5:54:00,6:41:00,7:07:00,7:32:00,7:49:00,8:03:30,8:21:00,8:39:00,9:12:00,9:29:00,9:52:00,        ,10:59:00,11:43:30,12:47:30,13:40:00,14:29:30,15:26:30,16:23:30,        ,17:12:00,17:47:00,18:19:30,18:38:00,19:09:00,19:31:30,20:01:00,20:56:00,21:20:30,22:13:00,23:46:00,        ,        ,        ,        ,        ,        ,        ,        
,5:54:30,6:41:30,7:07:30,7:32:30,7:49:30,8:04:00,8:21:30,8:39:30,9:12:30,9:29:30,9:52:30,,10:59:30,11:44:00,12:48:00,13:40:30,14:30:00,15:27:00,16:24:00,,17:12:30,17:47:30,18:20:00,18:38:30,19:09:30,19:32:00,20:01:30,20:56:30,21:21:00,22:13:30,23:46:30,,,,,,,,
디엠시,5:56:30,6:43:30,7:09:30,7:34:30,7:51:30,8:06:00,8:23:30,8:41:30,9:14:30,9:31:30,9:54:30,        ,11:01:30,11:46:00,12:50:00,13:42:30,14:32:00,15:29:00,16:26:00,        ,17:14:30,17:49:30,18:22:00,18:40:30,19:11:30,19:34:00,20:03:30,20:58:30,21:23:00,22:15:30,23:48:30,        ,        ,        ,        ,        ,        ,        ,        
,5:57:00,6:44:00,7:10:00,7:35:00,7:52:00,8:06:30,8:24:00,8:42:00,9:15:00,9:32:00,9:55:00,,11:02:00,11:46:30,12:50:30,13:43:00,14:32:30,15:29:30,16:26:30,,17:15:00,17:50:00,18:22:30,18:41:00,19:12:00,19:34:30,20:04:00,20:59:00,21:23:30,22:16:00,23:49:00,,,,,,,,
수색,5:58:30,6:45:30,7:11:30,7:36:30,7:53:30,8:08:00,8:25:30,8:43:30,9:16:30,9:33:30,9:56:30,        ,11:03:30,        ,        ,13:44:30,        ,        ,        ,        ,17:16:30,17:51:30,        ,18:42:30,19:13:30,        ,20:05:30,21:00:30,        ,22:17:30,23:50:30,        ,        ,        ,        ,        ,        ,        ,        
,5:59:00,6:46:00,7:12:00,7:37:00,7:54:00,8:08:30,8:26:00,8:44:00,9:17:00,9:34:00,9:57:00,,11:04:00,11:48:00,12:52:00,13:45:00,14:34:00,15:31:00,16:28:00,,17:17:00,17:52:00,18:24:00,18:43:00,19:14:00,19:36:00,20:06:00,21:01:00,21:25:00,22:18:00,23:51:00,,,,,,,,
화전,6:02:00,6:49:00,7:15:00,7:40:00,7:57:00,8:11:30,8:29:00,8:47:00,9:20:00,9:37:00,10:00:00,        ,11:07:00,        ,        ,13:48:00,        ,        ,        ,        ,17:20:00,17:55:00,        ,18:46:30,19:17:00,        ,20:09:00,21:04:00,        ,22:21:00,23:54:00,        ,        ,        ,        ,        ,        ,        ,        
