시발역,문산,문산,문산,대곡,문산,임진강,대곡,대곡,임진강,대곡,대곡,대곡,대곡,임진강,대곡,임진강,대곡,대곡,대곡,대곡,문산,문산,,,,
종착역,서울,서울,서울,서울,서울,문산,서울,서울,문산,서울,서울,서울,서울,문산,서울,문산,서울,서울,서울,서울,서울,서울,,,,
열차번호,K2201,K2203,K2205,K2207,K2209,K2601,K2211,K2213,K2603,K2215,K2217,K2219,K2221,K2605,K2223,K2607,K2225,K2227,K2229,K2231,K2233,K2235,,,,
임진강,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
,,,,,,10:00:00,,,12:40:00,,,,,16:10:00,,17:45:00,,,,,,,,,,
운천,        ,        ,        ,        ,        ,10:04:00,        ,        ,12:44:00,        ,        ,        ,        ,16:14:00,        ,17:49:00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
,,,,,,10:04:30,,,12:44:30,,,,,16:14:30,,17:49:30,,,,,,,,,,
문산,        ,        ,        ,        ,        ,10:10:30,        ,        ,12:50:30,        ,        ,        ,        ,16:20:30,        ,17:55:30,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
,5:38:00,6:45:00,8:10:00,,9:53:00,        ,,,        ,,,,,        ,,        ,,,,,22:20:00,23:15:00,,,,
파주,5:41:30,6:48:30,8:13:30,        ,9:56:30,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,22:23:30,23:18:30,        ,        ,        ,        
,5:42:00,6:49:00,8:14:00,,9:57:00,,,,,,,,,,,,,,,,22:24:00,23:19:00,,,,
월롱,5:44:30,6:51:30,8:16:30,        ,9:59:30,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,22:26:30,23:21:30,        ,        ,        ,        
,5:45:00,6:52:00,8:17:00,,10:00:00,,,,,,,,,,,,,,,,22:27:00,23:22:00,,,,
금촌,5:48:30,6:55:30,8:20:30,        ,10:03:30,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,22:30:30,23:25:30,        ,        ,        ,        
,5:49:00,6:56:00,8:21:00,,10:04:00,,,,,,,,,,,,,,,,22:31:00,23:26:00,,,,
금릉,5:51:00,6:58:00,8:23:00,        ,10:06:00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,22:33:00,23:28:00,        ,        ,        ,        
,5:51:30,6:58:30,8:23:30,,10:06:30,,,,,,,,,,,,,,,,22:33:30,23:28:30,,,,
운정,5:54:30,7:01:30,8:26:30,        ,10:09:30,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,22:36:30,23:31:30,        ,        ,        ,        
,5:55:00,7:02:00,8:27:00,,10:10:00,,,,,,,,,,,,,,,,22:37:00,23:32:00,,,,
야당,5:56:30,7:03:30,8:28:30,        ,10:11:30,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,22:38:30,23:33:30,        ,        ,        ,        
,5:57:00,7:04:00,8:29:00,,10:12:00,,,,,,,,,,,,,,,,22:39:00,23:34:00,,,,
탄현,5:59:00,7:06:00,8:31:00,        ,10:14:00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,22:41:00,23:36:00,        ,        ,        ,        
,5:59:30,7:06:30,8:31:30,,10:14:30,,,,,,,,,,,,,,,,22:41:30,23:36:30,,,,
일산,6:01:30,7:08:30,8:33:30,        ,10:16:30,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,22:43:30,23:38:30,        ,        ,        ,        
,6:02:00,7:09:00,8:34:00,,10:17:00,,,,,,,,,,,,,,,,22:44:00,23:39:00,,,,
풍산,6:04:00,7:11:00,8:36:00,        ,10:19:00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,22:46:00,23:41:00,        ,        ,        ,        
,6:04:30,7:11:30,8:36:30,,10:19:30,,,,,,,,,,,,,,,,22:46:30,23:41:30,,,,
백마,6:06:30,7:13:30,8:38:30,        ,10:21:30,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,22:48:30,23:43:30,        ,        ,        ,        
,6:07:00,7:14:00,8:39:00,,10:22:00,,,,,,,,,,,,,,,,22:49:00,23:44:00,,,,
곡산,6:09:00,7:16:00,8:41:00,        ,10:24:00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,22:51:00,23:46:00,        ,        ,        ,        
,6:09:30,7:16:30,8:41:30,,10:24:30,,,,,,,,,,,,,,,,22:51:30,23:46:30,,,,
대곡,6:11:30,7:18:30,8:43:30,        ,10:26:30,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,22:53:30,23:48:30,        ,        ,        ,        
