시발역,서울,서울,서울,문산,서울,문산,서울,서울,서울,서울,서울,문산,서울,서울,문산,서울,서울,서울,서울,서울,서울,서울,,,,
종착역,문산,문산,대곡,임진강,문산,임진강,대곡,대곡,대곡,대곡,대곡,임진강,대곡,대곡,임진강,대곡,대곡,대곡,대곡,문산,문산,문산,,,,
열차번호,K2202,K2204,K2206,K2602,K2208,K2604,K2210,K2212,K2214,K2216,K2218,K2606,K2220,K2222,K2608,K2224,K2226,K2228,K2230,K2232,K2234,K2236,,,,
서울,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
,5:35:00,6:52:00,8:04:00,,9:22:00,,10:44:00,11:46:00,12:35:00,13:32:00,14:22:00,,15:30:00,16:15:00,,17:39:00,18:12:00,19:20:00,20:32:00,21:05:00,22:00:00,23:38:00,,,,
신촌,5:40:30,6:57:30,8:09:30,        ,9:27:30,        ,10:49:30,11:51:30,12:40:30,13:37:30,14:27:30,        ,15:35:30,16:20:30,        ,17:44:30,18:17:30,19:25:30,20:37:30,21:10:30,22:05:30,23:43:30,        ,        ,        ,        
,5:41:00,6:58:00,8:10:00,,9:28:00,,10:50:00,11:52:00,12:41:00,13:38:00,14:28:00,,15:36:00,16:21:00,,17:45:00,18:18:00,19:26:00,20:38:00,21:11:00,22:06:00,23:44:00,,,,
가좌,5:44:00,7:01:00,8:13:00,        ,9:31:00,        ,10:53:00,11:55:00,12:44:00,13:41:00,14:31:00,        ,15:39:00,16:24:00,        ,17:48:00,18:21:00,19:29:00,20:41:00,21:14:00,22:09:00,23:47:00,        ,        ,        ,        
,5:44:30,7:01:30,8:13:30,,9:31:30,,10:53:30,11:55:30,12:44:30,13:41:30,14:31:30,,15:39:30,16:24:30,,17:48:30,18:21:30,19:29:30,20:41:30,21:14:30,22:09:30,23:47:30,,,,
디엠시,5:46:30,7:03:30,8:15:30,        ,9:33:30,        ,10:55:30,11:57:30,12:46:30,13:43:30,14:33:30,        ,15:41:30,16:26:30,        ,17:50:30,18:23:30,19:31:30,20:43:30,21:16:30,22:11:30,23:49:30,        ,        ,        ,        
,5:47:00,7:04:00,8:16:00,,9:34:00,,10:56:00,11:58:00,12:47:00,13:44:00,14:34:00,,15:42:00,16:27:00,,17:51:00,18:24:00,19:32:00,20:44:00,21:17:00,22:12:00,23:50:00,,,,
수색,5:48:30,7:05:30,8:17:30,        ,9:35:30,        ,10:57:30,11:59:30,12:48:30,13:45:30,14:35:30,        ,15:43:30,16:28:30,        ,17:52:30,18:25:30,19:33:30,20:45:30,21:18:30,22:13:30,23:51:30,        ,        ,        ,        
,5:49:00,7:06:00,8:18:00,,9:36:00,,10:58:00,12:00:00,12:49:00,13:46:00,14:36:00,,15:44:00,16:29:00,,17:53:00,18:26:00,19:34:00,20:46:00,21:19:00,22:14:00,23:52:00,,,,
화전,5:52:00,7:09:00,8:21:00,        ,9:39:00,        ,11:01:00,12:03:00,12:52:00,13:49:00,14:39:00,        ,15:47:00,16:32:00,        ,17:56:00,18:29:00,19:37:00,20:49:00,21:22:00,22:17:00,23:55:00,        ,        ,        ,        
,5:52:30,7:09:30,8:21:30,,9:39:30,,11:01:30,12:03:30,12:52:30,13:49:30,14:39:30,,15:47:30,16:32:30,,17:56:30,18:29:30,19:37:30,20:49:30,21:22:30,22:17:30,23:55:30,,,,
강매,5:55:00,7:12:00,8:24:00,        ,9:42:00,        ,11:04:00,12:06:00,12:55:00,13:52:00,14:42:00,        ,15:50:00,16:35:00,        ,17:59:00,18:32:00,19:40:00,20:52:00,21:25:00,22:20:00,23:58:00,        ,        ,        ,        
,5:55:30,7:12:30,8:24:30,,9:42:30,,11:04:30,12:06:30,12:55:30,13:52:30,14:42:30,,15:50:30,16:35:30,,17:59:30,18:32:30,19:40:30,20:52:30,21:25:30,22:20:30,23:58:30,,,,
행신,5:57:00,7:14:00,8:26:00,        ,9:44:00,        ,11:06:00,12:08:00,12:57:00,13:54:00,14:44:00,        ,15:52:00,16:37:00,        ,18:01:00,18:34:00,19:42:00,20:54:00,21:27:00,22:22:00,0:00:00,        ,        ,        ,        
,5:57:30,7:14:30,8:26:30,,9:44:30,,11:06:30,12:08:30,12:57:30,13:54:30,14:44:30,,15:52:30,16:37:30,,18:01:30,18:34:30,19:42:30,20:54:30,21:27:30,22:22:30,0:00:30,,,,
능곡,5:59:30,7:16:30,8:28:30,        ,9:46:30,        ,11:08:30,12:10:30,12:59:30,13:56:30,14:46:30,        ,15:54:30,16:39:30,        ,18:03:30,18:36:30,19:44:30,20:56:30,21:29:30,22:24:30,0:02:30,        ,        ,        ,        
,6:00:30,7:17:30,8:29:30,,9:47:30,,11:09:30,12:11:30,13:00:30,13:57:30,14:47:30,,15:55:30,16:40:30,,18:04:30,18:37:30,19:45:30,20:57:30,21:30:30,22:25:30,0:03:30,,,,
대곡,6:02:30,7:19:30,8:31:30,        ,9:49:30,        ,11:11:30,12:13:30,13:02:30,13:59:30,14:49:30,        ,15:57:30,16:42:30,        ,18:06:30,18:39:30,19:47:30,20:59:30,21:32:30,22:27:30,0:05:30,        ,        ,        ,        
