시발역,부발,여주,부발,여주,부발,여주,부발,여주,부발,여주,부발,여주,부발,여주,여주,여주,부발,여주,여주,여주,여주,여주,여주,여주,여주,여주,여주,여주,여주,여주,여주,부발,여주,여주,여주,부발,여주,여주,여주,부발,여주,여주,여주,여주,부발,여주,여주,부발,여주,여주,여주,여주,여주,부발,여주,여주,여주,여주,여주,여주,,,,,
종착역,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,신판교,,,,,
열차번호,K7502,K7504,K7506,K7508,K7510,K7512,K7514,K7516,K7518,K7520,K7522,K7524,K7526,K7528,K7530,K7532,K7534,K7536,K7538,K7540,K7542,K7544,K7546,K7548,K7550,K7552,K7554,K7556,K7558,K7560,K7562,K7564,K7566,K7568,K7570,K7572,K7574,K7576,K7578,K7580,K7582,K7584,K7586,K7588,K7590,K7592,K7594,K7596,K7598,K7600,K7602,K7604,K7606,K7608,K7610,K7612,K7614,K7616,K7618,K7620,,,,,
여주,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
,,5:34:00,,6:05:00,,6:31:00,,6:56:00,,7:21:00,,7:46:00,,8:15:00,8:34:00,8:51:00,,9:30:00,9:50:00,10:12:00,10:32:00,10:51:00,11:12:00,11:31:00,11:52:00,12:12:00,12:33:00,12:51:00,13:10:00,13:31:00,13:50:00,,14:27:00,14:50:00,15:10:00,,15:48:00,16:06:00,16:21:00,,16:51:00,17:08:00,17:25:00,17:43:00,,18:16:00,18:32:00,,19:05:00,19:24:00,19:42:00,20:00:00,20:18:00,,20:52:00,21:10:00,21:40:00,22:10:00,22:42:00,23:22:00,,,,,
세종릉,        ,5:38:30,        ,6:09:30,        ,6:35:30,        ,7:00:30,        ,7:25:30,        ,7:50:30,        ,8:19:30,8:38:30,8:55:30,        ,9:34:30,9:54:30,10:16:30,10:36:30,10:55:30,11:16:30,11:35:30,11:56:30,12:16:30,12:37:30,12:55:30,13:14:30,13:35:30,13:54:30,        ,14:31:30,14:54:30,15:14:30,        ,15:52:30,16:10:30,16:25:30,        ,16:55:30,17:12:30,17:29:30,17:47:30,        ,18:20:30,18:36:30,        ,19:09:30,19:28:30,19:46:30,20:04:30,20:22:30,        ,20:56:30,21:14:30,21:44:30,22:14:30,22:46:30,23:26:30,        ,        ,        ,        ,        
,,5:39:00,,6:10:00,,6:36:00,,7:01:00,,7:26:00,,7:51:00,,8:20:00,8:39:00,8:56:00,,9:35:00,9:55:00,10:17:00,10:37:00,10:56:00,11:17:00,11:36:00,11:57:00,12:17:00,12:38:00,12:56:00,13:15:00,13:36:00,13:55:00,,14:32:00,14:55:00,15:15:00,,15:53:00,16:11:00,16:26:00,,16:56:00,17:13:00,17:30:00,17:48:00,,18:21:00,18:37:00,,19:10:00,19:29:00,19:47:00,20:05:00,20:23:00,,20:57:00,21:15:00,21:45:00,22:15:00,22:47:00,23:27:00,,,,,
부발,        ,5:45:00,        ,6:16:00,        ,6:42:00,        ,7:07:00,        ,7:32:00,        ,7:57:00,        ,8:26:00,8:45:00,9:02:00,        ,9:41:00,10:01:00,10:23:00,10:43:00,11:02:00,11:23:00,11:42:00,12:03:00,12:23:00,12:44:00,13:02:00,13:21:00,13:42:00,14:01:00,        ,14:38:00,15:01:00,15:21:00,        ,15:59:00,16:17:00,16:32:00,        ,17:02:00,17:19:00,17:36:00,17:54:00,        ,18:27:00,18:43:00,        ,19:16:00,19:35:00,19:53:00,20:11:00,20:29:00,        ,21:03:00,21:21:00,21:51:00,22:21:00,22:53:00,23:33:00,        ,        ,        ,        ,        
,5:30:00,5:45:30,6:00:00,6:16:30,6:30:00,6:42:30,6:55:00,7:07:30,7:20:00,7:32:30,7:45:00,7:57:30,8:12:00,8:26:30,8:45:30,9:02:30,9:22:00,9:41:30,10:01:30,10:23:30,10:43:30,11:02:30,11:23:30,11:42:30,12:03:30,12:23:30,12:44:30,13:02:30,13:21:30,13:42:30,14:01:30,14:21:00,14:38:30,15:01:30,15:21:30,15:41:00,15:59:30,16:17:30,16:32:30,16:48:00,17:02:30,17:19:30,17:36:30,17:54:30,18:11:00,18:27:30,18:43:30,18:59:00,19:16:30,19:35:30,19:53:30,20:11:30,20:29:30,20:47:00,21:03:30,21:21:30,21:51:30,22:21:30,22:53:30,23:33:30,,,,,
이천,5:33:30,5:49:00,6:03:30,6:20:00,6:33:30,6:46:00,6:58:30,7:11:00,7:23:30,7:36:00,7:48:30,8:01:00,8:15:30,8:30:00,8:49:00,9:06:00,9:25:30,9:45:00,10:05:00,10:27:00,10:47:00,11:06:00,11:27:00,11:46:00,12:07:00,12:27:00,12:48:00,13:06:00,13:25:00,13:46:00,14:05:00,14:24:30,14:42:00,15:05:00,15:25:00,15:44:30,16:03:00,16:21:00,16:36:00,16:51:30,17:06:00,17:23:00,17:40:00,17:58:00,18:14:30,18:31:00,18:47:00,19:02:30,19:20:00,19:39:00,19:57:00,20:15:00,20:33:00,20:50:30,21:07:00,21:25:00,21:55:00,22:25:00,22:57:00,23:37:00,        ,        ,        ,        ,        
,5:34:00,5:49:30,6:04:00,6:20:30,6:34:00,6:46:30,6:59:00,7:11:30,7:24:00,7:36:30,7:49:00,8:01:30,8:16:00,8:30:30,8:49:30,9:06:30,9:26:00,9:45:30,10:05:30,10:27:30,10:47:30,11:06:30,11:27:30,11:46:30,12:07:30,12:27:30,12:48:30,13:06:30,13:25:30,13:46:30,14:05:30,14:25:00,14:42:30,15:05:30,15:25:30,15:45:00,16:03:30,16:21:30,16:36:30,16:52:00,17:06:30,17:23:30,17:40:30,17:58:30,18:15:00,18:31:30,18:47:30,19:03:00,19:20:30,19:39:30,19:57:30,20:15:30,20:33:30,20:51:00,21:07:30,21:25:30,21:55:30,22:25:30,22:57:30,23:37:30,,,,,
