시발역,상봉,상봉,상봉,상봉,청량리,상봉,청량리,상봉,상봉,상봉,상봉,청량리,상봉,청량리,청량리,상봉,상봉,상봉,상봉,청량리,상봉,상봉,상봉,상봉,상봉,상봉,상봉,청량리,상봉,상봉,상봉,상봉,상봉,청량리,상봉,상봉,상봉,상봉,상봉,청량리,상봉,상봉,청량리,,,,,,,,,
종착역,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,춘천,평내호,,,,,,,,,
열차번호,K8001,K8003,K8005,K8007,K8009,K8011,K8013,K8015,K8017,K8019,K8021,K8023,K8025,K8027,K8029,K8031,K8033,K8035,K8037,K8039,K8041,K8043,K8045,K8047,K8049,K8051,K8053,K8055,K8057,K8059,K8061,K8063,K8065,K8067,K8069,K8071,K8073,K8075,K8077,K8079,K8081,K8083,K8085,,,,,,,,,
청량리,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
,,,,,7:16:00,,7:57:00,,,,,10:09:00,,11:04:00,11:27:00,,,,,13:30:00,,,,,,,,16:51:00,,,,,,19:28:00,,,,,,22:06:00,,,23:40:00,,,,,,,,,
회기,        ,        ,        ,        ,7:19:00,        ,8:00:00,        ,        ,        ,        ,10:12:00,        ,11:07:00,11:30:00,        ,        ,        ,        ,13:33:00,        ,        ,        ,        ,        ,        ,        ,16:54:00,        ,        ,        ,        ,        ,19:31:00,        ,        ,        ,        ,        ,22:09:00,        ,        ,23:43:00,        ,        ,        ,        ,        ,        ,        ,        ,        
,,,,,7:19:30,,8:00:30,,,,,10:12:30,,11:07:30,11:30:30,,,,,13:33:30,,,,,,,,16:54:30,,,,,,19:31:30,,,,,,22:09:30,,,23:43:30,,,,,,,,,
중랑,        ,        ,        ,        ,7:22:00,        ,8:03:00,        ,        ,        ,        ,10:15:00,        ,11:10:00,11:33:00,        ,        ,        ,        ,13:36:00,        ,        ,        ,        ,        ,        ,        ,16:57:00,        ,        ,        ,        ,        ,19:34:00,        ,        ,        ,        ,        ,22:12:00,        ,        ,23:46:00,        ,        ,        ,        ,        ,        ,        ,        ,        
,,,,,7:22:30,,8:03:30,,,,,10:15:30,,11:11:00,11:33:30,,,,,13:36:30,,,,,,,,16:57:30,,,,,,19:34:30,,,,,,22:12:30,,,23:46:30,,,,,,,,,
상봉,        ,        ,        ,        ,7:24:30,        ,8:05:30,        ,        ,        ,        ,10:17:30,        ,11:13:00,11:35:30,        ,        ,        ,        ,13:38:30,        ,        ,        ,        ,        ,        ,        ,16:59:30,        ,        ,        ,        ,        ,19:36:30,        ,        ,        ,        ,        ,22:14:30,        ,        ,23:48:30,        ,        ,        ,        ,        ,        ,        ,        ,        
,5:30:00,6:00:00,6:25:00,6:53:00,7:25:00,7:44:00,8:06:00,8:30:00,8:59:00,9:25:00,9:50:00,10:18:00,10:42:00,11:13:30,11:36:00,11:56:00,12:16:00,12:40:00,13:09:00,13:39:00,14:05:00,14:25:00,14:54:00,15:24:00,15:43:00,16:03:00,16:28:00,17:00:00,17:14:00,17:43:00,18:09:00,18:35:00,19:04:00,19:37:00,19:58:00,20:18:00,20:40:00,21:04:00,21:35:00,22:15:00,22:45:00,23:12:00,23:49:00,,,,,,,,,
망우,5:31:30,6:01:30,6:26:30,6:54:30,7:26:30,7:45:30,8:07:30,8:31:30,9:00:30,9:26:30,9:51:30,10:19:30,10:43:30,11:15:00,11:37:30,11:57:30,12:17:30,12:41:30,13:10:30,13:40:30,14:06:30,14:26:30,14:55:30,15:25:30,15:44:30,16:04:30,16:29:30,17:01:30,17:15:30,17:44:30,18:10:30,18:36:30,19:05:30,19:38:30,19:59:30,20:19:30,20:41:30,21:05:30,21:36:30,22:16:30,22:46:30,23:13:30,23:50:30,        ,        ,        ,        ,        ,        ,        ,        ,        
,5:32:00,6:02:00,6:27:00,6:55:00,7:27:00,7:46:00,8:08:00,8:32:00,9:01:00,9:27:00,9:52:00,10:20:00,10:44:00,11:15:30,11:38:00,11:58:00,12:18:00,12:42:00,13:11:00,13:41:00,14:07:00,14:27:00,14:56:00,15:26:00,15:45:00,16:05:00,16:30:00,17:02:00,17:16:00,17:45:00,18:11:00,18:37:00,19:06:00,19:39:00,20:00:00,20:20:00,20:42:00,21:06:00,21:37:00,22:17:30,22:47:00,23:14:00,23:51:00,,,,,,,,,
신내,5:34:30,6:04:30,6:29:30,6:57:30,7:29:30,7:48:30,8:10:30,8:34:30,9:03:30,9:29:30,9:54:30,10:22:30,10:46:30,11:18:00,11:40:30,12:00:30,12:20:30,12:44:30,13:13:30,13:43:30,14:09:30,14:29:30,14:58:30,15:28:30,15:47:30,16:07:30,16:32:30,17:04:30,17:18:30,17:47:30,18:13:30,18:39:30,19:08:30,19:41:30,20:02:30,20:22:30,20:44:30,21:08:30,21:39:30,22:20:00,22:49:30,23:16:30,23:53:30,        ,        ,        ,        ,        ,        ,        ,        ,        
,5:35:00,6:05:00,6:30:00,6:58:00,7:30:00,7:49:00,8:11:00,8:35:00,9:04:00,9:30:00,9:55:00,10:23:00,10:47:00,11:18:30,11:41:00,12:01:00,12:21:00,12:45:00,13:14:00,13:44:00,14:10:00,14:30:00,14:59:00,15:29:00,15:48:00,16:08:00,16:33:00,17:05:00,17:19:00,17:48:00,18:14:00,18:40:00,19:09:00,19:42:00,20:03:00,20:23:00,20:45:00,21:09:00,21:40:00,22:20:30,22:50:00,23:17:00,23:54:00,,,,,,,,,
갈매,5:38:00,6:08:00,6:33:00,7:01:00,7:33:00,7:52:00,8:14:00,8:38:00,9:07:00,9:33:00,9:58:00,10:26:00,10:50:00,11:21:30,11:44:00,12:04:00,12:24:00,12:48:00,13:17:00,13:47:00,14:13:00,14:33:00,15:02:00,15:32:00,15:51:00,16:11:00,16:36:00,17:08:00,17:22:00,17:51:00,18:17:00,18:43:00,19:12:00,19:45:00,20:06:00,20:26:00,20:48:00,21:12:00,21:43:00,22:23:30,22:53:00,23:20:00,23:57:00,        ,        ,        ,        ,        ,        ,        ,        ,        
,5:38:30,6:08:30,6:33:30,7:01:30,7:33:30,7:52:30,8:14:30,8:38:30,9:07:30,9:33:30,9:58:30,10:26:30,10:50:30,11:22:00,11:44:30,12:04:30,12:24:30,12:48:30,13:17:30,13:47:30,14:13:30,14:33:30,15:02:30,15:32:30,15:51:30,16:11:30,16:36:30,17:08:30,17:22:30,17:51:30,18:17:30,18:43:30,19:12:30,19:45:30,20:06:30,20:26:30,20:48:30,21:12:30,21:43:30,22:24:00,22:53:30,23:20:30,23:57:30,,,,,,,,,
별내,5:40:00,6:10:00,6:35:00,7:03:00,7:35:00,7:54:00,8:16:00,8:40:00,9:09:00,9:35:00,10:00:00,10:28:00,10:52:00,11:23:30,11:46:00,12:06:00,12:26:00,12:50:00,13:19:00,13:49:00,14:15:00,14:35:00,15:04:00,15:34:00,15:53:00,16:13:00,16:38:00,17:10:00,17:24:00,17:53:00,18:19:00,18:45:00,19:14:00,19:47:00,20:08:00,20:28:00,20:50:00,21:14:00,21:45:00,22:25:30,22:55:00,23:22:00,23:59:00,        ,        ,        ,        ,        ,        ,        ,        ,        
,5:40:30,6:10:30,6:35:30,7:03:30,7:35:30,7:54:30,8:16:30,8:40:30,9:09:30,9:35:30,10:00:30,10:28:30,10:52:30,11:24:00,11:46:30,12:06:30,12:26:30,12:50:30,13:19:30,13:49:30,14:15:30,14:35:30,15:04:30,15:34:30,15:53:30,16:13:30,16:38:30,17:10:30,17:24:30,17:53:30,18:19:30,18:45:30,19:14:30,19:47:30,20:08:30,20:28:30,20:50:30,21:14:30,21:45:30,22:26:00,22:55:30,23:22:30,23:59:30,,,,,,,,,
퇴계원,5:42:30,6:12:30,6:37:30,7:05:30,7:37:30,7:56:30,8:18:30,8:42:30,9:11:30,9:37:30,10:02:30,10:30:30,10:54:30,11:26:00,11:48:30,12:08:30,12:28:30,12:52:30,13:21:30,13:51:30,14:17:30,14:37:30,15:06:30,15:36:30,15:55:30,16:15:30,16:40:30,17:12:30,17:26:30,17:55:30,18:21:30,18:47:30,19:16:30,19:49:30,20:10:30,20:30:30,20:52:30,21:16:30,21:47:30,22:28:00,22:57:30,23:24:30,0:01:30,        ,        ,        ,        ,        ,        ,        ,        ,        
,5:43:00,6:13:00,6:38:00,7:06:00,7:38:00,7:57:00,8:19:00,8:43:00,9:12:00,9:38:00,10:03:00,10:31:00,10:58:30,11:26:30,11:49:00,12:09:00,12:33:00,12:53:00,13:22:00,13:52:00,14:18:00,14:38:00,15:07:00,15:37:00,15:56:00,16:19:30,16:41:00,17:13:00,17:30:30,17:56:00,18:22:00,18:48:00,19:17:00,19:50:00,20:11:00,20:34:30,20:53:00,21:17:00,21:52:30,22:28:30,22:58:00,23:25:00,0:02:00,,,,,,,,,
사릉,5:46:00,6:16:00,6:41:00,7:09:00,7:41:00,8:00:00,8:22:00,8:46:00,9:15:00,9:41:00,10:06:00,10:34:00,11:01:30,11:29:30,11:52:00,12:12:00,12:36:00,12:56:00,13:25:00,13:55:00,14:21:00,14:41:00,15:10:00,15:40:00,15:59:00,16:22:30,16:44:00,17:16:00,17:33:30,17:59:00,18:25:00,18:51:00,19:20:00,19:53:00,20:14:00,20:37:30,20:56:00,21:20:00,21:55:30,22:31:30,23:01:00,23:28:00,0:05:00,        ,        ,        ,        ,        ,        ,        ,        ,        
,5:46:30,6:16:30,6:41:30,7:09:30,7:41:30,8:00:30,8:22:30,8:46:30,9:15:30,9:41:30,10:06:30,10:34:30,11:02:00,11:34:30,11:52:30,12:12:30,12:36:30,12:56:30,13:25:30,13:55:30,14:21:30,14:41:30,15:10:30,15:40:30,15:59:30,16:23:00,16:44:30,17:16:30,17:34:00,18:03:30,18:25:30,18:51:30,19:20:30,19:53:30,20:14:30,20:38:00,20:56:30,21:20:30,21:56:00,22:32:00,23:01:30,23:28:30,0:05:30,,,,,,,,,
금곡,5:49:30,6:19:30,6:44:30,7:12:30,7:44:30,8:03:30,8:25:30,8:49:30,9:18:30,9:44:30,10:09:30,10:37:30,11:05:00,11:37:30,11:55:30,12:15:30,12:39:30,12:59:30,13:28:30,13:58:30,14:24:30,14:44:30,15:13:30,15:43:30,16:02:30,16:26:00,16:47:30,17:19:30,17:37:00,18:06:30,18:28:30,18:54:30,19:23:30,19:56:30,20:17:30,20:41:00,20:59:30,21:23:30,21:59:00,22:35:00,23:04:30,23:31:30,0:08:30,        ,        ,        ,        ,        ,        ,        ,        ,        
