,노선명,외부코드,역번호,역사명,열차번호,도착시간,출발역번호,도착역번호,출발역사명,도착역사명,요일,방향,급행선
0,경강선,,,여주,K7504,05:34,,,여주,신판교,1,1,G
1,경강선,,,여주,K7508,06:05,,,여주,신판교,1,1,G
2,경강선,,,여주,K7512,06:31,,,여주,신판교,1,1,G
3,경강선,,,여주,K7516,06:56,,,여주,신판교,1,1,G
4,경강선,,,여주,K7520,07:21,,,여주,신판교,1,1,G
5,경강선,,,여주,K7524,07:46,,,여주,신판교,1,1,G
6,경강선,,,여주,K7528,08:15,,,여주,신판교,1,1,G
7,경강선,,,여주,K7530,08:34,,,여주,신판교,1,1,G
8,경강선,,,여주,K7532,08:51,,,여주,신판교,1,1,G
9,경강선,,,여주,K7536,09:30,,,여주,신판교,1,1,G
10,경강선,,,여주,K7538,09:50,,,여주,신판교,1,1,G
11,경강선,,,여주,K7540,10:12,,,여주,신판교,1,1,G
12,경강선,,,여주,K7542,10:32,,,여주,신판교,1,1,G
13,경강선,,,여주,K7544,10:51,,,여주,신판교,1,1,G
14,경강선,,,여주,K7546,11:12,,,여주,신판교,1,1,G
15,경강선,,,여주,K7548,11:31,,,여주,신판교,1,1,G
16,경강선,,,여주,K7550,11:52,,,여주,신판교,1,1,G
17,경강선,,,여주,K7552,12:12,,,여주,신판교,1,1,G
18,경강선,,,여주,K7554,12:33,,,여주,신판교,1,1,G
19,경강선,,,여주,K7556,12:51,,,여주,신판교,1,1,G
20,경강선,,,여주,K7558,13:10,,,여주,신판교,1,1,G
21,경강선,,,여주,K7560,13:31,,,여주,신판교,1,1,G
22,경강선,,,여주,K7562,13:50,,,여주,신판교,1,1,G
23,경강선,,,여주,K7566,14:27,,,여주,신판교,1,1,G
24,경강선,,,여주,K7568,14:50,,,여주,신판교,1,1,G
25,경강선,,,여주,K7570,15:10,,,여주,신판교,1,1,G
26,경강선,,,여주,K7574,15:48,,,여주,신판교,1,1,G
27,경강선,,,여주,K7576,16:06,,,여주,신판교,1,1,G
28,경강선,,,여주,K7578,16:21,,,여주,신판교,1,1,G
29,경강선,,,여주,K7582,16:51,,,여주,신판교,1,1,G
30,경강선,,,여주,K7584,17:08,,,여주,신판교,1,1,G
31,경강선,,,여주,K7586,17:25,,,여주,신판교,1,1,G
32,경강선,,,여주,K7588,17:43,,,여주,신판교,1,1,G
33,경강선,,,여주,K7592,18:16,,,여주,신판교,1,1,G
34,경강선,,,여주,K7594,18:32,,,여주,신판교,1,1,G
35,경강선,,,여주,K7598,19:05,,,여주,신판교,1,1,G
36,경강선,,,여주,K7600,19:24,,,여주,신판교,1,1,G
37,경강선,,,여주,K7602,19:42,,,여주,신판교,1,1,G
38,경강선,,,여주,K7604,20:00,,,여주,신판교,1,1,G
39,경강선,,,여주,K7606,20:18,,,여주,신판교,1,1,G
40,경강선,,,여주,K7610,20:52,,,여주,신판교,1,1,G
41,경강선,,,여주,K7612,21:10,,,여주,신판교,1,1,G
42,경강선,,,여주,K7614,21:40,,,여주,신판교,1,1,G
43,경강선,,,여주,K7616,22:10,,,여주,신판교,1,1,G
44,경강선,,,여주,K7618,22:42,,,여주,신판교,1,1,G
45,경강선,,,여주,K7620,23:22,,,여주,신판교,1,1,G
46,경강선,,,세종릉,K7504,05:38,,,여주,신판교,1,1,G
47,경강선,,,세종릉,K7508,06:09,,,여주,신판교,1,1,G
48,경강선,,,세종릉,K7512,06:35,,,여주,신판교,1,1,G
49,경강선,,,세종릉,K7516,07:00,,,여주,신판교,1,1,G
50,경강선,,,세종릉,K7520,07:25,,,여주,신판교,1,1,G
51,경강선,,,세종릉,K7524,07:50,,,여주,신판교,1,1,G
52,경강선,,,세종릉,K7528,08:19,,,여주,신판교,1,1,G
53,경강선,,,세종릉,K7530,08:38,,,여주,신판교,1,1,G
54,경강선,,,세종릉,K7532,08:55,,,여주,신판교,1,1,G
55,경강선,,,세종릉,K7536,09:34,,,여주,신판교,1,1,G
56,경강선,,,세종릉,K7538,09:54,,,여주,신판교,1,1,G
57,경강선,,,세종릉,K7540,10:16,,,여주,신판교,1,1,G
58,경강선,,,세종릉,K7542,10:36,,,여주,신판교,1,1,G
59,경강선,,,세종릉,K7544,10:55,,,여주,신판교,1,1,G
60,경강선,,,세종릉,K7546,11:16,,,여주,신판교,1,1,G
61,경강선,,,세종릉,K7548,11:35,,,여주,신판교,1,1,G
62,경강선,,,세종릉,K7550,11:56,,,여주,신판교,1,1,G
63,경강선,,,세종릉,K7552,12:16,,,여주,신판교,1,1,G
64,경강선,,,세종릉,K7554,12:37,,,여주,신판교,1,1,G
65,경강선,,,세종릉,K7556,12:55,,,여주,신판교,1,1,G
66,경강선,,,세종릉,K7558,13:14,,,여주,신판교,1,1,G
67,경강선,,,세종릉,K7560,13:35,,,여주,신판교,1,1,G
68,경강선,,,세종릉,K7562,13:54,,,여주,신판교,1,1,G
69,경강선,,,세종릉,K7566,14:31,,,여주,신판교,1,1,G
70,경강선,,,세종릉,K7568,14:54,,,여주,신판교,1,1,G
71,경강선,,,세종릉,K7570,15:14,,,여주,신판교,1,1,G
72,경강선,,,세종릉,K7574,15:52,,,여주,신판교,1,1,G
73,경강선,,,세종릉,K7576,16:10,,,여주,신판교,1,1,G
74,경강선,,,세종릉,K7578,16:25,,,여주,신판교,1,1,G
75,경강선,,,세종릉,K7582,16:55,,,여주,신판교,1,1,G
76,경강선,,,세종릉,K7584,17:12,,,여주,신판교,1,1,G
77,경강선,,,세종릉,K7586,17:29,,,여주,신판교,1,1,G
78,경강선,,,세종릉,K7588,17:47,,,여주,신판교,1,1,G
79,경강선,,,세종릉,K7592,18:20,,,여주,신판교,1,1,G
80,경강선,,,세종릉,K7594,18:36,,,여주,신판교,1,1,G
81,경강선,,,세종릉,K7598,19:09,,,여주,신판교,1,1,G
82,경강선,,,세종릉,K7600,19:28,,,여주,신판교,1,1,G
83,경강선,,,세종릉,K7602,19:46,,,여주,신판교,1,1,G
84,경강선,,,세종릉,K7604,20:04,,,여주,신판교,1,1,G
85,경강선,,,세종릉,K7606,20:22,,,여주,신판교,1,1,G
86,경강선,,,세종릉,K7610,20:56,,,여주,신판교,1,1,G
87,경강선,,,세종릉,K7612,21:14,,,여주,신판교,1,1,G
88,경강선,,,세종릉,K7614,21:44,,,여주,신판교,1,1,G
89,경강선,,,세종릉,K7616,22:14,,,여주,신판교,1,1,G
90,경강선,,,세종릉,K7618,22:46,,,여주,신판교,1,1,G
91,경강선,,,세종릉,K7620,23:26,,,여주,신판교,1,1,G
92,경강선,,,부발,K7502,05:30,,,부발,신판교,1,1,G
93,경강선,,,부발,K7504,05:45,,,여주,신판교,1,1,G
94,경강선,,,부발,K7506,06:00,,,부발,신판교,1,1,G
95,경강선,,,부발,K7508,06:16,,,여주,신판교,1,1,G
96,경강선,,,부발,K7510,06:30,,,부발,신판교,1,1,G
97,경강선,,,부발,K7512,06:42,,,여주,신판교,1,1,G
98,경강선,,,부발,K7514,06:55,,,부발,신판교,1,1,G
99,경강선,,,부발,K7516,07:07,,,여주,신판교,1,1,G
100,경강선,,,부발,K7518,07:20,,,부발,신판교,1,1,G
101,경강선,,,부발,K7520,07:32,,,여주,신판교,1,1,G
102,경강선,,,부발,K7522,07:45,,,부발,신판교,1,1,G
103,경강선,,,부발,K7524,07:57,,,여주,신판교,1,1,G
104,경강선,,,부발,K7526,08:12,,,부발,신판교,1,1,G
105,경강선,,,부발,K7528,08:26,,,여주,신판교,1,1,G
106,경강선,,,부발,K7530,08:45,,,여주,신판교,1,1,G
107,경강선,,,부발,K7532,09:02,,,여주,신판교,1,1,G
108,경강선,,,부발,K7534,09:22,,,부발,신판교,1,1,G
109,경강선,,,부발,K7536,09:41,,,여주,신판교,1,1,G
110,경강선,,,부발,K7538,10:01,,,여주,신판교,1,1,G
111,경강선,,,부발,K7540,10:23,,,여주,신판교,1,1,G
112,경강선,,,부발,K7542,10:43,,,여주,신판교,1,1,G
113,경강선,,,부발,K7544,11:02,,,여주,신판교,1,1,G
114,경강선,,,부발,K7546,11:23,,,여주,신판교,1,1,G
115,경강선,,,부발,K7548,11:42,,,여주,신판교,1,1,G
116,경강선,,,부발,K7550,12:03,,,여주,신판교,1,1,G
117,경강선,,,부발,K7552,12:23,,,여주,신판교,1,1,G
118,경강선,,,부발,K7554,12:44,,,여주,신판교,1,1,G
119,경강선,,,부발,K7556,13:02,,,여주,신판교,1,1,G
120,경강선,,,부발,K7558,13:21,,,여주,신판교,1,1,G
121,경강선,,,부발,K7560,13:42,,,여주,신판교,1,1,G
122,경강선,,,부발,K7562,14:01,,,여주,신판교,1,1,G
123,경강선,,,부발,K7564,14:21,,,부발,신판교,1,1,G
124,경강선,,,부발,K7566,14:38,,,여주,신판교,1,1,G
125,경강선,,,부발,K7568,15:01,,,여주,신판교,1,1,G
126,경강선,,,부발,K7570,15:21,,,여주,신판교,1,1,G
127,경강선,,,부발,K7572,15:41,,,부발,신판교,1,1,G
128,경강선,,,부발,K7574,15:59,,,여주,신판교,1,1,G
129,경강선,,,부발,K7576,16:17,,,여주,신판교,1,1,G
130,경강선,,,부발,K7578,16:32,,,여주,신판교,1,1,G
131,경강선,,,부발,K7580,16:48,,,부발,신판교,1,1,G
132,경강선,,,부발,K7582,17:02,,,여주,신판교,1,1,G
133,경강선,,,부발,K7584,17:19,,,여주,신판교,1,1,G
134,경강선,,,부발,K7586,17:36,,,여주,신판교,1,1,G
135,경강선,,,부발,K7588,17:54,,,여주,신판교,1,1,G
136,경강선,,,부발,K7590,18:11,,,부발,신판교,1,1,G
137,경강선,,,부발,K7592,18:27,,,여주,신판교,1,1,G
138,경강선,,,부발,K7594,18:43,,,여주,신판교,1,1,G
139,경강선,,,부발,K7596,18:59,,,부발,신판교,1,1,G
140,경강선,,,부발,K7598,19:16,,,여주,신판교,1,1,G
141,경강선,,,부발,K7600,19:35,,,여주,신판교,1,1,G
142,경강선,,,부발,K7602,19:53,,,여주,신판교,1,1,G
143,경강선,,,부발,K7604,20:11,,,여주,신판교,1,1,G
144,경강선,,,부발,K7606,20:29,,,여주,신판교,1,1,G
145,경강선,,,부발,K7608,20:47,,,부발,신판교,1,1,G
146,경강선,,,부발,K7610,21:03,,,여주,신판교,1,1,G
147,경강선,,,부발,K7612,21:21,,,여주,신판교,1,1,G
148,경강선,,,부발,K7614,21:51,,,여주,신판교,1,1,G
149,경강선,,,부발,K7616,22:21,,,여주,신판교,1,1,G
150,경강선,,,부발,K7618,22:53,,,여주,신판교,1,1,G
151,경강선,,,부발,K7620,23:33,,,여주,신판교,1,1,G
152,경강선,,,이천,K7502,05:33,,,부발,신판교,1,1,G
153,경강선,,,이천,K7504,05:49,,,여주,신판교,1,1,G
154,경강선,,,이천,K7506,06:03,,,부발,신판교,1,1,G
155,경강선,,,이천,K7508,06:20,,,여주,신판교,1,1,G
156,경강선,,,이천,K7510,06:33,,,부발,신판교,1,1,G
157,경강선,,,이천,K7512,06:46,,,여주,신판교,1,1,G
158,경강선,,,이천,K7514,06:58,,,부발,신판교,1,1,G
159,경강선,,,이천,K7516,07:11,,,여주,신판교,1,1,G
160,경강선,,,이천,K7518,07:23,,,부발,신판교,1,1,G
161,경강선,,,이천,K7520,07:36,,,여주,신판교,1,1,G
162,경강선,,,이천,K7522,07:48,,,부발,신판교,1,1,G
163,경강선,,,이천,K7524,08:01,,,여주,신판교,1,1,G
164,경강선,,,이천,K7526,08:15,,,부발,신판교,1,1,G
165,경강선,,,이천,K7528,08:30,,,여주,신판교,1,1,G
166,경강선,,,이천,K7530,08:49,,,여주,신판교,1,1,G
167,경강선,,,이천,K7532,09:06,,,여주,신판교,1,1,G
168,경강선,,,이천,K7534,09:25,,,부발,신판교,1,1,G
169,경강선,,,이천,K7536,09:45,,,여주,신판교,1,1,G
170,경강선,,,이천,K7538,10:05,,,여주,신판교,1,1,G
171,경강선,,,이천,K7540,10:27,,,여주,신판교,1,1,G
172,경강선,,,이천,K7542,10:47,,,여주,신판교,1,1,G
173,경강선,,,이천,K7544,11:06,,,여주,신판교,1,1,G
174,경강선,,,이천,K7546,11:27,,,여주,신판교,1,1,G
175,경강선,,,이천,K7548,11:46,,,여주,신판교,1,1,G
176,경강선,,,이천,K7550,12:07,,,여주,신판교,1,1,G
177,경강선,,,이천,K7552,12:27,,,여주,신판교,1,1,G
178,경강선,,,이천,K7554,12:48,,,여주,신판교,1,1,G
179,경강선,,,이천,K7556,13:06,,,여주,신판교,1,1,G
180,경강선,,,이천,K7558,13:25,,,여주,신판교,1,1,G
181,경강선,,,이천,K7560,13:46,,,여주,신판교,1,1,G
182,경강선,,,이천,K7562,14:05,,,여주,신판교,1,1,G
183,경강선,,,이천,K7564,14:24,,,부발,신판교,1,1,G
184,경강선,,,이천,K7566,14:42,,,여주,신판교,1,1,G
185,경강선,,,이천,K7568,15:05,,,여주,신판교,1,1,G
186,경강선,,,이천,K7570,15:25,,,여주,신판교,1,1,G
187,경강선,,,이천,K7572,15:44,,,부발,신판교,1,1,G
188,경강선,,,이천,K7574,16:03,,,여주,신판교,1,1,G
189,경강선,,,이천,K7576,16:21,,,여주,신판교,1,1,G
190,경강선,,,이천,K7578,16:36,,,여주,신판교,1,1,G
191,경강선,,,이천,K7580,16:51,,,부발,신판교,1,1,G
192,경강선,,,이천,K7582,17:06,,,여주,신판교,1,1,G
193,경강선,,,이천,K7584,17:23,,,여주,신판교,1,1,G
194,경강선,,,이천,K7586,17:40,,,여주,신판교,1,1,G
195,경강선,,,이천,K7588,17:58,,,여주,신판교,1,1,G
196,경강선,,,이천,K7590,18:14,,,부발,신판교,1,1,G
197,경강선,,,이천,K7592,18:31,,,여주,신판교,1,1,G
198,경강선,,,이천,K7594,18:47,,,여주,신판교,1,1,G
199,경강선,,,이천,K7596,19:02,,,부발,신판교,1,1,G
200,경강선,,,이천,K7598,19:20,,,여주,신판교,1,1,G
201,경강선,,,이천,K7600,19:39,,,여주,신판교,1,1,G
202,경강선,,,이천,K7602,19:57,,,여주,신판교,1,1,G
203,경강선,,,이천,K7604,20:15,,,여주,신판교,1,1,G
204,경강선,,,이천,K7606,20:33,,,여주,신판교,1,1,G
205,경강선,,,이천,K7608,20:50,,,부발,신판교,1,1,G
206,경강선,,,이천,K7610,21:07,,,여주,신판교,1,1,G
207,경강선,,,이천,K7612,21:25,,,여주,신판교,1,1,G
208,경강선,,,이천,K7614,21:55,,,여주,신판교,1,1,G
209,경강선,,,이천,K7616,22:25,,,여주,신판교,1,1,G
210,경강선,,,이천,K7618,22:57,,,여주,신판교,1,1,G
211,경강선,,,이천,K7620,23:37,,,여주,신판교,1,1,G
212,경강선,,,도예촌,K7502,05:39,,,부발,신판교,1,1,G
213,경강선,,,도예촌,K7504,05:55,,,여주,신판교,1,1,G
214,경강선,,,도예촌,K7506,06:09,,,부발,신판교,1,1,G
215,경강선,,,도예촌,K7508,06:26,,,여주,신판교,1,1,G
216,경강선,,,도예촌,K7510,06:39,,,부발,신판교,1,1,G
217,경강선,,,도예촌,K7512,06:52,,,여주,신판교,1,1,G
218,경강선,,,도예촌,K7514,07:04,,,부발,신판교,1,1,G
219,경강선,,,도예촌,K7516,07:17,,,여주,신판교,1,1,G
220,경강선,,,도예촌,K7518,07:29,,,부발,신판교,1,1,G
221,경강선,,,도예촌,K7520,07:42,,,여주,신판교,1,1,G
222,경강선,,,도예촌,K7522,07:54,,,부발,신판교,1,1,G
223,경강선,,,도예촌,K7524,08:07,,,여주,신판교,1,1,G
224,경강선,,,도예촌,K7526,08:21,,,부발,신판교,1,1,G
225,경강선,,,도예촌,K7528,08:36,,,여주,신판교,1,1,G
226,경강선,,,도예촌,K7530,08:55,,,여주,신판교,1,1,G
227,경강선,,,도예촌,K7532,09:12,,,여주,신판교,1,1,G
228,경강선,,,도예촌,K7534,09:31,,,부발,신판교,1,1,G
229,경강선,,,도예촌,K7536,09:51,,,여주,신판교,1,1,G
230,경강선,,,도예촌,K7538,10:11,,,여주,신판교,1,1,G
231,경강선,,,도예촌,K7540,10:33,,,여주,신판교,1,1,G
232,경강선,,,도예촌,K7542,10:53,,,여주,신판교,1,1,G
233,경강선,,,도예촌,K7544,11:12,,,여주,신판교,1,1,G
234,경강선,,,도예촌,K7546,11:33,,,여주,신판교,1,1,G
235,경강선,,,도예촌,K7548,11:52,,,여주,신판교,1,1,G
236,경강선,,,도예촌,K7550,12:13,,,여주,신판교,1,1,G
237,경강선,,,도예촌,K7552,12:33,,,여주,신판교,1,1,G
238,경강선,,,도예촌,K7554,12:54,,,여주,신판교,1,1,G
239,경강선,,,도예촌,K7556,13:12,,,여주,신판교,1,1,G
240,경강선,,,도예촌,K7558,13:31,,,여주,신판교,1,1,G
241,경강선,,,도예촌,K7560,13:52,,,여주,신판교,1,1,G
242,경강선,,,도예촌,K7562,14:11,,,여주,신판교,1,1,G
243,경강선,,,도예촌,K7564,14:30,,,부발,신판교,1,1,G
244,경강선,,,도예촌,K7566,14:48,,,여주,신판교,1,1,G
245,경강선,,,도예촌,K7568,15:11,,,여주,신판교,1,1,G
246,경강선,,,도예촌,K7570,15:31,,,여주,신판교,1,1,G
247,경강선,,,도예촌,K7572,15:50,,,부발,신판교,1,1,G
248,경강선,,,도예촌,K7574,16:09,,,여주,신판교,1,1,G
249,경강선,,,도예촌,K7576,16:27,,,여주,신판교,1,1,G
250,경강선,,,도예촌,K7578,16:42,,,여주,신판교,1,1,G
251,경강선,,,도예촌,K7580,16:57,,,부발,신판교,1,1,G
252,경강선,,,도예촌,K7582,17:12,,,여주,신판교,1,1,G
253,경강선,,,도예촌,K7584,17:29,,,여주,신판교,1,1,G
254,경강선,,,도예촌,K7586,17:46,,,여주,신판교,1,1,G
255,경강선,,,도예촌,K7588,18:04,,,여주,신판교,1,1,G
256,경강선,,,도예촌,K7590,18:20,,,부발,신판교,1,1,G
257,경강선,,,도예촌,K7592,18:37,,,여주,신판교,1,1,G
258,경강선,,,도예촌,K7594,18:53,,,여주,신판교,1,1,G
259,경강선,,,도예촌,K7596,19:08,,,부발,신판교,1,1,G
260,경강선,,,도예촌,K7598,19:26,,,여주,신판교,1,1,G
261,경강선,,,도예촌,K7600,19:45,,,여주,신판교,1,1,G
262,경강선,,,도예촌,K7602,20:03,,,여주,신판교,1,1,G
263,경강선,,,도예촌,K7604,20:21,,,여주,신판교,1,1,G
264,경강선,,,도예촌,K7606,20:39,,,여주,신판교,1,1,G
265,경강선,,,도예촌,K7608,20:56,,,부발,신판교,1,1,G
