노선명,외부코드,역번호,역사명,열차번호,도착시간,출발역번호,도착역번호,출발역사명,도착역사명,요일,방향,급행선
경의중앙선,,,임진강,K2601,10:50,,,임진강,문산,1,2,G
경의중앙선,,,임진강,K2603,17:25,,,임진강,문산,1,2,G
경의중앙선,,,운천,K2601,10:54,,,임진강,문산,1,2,G
경의중앙선,,,운천,K2603,17:29,,,임진강,문산,1,2,G
경의중앙선,,,문산,K2201,05:09,,,문산,서울,1,2,G
경의중앙선,,,문산,K2203,05:45,,,문산,서울,1,2,G
경의중앙선,,,문산,K2205,06:12,,,문산,서울,1,2,G
경의중앙선,,,문산,K2501,06:35,,,문산,서울,1,2,D
경의중앙선,,,문산,K2207,06:44,,,문산,서울,1,2,G
경의중앙선,,,문산,K2209,06:57,,,문산,서울,1,2,G
경의중앙선,,,문산,K2211,07:20,,,문산,서울,1,2,G
경의중앙선,,,문산,K2503,08:00,,,문산,서울,1,2,D
경의중앙선,,,문산,K2505,08:14,,,문산,서울,1,2,D
경의중앙선,,,문산,K2213,08:28,,,문산,서울,1,2,G
경의중앙선,,,문산,K2215,09:25,,,문산,서울,1,2,G
경의중앙선,,,문산,K2217,10:14,,,문산,서울,1,2,G
경의중앙선,,,문산,K2601,11:00,,,임진강,문산,1,2,G
경의중앙선,,,문산,K2219,11:14,,,문산,서울,1,2,G
경의중앙선,,,문산,K2507,12:16,,,문산,서울,1,2,D
경의중앙선,,,문산,K2509,13:00,,,문산,서울,1,2,D
경의중앙선,,,문산,K2221,13:43,,,문산,서울,1,2,G
경의중앙선,,,문산,K2511,14:58,,,문산,서울,1,2,D
경의중앙선,,,문산,K2513,15:50,,,문산,서울,1,2,D
경의중앙선,,,문산,K2515,16:30,,,문산,서울,1,2,D
경의중앙선,,,문산,K2223,16:41,,,문산,서울,1,2,G
경의중앙선,,,문산,K2225,17:13,,,문산,서울,1,2,G
경의중앙선,,,문산,K2603,17:35,,,임진강,문산,1,2,G
경의중앙선,,,문산,K2227,17:30,,,문산,서울,1,2,G
경의중앙선,,,문산,K2229,18:12,,,문산,서울,1,2,G
경의중앙선,,,문산,K2231,18:30,,,문산,서울,1,2,G
경의중앙선,,,문산,K2233,19:08,,,문산,서울,1,2,G
경의중앙선,,,문산,K2235,19:58,,,문산,서울,1,2,G
경의중앙선,,,문산,K2237,20:47,,,문산,서울,1,2,G
경의중앙선,,,문산,K2239,22:05,,,문산,서울,1,2,G
경의중앙선,,,문산,K2241,22:46,,,문산,서울,1,2,G
경의중앙선,,,파주,K2201,05:12,,,문산,서울,1,2,G
경의중앙선,,,파주,K2203,05:48,,,문산,서울,1,2,G
경의중앙선,,,파주,K2205,06:15,,,문산,서울,1,2,G
경의중앙선,,,파주,K2207,06:47,,,문산,서울,1,2,G
경의중앙선,,,파주,K2209,07:00,,,문산,서울,1,2,G
경의중앙선,,,파주,K2211,07:23,,,문산,서울,1,2,G
경의중앙선,,,파주,K2213,08:31,,,문산,서울,1,2,G
경의중앙선,,,파주,K2215,09:28,,,문산,서울,1,2,G
경의중앙선,,,파주,K2217,10:17,,,문산,서울,1,2,G
경의중앙선,,,파주,K2219,11:17,,,문산,서울,1,2,G
경의중앙선,,,파주,K2221,13:46,,,문산,서울,1,2,G
경의중앙선,,,파주,K2223,16:44,,,문산,서울,1,2,G
경의중앙선,,,파주,K2225,17:16,,,문산,서울,1,2,G
경의중앙선,,,파주,K2227,17:33,,,문산,서울,1,2,G
경의중앙선,,,파주,K2229,18:15,,,문산,서울,1,2,G
경의중앙선,,,파주,K2231,18:33,,,문산,서울,1,2,G
경의중앙선,,,파주,K2233,19:11,,,문산,서울,1,2,G
경의중앙선,,,파주,K2235,20:01,,,문산,서울,1,2,G
경의중앙선,,,파주,K2237,20:50,,,문산,서울,1,2,G
경의중앙선,,,파주,K2239,22:08,,,문산,서울,1,2,G
경의중앙선,,,파주,K2241,22:49,,,문산,서울,1,2,G
경의중앙선,,,월롱,K2201,05:15,,,문산,서울,1,2,G
경의중앙선,,,월롱,K2203,05:51,,,문산,서울,1,2,G
경의중앙선,,,월롱,K2205,06:18,,,문산,서울,1,2,G
경의중앙선,,,월롱,K2207,06:50,,,문산,서울,1,2,G
경의중앙선,,,월롱,K2209,07:03,,,문산,서울,1,2,G
경의중앙선,,,월롱,K2211,07:26,,,문산,서울,1,2,G
경의중앙선,,,월롱,K2213,08:34,,,문산,서울,1,2,G
경의중앙선,,,월롱,K2215,09:31,,,문산,서울,1,2,G
경의중앙선,,,월롱,K2217,10:20,,,문산,서울,1,2,G
경의중앙선,,,월롱,K2219,11:20,,,문산,서울,1,2,G
경의중앙선,,,월롱,K2221,13:49,,,문산,서울,1,2,G
경의중앙선,,,월롱,K2223,16:47,,,문산,서울,1,2,G
경의중앙선,,,월롱,K2225,17:19,,,문산,서울,1,2,G
경의중앙선,,,월롱,K2227,17:36,,,문산,서울,1,2,G
경의중앙선,,,월롱,K2229,18:18,,,문산,서울,1,2,G
경의중앙선,,,월롱,K2231,18:36,,,문산,서울,1,2,G
경의중앙선,,,월롱,K2233,19:14,,,문산,서울,1,2,G
경의중앙선,,,월롱,K2235,20:04,,,문산,서울,1,2,G
경의중앙선,,,월롱,K2237,20:53,,,문산,서울,1,2,G
경의중앙선,,,월롱,K2239,22:11,,,문산,서울,1,2,G
경의중앙선,,,월롱,K2241,22:52,,,문산,서울,1,2,G
경의중앙선,,,금촌,K2201,05:19,,,문산,서울,1,2,G
경의중앙선,,,금촌,K2203,05:55,,,문산,서울,1,2,G
경의중앙선,,,금촌,K2205,06:22,,,문산,서울,1,2,G
경의중앙선,,,금촌,K2501,06:43,,,문산,서울,1,2,D
경의중앙선,,,금촌,K2207,06:54,,,문산,서울,1,2,G
경의중앙선,,,금촌,K2209,07:07,,,문산,서울,1,2,G
경의중앙선,,,금촌,K2211,07:30,,,문산,서울,1,2,G
경의중앙선,,,금촌,K2503,08:08,,,문산,서울,1,2,D
경의중앙선,,,금촌,K2505,08:22,,,문산,서울,1,2,D
경의중앙선,,,금촌,K2213,08:38,,,문산,서울,1,2,G
경의중앙선,,,금촌,K2215,09:35,,,문산,서울,1,2,G
경의중앙선,,,금촌,K2217,10:24,,,문산,서울,1,2,G
경의중앙선,,,금촌,K2219,11:24,,,문산,서울,1,2,G
경의중앙선,,,금촌,K2507,12:24,,,문산,서울,1,2,D
경의중앙선,,,금촌,K2509,13:08,,,문산,서울,1,2,D
경의중앙선,,,금촌,K2221,13:53,,,문산,서울,1,2,G
경의중앙선,,,금촌,K2511,15:06,,,문산,서울,1,2,D
경의중앙선,,,금촌,K2513,15:58,,,문산,서울,1,2,D
경의중앙선,,,금촌,K2515,16:38,,,문산,서울,1,2,D
경의중앙선,,,금촌,K2223,16:51,,,문산,서울,1,2,G
경의중앙선,,,금촌,K2225,17:23,,,문산,서울,1,2,G
경의중앙선,,,금촌,K2227,17:40,,,문산,서울,1,2,G
경의중앙선,,,금촌,K2229,18:22,,,문산,서울,1,2,G
경의중앙선,,,금촌,K2231,18:40,,,문산,서울,1,2,G
경의중앙선,,,금촌,K2233,19:18,,,문산,서울,1,2,G
경의중앙선,,,금촌,K2235,20:08,,,문산,서울,1,2,G
경의중앙선,,,금촌,K2237,20:57,,,문산,서울,1,2,G
경의중앙선,,,금촌,K2239,22:15,,,문산,서울,1,2,G
경의중앙선,,,금촌,K2241,22:56,,,문산,서울,1,2,G
경의중앙선,,,금릉,K2201,05:22,,,문산,서울,1,2,G
경의중앙선,,,금릉,K2203,05:58,,,문산,서울,1,2,G
경의중앙선,,,금릉,K2205,06:25,,,문산,서울,1,2,G
경의중앙선,,,금릉,K2207,06:57,,,문산,서울,1,2,G
경의중앙선,,,금릉,K2209,07:10,,,문산,서울,1,2,G
경의중앙선,,,금릉,K2211,07:33,,,문산,서울,1,2,G
경의중앙선,,,금릉,K2213,08:41,,,문산,서울,1,2,G
경의중앙선,,,금릉,K2215,09:38,,,문산,서울,1,2,G
경의중앙선,,,금릉,K2217,10:27,,,문산,서울,1,2,G
경의중앙선,,,금릉,K2219,11:27,,,문산,서울,1,2,G
경의중앙선,,,금릉,K2221,13:56,,,문산,서울,1,2,G
경의중앙선,,,금릉,K2223,16:54,,,문산,서울,1,2,G
경의중앙선,,,금릉,K2225,17:26,,,문산,서울,1,2,G
경의중앙선,,,금릉,K2227,17:43,,,문산,서울,1,2,G
경의중앙선,,,금릉,K2229,18:25,,,문산,서울,1,2,G
경의중앙선,,,금릉,K2231,18:43,,,문산,서울,1,2,G
경의중앙선,,,금릉,K2233,19:21,,,문산,서울,1,2,G
경의중앙선,,,금릉,K2235,20:11,,,문산,서울,1,2,G
경의중앙선,,,금릉,K2237,21:00,,,문산,서울,1,2,G
경의중앙선,,,금릉,K2239,22:18,,,문산,서울,1,2,G
경의중앙선,,,금릉,K2241,22:59,,,문산,서울,1,2,G
경의중앙선,,,운정,K2201,05:25,,,문산,서울,1,2,G
경의중앙선,,,운정,K2203,06:01,,,문산,서울,1,2,G
경의중앙선,,,운정,K2205,06:28,,,문산,서울,1,2,G
경의중앙선,,,운정,K2501,06:49,,,문산,서울,1,2,D
경의중앙선,,,운정,K2207,07:00,,,문산,서울,1,2,G
경의중앙선,,,운정,K2209,07:13,,,문산,서울,1,2,G
경의중앙선,,,운정,K2211,07:36,,,문산,서울,1,2,G
경의중앙선,,,운정,K2503,08:14,,,문산,서울,1,2,D
경의중앙선,,,운정,K2505,08:28,,,문산,서울,1,2,D
경의중앙선,,,운정,K2213,08:44,,,문산,서울,1,2,G
경의중앙선,,,운정,K2215,09:41,,,문산,서울,1,2,G
경의중앙선,,,운정,K2217,10:30,,,문산,서울,1,2,G
경의중앙선,,,운정,K2219,11:30,,,문산,서울,1,2,G
경의중앙선,,,운정,K2507,12:30,,,문산,서울,1,2,D
경의중앙선,,,운정,K2509,13:14,,,문산,서울,1,2,D
경의중앙선,,,운정,K2221,13:59,,,문산,서울,1,2,G
경의중앙선,,,운정,K2511,15:12,,,문산,서울,1,2,D
