노선명,외부코드,역번호,역사명,열차번호,도착시간,출발역번호,도착역번호,출발역사명,도착역사명,요일,방향,급행선
경춘선,,,춘천,K8302,07:03,,,춘천,광운대,1,1,G
경춘선,,,남춘천,K8302,07:06,,,춘천,광운대,1,1,G
경춘선,,,김유정,K8302,07:11,,,춘천,광운대,1,1,G
경춘선,,,강촌,K8302,07:17,,,춘천,광운대,1,1,G
경춘선,,,백양리,K8302,07:22,,,춘천,광운대,1,1,G
경춘선,,,굴봉산,K8302,07:26,,,춘천,광운대,1,1,G
경춘선,,,가평,K8302,07:30,,,춘천,광운대,1,1,G
경춘선,,,상천,K8302,07:36,,,춘천,광운대,1,1,G
경춘선,,,청평,K8302,07:41,,,춘천,광운대,1,1,G
경춘선,,,대성리,K8302,07:47,,,춘천,광운대,1,1,G
경춘선,,,마석,K8302,07:53,,,춘천,광운대,1,1,G
경춘선,,,천마산,K8302,07:56,,,춘천,광운대,1,1,G
경춘선,,,평내호,K8302,08:00,,,춘천,광운대,1,1,G
경춘선,,,금곡,K8302,08:04,,,춘천,광운대,1,1,G
경춘선,,,사릉,K8302,08:07,,,춘천,광운대,1,1,G
경춘선,,,퇴계원,K8302,08:11,,,춘천,광운대,1,1,G
경춘선,,,별내,K8302,08:17,,,춘천,광운대,1,1,G
경춘선,,,갈매,K8302,08:19,,,춘천,광운대,1,1,G
경춘선,,,신내,K8302,08:22,,,춘천,광운대,1,1,G
경춘선,,,망우,K8302,08:25,,,춘천,광운대,1,1,G
경춘선,,,상봉,K8302,08:27,,,춘천,광운대,1,1,G
경춘선,,,광운대,K8302,08:36,,,춘천,광운대,1,1,G
경춘선,,,춘천,K8304,18:47,,,춘천,광운대,1,1,G
경춘선,,,남춘천,K8304,18:50,,,춘천,광운대,1,1,G
경춘선,,,김유정,K8304,18:55,,,춘천,광운대,1,1,G
경춘선,,,강촌,K8304,19:01,,,춘천,광운대,1,1,G
경춘선,,,백양리,K8304,19:11,,,춘천,광운대,1,1,G
경춘선,,,굴봉산,K8304,19:14,,,춘천,광운대,1,1,G
경춘선,,,가평,K8304,19:19,,,춘천,광운대,1,1,G
경춘선,,,상천,K8304,19:25,,,춘천,광운대,1,1,G
경춘선,,,청평,K8304,19:29,,,춘천,광운대,1,1,G
경춘선,,,대성리,K8304,19:36,,,춘천,광운대,1,1,G
경춘선,,,마석,K8304,19:42,,,춘천,광운대,1,1,G
경춘선,,,천마산,K8304,19:44,,,춘천,광운대,1,1,G
경춘선,,,평내호,K8304,19:48,,,춘천,광운대,1,1,G
경춘선,,,금곡,K8304,19:52,,,춘천,광운대,1,1,G
경춘선,,,사릉,K8304,19:56,,,춘천,광운대,1,1,G
경춘선,,,퇴계원,K8304,19:59,,,춘천,광운대,1,1,G
경춘선,,,별내,K8304,20:02,,,춘천,광운대,1,1,G
경춘선,,,갈매,K8304,20:04,,,춘천,광운대,1,1,G
경춘선,,,신내,K8304,20:07,,,춘천,광운대,1,1,G
경춘선,,,망우,K8304,20:10,,,춘천,광운대,1,1,G
경춘선,,,상봉,K8304,20:12,,,춘천,광운대,1,1,G
경춘선,,,광운대,K8304,20:21,,,춘천,광운대,1,1,G
경춘선,,,광운대,K8301,08:44,,,광운대,춘천,1,2,G
경춘선,,,상봉,K8301,08:52,,,광운대,춘천,1,2,G
경춘선,,,망우,K8301,08:54,,,광운대,춘천,1,2,G
경춘선,,,신내,K8301,08:57,,,광운대,춘천,1,2,G
경춘선,,,갈매,K8301,09:00,,,광운대,춘천,1,2,G
경춘선,,,별내,K8301,09:02,,,광운대,춘천,1,2,G
경춘선,,,퇴계원,K8301,09:05,,,광운대,춘천,1,2,G
경춘선,,,사릉,K8301,09:08,,,광운대,춘천,1,2,G
경춘선,,,금곡,K8301,09:12,,,광운대,춘천,1,2,G
경춘선,,,평내호,K8301,09:16,,,광운대,춘천,1,2,G
경춘선,,,천마산,K8301,09:20,,,광운대,춘천,1,2,G
경춘선,,,마석,K8301,09:23,,,광운대,춘천,1,2,G
경춘선,,,대성리,K8301,09:29,,,광운대,춘천,1,2,G
경춘선,,,청평,K8301,09:36,,,광운대,춘천,1,2,G
경춘선,,,상천,K8301,09:41,,,광운대,춘천,1,2,G
경춘선,,,가평,K8301,09:47,,,광운대,춘천,1,2,G
경춘선,,,굴봉산,K8301,09:57,,,광운대,춘천,1,2,G
경춘선,,,백양리,K8301,10:00,,,광운대,춘천,1,2,G
경춘선,,,강촌,K8301,10:05,,,광운대,춘천,1,2,G
경춘선,,,김유정,K8301,10:11,,,광운대,춘천,1,2,G
경춘선,,,남춘천,K8301,10:17,,,광운대,춘천,1,2,G
경춘선,,,춘천,K8301,10:20,,,광운대,춘천,1,2,G
경춘선,,,광운대,K8303,20:31,,,광운대,춘천,1,2,G
경춘선,,,상봉,K8303,20:39,,,광운대,춘천,1,2,G
경춘선,,,망우,K8303,20:41,,,광운대,춘천,1,2,G
경춘선,,,신내,K8303,20:44,,,광운대,춘천,1,2,G
경춘선,,,갈매,K8303,20:47,,,광운대,춘천,1,2,G
경춘선,,,별내,K8303,20:49,,,광운대,춘천,1,2,G
경춘선,,,퇴계원,K8303,20:52,,,광운대,춘천,1,2,G
경춘선,,,사릉,K8303,20:55,,,광운대,춘천,1,2,G
경춘선,,,금곡,K8303,20:59,,,광운대,춘천,1,2,G
경춘선,,,평내호,K8303,21:03,,,광운대,춘천,1,2,G
경춘선,,,천마산,K8303,21:07,,,광운대,춘천,1,2,G
경춘선,,,마석,K8303,21:09,,,광운대,춘천,1,2,G
경춘선,,,대성리,K8303,21:15,,,광운대,춘천,1,2,G
경춘선,,,청평,K8303,21:22,,,광운대,춘천,1,2,G
경춘선,,,상천,K8303,21:32,,,광운대,춘천,1,2,G
경춘선,,,가평,K8303,21:38,,,광운대,춘천,1,2,G
경춘선,,,굴봉산,K8303,21:42,,,광운대,춘천,1,2,G
경춘선,,,백양리,K8303,21:46,,,광운대,춘천,1,2,G
경춘선,,,강촌,K8303,21:51,,,광운대,춘천,1,2,G
경춘선,,,김유정,K8303,21:57,,,광운대,춘천,1,2,G
경춘선,,,남춘천,K8303,22:02,,,광운대,춘천,1,2,G
경춘선,,,춘천,K8303,22:06,,,광운대,춘천,1,2,G
