노선명,외부코드,역번호,역사명,열차번호,도착시간,출발역번호,도착역번호,출발역사명,도착역사명,요일,방향,급행선,도착시간 - 복사.1,도착시간 - 복사.2,분 계산,시 문자열,분 문자열
신림선,,,샛강,,05:46,,,관악산(서울대),샛강,1,1,G,5,44,46,05,46
신림선,,,샛강,,05:56,,,관악산(서울대),샛강,1,1,G,5,54,56,05,56
신림선,,,샛강,,06:06,,,관악산(서울대),샛강,1,1,G,6,4,6,06,06
신림선,,,샛강,,06:16,,,관악산(서울대),샛강,1,1,G,6,14,16,06,16
신림선,,,샛강,,06:26,,,관악산(서울대),샛강,1,1,G,6,24,26,06,26
신림선,,,샛강,,06:36,,,관악산(서울대),샛강,1,1,G,6,34,36,06,36
신림선,,,샛강,,06:46,,,관악산(서울대),샛강,1,1,G,6,44,46,06,46
신림선,,,샛강,,06:56,,,관악산(서울대),샛강,1,1,G,6,54,56,06,56
신림선,,,샛강,,07:04,,,관악산(서울대),샛강,1,1,G,7,2,4,07,04
신림선,,,샛강,,07:10,,,관악산(서울대),샛강,1,1,G,7,8,10,07,10
신림선,,,샛강,,07:16,,,관악산(서울대),샛강,1,1,G,7,14,16,07,16
신림선,,,샛강,,07:23,,,관악산(서울대),샛강,1,1,G,7,21,23,07,23
신림선,,,샛강,,07:30,,,관악산(서울대),샛강,1,1,G,7,28,30,07,30
신림선,,,샛강,,07:37,,,관악산(서울대),샛강,1,1,G,7,35,37,07,37
신림선,,,샛강,,07:44,,,관악산(서울대),샛강,1,1,G,7,42,44,07,44
신림선,,,샛강,,07:51,,,관악산(서울대),샛강,1,1,G,7,49,51,07,51
신림선,,,샛강,,07:54,,,관악산(서울대),샛강,1,1,G,7,52,54,07,54
신림선,,,샛강,,07:58,,,관악산(서울대),샛강,1,1,G,7,56,58,07,58
신림선,,,샛강,,08:01,,,관악산(서울대),샛강,1,1,G,8,59,1,08,01
신림선,,,샛강,,08:05,,,관악산(서울대),샛강,1,1,G,8,3,5,08,05
신림선,,,샛강,,08:08,,,관악산(서울대),샛강,1,1,G,8,6,8,08,08
신림선,,,샛강,,08:12,,,관악산(서울대),샛강,1,1,G,8,10,12,08,12
신림선,,,샛강,,08:15,,,관악산(서울대),샛강,1,1,G,8,13,15,08,15
신림선,,,샛강,,08:19,,,관악산(서울대),샛강,1,1,G,8,17,19,08,19
신림선,,,샛강,,08:22,,,관악산(서울대),샛강,1,1,G,8,20,22,08,22
신림선,,,샛강,,08:26,,,관악산(서울대),샛강,1,1,G,8,24,26,08,26
신림선,,,샛강,,08:29,,,관악산(서울대),샛강,1,1,G,8,27,29,08,29
신림선,,,샛강,,08:33,,,관악산(서울대),샛강,1,1,G,8,31,33,08,33
신림선,,,샛강,,08:36,,,관악산(서울대),샛강,1,1,G,8,34,36,08,36
신림선,,,샛강,,08:40,,,관악산(서울대),샛강,1,1,G,8,38,40,08,40
신림선,,,샛강,,08:43,,,관악산(서울대),샛강,1,1,G,8,41,43,08,43
신림선,,,샛강,,08:47,,,관악산(서울대),샛강,1,1,G,8,45,47,08,47
신림선,,,샛강,,08:50,,,관악산(서울대),샛강,1,1,G,8,48,50,08,50
신림선,,,샛강,,08:54,,,관악산(서울대),샛강,1,1,G,8,52,54,08,54
신림선,,,샛강,,08:57,,,관악산(서울대),샛강,1,1,G,8,55,57,08,57
신림선,,,샛강,,09:01,,,관악산(서울대),샛강,1,1,G,9,59,1,09,01
신림선,,,샛강,,09:04,,,관악산(서울대),샛강,1,1,G,9,2,4,09,04
신림선,,,샛강,,09:08,,,관악산(서울대),샛강,1,1,G,9,6,8,09,08
신림선,,,샛강,,09:11,,,관악산(서울대),샛강,1,1,G,9,9,11,09,11
신림선,,,샛강,,09:15,,,관악산(서울대),샛강,1,1,G,9,13,15,09,15
신림선,,,샛강,,09:18,,,관악산(서울대),샛강,1,1,G,9,16,18,09,18
신림선,,,샛강,,09:22,,,관악산(서울대),샛강,1,1,G,9,20,22,09,22
신림선,,,샛강,,09:25,,,관악산(서울대),샛강,1,1,G,9,23,25,09,25
신림선,,,샛강,,09:29,,,관악산(서울대),샛강,1,1,G,9,27,29,09,29
신림선,,,샛강,,09:32,,,관악산(서울대),샛강,1,1,G,9,30,32,09,32
신림선,,,샛강,,09:36,,,관악산(서울대),샛강,1,1,G,9,34,36,09,36
신림선,,,샛강,,09:39,,,관악산(서울대),샛강,1,1,G,9,37,39,09,39
신림선,,,샛강,,09:43,,,관악산(서울대),샛강,1,1,G,9,41,43,09,43
신림선,,,샛강,,09:46,,,관악산(서울대),샛강,1,1,G,9,44,46,09,46
신림선,,,샛강,,09:50,,,관악산(서울대),샛강,1,1,G,9,48,50,09,50
신림선,,,샛강,,09:57,,,관악산(서울대),샛강,1,1,G,9,55,57,09,57
신림선,,,샛강,,10:04,,,관악산(서울대),샛강,1,1,G,10,2,4,10,04
신림선,,,샛강,,10:11,,,관악산(서울대),샛강,1,1,G,10,9,11,10,11
신림선,,,샛강,,10:18,,,관악산(서울대),샛강,1,1,G,10,16,18,10,18
신림선,,,샛강,,10:26,,,관악산(서울대),샛강,1,1,G,10,24,26,10,26
신림선,,,샛강,,10:33,,,관악산(서울대),샛강,1,1,G,10,31,33,10,33
신림선,,,샛강,,10:41,,,관악산(서울대),샛강,1,1,G,10,39,41,10,41
신림선,,,샛강,,10:48,,,관악산(서울대),샛강,1,1,G,10,46,48,10,48
신림선,,,샛강,,10:56,,,관악산(서울대),샛강,1,1,G,10,54,56,10,56
신림선,,,샛강,,11:03,,,관악산(서울대),샛강,1,1,G,11,1,3,11,03
신림선,,,샛강,,11:11,,,관악산(서울대),샛강,1,1,G,11,9,11,11,11
신림선,,,샛강,,11:19,,,관악산(서울대),샛강,1,1,G,11,17,19,11,19
신림선,,,샛강,,11:28,,,관악산(서울대),샛강,1,1,G,11,26,28,11,28
신림선,,,샛강,,11:36,,,관악산(서울대),샛강,1,1,G,11,34,36,11,36
신림선,,,샛강,,11:45,,,관악산(서울대),샛강,1,1,G,11,43,45,11,45
신림선,,,샛강,,11:53,,,관악산(서울대),샛강,1,1,G,11,51,53,11,53
신림선,,,샛강,,12:02,,,관악산(서울대),샛강,1,1,G,12,0,2,12,02
신림선,,,샛강,,12:10,,,관악산(서울대),샛강,1,1,G,12,8,10,12,10
신림선,,,샛강,,12:19,,,관악산(서울대),샛강,1,1,G,12,17,19,12,19
신림선,,,샛강,,12:27,,,관악산(서울대),샛강,1,1,G,12,25,27,12,27
신림선,,,샛강,,12:36,,,관악산(서울대),샛강,1,1,G,12,34,36,12,36
신림선,,,샛강,,12:44,,,관악산(서울대),샛강,1,1,G,12,42,44,12,44
신림선,,,샛강,,12:53,,,관악산(서울대),샛강,1,1,G,12,51,53,12,53
신림선,,,샛강,,13:01,,,관악산(서울대),샛강,1,1,G,13,59,1,13,01
신림선,,,샛강,,13:10,,,관악산(서울대),샛강,1,1,G,13,8,10,13,10
신림선,,,샛강,,13:17,,,관악산(서울대),샛강,1,1,G,13,15,17,13,17
신림선,,,샛강,,13:25,,,관악산(서울대),샛강,1,1,G,13,23,25,13,25
신림선,,,샛강,,13:32,,,관악산(서울대),샛강,1,1,G,13,30,32,13,32
신림선,,,샛강,,13:40,,,관악산(서울대),샛강,1,1,G,13,38,40,13,40
신림선,,,샛강,,13:47,,,관악산(서울대),샛강,1,1,G,13,45,47,13,47
신림선,,,샛강,,13:55,,,관악산(서울대),샛강,1,1,G,13,53,55,13,55
신림선,,,샛강,,14:02,,,관악산(서울대),샛강,1,1,G,14,0,2,14,02
신림선,,,샛강,,14:10,,,관악산(서울대),샛강,1,1,G,14,8,10,14,10
신림선,,,샛강,,14:17,,,관악산(서울대),샛강,1,1,G,14,15,17,14,17
신림선,,,샛강,,14:25,,,관악산(서울대),샛강,1,1,G,14,23,25,14,25
신림선,,,샛강,,14:32,,,관악산(서울대),샛강,1,1,G,14,30,32,14,32
신림선,,,샛강,,14:40,,,관악산(서울대),샛강,1,1,G,14,38,40,14,40
신림선,,,샛강,,14:47,,,관악산(서울대),샛강,1,1,G,14,45,47,14,47
신림선,,,샛강,,14:55,,,관악산(서울대),샛강,1,1,G,14,53,55,14,55
신림선,,,샛강,,14:58,,,관악산(서울대),샛강,1,1,G,14,56,58,14,58
신림선,,,샛강,,15:04,,,관악산(서울대),샛강,1,1,G,15,2,4,15,04
신림선,,,샛강,,15:11,,,관악산(서울대),샛강,1,1,G,15,9,11,15,11
신림선,,,샛강,,15:18,,,관악산(서울대),샛강,1,1,G,15,16,18,15,18
신림선,,,샛강,,15:25,,,관악산(서울대),샛강,1,1,G,15,23,25,15,25
신림선,,,샛강,,15:32,,,관악산(서울대),샛강,1,1,G,15,30,32,15,32
신림선,,,샛강,,15:39,,,관악산(서울대),샛강,1,1,G,15,37,39,15,39
신림선,,,샛강,,15:46,,,관악산(서울대),샛강,1,1,G,15,44,46,15,46
신림선,,,샛강,,15:53,,,관악산(서울대),샛강,1,1,G,15,51,53,15,53
신림선,,,샛강,,16:00,,,관악산(서울대),샛강,1,1,G,16,58,0,16,00
신림선,,,샛강,,16:07,,,관악산(서울대),샛강,1,1,G,16,5,7,16,07
신림선,,,샛강,,16:14,,,관악산(서울대),샛강,1,1,G,16,12,14,16,14
신림선,,,샛강,,16:21,,,관악산(서울대),샛강,1,1,G,16,19,21,16,21
신림선,,,샛강,,16:28,,,관악산(서울대),샛강,1,1,G,16,26,28,16,28
신림선,,,샛강,,16:35,,,관악산(서울대),샛강,1,1,G,16,33,35,16,35
신림선,,,샛강,,16:42,,,관악산(서울대),샛강,1,1,G,16,40,42,16,42
신림선,,,샛강,,16:49,,,관악산(서울대),샛강,1,1,G,16,47,49,16,49
신림선,,,샛강,,16:56,,,관악산(서울대),샛강,1,1,G,16,54,56,16,56
신림선,,,샛강,,17:03,,,관악산(서울대),샛강,1,1,G,17,1,3,17,03
신림선,,,샛강,,17:10,,,관악산(서울대),샛강,1,1,G,17,8,10,17,10
신림선,,,샛강,,17:17,,,관악산(서울대),샛강,1,1,G,17,15,17,17,17
신림선,,,샛강,,17:24,,,관악산(서울대),샛강,1,1,G,17,22,24,17,24
신림선,,,샛강,,17:31,,,관악산(서울대),샛강,1,1,G,17,29,31,17,31
신림선,,,샛강,,17:38,,,관악산(서울대),샛강,1,1,G,17,36,38,17,38
신림선,,,샛강,,17:45,,,관악산(서울대),샛강,1,1,G,17,43,45,17,45
신림선,,,샛강,,17:51,,,관악산(서울대),샛강,1,1,G,17,49,51,17,51
신림선,,,샛강,,17:57,,,관악산(서울대),샛강,1,1,G,17,55,57,17,57
신림선,,,샛강,,18:01,,,관악산(서울대),샛강,1,1,G,18,59,1,18,01
신림선,,,샛강,,18:04,,,관악산(서울대),샛강,1,1,G,18,2,4,18,04
신림선,,,샛강,,18:08,,,관악산(서울대),샛강,1,1,G,18,6,8,18,08
신림선,,,샛강,,18:11,,,관악산(서울대),샛강,1,1,G,18,9,11,18,11
신림선,,,샛강,,18:15,,,관악산(서울대),샛강,1,1,G,18,13,15,18,15
신림선,,,샛강,,18:18,,,관악산(서울대),샛강,1,1,G,18,16,18,18,18
신림선,,,샛강,,18:22,,,관악산(서울대),샛강,1,1,G,18,20,22,18,22
신림선,,,샛강,,18:25,,,관악산(서울대),샛강,1,1,G,18,23,25,18,25
신림선,,,샛강,,18:29,,,관악산(서울대),샛강,1,1,G,18,27,29,18,29
신림선,,,샛강,,18:32,,,관악산(서울대),샛강,1,1,G,18,30,32,18,32
신림선,,,샛강,,18:36,,,관악산(서울대),샛강,1,1,G,18,34,36,18,36
신림선,,,샛강,,18:39,,,관악산(서울대),샛강,1,1,G,18,37,39,18,39
신림선,,,샛강,,18:43,,,관악산(서울대),샛강,1,1,G,18,41,43,18,43
신림선,,,샛강,,18:46,,,관악산(서울대),샛강,1,1,G,18,44,46,18,46
신림선,,,샛강,,18:50,,,관악산(서울대),샛강,1,1,G,18,48,50,18,50
신림선,,,샛강,,18:53,,,관악산(서울대),샛강,1,1,G,18,51,53,18,53
신림선,,,샛강,,18:57,,,관악산(서울대),샛강,1,1,G,18,55,57,18,57
신림선,,,샛강,,18:00,,,관악산(서울대),샛강,1,1,G,18,58,0,18,00
신림선,,,샛강,,19:04,,,관악산(서울대),샛강,1,1,G,19,2,4,19,04
신림선,,,샛강,,19:07,,,관악산(서울대),샛강,1,1,G,19,5,7,19,07
신림선,,,샛강,,19:11,,,관악산(서울대),샛강,1,1,G,19,9,11,19,11
신림선,,,샛강,,19:14,,,관악산(서울대),샛강,1,1,G,19,12,14,19,14
신림선,,,샛강,,19:18,,,관악산(서울대),샛강,1,1,G,19,16,18,19,18
신림선,,,샛강,,19:21,,,관악산(서울대),샛강,1,1,G,19,19,21,19,21
신림선,,,샛강,,19:25,,,관악산(서울대),샛강,1,1,G,19,23,25,19,25
신림선,,,샛강,,19:28,,,관악산(서울대),샛강,1,1,G,19,26,28,19,28
신림선,,,샛강,,19:32,,,관악산(서울대),샛강,1,1,G,19,30,32,19,32
신림선,,,샛강,,19:35,,,관악산(서울대),샛강,1,1,G,19,33,35,19,35
신림선,,,샛강,,19:39,,,관악산(서울대),샛강,1,1,G,19,37,39,19,39
신림선,,,샛강,,19:43,,,관악산(서울대),샛강,1,1,G,19,41,43,19,43
신림선,,,샛강,,19:47,,,관악산(서울대),샛강,1,1,G,19,45,47,19,47
신림선,,,샛강,,19:51,,,관악산(서울대),샛강,1,1,G,19,49,51,19,51
신림선,,,샛강,,19:55,,,관악산(서울대),샛강,1,1,G,19,53,55,19,55
신림선,,,샛강,,19:59,,,관악산(서울대),샛강,1,1,G,19,57,59,19,59
신림선,,,샛강,,20:03,,,관악산(서울대),샛강,1,1,G,20,1,3,20,03
신림선,,,샛강,,20:07,,,관악산(서울대),샛강,1,1,G,20,5,7,20,07
신림선,,,샛강,,20:11,,,관악산(서울대),샛강,1,1,G,20,9,11,20,11
신림선,,,샛강,,20:15,,,관악산(서울대),샛강,1,1,G,20,13,15,20,15
신림선,,,샛강,,20:19,,,관악산(서울대),샛강,1,1,G,20,17,19,20,19
신림선,,,샛강,,20:23,,,관악산(서울대),샛강,1,1,G,20,21,23,20,23
신림선,,,샛강,,20:28,,,관악산(서울대),샛강,1,1,G,20,26,28,20,28
신림선,,,샛강,,20:34,,,관악산(서울대),샛강,1,1,G,20,32,34,20,34
신림선,,,샛강,,20:40,,,관악산(서울대),샛강,1,1,G,20,38,40,20,40
신림선,,,샛강,,20:47,,,관악산(서울대),샛강,1,1,G,20,45,47,20,47
신림선,,,샛강,,20:53,,,관악산(서울대),샛강,1,1,G,20,51,53,20,53
신림선,,,샛강,,21:00,,,관악산(서울대),샛강,1,1,G,21,58,0,21,00
신림선,,,샛강,,21:07,,,관악산(서울대),샛강,1,1,G,21,5,7,21,07
신림선,,,샛강,,21:14,,,관악산(서울대),샛강,1,1,G,21,12,14,21,14
신림선,,,샛강,,21:21,,,관악산(서울대),샛강,1,1,G,21,19,21,21,21
신림선,,,샛강,,21:28,,,관악산(서울대),샛강,1,1,G,21,26,28,21,28
신림선,,,샛강,,21:35,,,관악산(서울대),샛강,1,1,G,21,33,35,21,35
신림선,,,샛강,,21:42,,,관악산(서울대),샛강,1,1,G,21,40,42,21,42
신림선,,,샛강,,21:49,,,관악산(서울대),샛강,1,1,G,21,47,49,21,49
신림선,,,샛강,,21:56,,,관악산(서울대),샛강,1,1,G,21,54,56,21,56
신림선,,,샛강,,22:03,,,관악산(서울대),샛강,1,1,G,22,1,3,22,03
신림선,,,샛강,,22:10,,,관악산(서울대),샛강,1,1,G,22,8,10,22,10
신림선,,,샛강,,22:17,,,관악산(서울대),샛강,1,1,G,22,15,17,22,17
신림선,,,샛강,,22:24,,,관악산(서울대),샛강,1,1,G,22,22,24,22,24
신림선,,,샛강,,22:31,,,관악산(서울대),샛강,1,1,G,22,29,31,22,31
