Column1,노선명,외부코드,역번호,역사명,열차번호,도착시간,출발역번호,도착역번호,출발역사명,도착역사명,요일,방향,급행선,도착시간 - 복사.1,도착시간 - 복사.2,,,
299,신분당선,,,신사,,06:00,,,정자,신사,1,1,G,6,59,0,06,00
300,신분당선,,,신사,,06:11,,,광교(경기대),신사,1,1,G,6,10,11,06,11
301,신분당선,,,신사,,06:24,,,광교(경기대),신사,1,1,G,6,23,24,06,24
302,신분당선,,,신사,,06:36,,,광교(경기대),신사,1,1,G,6,35,36,06,36
303,신분당선,,,신사,,06:48,,,광교(경기대),신사,1,1,G,6,47,48,06,48
304,신분당선,,,신사,,07:00,,,광교(경기대),신사,1,1,G,7,59,0,07,00
305,신분당선,,,신사,,07:10,,,광교(경기대),신사,1,1,G,7,9,10,07,10
306,신분당선,,,신사,,07:16,,,광교(경기대),신사,1,1,G,7,15,16,07,16
307,신분당선,,,신사,,07:22,,,광교(경기대),신사,1,1,G,7,21,22,07,22
308,신분당선,,,신사,,07:27,,,광교(경기대),신사,1,1,G,7,26,27,07,27
309,신분당선,,,신사,,07:32,,,광교(경기대),신사,1,1,G,7,31,32,07,32
310,신분당선,,,신사,,07:38,,,광교(경기대),신사,1,1,G,7,37,38,07,38
311,신분당선,,,신사,,07:43,,,광교(경기대),신사,1,1,G,7,42,43,07,43
312,신분당선,,,신사,,07:48,,,광교(경기대),신사,1,1,G,7,47,48,07,48
313,신분당선,,,신사,,07:53,,,광교(경기대),신사,1,1,G,7,52,53,07,53
314,신분당선,,,신사,,07:58,,,광교(경기대),신사,1,1,G,7,57,58,07,58
315,신분당선,,,신사,,08:03,,,광교(경기대),신사,1,1,G,8,2,3,08,03
316,신분당선,,,신사,,08:08,,,광교(경기대),신사,1,1,G,8,7,8,08,08
317,신분당선,,,신사,,08:13,,,광교(경기대),신사,1,1,G,8,12,13,08,13
318,신분당선,,,신사,,08:18,,,광교(경기대),신사,1,1,G,8,17,18,08,18
319,신분당선,,,신사,,08:23,,,광교(경기대),신사,1,1,G,8,22,23,08,23
320,신분당선,,,신사,,08:28,,,광교(경기대),신사,1,1,G,8,27,28,08,28
321,신분당선,,,신사,,08:33,,,광교(경기대),신사,1,1,G,8,32,33,08,33
322,신분당선,,,신사,,08:38,,,광교(경기대),신사,1,1,G,8,37,38,08,38
323,신분당선,,,신사,,08:43,,,광교(경기대),신사,1,1,G,8,42,43,08,43
324,신분당선,,,신사,,08:48,,,광교(경기대),신사,1,1,G,8,47,48,08,48
325,신분당선,,,신사,,08:53,,,광교(경기대),신사,1,1,G,8,52,53,08,53
326,신분당선,,,신사,,08:58,,,광교(경기대),신사,1,1,G,8,57,58,08,58
327,신분당선,,,신사,,09:03,,,광교(경기대),신사,1,1,G,9,2,3,09,03
328,신분당선,,,신사,,09:08,,,광교(경기대),신사,1,1,G,9,7,8,09,08
329,신분당선,,,신사,,09:13,,,광교(경기대),신사,1,1,G,9,12,13,09,13
330,신분당선,,,신사,,09:18,,,광교(경기대),신사,1,1,G,9,17,18,09,18
331,신분당선,,,신사,,09:23,,,광교(경기대),신사,1,1,G,9,22,23,09,23
332,신분당선,,,신사,,09:28,,,광교(경기대),신사,1,1,G,9,27,28,09,28
333,신분당선,,,신사,,09:33,,,광교(경기대),신사,1,1,G,9,32,33,09,33
