노선명,외부코드,역번호,역사명,열차번호,도착시간,출발역번호,도착역번호,출발역사명,도착역사명,요일,방향,급행선,도착시간 - 복사.1,도착시간 - 복사.2,분 계산,시 문자열,분 문자열
우이신설선,,,북한산우이,,05:53,,,신설동,북한산우이,1,2,G,5,51,53,05,53
우이신설선,,,북한산우이,,06:05,,,신설동,북한산우이,1,2,G,6,3,5,06,05
우이신설선,,,북한산우이,,06:17,,,신설동,북한산우이,1,2,G,6,15,17,06,17
우이신설선,,,북한산우이,,06:29,,,신설동,북한산우이,1,2,G,6,27,29,06,29
우이신설선,,,북한산우이,,06:41,,,신설동,북한산우이,1,2,G,6,39,41,06,41
우이신설선,,,북한산우이,,06:53,,,신설동,북한산우이,1,2,G,6,51,53,06,53
우이신설선,,,북한산우이,,07:00,,,신설동,북한산우이,1,2,G,7,58,0,07,00
우이신설선,,,북한산우이,,07:06,,,신설동,북한산우이,1,2,G,7,4,6,07,06
우이신설선,,,북한산우이,,07:12,,,신설동,북한산우이,1,2,G,7,10,12,07,12
우이신설선,,,북한산우이,,07:18,,,신설동,북한산우이,1,2,G,7,16,18,07,18
우이신설선,,,북한산우이,,07:23,,,신설동,북한산우이,1,2,G,7,21,23,07,23
우이신설선,,,북한산우이,,07:29,,,신설동,북한산우이,1,2,G,7,27,29,07,29
우이신설선,,,북한산우이,,07:34,,,신설동,북한산우이,1,2,G,7,32,34,07,34
우이신설선,,,북한산우이,,07:39,,,신설동,북한산우이,1,2,G,7,37,39,07,39
우이신설선,,,북한산우이,,07:43,,,신설동,북한산우이,1,2,G,7,41,43,07,43
우이신설선,,,북한산우이,,07:47,,,신설동,북한산우이,1,2,G,7,45,47,07,47
우이신설선,,,북한산우이,,07:50,,,신설동,북한산우이,1,2,G,7,48,50,07,50
우이신설선,,,북한산우이,,07:53,,,신설동,북한산우이,1,2,G,7,51,53,07,53
우이신설선,,,북한산우이,,07:56,,,신설동,북한산우이,1,2,G,7,54,56,07,56
우이신설선,,,북한산우이,,07:58,,,신설동,북한산우이,1,2,G,7,56,58,07,58
우이신설선,,,북한산우이,,08:01,,,신설동,북한산우이,1,2,G,8,59,1,08,01
우이신설선,,,북한산우이,,08:04,,,신설동,북한산우이,1,2,G,8,2,4,08,04
우이신설선,,,북한산우이,,08:07,,,신설동,북한산우이,1,2,G,8,5,7,08,07
우이신설선,,,북한산우이,,08:10,,,신설동,북한산우이,1,2,G,8,8,10,08,10
우이신설선,,,북한산우이,,08:13,,,신설동,북한산우이,1,2,G,8,11,13,08,13
우이신설선,,,북한산우이,,08:16,,,신설동,북한산우이,1,2,G,8,14,16,08,16
우이신설선,,,북한산우이,,08:19,,,신설동,북한산우이,1,2,G,8,17,19,08,19
우이신설선,,,북한산우이,,08:22,,,신설동,북한산우이,1,2,G,8,20,22,08,22
우이신설선,,,북한산우이,,08:24,,,신설동,북한산우이,1,2,G,8,22,24,08,24
우이신설선,,,북한산우이,,08:27,,,신설동,북한산우이,1,2,G,8,25,27,08,27
우이신설선,,,북한산우이,,08:30,,,신설동,북한산우이,1,2,G,8,28,30,08,30
우이신설선,,,북한산우이,,08:33,,,신설동,북한산우이,1,2,G,8,31,33,08,33
우이신설선,,,북한산우이,,08:36,,,신설동,북한산우이,1,2,G,8,34,36,08,36
우이신설선,,,북한산우이,,08:39,,,신설동,북한산우이,1,2,G,8,37,39,08,39
우이신설선,,,북한산우이,,08:42,,,신설동,북한산우이,1,2,G,8,40,42,08,42
우이신설선,,,북한산우이,,08:45,,,신설동,북한산우이,1,2,G,8,43,45,08,45
우이신설선,,,북한산우이,,08:47,,,신설동,북한산우이,1,2,G,8,45,47,08,47
우이신설선,,,북한산우이,,08:50,,,신설동,북한산우이,1,2,G,8,48,50,08,50
우이신설선,,,북한산우이,,08:53,,,신설동,북한산우이,1,2,G,8,51,53,08,53
우이신설선,,,북한산우이,,08:56,,,신설동,북한산우이,1,2,G,8,54,56,08,56
우이신설선,,,북한산우이,,08:59,,,신설동,북한산우이,1,2,G,8,57,59,08,59
우이신설선,,,북한산우이,,09:02,,,신설동,북한산우이,1,2,G,9,0,2,09,02
우이신설선,,,북한산우이,,09:05,,,신설동,북한산우이,1,2,G,9,3,5,09,05
우이신설선,,,북한산우이,,09:08,,,신설동,북한산우이,1,2,G,9,6,8,09,08
우이신설선,,,북한산우이,,09:11,,,신설동,북한산우이,1,2,G,9,9,11,09,11
우이신설선,,,북한산우이,,09:14,,,신설동,북한산우이,1,2,G,9,12,14,09,14
우이신설선,,,북한산우이,,09:17,,,신설동,북한산우이,1,2,G,9,15,17,09,17
우이신설선,,,북한산우이,,09:20,,,신설동,북한산우이,1,2,G,9,18,20,09,20
우이신설선,,,북한산우이,,09:22,,,신설동,북한산우이,1,2,G,9,20,22,09,22
우이신설선,,,북한산우이,,09:25,,,신설동,북한산우이,1,2,G,9,23,25,09,25
우이신설선,,,북한산우이,,09:28,,,신설동,북한산우이,1,2,G,9,26,28,09,28
우이신설선,,,북한산우이,,09:31,,,신설동,북한산우이,1,2,G,9,29,31,09,31
우이신설선,,,북한산우이,,09:34,,,신설동,북한산우이,1,2,G,9,32,34,09,34
우이신설선,,,북한산우이,,09:37,,,신설동,북한산우이,1,2,G,9,35,37,09,37
우이신설선,,,북한산우이,,09:40,,,신설동,북한산우이,1,2,G,9,38,40,09,40
우이신설선,,,북한산우이,,09:43,,,신설동,북한산우이,1,2,G,9,41,43,09,43
우이신설선,,,북한산우이,,09:46,,,신설동,북한산우이,1,2,G,9,44,46,09,46
우이신설선,,,북한산우이,,09:49,,,신설동,북한산우이,1,2,G,9,47,49,09,49
우이신설선,,,북한산우이,,09:52,,,신설동,북한산우이,1,2,G,9,50,52,09,52
우이신설선,,,북한산우이,,09:56,,,신설동,북한산우이,1,2,G,9,54,56,09,56
우이신설선,,,북한산우이,,10:00,,,신설동,북한산우이,1,2,G,10,58,0,10,00
우이신설선,,,북한산우이,,10:04,,,신설동,북한산우이,1,2,G,10,2,4,10,04
우이신설선,,,북한산우이,,10:08,,,신설동,북한산우이,1,2,G,10,6,8,10,08
우이신설선,,,북한산우이,,10:12,,,신설동,북한산우이,1,2,G,10,10,12,10,12
우이신설선,,,북한산우이,,10:16,,,신설동,북한산우이,1,2,G,10,14,16,10,16
우이신설선,,,북한산우이,,10:20,,,신설동,북한산우이,1,2,G,10,18,20,10,20
우이신설선,,,북한산우이,,10:24,,,신설동,북한산우이,1,2,G,10,22,24,10,24
우이신설선,,,북한산우이,,10:28,,,신설동,북한산우이,1,2,G,10,26,28,10,28
우이신설선,,,북한산우이,,10:32,,,신설동,북한산우이,1,2,G,10,30,32,10,32
우이신설선,,,북한산우이,,10:36,,,신설동,북한산우이,1,2,G,10,34,36,10,36
우이신설선,,,북한산우이,,10:40,,,신설동,북한산우이,1,2,G,10,38,40,10,40
우이신설선,,,북한산우이,,10:44,,,신설동,북한산우이,1,2,G,10,42,44,10,44
우이신설선,,,북한산우이,,10:48,,,신설동,북한산우이,1,2,G,10,46,48,10,48
우이신설선,,,북한산우이,,10:53,,,신설동,북한산우이,1,2,G,10,51,53,10,53
우이신설선,,,북한산우이,,10:58,,,신설동,북한산우이,1,2,G,10,56,58,10,58
우이신설선,,,북한산우이,,11:03,,,신설동,북한산우이,1,2,G,11,1,3,11,03
우이신설선,,,북한산우이,,11:08,,,신설동,북한산우이,1,2,G,11,6,8,11,08
우이신설선,,,북한산우이,,11:13,,,신설동,북한산우이,1,2,G,11,11,13,11,13
우이신설선,,,북한산우이,,11:18,,,신설동,북한산우이,1,2,G,11,16,18,11,18
우이신설선,,,북한산우이,,11:23,,,신설동,북한산우이,1,2,G,11,21,23,11,23
우이신설선,,,북한산우이,,11:28,,,신설동,북한산우이,1,2,G,11,26,28,11,28
우이신설선,,,북한산우이,,11:33,,,신설동,북한산우이,1,2,G,11,31,33,11,33
우이신설선,,,북한산우이,,11:38,,,신설동,북한산우이,1,2,G,11,36,38,11,38
우이신설선,,,북한산우이,,11:43,,,신설동,북한산우이,1,2,G,11,41,43,11,43
우이신설선,,,북한산우이,,11:48,,,신설동,북한산우이,1,2,G,11,46,48,11,48
우이신설선,,,북한산우이,,11:53,,,신설동,북한산우이,1,2,G,11,51,53,11,53
우이신설선,,,북한산우이,,11:58,,,신설동,북한산우이,1,2,G,11,56,58,11,58
우이신설선,,,북한산우이,,12:03,,,신설동,북한산우이,1,2,G,12,1,3,12,03
우이신설선,,,북한산우이,,12:08,,,신설동,북한산우이,1,2,G,12,6,8,12,08
우이신설선,,,북한산우이,,12:13,,,신설동,북한산우이,1,2,G,12,11,13,12,13
우이신설선,,,북한산우이,,12:18,,,신설동,북한산우이,1,2,G,12,16,18,12,18
우이신설선,,,북한산우이,,12:23,,,신설동,북한산우이,1,2,G,12,21,23,12,23
우이신설선,,,북한산우이,,12:28,,,신설동,북한산우이,1,2,G,12,26,28,12,28
우이신설선,,,북한산우이,,12:33,,,신설동,북한산우이,1,2,G,12,31,33,12,33
우이신설선,,,북한산우이,,12:38,,,신설동,북한산우이,1,2,G,12,36,38,12,38
우이신설선,,,북한산우이,,12:43,,,신설동,북한산우이,1,2,G,12,41,43,12,43
우이신설선,,,북한산우이,,12:48,,,신설동,북한산우이,1,2,G,12,46,48,12,48
우이신설선,,,북한산우이,,12:53,,,신설동,북한산우이,1,2,G,12,51,53,12,53
우이신설선,,,북한산우이,,12:58,,,신설동,북한산우이,1,2,G,12,56,58,12,58
우이신설선,,,북한산우이,,13:03,,,신설동,북한산우이,1,2,G,13,1,3,13,03
우이신설선,,,북한산우이,,13:08,,,신설동,북한산우이,1,2,G,13,6,8,13,08
우이신설선,,,북한산우이,,13:13,,,신설동,북한산우이,1,2,G,13,11,13,13,13
우이신설선,,,북한산우이,,13:18,,,신설동,북한산우이,1,2,G,13,16,18,13,18
우이신설선,,,북한산우이,,13:23,,,신설동,북한산우이,1,2,G,13,21,23,13,23
우이신설선,,,북한산우이,,13:28,,,신설동,북한산우이,1,2,G,13,26,28,13,28
우이신설선,,,북한산우이,,13:33,,,신설동,북한산우이,1,2,G,13,31,33,13,33
우이신설선,,,북한산우이,,13:38,,,신설동,북한산우이,1,2,G,13,36,38,13,38
우이신설선,,,북한산우이,,13:43,,,신설동,북한산우이,1,2,G,13,41,43,13,43
우이신설선,,,북한산우이,,13:48,,,신설동,북한산우이,1,2,G,13,46,48,13,48
우이신설선,,,북한산우이,,13:53,,,신설동,북한산우이,1,2,G,13,51,53,13,53
우이신설선,,,북한산우이,,13:58,,,신설동,북한산우이,1,2,G,13,56,58,13,58
우이신설선,,,북한산우이,,14:03,,,신설동,북한산우이,1,2,G,14,1,3,14,03
우이신설선,,,북한산우이,,14:08,,,신설동,북한산우이,1,2,G,14,6,8,14,08
우이신설선,,,북한산우이,,14:13,,,신설동,북한산우이,1,2,G,14,11,13,14,13
우이신설선,,,북한산우이,,14:18,,,신설동,북한산우이,1,2,G,14,16,18,14,18
우이신설선,,,북한산우이,,14:23,,,신설동,북한산우이,1,2,G,14,21,23,14,23
우이신설선,,,북한산우이,,14:28,,,신설동,북한산우이,1,2,G,14,26,28,14,28
우이신설선,,,북한산우이,,14:33,,,신설동,북한산우이,1,2,G,14,31,33,14,33
우이신설선,,,북한산우이,,14:38,,,신설동,북한산우이,1,2,G,14,36,38,14,38
우이신설선,,,북한산우이,,14:43,,,신설동,북한산우이,1,2,G,14,41,43,14,43
우이신설선,,,북한산우이,,14:48,,,신설동,북한산우이,1,2,G,14,46,48,14,48
우이신설선,,,북한산우이,,14:53,,,신설동,북한산우이,1,2,G,14,51,53,14,53
우이신설선,,,북한산우이,,14:58,,,신설동,북한산우이,1,2,G,14,56,58,14,58
우이신설선,,,북한산우이,,15:03,,,신설동,북한산우이,1,2,G,15,1,3,15,03
우이신설선,,,북한산우이,,15:08,,,신설동,북한산우이,1,2,G,15,6,8,15,08
우이신설선,,,북한산우이,,15:13,,,신설동,북한산우이,1,2,G,15,11,13,15,13
우이신설선,,,북한산우이,,15:18,,,신설동,북한산우이,1,2,G,15,16,18,15,18
우이신설선,,,북한산우이,,15:23,,,신설동,북한산우이,1,2,G,15,21,23,15,23
우이신설선,,,북한산우이,,15:28,,,신설동,북한산우이,1,2,G,15,26,28,15,28
우이신설선,,,북한산우이,,15:33,,,신설동,북한산우이,1,2,G,15,31,33,15,33
