810,818,812,823,819,815,826,824,816,817,831,814,825,813,820,821,822,811,열차번호,출발역사명,도착역사명,출발시간,도착시간,요일,방향,급행선
1818.0,1801.0,1813.0,1749.0,1800.0,1807.0,1745.0,1748.0,1805.0,1803.0,1756.0,1809.0,1746.0,1811.0,1758.0,1753.0,1751.0,1815.0,8200.0,모란,암사,1745,1818,1.0,1.0,False
1813.0,1756.0,1808.0,1744.0,1755.0,1802.0,1740.0,1743.0,1800.0,1758.0,1751.0,1804.0,1741.0,1806.0,1753.0,1748.0,1746.0,1810.0,8198.0,모란,암사,1740,1813,1.0,1.0,False
1808.0,1751.0,1803.0,1739.0,1750.0,1757.0,1735.0,1738.0,1755.0,1753.0,1746.0,1759.0,1736.0,1801.0,1748.0,1743.0,1741.0,1805.0,8196.0,모란,암사,1735,1808,1.0,1.0,False
1803.0,1746.0,1758.0,1734.0,1745.0,1752.0,1730.0,1733.0,1750.0,1748.0,1741.0,1754.0,1731.0,1756.0,1743.0,1738.0,1736.0,1800.0,8194.0,모란,암사,1730,1803,1.0,1.0,False
1757.0,1740.0,1752.0,1728.0,1739.0,1746.0,1724.0,1727.0,1744.0,1742.0,1735.0,1748.0,1725.0,1750.0,1737.0,1732.0,1730.0,1754.0,8192.0,모란,암사,1724,1757,1.0,1.0,False
1750.0,1733.0,1745.0,1721.0,1732.0,1739.0,1717.0,1720.0,1737.0,1735.0,1728.0,1741.0,1718.0,1743.0,1730.0,1725.0,1723.0,1747.0,8190.0,모란,암사,1717,1750,1.0,1.0,False
1743.0,1726.0,1738.0,1714.0,1725.0,1732.0,1710.0,1713.0,1730.0,1728.0,1721.0,1734.0,1711.0,1736.0,1723.0,1718.0,1716.0,1740.0,8188.0,모란,암사,1710,1743,1.0,1.0,False
1735.0,1718.0,1730.0,1706.0,1717.0,1724.0,1702.0,1705.0,1722.0,1720.0,1713.0,1726.0,1703.0,1728.0,1715.0,1710.0,1708.0,1732.0,8186.0,모란,암사,1702,1735,1.0,1.0,False
1726.0,1710.0,1722.0,1658.0,1709.0,1715.0,1654.0,1657.0,1714.0,1712.0,1705.0,1718.0,1655.0,1719.0,1707.0,1702.0,1700.0,1724.0,8184.0,모란,암사,1654,1726,1.0,1.0,False
1718.0,1702.0,1714.0,1650.0,1700.0,1707.0,1645.0,1648.0,1705.0,1703.0,1656.0,1709.0,1647.0,1711.0,1658.0,1654.0,1651.0,1715.0,8182.0,모란,암사,1645,1718,1.0,1.0,False
1709.0,1653.0,1705.0,1641.0,1652.0,1658.0,1637.0,1640.0,1657.0,1655.0,1648.0,1701.0,1638.0,1703.0,1650.0,1645.0,1643.0,1707.0,8180.0,모란,암사,1637,1709,1.0,1.0,False
1701.0,1645.0,1657.0,1633.0,1643.0,1650.0,1628.0,1631.0,1648.0,1646.0,1639.0,1652.0,1630.0,1654.0,1641.0,1637.0,1634.0,1658.0,8178.0,모란,암사,1628,1701,1.0,1.0,False
1652.0,1636.0,1648.0,1624.0,1635.0,1641.0,1620.0,1623.0,1640.0,1638.0,1631.0,1644.0,1621.0,1646.0,1633.0,1628.0,1626.0,1650.0,8176.0,모란,암사,1620,1652,1.0,1.0,False
1644.0,1628.0,1640.0,1616.0,1626.0,1633.0,1611.0,1614.0,1631.0,1629.0,1622.0,1635.0,1613.0,1637.0,1624.0,1620.0,1617.0,1641.0,8174.0,모란,암사,1611,1644,1.0,1.0,False
1635.0,1619.0,1631.0,1607.0,1618.0,1624.0,1603.0,1606.0,1623.0,1621.0,1614.0,1627.0,1604.0,1629.0,1616.0,1611.0,1609.0,1633.0,8172.0,모란,암사,1603,1635,1.0,1.0,False
1627.0,1611.0,1623.0,1559.0,1609.0,1616.0,1554.0,1557.0,1614.0,1612.0,1605.0,1618.0,1556.0,1620.0,1607.0,1603.0,1600.0,1624.0,8170.0,모란,암사,1554,1627,1.0,1.0,False
1618.0,1602.0,1614.0,1550.0,1601.0,1607.0,1546.0,1549.0,1606.0,1604.0,1557.0,1610.0,1547.0,1612.0,1559.0,1554.0,1552.0,1616.0,8168.0,모란,암사,1546,1618,1.0,1.0,False
1610.0,1554.0,1606.0,1542.0,1552.0,1559.0,1537.0,1540.0,1557.0,1555.0,1548.0,1601.0,1539.0,1603.0,1550.0,1546.0,1543.0,1607.0,8166.0,모란,암사,1537,1610,1.0,1.0,False
1601.0,1545.0,1557.0,1533.0,1544.0,1550.0,1529.0,1532.0,1549.0,1547.0,1540.0,1553.0,1530.0,1555.0,1542.0,1537.0,1535.0,1559.0,8164.0,모란,암사,1529,1601,1.0,1.0,False
1553.0,1537.0,1549.0,1525.0,1535.0,1542.0,1520.0,1523.0,1540.0,1538.0,1531.0,1544.0,1522.0,1546.0,1533.0,1529.0,1526.0,1550.0,8162.0,모란,암사,1520,1553,1.0,1.0,False
