마곡나루,서울,청라국제도시,인천공항2터미널,계양,운서,공항화물청사,김포공항,검암,디지털미디어시티,공덕,영종,홍대입구,열차번호,출발역사명,도착역사명,출발시간,도착시간,요일,방향,급행선
,05:42,,,,,,,,05:30,,,,A3332,디지털미디어시티,서울,05:30,05:42,1.0,1.0,False
,05:53,,,,,,,,05:42,,,,A3334,디지털미디어시티,서울,05:42,05:53,1.0,1.0,False
,06:05,,,,,,,05:30,,,,,A3002,검암,서울,05:30,06:05,1.0,1.0,False
05:51,06:07,05:38,05:15,05:44,05:28,05:25,05:49,05:40,05:57,06:02,05:31,06:00,A1002,인천공항2터미널,서울,05:15,06:07,1.0,1.0,True
,06:16,,,,,,,05:42,,,,,A3004,검암,서울,05:42,06:16,1.0,1.0,False
,06:24,,05:18,,,,,,,,,,A2002,인천공항2터미널,서울,05:18,06:24,1.0,1.0,False
,06:31,,05:24,,,,,,,,,,A2004,인천공항2터미널,서울,05:24,06:31,1.0,1.0,False
,06:37,,05:31,,,,,,,,,,A2006,인천공항2터미널,서울,05:31,06:37,1.0,1.0,False
,06:45,,05:37,,,,,,,,,,A2008,인천공항2터미널,서울,05:37,06:45,1.0,1.0,False
06:26,06:41,06:13,05:50,06:19,06:03,06:00,06:24,06:15,06:32,06:37,06:06,06:35,A1004,인천공항2터미널,서울,05:50,06:41,1.0,1.0,True
,06:52,,05:44,,,,,,,,,,A2010,인천공항2터미널,서울,05:44,06:52,1.0,1.0,False
,07:00,,05:53,,,,,,,,,,A2012,인천공항2터미널,서울,05:53,07:00,1.0,1.0,False
,07:06,,06:00,,,,,,,,,,A2014,인천공항2터미널,서울,06:00,07:06,1.0,1.0,False
,07:11,,,,,,,06:36,,,,,A3006,검암,서울,06:36,07:11,1.0,1.0,False
,07:16,,06:09,,,,,,,,,,A2016,인천공항2터미널,서울,06:09,07:16,1.0,1.0,False
,07:24,,06:16,,,,,,,,,,A2018,인천공항2터미널,서울,06:16,07:24,1.0,1.0,False
,07:31,,06:23,,,,,,,,,,A2020,인천공항2터미널,서울,06:23,07:31,1.0,1.0,False
07:06,07:21,06:53,06:30,06:59,06:43,06:40,07:04,06:55,07:12,07:17,06:46,07:15,A1006,인천공항2터미널,서울,06:30,07:21,1.0,1.0,True
,07:35,,06:27,,,,,,,,,,A2022,인천공항2터미널,서울,06:27,07:35,1.0,1.0,False
,07:42,,06:35,,,,,,,,,,A2024,인천공항2터미널,서울,06:35,07:42,1.0,1.0,False
,07:48,,06:42,,,,,,,,,,A2026,인천공항2터미널,서울,06:42,07:48,1.0,1.0,False
,07:55,,06:48,,,,,,,,,,A2028,인천공항2터미널,서울,06:48,07:55,1.0,1.0,False
,08:01,,,,,,,07:27,,,,,A3008,검암,서울,07:27,08:01,1.0,1.0,False
,08:08,,07:01,,,,,,,,,,A2030,인천공항2터미널,서울,07:01,08:08,1.0,1.0,False
,08:16,,,,,,,07:40,,,,,A3010,검암,서울,07:40,08:16,1.0,1.0,False
