11712,11717,11715,11719,11716,11713,11714,11718,11721,11711,11720,열차번호,출발역사명,도착역사명,출발시간,도착시간,요일,방향,급행선
0531,0539,0536,0542,0537,0533,0534,0540,0547,0530,0544,1.0,샛강,관악산(서울대),05:30,0547,1.0,2.0,False
0541,0549,0546,0552,0547,0543,0544,0550,0557,0540,0554,2.0,샛강,관악산(서울대),05:40,0557,1.0,2.0,False
0551,0559,0556,0602,0557,0553,0554,0600,0607,0550,0604,3.0,샛강,관악산(서울대),05:50,0607,1.0,2.0,False
0601,0609,0606,0612,0607,0603,0604,0610,0617,0600,0614,4.0,샛강,관악산(서울대),06:00,0617,1.0,2.0,False
0611,0619,0616,0622,0617,0613,0614,0620,0627,0610,0624,5.0,샛강,관악산(서울대),06:10,0627,1.0,2.0,False
0621,0629,0626,0632,0627,0623,0624,0630,0637,0620,0634,6.0,샛강,관악산(서울대),06:20,0637,1.0,2.0,False
0631,0639,0636,0642,0637,0633,0634,0640,0647,0630,0644,7.0,샛강,관악산(서울대),06:30,0647,1.0,2.0,False
0637,0644,0642,0647,0643,0639,0640,0646,0652,0636,0649,8.0,샛강,관악산(서울대),06:36,0652,1.0,2.0,False
0641,0649,0646,0652,0647,0643,0644,0650,0657,0640,0654,9.0,샛강,관악산(서울대),06:40,0657,1.0,2.0,False
0651,0659,0656,0702,0657,0653,0654,0700,0707,0650,0704,10.0,샛강,관악산(서울대),06:50,0707,1.0,2.0,False
0655,0704,0701,0707,0702,0659,0659,0705,0712,0653,0709,11.0,샛강,관악산(서울대),06:53,0712,1.0,2.0,False
0701,0709,0706,0712,0707,0703,0704,0710,0717,0700,0714,12.0,샛강,관악산(서울대),07:00,0717,1.0,2.0,False
0709,0717,0714,0720,0715,0711,0712,0718,0725,0708,0722,13.0,샛강,관악산(서울대),07:08,0725,1.0,2.0,False
0716,0723,0720,0726,0722,0717,0719,0725,0731,0714,0728,14.0,샛강,관악산(서울대),07:14,0731,1.0,2.0,False
0722,0730,0727,0733,0728,0724,0725,0731,0738,0721,0735,15.0,샛강,관악산(서울대),07:21,0738,1.0,2.0,False
0725,0733,0731,0736,0732,0728,0729,0735,0741,0725,0738,16.0,샛강,관악산(서울대),07:25,0741,1.0,2.0,False
0729,0737,0734,0740,0735,0731,0732,0738,0745,0728,0742,17.0,샛강,관악산(서울대),07:28,0745,1.0,2.0,False
0732,0740,0738,0743,0739,0735,0736,0742,0748,0732,0745,18.0,샛강,관악산(서울대),07:32,0748,1.0,2.0,False
0736,0744,0741,0747,0742,0738,0739,0745,0752,0735,0749,19.0,샛강,관악산(서울대),07:35,0752,1.0,2.0,False
0740,0747,0745,0750,0746,0742,0743,0749,0755,0739,0752,20.0,샛강,관악산(서울대),07:39,0755,1.0,2.0,False
0743,0751,0748,0754,0749,0745,0746,0752,0759,0742,0756,21.0,샛강,관악산(서울대),07:42,0759,1.0,2.0,False
0747,0754,0752,0757,0753,0749,0750,0756,0802,0746,0759,22.0,샛강,관악산(서울대),07:46,0802,1.0,2.0,False
0750,0758,0755,0801,0756,0752,0753,0759,0806,0749,0803,23.0,샛강,관악산(서울대),07:49,0806,1.0,2.0,False
0754,0801,0758,0804,0800,0755,0757,0803,0809,0752,0806,24.0,샛강,관악산(서울대),07:52,0809,1.0,2.0,False
0757,0805,0802,0808,0803,0759,0800,0806,0813,0756,0810,25.0,샛강,관악산(서울대),07:56,0813,1.0,2.0,False
0801,0808,0805,0811,0807,0802,0804,0810,0816,0759,0813,26.0,샛강,관악산(서울대),07:59,0816,1.0,2.0,False
0804,0812,0809,0815,0810,0806,0807,0813,0820,0803,0817,27.0,샛강,관악산(서울대),08:03,0820,1.0,2.0,False
0808,0815,0812,0818,0814,0809,0811,0817,0823,0806,0820,28.0,샛강,관악산(서울대),08:06,0823,1.0,2.0,False
0811,0819,0816,0822,0817,0813,0814,0820,0827,0810,0824,29.0,샛강,관악산(서울대),08:10,0827,1.0,2.0,False
0815,0822,0819,0825,0821,0816,0818,0824,0830,0813,0827,30.0,샛강,관악산(서울대),08:13,0830,1.0,2.0,False
0818,0826,0823,0829,0824,0820,0821,0827,0834,0817,0831,31.0,샛강,관악산(서울대),08:17,0834,1.0,2.0,False
0822,0829,0826,0832,0828,0823,0825,0831,0837,0820,0834,32.0,샛강,관악산(서울대),08:20,0837,1.0,2.0,False
0825,0833,0830,0836,0831,0827,0828,0834,0841,0824,0838,33.0,샛강,관악산(서울대),08:24,0841,1.0,2.0,False
0829,0836,0833,0839,0835,0830,0832,0838,0844,0827,0841,34.0,샛강,관악산(서울대),08:27,0844,1.0,2.0,False
0832,0840,0837,0843,0838,0834,0835,0841,0848,0831,0845,35.0,샛강,관악산(서울대),08:31,0848,1.0,2.0,False
0836,0843,0840,0846,0842,0837,0839,0845,0851,0834,0848,36.0,샛강,관악산(서울대),08:34,0851,1.0,2.0,False
0839,0847,0844,0850,0845,0841,0842,0848,0855,0838,0852,37.0,샛강,관악산(서울대),08:38,0855,1.0,2.0,False
0843,0850,0847,0853,0849,0844,0846,0852,0858,0841,0855,38.0,샛강,관악산(서울대),08:41,0858,1.0,2.0,False
0846,0854,0851,0857,0852,0848,0849,0855,0902,0845,0859,39.0,샛강,관악산(서울대),08:45,0902,1.0,2.0,False
