1914,1916,1920,1908,1918,1907,1911,1917,1919,1912,1913,1915,1910,1921,1909,1922,열차번호,출발역사명,도착역사명,출발시간,도착시간,요일,방향,급행선
553.0,547.0,536.0,610.0,542.0,611.0,605.0,545.0,539.0,602.0,559.0,550.0,607.0,533.0,609.0,530.0,1,광교(경기대),신사,530,611,1.0,1.0,False
606.0,600.0,549.0,623.0,555.0,624.0,618.0,558.0,552.0,615.0,612.0,603.0,620.0,546.0,622.0,543.0,2,광교(경기대),신사,543,624,1.0,1.0,False
618.0,612.0,601.0,635.0,607.0,636.0,630.0,610.0,604.0,627.0,624.0,615.0,632.0,558.0,634.0,555.0,3,광교(경기대),신사,555,636,1.0,1.0,False
630.0,624.0,613.0,647.0,619.0,648.0,642.0,622.0,616.0,639.0,636.0,627.0,644.0,610.0,646.0,607.0,4,광교(경기대),신사,607,648,1.0,1.0,False
642.0,636.0,625.0,659.0,630.0,700.0,653.0,633.0,628.0,651.0,648.0,639.0,656.0,622.0,657.0,618.0,5,광교(경기대),신사,618,700,1.0,1.0,False
652.0,647.0,635.0,709.0,641.0,710.0,704.0,644.0,638.0,702.0,659.0,649.0,706.0,632.0,708.0,629.0,6,광교(경기대),신사,629,710,1.0,1.0,False
658.0,652.0,641.0,715.0,646.0,716.0,710.0,649.0,644.0,707.0,704.0,654.0,712.0,637.0,714.0,634.0,7,광교(경기대),신사,634,716,1.0,1.0,False
703.0,657.0,646.0,721.0,652.0,722.0,715.0,655.0,649.0,713.0,710.0,700.0,718.0,643.0,719.0,640.0,8,광교(경기대),신사,640,722,1.0,1.0,False
708.0,702.0,651.0,726.0,657.0,727.0,720.0,700.0,654.0,718.0,715.0,705.0,723.0,648.0,724.0,645.0,9,광교(경기대),신사,645,727,1.0,1.0,False
713.0,707.0,656.0,731.0,702.0,732.0,725.0,705.0,659.0,723.0,720.0,710.0,728.0,653.0,729.0,650.0,10,광교(경기대),신사,650,732,1.0,1.0,False
719.0,713.0,702.0,737.0,708.0,738.0,731.0,711.0,705.0,729.0,726.0,716.0,734.0,659.0,735.0,656.0,11,광교(경기대),신사,656,738,1.0,1.0,False
724.0,718.0,707.0,742.0,713.0,743.0,736.0,716.0,710.0,734.0,731.0,721.0,739.0,704.0,740.0,701.0,12,광교(경기대),신사,701,743,1.0,1.0,False
729.0,723.0,712.0,747.0,718.0,748.0,741.0,721.0,715.0,739.0,736.0,726.0,744.0,709.0,745.0,706.0,13,광교(경기대),신사,706,748,1.0,1.0,False
734.0,728.0,717.0,752.0,723.0,753.0,746.0,726.0,720.0,744.0,741.0,731.0,749.0,714.0,750.0,711.0,14,광교(경기대),신사,711,753,1.0,1.0,False
739.0,733.0,722.0,757.0,728.0,758.0,751.0,731.0,725.0,749.0,746.0,736.0,754.0,719.0,755.0,716.0,15,광교(경기대),신사,716,758,1.0,1.0,False
744.0,738.0,727.0,802.0,733.0,803.0,756.0,736.0,730.0,754.0,751.0,741.0,759.0,724.0,800.0,721.0,16,광교(경기대),신사,721,803,1.0,1.0,False
749.0,743.0,732.0,807.0,738.0,808.0,801.0,741.0,735.0,759.0,756.0,746.0,804.0,729.0,805.0,726.0,17,광교(경기대),신사,726,808,1.0,1.0,False
754.0,748.0,737.0,812.0,743.0,813.0,806.0,746.0,740.0,804.0,801.0,751.0,809.0,734.0,810.0,731.0,18,광교(경기대),신사,731,813,1.0,1.0,False
759.0,753.0,742.0,817.0,748.0,818.0,811.0,751.0,745.0,809.0,806.0,756.0,814.0,739.0,815.0,736.0,19,광교(경기대),신사,736,818,1.0,1.0,False
804.0,758.0,747.0,822.0,753.0,823.0,816.0,756.0,750.0,814.0,811.0,801.0,819.0,744.0,820.0,741.0,20,광교(경기대),신사,741,823,1.0,1.0,False
809.0,803.0,752.0,827.0,758.0,828.0,821.0,801.0,755.0,819.0,816.0,806.0,824.0,749.0,825.0,746.0,21,광교(경기대),신사,746,828,1.0,1.0,False
814.0,808.0,757.0,832.0,803.0,833.0,826.0,806.0,800.0,824.0,821.0,811.0,829.0,754.0,830.0,751.0,22,광교(경기대),신사,751,833,1.0,1.0,False
819.0,813.0,802.0,837.0,808.0,838.0,831.0,811.0,805.0,829.0,826.0,816.0,834.0,759.0,835.0,756.0,23,광교(경기대),신사,756,838,1.0,1.0,False
824.0,818.0,807.0,842.0,813.0,843.0,836.0,816.0,810.0,834.0,831.0,821.0,839.0,804.0,840.0,801.0,24,광교(경기대),신사,801,843,1.0,1.0,False
829.0,823.0,812.0,847.0,818.0,848.0,841.0,821.0,815.0,839.0,836.0,826.0,844.0,809.0,845.0,806.0,25,광교(경기대),신사,806,848,1.0,1.0,False
834.0,828.0,817.0,852.0,823.0,853.0,846.0,826.0,820.0,844.0,841.0,831.0,849.0,814.0,850.0,811.0,26,광교(경기대),신사,811,853,1.0,1.0,False
839.0,833.0,822.0,857.0,828.0,858.0,851.0,831.0,825.0,849.0,846.0,836.0,854.0,819.0,855.0,816.0,27,광교(경기대),신사,816,858,1.0,1.0,False
844.0,838.0,827.0,902.0,833.0,903.0,856.0,836.0,830.0,854.0,851.0,841.0,859.0,824.0,900.0,821.0,28,광교(경기대),신사,821,903,1.0,1.0,False
849.0,843.0,832.0,907.0,838.0,908.0,901.0,841.0,835.0,859.0,856.0,846.0,904.0,829.0,905.0,826.0,29,광교(경기대),신사,826,908,1.0,1.0,False
854.0,848.0,837.0,912.0,843.0,913.0,906.0,846.0,840.0,904.0,901.0,851.0,909.0,834.0,910.0,831.0,30,광교(경기대),신사,831,913,1.0,1.0,False
859.0,853.0,842.0,917.0,848.0,918.0,911.0,851.0,845.0,909.0,906.0,856.0,914.0,839.0,915.0,836.0,31,광교(경기대),신사,836,918,1.0,1.0,False
904.0,858.0,847.0,922.0,853.0,923.0,916.0,856.0,850.0,914.0,911.0,901.0,919.0,844.0,920.0,841.0,32,광교(경기대),신사,841,923,1.0,1.0,False
909.0,903.0,852.0,927.0,858.0,928.0,921.0,901.0,855.0,919.0,916.0,906.0,924.0,849.0,925.0,846.0,33,광교(경기대),신사,846,928,1.0,1.0,False
914.0,908.0,857.0,932.0,903.0,933.0,926.0,906.0,900.0,924.0,921.0,911.0,929.0,854.0,930.0,851.0,34,광교(경기대),신사,851,933,1.0,1.0,False
919.0,913.0,902.0,937.0,908.0,938.0,931.0,911.0,905.0,929.0,926.0,916.0,934.0,859.0,935.0,856.0,35,광교(경기대),신사,856,938,1.0,1.0,False
925.0,919.0,908.0,943.0,914.0,944.0,937.0,917.0,911.0,935.0,932.0,922.0,940.0,905.0,941.0,902.0,36,광교(경기대),신사,902,944,1.0,1.0,False
932.0,926.0,915.0,950.0,921.0,951.0,944.0,924.0,918.0,942.0,939.0,929.0,947.0,912.0,948.0,909.0,37,광교(경기대),신사,909,951,1.0,1.0,False
939.0,933.0,922.0,956.0,927.0,957.0,951.0,930.0,925.0,948.0,945.0,935.0,953.0,918.0,955.0,915.0,38,광교(경기대),신사,915,957,1.0,1.0,False
944.0,938.0,927.0,1002.0,933.0,1003.0,956.0,936.0,930.0,954.0,951.0,941.0,959.0,924.0,1000.0,921.0,39,광교(경기대),신사,921,1003,1.0,1.0,False
951.0,945.0,934.0,1008.0,939.0,1009.0,1003.0,942.0,937.0,1000.0,957.0,947.0,1005.0,930.0,1007.0,927.0,40,광교(경기대),신사,927,1009,1.0,1.0,False
958.0,952.0,941.0,1016.0,947.0,1017.0,1010.0,950.0,944.0,1008.0,1005.0,955.0,1012.0,938.0,1014.0,935.0,41,광교(경기대),신사,935,1017,1.0,1.0,False
1006.0,1000.0,949.0,1023.0,954.0,1024.0,1018.0,957.0,952.0,1015.0,1012.0,1003.0,1020.0,946.0,1022.0,942.0,42,광교(경기대),신사,942,1024,1.0,1.0,False
1014.0,1008.0,957.0,1032.0,1003.0,1033.0,1026.0,1006.0,1000.0,1024.0,1021.0,1011.0,1028.0,954.0,1030.0,951.0,43,광교(경기대),신사,951,1033,1.0,1.0,False
1023.0,1017.0,1006.0,1041.0,1012.0,1042.0,1035.0,1015.0,1009.0,1033.0,1030.0,1020.0,1037.0,1003.0,1039.0,1000.0,44,광교(경기대),신사,1000,1042,1.0,1.0,False
1030.0,1024.0,1013.0,1047.0,1018.0,1048.0,1042.0,1021.0,1016.0,1039.0,1036.0,1027.0,1044.0,1010.0,1046.0,1006.0,45,광교(경기대),신사,1006,1048,1.0,1.0,False
1038.0,1032.0,1021.0,1056.0,1027.0,1057.0,1050.0,1030.0,1024.0,1048.0,1045.0,1035.0,1052.0,1018.0,1054.0,1015.0,46,광교(경기대),신사,1015,1057,1.0,1.0,False
1045.0,1039.0,1028.0,1102.0,1033.0,1103.0,1057.0,1036.0,1031.0,1054.0,1051.0,1042.0,1059.0,1025.0,1101.0,1021.0,47,광교(경기대),신사,1021,1103,1.0,1.0,False
1053.0,1047.0,1036.0,1110.0,1041.0,1111.0,1104.0,1044.0,1039.0,1102.0,1059.0,1049.0,1107.0,1033.0,1108.0,1029.0,48,광교(경기대),신사,1029,1111,1.0,1.0,False
1100.0,1054.0,1043.0,1117.0,1048.0,1118.0,1112.0,1051.0,1046.0,1109.0,1106.0,1057.0,1114.0,1040.0,1116.0,1036.0,49,광교(경기대),신사,1036,1118,1.0,1.0,False
1108.0,1102.0,1051.0,1125.0,1056.0,1126.0,1120.0,1059.0,1054.0,1117.0,1114.0,1105.0,1122.0,1048.0,1124.0,1044.0,50,광교(경기대),신사,1044,1126,1.0,1.0,False
1116.0,1110.0,1059.0,1133.0,1104.0,1134.0,1128.0,1107.0,1102.0,1125.0,1122.0,1113.0,1130.0,1056.0,1132.0,1052.0,51,광교(경기대),신사,1052,1134,1.0,1.0,False
1124.0,1118.0,1107.0,1141.0,1113.0,1142.0,1136.0,1115.0,1110.0,1133.0,1130.0,1121.0,1138.0,1104.0,1140.0,1101.0,52,광교(경기대),신사,1101,1142,1.0,1.0,False
1132.0,1126.0,1115.0,1149.0,1120.0,1150.0,1144.0,1123.0,1118.0,1141.0,1138.0,1129.0,1146.0,1112.0,1148.0,1108.0,53,광교(경기대),신사,1108,1150,1.0,1.0,False
1140.0,1134.0,1123.0,1157.0,1128.0,1158.0,1152.0,1131.0,1126.0,1149.0,1146.0,1137.0,1154.0,1120.0,1156.0,1116.0,54,광교(경기대),신사,1116,1158,1.0,1.0,False
