11331,11327,11322,11326,11328,11324,11332,11333,11330,11323,11325,11321,11329,열차번호,출발역사명,도착역사명,출발시간,도착시간,요일,방향,급행선
0549,0540,0531,0538,0542,0535,0551,0553,0547,0533,0536,0530,0544,1.0,북한산우이,신설동,05:30,0553,1.0,1.0,False
0601,0552,0543,0550,0554,0547,0603,0605,0559,0545,0548,0542,0556,2.0,북한산우이,신설동,05:42,0605,1.0,1.0,False
0613,0604,0555,0602,0606,0559,0615,0617,0611,0557,0600,0554,0608,3.0,북한산우이,신설동,05:54,0617,1.0,1.0,False
0625,0616,0607,0614,0618,0611,0627,0629,0623,0609,0612,0606,0620,4.0,북한산우이,신설동,06:06,0629,1.0,1.0,False
0632,0623,0614,0621,0625,0618,0634,0636,0630,0616,0619,0613,0627,5.0,북한산우이,신설동,06:13,0636,1.0,1.0,False
0638,0629,0620,0627,0631,0624,0640,0642,0636,0622,0625,0619,0633,6.0,북한산우이,신설동,06:19,0642,1.0,1.0,False
0644,0635,0626,0633,0637,0630,0646,0648,0642,0628,0631,0625,0639,7.0,북한산우이,신설동,06:25,0648,1.0,1.0,False
0649,0641,0632,0638,0642,0635,0651,0653,0647,0633,0637,0630,0645,8.0,북한산우이,신설동,06:30,0653,1.0,1.0,False
0655,0647,0638,0644,0648,0641,0657,0659,0653,0639,0643,0636,0651,9.0,북한산우이,신설동,06:36,0659,1.0,1.0,False
0701,0653,0644,0650,0654,0647,0703,0705,0659,0645,0649,0642,0657,10.0,북한산우이,신설동,06:42,0705,1.0,1.0,False
0707,0658,0649,0656,0700,0653,0709,0711,0705,0651,0654,0648,0702,11.0,북한산우이,신설동,06:48,0711,1.0,1.0,False
0712,0703,0654,0701,0705,0658,0714,0716,0709,0656,0659,0653,0707,12.0,북한산우이,신설동,06:53,0716,1.0,1.0,False
0715,0707,0658,0705,0709,0701,0717,0719,0713,0700,0703,0657,0711,13.0,북한산우이,신설동,06:57,0719,1.0,1.0,False
0719,0710,0702,0708,0712,0705,0721,0723,0717,0703,0707,0700,0715,14.0,북한산우이,신설동,07:00,0723,1.0,1.0,False
0722,0714,0705,0711,0715,0708,0724,0726,0720,0707,0710,0703,0718,15.0,북한산우이,신설동,07:03,0726,1.0,1.0,False
0725,0716,0708,0714,0718,0711,0727,0729,0723,0709,0713,0706,0721,16.0,북한산우이,신설동,07:06,0729,1.0,1.0,False
0728,0719,0711,0717,0721,0714,0730,0732,0726,0712,0716,0709,0724,17.0,북한산우이,신설동,07:09,0732,1.0,1.0,False
0731,0722,0714,0720,0724,0717,0733,0735,0729,0715,0719,0712,0726,18.0,북한산우이,신설동,07:12,0735,1.0,1.0,False
0734,0725,0716,0723,0727,0720,0736,0738,0732,0718,0721,0715,0729,19.0,북한산우이,신설동,07:15,0738,1.0,1.0,False
0737,0728,0719,0726,0730,0723,0739,0741,0734,0721,0724,0718,0732,20.0,북한산우이,신설동,07:18,0741,1.0,1.0,False
0739,0731,0722,0729,0733,0726,0741,0743,0737,0724,0727,0721,0735,21.0,북한산우이,신설동,07:21,0743,1.0,1.0,False
0742,0734,0725,0732,0736,0728,0744,0746,0740,0727,0730,0724,0738,22.0,북한산우이,신설동,07:24,0746,1.0,1.0,False
0745,0737,0728,0735,0738,0731,0747,0749,0743,0730,0733,0726,0741,23.0,북한산우이,신설동,07:26,0749,1.0,1.0,False
0748,0739,0731,0737,0741,0734,0750,0752,0746,0732,0736,0729,0744,24.0,북한산우이,신설동,07:29,0752,1.0,1.0,False
0751,0742,0734,0740,0744,0737,0753,0755,0749,0735,0739,0732,0747,25.0,북한산우이,신설동,07:32,0755,1.0,1.0,False
0754,0745,0737,0743,0747,0740,0756,0758,0752,0738,0742,0735,0750,26.0,북한산우이,신설동,07:35,0758,1.0,1.0,False
0757,0748,0740,0746,0750,0743,0759,0801,0755,0741,0744,0738,0752,27.0,북한산우이,신설동,07:38,0801,1.0,1.0,False
0800,0751,0742,0749,0753,0746,0802,0804,0757,0744,0747,0741,0755,28.0,북한산우이,신설동,07:41,0804,1.0,1.0,False
0803,0754,0745,0752,0756,0749,0805,0807,0800,0747,0750,0744,0758,29.0,북한산우이,신설동,07:44,0807,1.0,1.0,False
0805,0757,0748,0755,0759,0751,0807,0809,0803,0750,0753,0747,0801,30.0,북한산우이,신설동,07:47,0809,1.0,1.0,False
0808,0800,0751,0758,0801,0754,0810,0812,0806,0753,0756,0750,0804,31.0,북한산우이,신설동,07:50,0812,1.0,1.0,False
0811,0803,0754,0800,0804,0757,0813,0815,0809,0756,0759,0752,0807,32.0,북한산우이,신설동,07:52,0815,1.0,1.0,False
0814,0805,0757,0803,0807,0800,0816,0818,0812,0758,0802,0755,0810,33.0,북한산우이,신설동,07:55,0818,1.0,1.0,False
0817,0808,0800,0806,0810,0803,0819,0821,0815,0801,0805,0758,0813,34.0,북한산우이,신설동,07:58,0821,1.0,1.0,False
0820,0811,0803,0809,0813,0806,0822,0824,0818,0804,0808,0801,0815,35.0,북한산우이,신설동,08:01,0824,1.0,1.0,False
0823,0814,0806,0812,0816,0809,0825,0827,0821,0807,0810,0804,0818,36.0,북한산우이,신설동,08:04,0827,1.0,1.0,False
0826,0817,0808,0815,0819,0812,0828,0830,0823,0810,0813,0807,0821,37.0,북한산우이,신설동,08:07,0830,1.0,1.0,False
0828,0820,0811,0818,0822,0815,0830,0832,0826,0813,0816,0810,0824,38.0,북한산우이,신설동,08:10,0832,1.0,1.0,False
