810,811,812,813,814,815,816,817,818,819,820,821,822,823,824,825,826,831,열차번호,출발시간,도착시간,출발역사명,도착역사명,요일,방향,급행선
537.0,535.0,533.0,531.0,530.0,,,,,,,,,,,,,,8002,530,537,잠실,암사,1,1,False
550.0,548.0,546.0,544.0,542.0,539.0,538.0,2400.0,,,,,,,,,2400.0,,8004,2400,550,가락시장,암사,1,1,False
602.0,600.0,558.0,555.0,554.0,551.0,550.0,548.0,546.0,545.0,543.0,538.0,536.0,534.0,533.0,531.0,530.0,541.0,8006,530,602,모란,암사,1,1,False
612.0,610.0,608.0,605.0,604.0,601.0,600.0,558.0,556.0,555.0,553.0,548.0,546.0,544.0,543.0,541.0,540.0,551.0,8008,540,612,모란,암사,1,1,False
622.0,620.0,618.0,615.0,614.0,611.0,610.0,608.0,606.0,605.0,603.0,558.0,556.0,554.0,553.0,551.0,550.0,601.0,8010,550,622,모란,암사,1,1,False
632.0,630.0,628.0,625.0,624.0,621.0,620.0,618.0,616.0,615.0,613.0,608.0,606.0,604.0,603.0,601.0,600.0,611.0,8012,600,632,모란,암사,1,1,False
642.0,640.0,638.0,635.0,634.0,631.0,630.0,628.0,626.0,625.0,623.0,618.0,616.0,614.0,613.0,611.0,610.0,621.0,8014,610,642,모란,암사,1,1,False
651.0,649.0,647.0,644.0,643.0,640.0,639.0,637.0,635.0,634.0,632.0,627.0,625.0,623.0,622.0,620.0,619.0,630.0,8016,619,651,모란,암사,1,1,False
700.0,658.0,656.0,653.0,652.0,649.0,648.0,646.0,644.0,643.0,641.0,636.0,634.0,632.0,631.0,629.0,628.0,639.0,8018,628,700,모란,암사,1,1,False
707.0,705.0,703.0,700.0,659.0,656.0,655.0,653.0,651.0,650.0,648.0,643.0,641.0,639.0,638.0,636.0,635.0,646.0,8020,635,707,모란,암사,1,1,False
714.0,712.0,710.0,707.0,706.0,703.0,702.0,700.0,658.0,657.0,655.0,650.0,648.0,646.0,645.0,643.0,642.0,653.0,8022,642,714,모란,암사,1,1,False
720.0,718.0,716.0,713.0,712.0,709.0,708.0,706.0,704.0,703.0,701.0,656.0,654.0,652.0,651.0,649.0,648.0,659.0,8024,648,720,모란,암사,1,1,False
726.0,724.0,722.0,719.0,718.0,715.0,714.0,712.0,710.0,709.0,707.0,702.0,700.0,658.0,657.0,655.0,654.0,705.0,8026,654,726,모란,암사,1,1,False
