1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,열차번호,출발시간,도착시간,출발역사명,도착역사명,요일,방향,급행선
,,,,535.0,533.0,530.0,527.0,525.0,522.0,519.0,515.0,512,,,,,,,,,,,,,K8002,512,535,평내호,상봉,1,1,False
,,,,553.0,551.0,548.0,545.0,543.0,540.0,537.0,533.0,530,,,,,,,,,,,,,K8004,530,553,평내호,상봉,1,1,False
,,,,607.0,605.0,602.0,559.0,557.0,554.0,551.0,547.0,544,,,,,,,,,,,,,K8006,544,607,평내호,상봉,1,1,False
631.0,628.0,625.0,,622.0,619.0,616.0,612.0,610.0,608.0,604.0,601.0,557,553.0,550.0,544.0,538.0,533.0,527.0,523.0,519.0,514.0,508.0,503.0,500.0,K8008,500,631,춘천,청량리,1,1,False
656.0,653.0,650.0,,647.0,645.0,642.0,638.0,636.0,634.0,630.0,627.0,623,619.0,616.0,610.0,604.0,559.0,553.0,549.0,545.0,540.0,534.0,529.0,526.0,K8010,526,656,춘천,청량리,1,1,False
,,,,717.0,715.0,712.0,709.0,707.0,704.0,701.0,657.0,653,649.0,647.0,641.0,631.0,626.0,620.0,616.0,612.0,607.0,601.0,556.0,553.0,K8012,553,717,춘천,상봉,1,1,False
732.0,728.0,,,723.0,,,716.0,714.0,711.0,708.0,,701,,656.0,,645.0,,636.0,,,625.0,,615.0,612.0,K8402,612,732,춘천,청량리,1,1,True
,,,,734.0,732.0,729.0,725.0,723.0,721.0,717.0,714.0,710,706.0,704.0,,,,,,,,,,,K8014,704,734,마석,상봉,1,1,False
,,,,746.0,744.0,741.0,737.0,735.0,733.0,729.0,726.0,722,718.0,715.0,709.0,703.0,658.0,652.0,648.0,644.0,639.0,633.0,628.0,625.0,K8016,625,746,춘천,상봉,1,1,False
,,,,808.0,806.0,803.0,759.0,757.0,755.0,751.0,748.0,744,740.0,737.0,731.0,725.0,720.0,709.0,705.0,701.0,656.0,650.0,645.0,642.0,K8018,642,808,춘천,상봉,1,1,False
,,,836.0,827.0,825.0,822.0,819.0,817.0,811.0,807.0,804.0,800,756.0,753.0,747.0,741.0,736.0,730.0,726.0,722.0,717.0,711.0,706.0,703.0,K8302,703,836,춘천,광운대,1,1,False
,,,,843.0,841.0,838.0,834.0,832.0,830.0,826.0,823.0,819,815.0,812.0,806.0,800.0,755.0,749.0,745.0,741.0,731.0,725.0,720.0,717.0,K8020,717,843,춘천,상봉,1,1,False
,,,,859.0,857.0,854.0,850.0,848.0,846.0,842.0,839.0,835,831.0,828.0,822.0,816.0,811.0,805.0,801.0,757.0,752.0,746.0,741.0,738.0,K8022,738,859,춘천,상봉,1,1,False
926.0,923.0,920.0,,917.0,915.0,912.0,909.0,907.0,904.0,901.0,857.0,854,,,,,,,,,,,,,K8024,854,926,평내호,청량리,1,1,False
946.0,942.0,939.0,,937.0,935.0,932.0,928.0,926.0,924.0,920.0,917.0,913,909.0,906.0,900.0,854.0,849.0,843.0,839.0,835.0,830.0,824.0,819.0,816.0,K8026,816,946,춘천,청량리,1,1,False
