4001,4002,4003,4004,4005,4006,4007,4008,4009,4010,4011,4012,4013,4020,열차번호,출발시간,도착시간,출발역사명,도착역사명,요일,방향,급행선
542.0,537.0,533.0,530.0,,,,,,,,,,,A3332,530,542,디지털미디어시티,서울,1,1,False
553.0,549.0,545.0,542.0,,,,,,,,,,,A3334,542,553,디지털미디어시티,서울,1,1,False
605.0,600.0,557.0,553.0,542.0,536.0,530.0,,,,,,,545.0,A3002,530,605,검암,서울,1,1,False
607.0,,,,,,,,,521.0,,,515.0,,A1002,515,607,인천공항2터미널,서울,1,1,True
616.0,612.0,608.0,604.0,554.0,547.0,542.0,,,,,,,557.0,A3004,542,616,검암,서울,1,1,False
624.0,620.0,616.0,612.0,602.0,555.0,549.0,532.0,527.0,523.0,544.0,536.0,518.0,605.0,A2002,518,624,인천공항2터미널,서울,1,1,False
631.0,626.0,623.0,619.0,608.0,602.0,556.0,538.0,534.0,530.0,551.0,542.0,524.0,611.0,A2004,524,631,인천공항2터미널,서울,1,1,False
637.0,633.0,629.0,625.0,615.0,608.0,602.0,545.0,540.0,536.0,557.0,549.0,531.0,618.0,A2006,531,637,인천공항2터미널,서울,1,1,False
641.0,,,,,,,,,556.0,,,550.0,,A1004,550,641,인천공항2터미널,서울,1,1,True
645.0,641.0,637.0,632.0,621.0,615.0,609.0,551.0,547.0,543.0,604.0,555.0,537.0,624.0,A2008,537,645,인천공항2터미널,서울,1,1,False
652.0,647.0,644.0,640.0,629.0,623.0,615.0,558.0,553.0,549.0,610.0,602.0,544.0,632.0,A2010,544,652,인천공항2터미널,서울,1,1,False
700.0,655.0,652.0,648.0,637.0,631.0,625.0,607.0,603.0,559.0,620.0,611.0,553.0,640.0,A2012,553,700,인천공항2터미널,서울,1,1,False
706.0,702.0,658.0,654.0,644.0,637.0,631.0,614.0,609.0,605.0,626.0,618.0,600.0,647.0,A2014,600,706,인천공항2터미널,서울,1,1,False
711.0,706.0,703.0,659.0,648.0,642.0,636.0,,,,,,,651.0,A3006,636,711,검암,서울,1,1,False
716.0,711.0,708.0,704.0,653.0,647.0,641.0,623.0,619.0,615.0,636.0,627.0,609.0,656.0,A2016,609,716,인천공항2터미널,서울,1,1,False
721.0,,,,,,,,,636.0,,,630.0,,A1006,630,721,인천공항2터미널,서울,1,1,True
724.0,720.0,716.0,711.0,700.0,654.0,648.0,630.0,626.0,622.0,643.0,634.0,616.0,703.0,A2018,616,724,인천공항2터미널,서울,1,1,False
731.0,726.0,723.0,719.0,708.0,702.0,654.0,637.0,632.0,628.0,649.0,641.0,623.0,711.0,A2020,623,731,인천공항2터미널,서울,1,1,False
735.0,731.0,727.0,723.0,713.0,706.0,700.0,641.0,637.0,633.0,655.0,645.0,627.0,716.0,A2022,627,735,인천공항2터미널,서울,1,1,False
742.0,737.0,734.0,730.0,719.0,713.0,707.0,649.0,645.0,641.0,702.0,653.0,635.0,722.0,A2024,635,742,인천공항2터미널,서울,1,1,False
748.0,744.0,740.0,736.0,726.0,719.0,713.0,656.0,651.0,647.0,708.0,700.0,642.0,729.0,A2026,642,748,인천공항2터미널,서울,1,1,False
755.0,750.0,747.0,743.0,732.0,726.0,720.0,702.0,658.0,654.0,715.0,706.0,648.0,735.0,A2028,648,755,인천공항2터미널,서울,1,1,False
801.0,757.0,753.0,749.0,739.0,732.0,727.0,,,,,,,742.0,A3008,727,801,검암,서울,1,1,False
