11711,11712,11713,11714,11715,11716,11717,11718,11719,11720,11721,출발시간,도착시간,출발역사명,도착역사명,요일,방향,급행선
546,544,543,541,540,538,537,535,534,532,530,530,546,관악산(서울대),샛강,1,1,False
556,554,553,551,550,548,547,545,544,542,540,540,556,관악산(서울대),샛강,1,1,False
606,604,603,601,600,558,557,555,554,552,550,550,606,관악산(서울대),샛강,1,1,False
616,614,613,611,610,608,607,605,604,602,600,600,616,관악산(서울대),샛강,1,1,False
626,624,623,621,620,618,617,615,614,612,610,610,626,관악산(서울대),샛강,1,1,False
636,634,633,631,630,628,627,625,624,622,620,620,636,관악산(서울대),샛강,1,1,False
646,644,643,641,640,638,637,635,634,632,630,630,646,관악산(서울대),샛강,1,1,False
656,654,653,651,650,648,647,645,644,642,640,640,656,관악산(서울대),샛강,1,1,False
704,702,701,659,659,656,655,653,652,650,648,648,704,관악산(서울대),샛강,1,1,False
710,708,707,705,704,702,701,659,658,656,654,654,710,관악산(서울대),샛강,1,1,False
716,714,713,711,710,708,707,705,704,702,700,700,716,관악산(서울대),샛강,1,1,False
723,721,720,718,717,715,714,712,711,709,707,707,723,관악산(서울대),샛강,1,1,False
730,728,727,725,724,722,721,719,718,716,714,714,730,관악산(서울대),샛강,1,1,False
737,735,734,732,731,729,728,726,725,723,721,721,737,관악산(서울대),샛강,1,1,False
744,742,741,739,738,736,735,733,732,730,728,728,744,관악산(서울대),샛강,1,1,False
751,749,747,746,744,743,741,740,738,736,734,734,751,관악산(서울대),샛강,1,1,False
754,752,751,749,748,746,745,743,742,740,738,738,754,관악산(서울대),샛강,1,1,False
758,756,757,753,751,750,748,747,745,743,741,741,758,관악산(서울대),샛강,1,1,False
801,759,758,756,755,753,752,750,749,747,745,745,801,관악산(서울대),샛강,1,1,False
805,803,801,800,758,757,755,754,752,750,748,748,805,관악산(서울대),샛강,1,1,False
808,806,805,803,802,800,759,757,756,754,752,752,808,관악산(서울대),샛강,1,1,False
812,810,808,807,805,804,802,801,759,757,755,755,812,관악산(서울대),샛강,1,1,False
815,813,812,810,809,807,806,804,803,801,759,759,815,관악산(서울대),샛강,1,1,False
819,817,815,814,812,811,809,808,806,804,802,802,819,관악산(서울대),샛강,1,1,False
822,820,819,817,816,814,813,811,810,808,806,806,822,관악산(서울대),샛강,1,1,False
826,824,822,821,819,818,816,815,813,811,809,809,826,관악산(서울대),샛강,1,1,False
829,827,826,824,823,821,820,818,817,815,813,813,829,관악산(서울대),샛강,1,1,False
833,831,829,828,826,825,823,822,820,818,816,816,833,관악산(서울대),샛강,1,1,False
836,834,833,831,830,828,827,825,824,822,820,820,836,관악산(서울대),샛강,1,1,False
840,838,836,835,833,832,830,829,827,825,823,823,840,관악산(서울대),샛강,1,1,False
843,841,840,838,837,835,834,832,831,829,827,827,843,관악산(서울대),샛강,1,1,False
847,845,843,842,840,839,837,836,834,832,830,830,847,관악산(서울대),샛강,1,1,False
850,848,847,845,844,842,841,839,838,836,834,834,850,관악산(서울대),샛강,1,1,False
854,852,850,849,847,846,844,843,841,839,837,837,854,관악산(서울대),샛강,1,1,False
857,855,854,852,851,849,848,846,845,843,841,841,857,관악산(서울대),샛강,1,1,False
901,859,857,856,854,853,851,850,848,846,844,844,901,관악산(서울대),샛강,1,1,False
904,902,901,859,858,856,855,853,852,850,848,848,904,관악산(서울대),샛강,1,1,False
908,906,904,903,901,900,858,857,855,853,851,851,908,관악산(서울대),샛강,1,1,False
911,909,908,906,905,903,902,900,859,857,855,855,911,관악산(서울대),샛강,1,1,False
915,913,911,910,908,907,905,904,902,900,858,858,915,관악산(서울대),샛강,1,1,False
918,916,915,913,912,910,909,907,906,904,902,902,918,관악산(서울대),샛강,1,1,False
922,920,918,917,915,914,912,911,909,907,905,905,922,관악산(서울대),샛강,1,1,False
925,923,922,920,919,917,916,914,913,911,909,909,925,관악산(서울대),샛강,1,1,False
929,927,925,924,922,921,919,918,916,914,912,912,929,관악산(서울대),샛강,1,1,False
932,930,929,927,926,924,923,921,920,918,916,916,932,관악산(서울대),샛강,1,1,False
936,934,932,931,929,928,926,925,923,921,919,919,936,관악산(서울대),샛강,1,1,False
939,937,936,934,933,931,930,928,927,925,923,923,939,관악산(서울대),샛강,1,1,False
943,941,939,938,936,935,933,932,930,928,926,926,943,관악산(서울대),샛강,1,1,False
946,944,943,941,940,938,937,935,934,932,930,930,946,관악산(서울대),샛강,1,1,False
950,948,947,945,944,942,941,939,938,936,934,934,950,관악산(서울대),샛강,1,1,False
957,955,954,952,951,949,948,946,945,943,941,941,957,관악산(서울대),샛강,1,1,False
