1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,출발시간,도착시간,출발역사명,도착역사명,요일,방향,급행선
551.0,550.0,548.0,547.0,544.0,542.0,539.0,533.0,530.0,,,,,,,,530,551,정자,신사,1.0,1.0,False
600.0,559.0,558.0,556.0,554.0,551.0,548.0,542.0,539.0,,,,,,,,539,600,정자,신사,1.0,1.0,False
611.0,610.0,609.0,607.0,605.0,602.0,559.0,553.0,550.0,547.0,545.0,542.0,539.0,536.0,533.0,530.0,530,611,광교(경기대),신사,1.0,1.0,False
624.0,623.0,622.0,620.0,618.0,615.0,612.0,606.0,603.0,600.0,558.0,555.0,552.0,549.0,546.0,543.0,543,624,광교(경기대),신사,1.0,1.0,False
636.0,635.0,634.0,632.0,630.0,627.0,624.0,618.0,615.0,612.0,610.0,607.0,604.0,601.0,558.0,555.0,555,636,광교(경기대),신사,1.0,1.0,False
648.0,647.0,646.0,644.0,642.0,639.0,636.0,630.0,627.0,624.0,622.0,619.0,616.0,613.0,610.0,607.0,607,648,광교(경기대),신사,1.0,1.0,False
700.0,659.0,657.0,656.0,653.0,651.0,648.0,642.0,639.0,636.0,633.0,630.0,628.0,625.0,622.0,618.0,618,700,광교(경기대),신사,1.0,1.0,False
710.0,709.0,708.0,706.0,704.0,702.0,659.0,652.0,649.0,647.0,644.0,641.0,638.0,635.0,632.0,629.0,629,710,광교(경기대),신사,1.0,1.0,False
716.0,715.0,714.0,712.0,710.0,707.0,704.0,658.0,654.0,652.0,649.0,646.0,644.0,641.0,637.0,634.0,634,716,광교(경기대),신사,1.0,1.0,False
722.0,721.0,719.0,718.0,715.0,713.0,710.0,703.0,700.0,657.0,655.0,652.0,649.0,646.0,643.0,640.0,640,722,광교(경기대),신사,1.0,1.0,False
727.0,726.0,724.0,723.0,720.0,718.0,715.0,708.0,705.0,702.0,700.0,657.0,654.0,651.0,648.0,645.0,645,727,광교(경기대),신사,1.0,1.0,False
732.0,731.0,729.0,728.0,725.0,723.0,720.0,713.0,710.0,707.0,705.0,702.0,659.0,656.0,653.0,650.0,650,732,광교(경기대),신사,1.0,1.0,False
738.0,737.0,735.0,734.0,731.0,729.0,726.0,719.0,716.0,713.0,711.0,708.0,705.0,702.0,659.0,656.0,656,738,광교(경기대),신사,1.0,1.0,False
743.0,742.0,740.0,739.0,736.0,734.0,731.0,724.0,721.0,718.0,716.0,713.0,710.0,707.0,704.0,701.0,701,743,광교(경기대),신사,1.0,1.0,False
748.0,747.0,745.0,744.0,741.0,739.0,736.0,729.0,726.0,723.0,721.0,718.0,715.0,712.0,709.0,706.0,706,748,광교(경기대),신사,1.0,1.0,False
753.0,752.0,750.0,749.0,746.0,744.0,741.0,734.0,731.0,728.0,726.0,723.0,720.0,717.0,714.0,711.0,711,753,광교(경기대),신사,1.0,1.0,False
758.0,757.0,755.0,754.0,751.0,749.0,746.0,739.0,736.0,733.0,731.0,728.0,725.0,722.0,719.0,716.0,716,758,광교(경기대),신사,1.0,1.0,False
803.0,802.0,800.0,759.0,756.0,754.0,751.0,744.0,741.0,738.0,736.0,733.0,730.0,727.0,724.0,721.0,721,803,광교(경기대),신사,1.0,1.0,False
808.0,807.0,805.0,804.0,801.0,759.0,756.0,749.0,746.0,743.0,741.0,738.0,735.0,732.0,729.0,726.0,726,808,광교(경기대),신사,1.0,1.0,False
813.0,812.0,810.0,809.0,806.0,804.0,801.0,754.0,751.0,748.0,746.0,743.0,740.0,737.0,734.0,731.0,731,813,광교(경기대),신사,1.0,1.0,False
818.0,817.0,815.0,814.0,811.0,809.0,806.0,759.0,756.0,753.0,751.0,748.0,745.0,742.0,739.0,736.0,736,818,광교(경기대),신사,1.0,1.0,False
823.0,822.0,820.0,819.0,816.0,814.0,811.0,804.0,801.0,758.0,756.0,753.0,750.0,747.0,744.0,741.0,741,823,광교(경기대),신사,1.0,1.0,False
828.0,827.0,825.0,824.0,821.0,819.0,816.0,809.0,806.0,803.0,801.0,758.0,755.0,752.0,749.0,746.0,746,828,광교(경기대),신사,1.0,1.0,False
833.0,832.0,830.0,829.0,826.0,824.0,821.0,814.0,811.0,808.0,806.0,803.0,800.0,757.0,754.0,751.0,751,833,광교(경기대),신사,1.0,1.0,False
838.0,837.0,835.0,834.0,831.0,829.0,826.0,819.0,816.0,813.0,811.0,808.0,805.0,802.0,759.0,756.0,756,838,광교(경기대),신사,1.0,1.0,False
843.0,842.0,840.0,839.0,836.0,834.0,831.0,824.0,821.0,818.0,816.0,813.0,810.0,807.0,804.0,801.0,801,843,광교(경기대),신사,1.0,1.0,False
848.0,847.0,845.0,844.0,841.0,839.0,836.0,829.0,826.0,823.0,821.0,818.0,815.0,812.0,809.0,806.0,806,848,광교(경기대),신사,1.0,1.0,False
853.0,852.0,850.0,849.0,846.0,844.0,841.0,834.0,831.0,828.0,826.0,823.0,820.0,817.0,814.0,811.0,811,853,광교(경기대),신사,1.0,1.0,False
858.0,857.0,855.0,854.0,851.0,849.0,846.0,839.0,836.0,833.0,831.0,828.0,825.0,822.0,819.0,816.0,816,858,광교(경기대),신사,1.0,1.0,False
903.0,902.0,900.0,859.0,856.0,854.0,851.0,844.0,841.0,838.0,836.0,833.0,830.0,827.0,824.0,821.0,821,903,광교(경기대),신사,1.0,1.0,False
908.0,907.0,905.0,904.0,901.0,859.0,856.0,849.0,846.0,843.0,841.0,838.0,835.0,832.0,829.0,826.0,826,908,광교(경기대),신사,1.0,1.0,False
913.0,912.0,910.0,909.0,906.0,904.0,901.0,854.0,851.0,848.0,846.0,843.0,840.0,837.0,834.0,831.0,831,913,광교(경기대),신사,1.0,1.0,False
918.0,917.0,915.0,914.0,911.0,909.0,906.0,859.0,856.0,853.0,851.0,848.0,845.0,842.0,839.0,836.0,836,918,광교(경기대),신사,1.0,1.0,False
923.0,922.0,920.0,919.0,916.0,914.0,911.0,904.0,901.0,858.0,856.0,853.0,850.0,847.0,844.0,841.0,841,923,광교(경기대),신사,1.0,1.0,False
928.0,927.0,925.0,924.0,921.0,919.0,916.0,909.0,906.0,903.0,901.0,858.0,855.0,852.0,849.0,846.0,846,928,광교(경기대),신사,1.0,1.0,False
933.0,932.0,930.0,929.0,926.0,924.0,921.0,914.0,911.0,908.0,906.0,903.0,900.0,857.0,854.0,851.0,851,933,광교(경기대),신사,1.0,1.0,False
938.0,937.0,935.0,934.0,931.0,929.0,926.0,919.0,916.0,913.0,911.0,908.0,905.0,902.0,859.0,856.0,856,938,광교(경기대),신사,1.0,1.0,False
944.0,943.0,941.0,940.0,937.0,935.0,932.0,925.0,922.0,919.0,917.0,914.0,911.0,908.0,905.0,902.0,902,944,광교(경기대),신사,1.0,1.0,False
951.0,950.0,948.0,947.0,944.0,942.0,939.0,932.0,929.0,926.0,924.0,921.0,918.0,915.0,912.0,909.0,909,951,광교(경기대),신사,1.0,1.0,False
957.0,956.0,955.0,953.0,951.0,948.0,945.0,939.0,935.0,933.0,930.0,927.0,925.0,922.0,918.0,915.0,915,957,광교(경기대),신사,1.0,1.0,False
1003.0,1002.0,1000.0,959.0,956.0,954.0,951.0,944.0,941.0,938.0,936.0,933.0,930.0,927.0,924.0,921.0,921,1003,광교(경기대),신사,1.0,1.0,False
1009.0,1008.0,1007.0,1005.0,1003.0,1000.0,957.0,951.0,947.0,945.0,942.0,939.0,937.0,934.0,930.0,927.0,927,1009,광교(경기대),신사,1.0,1.0,False
1017.0,1016.0,1014.0,1012.0,1010.0,1008.0,1005.0,958.0,955.0,952.0,950.0,947.0,944.0,941.0,938.0,935.0,935,1017,광교(경기대),신사,1.0,1.0,False
1024.0,1023.0,1022.0,1020.0,1018.0,1015.0,1012.0,1006.0,1003.0,1000.0,957.0,954.0,952.0,949.0,946.0,942.0,942,1024,광교(경기대),신사,1.0,1.0,False
1033.0,1032.0,1030.0,1028.0,1026.0,1024.0,1021.0,1014.0,1011.0,1008.0,1006.0,1003.0,1000.0,957.0,954.0,951.0,951,1033,광교(경기대),신사,1.0,1.0,False
1042.0,1041.0,1039.0,1037.0,1035.0,1033.0,1030.0,1023.0,1020.0,1017.0,1015.0,1012.0,1009.0,1006.0,1003.0,1000.0,1000,1042,광교(경기대),신사,1.0,1.0,False
1048.0,1047.0,1046.0,1044.0,1042.0,1039.0,1036.0,1030.0,1027.0,1024.0,1021.0,1018.0,1016.0,1013.0,1010.0,1006.0,1006,1048,광교(경기대),신사,1.0,1.0,False
1057.0,1056.0,1054.0,1052.0,1050.0,1048.0,1045.0,1038.0,1035.0,1032.0,1030.0,1027.0,1024.0,1021.0,1018.0,1015.0,1015,1057,광교(경기대),신사,1.0,1.0,False
1103.0,1102.0,1101.0,1059.0,1057.0,1054.0,1051.0,1045.0,1042.0,1039.0,1036.0,1033.0,1031.0,1028.0,1025.0,1021.0,1021,1103,광교(경기대),신사,1.0,1.0,False
1111.0,1110.0,1108.0,1107.0,1104.0,1102.0,1059.0,1053.0,1049.0,1047.0,1044.0,1041.0,1039.0,1036.0,1033.0,1029.0,1029,1111,광교(경기대),신사,1.0,1.0,False
1118.0,1117.0,1116.0,1114.0,1112.0,1109.0,1106.0,1100.0,1057.0,1054.0,1051.0,1048.0,1046.0,1043.0,1040.0,1036.0,1036,1118,광교(경기대),신사,1.0,1.0,False
1126.0,1125.0,1124.0,1122.0,1120.0,1117.0,1114.0,1108.0,1105.0,1102.0,1059.0,1056.0,1054.0,1051.0,1048.0,1044.0,1044,1126,광교(경기대),신사,1.0,1.0,False
1134.0,1133.0,1132.0,1130.0,1128.0,1125.0,1122.0,1116.0,1113.0,1110.0,1107.0,1104.0,1102.0,1059.0,1056.0,1052.0,1052,1134,광교(경기대),신사,1.0,1.0,False
1142.0,1141.0,1140.0,1138.0,1136.0,1133.0,1130.0,1124.0,1121.0,1118.0,1115.0,1113.0,1110.0,1107.0,1104.0,1101.0,1101,1142,광교(경기대),신사,1.0,1.0,False
