11321,11322,11323,11324,11325,11326,11327,11328,11329,11330,11331,11332,11333,출발시간,도착시간,출발역사명,도착역사명,요일,방향,급행선
530,531,533,535,536,538,540,542,544,547,549,551,553,530,553,북한산우이,신설동,1,1,False
542,543,545,547,548,550,552,554,556,559,601,603,605,542,605,북한산우이,신설동,1,1,False
554,555,557,559,600,602,604,606,608,611,613,615,617,554,617,북한산우이,신설동,1,1,False
606,607,609,611,612,614,616,618,620,623,625,627,629,606,629,북한산우이,신설동,1,1,False
613,614,616,618,619,621,623,625,627,630,632,634,636,613,636,북한산우이,신설동,1,1,False
619,620,622,624,625,627,629,631,633,636,638,640,642,619,642,북한산우이,신설동,1,1,False
625,626,628,630,631,633,635,637,639,642,644,646,648,625,648,북한산우이,신설동,1,1,False
630,632,633,635,637,638,641,642,645,647,649,651,653,630,653,북한산우이,신설동,1,1,False
636,638,639,641,643,644,647,648,651,653,655,657,659,636,659,북한산우이,신설동,1,1,False
642,644,645,647,649,650,653,654,657,659,701,703,705,642,705,북한산우이,신설동,1,1,False
648,649,651,653,654,656,658,700,702,705,707,709,711,648,711,북한산우이,신설동,1,1,False
653,654,656,658,659,701,703,705,707,709,712,714,716,653,716,북한산우이,신설동,1,1,False
657,658,700,701,703,705,707,709,711,713,715,717,719,657,719,북한산우이,신설동,1,1,False
700,702,703,705,707,708,710,712,715,717,719,721,723,700,723,북한산우이,신설동,1,1,False
703,705,707,708,710,711,714,715,718,720,722,724,726,703,726,북한산우이,신설동,1,1,False
706,708,709,711,713,714,716,718,721,723,725,727,729,706,729,북한산우이,신설동,1,1,False
709,711,712,714,716,717,719,721,724,726,728,730,732,709,732,북한산우이,신설동,1,1,False
712,714,715,717,719,720,722,724,726,729,731,733,735,712,735,북한산우이,신설동,1,1,False
715,716,718,720,721,723,725,727,729,732,734,736,738,715,738,북한산우이,신설동,1,1,False
718,719,721,723,724,726,728,730,732,734,737,739,741,718,741,북한산우이,신설동,1,1,False
721,722,724,726,727,729,731,733,735,737,739,741,743,721,743,북한산우이,신설동,1,1,False
724,725,727,728,730,732,734,736,738,740,742,744,746,724,746,북한산우이,신설동,1,1,False
726,728,730,731,733,735,737,738,741,743,745,747,749,726,749,북한산우이,신설동,1,1,False
729,731,732,734,736,737,739,741,744,746,748,750,752,729,752,북한산우이,신설동,1,1,False
732,734,735,737,739,740,742,744,747,749,751,753,755,732,755,북한산우이,신설동,1,1,False
735,737,738,740,742,743,745,747,750,752,754,756,758,735,758,북한산우이,신설동,1,1,False
738,740,741,743,744,746,748,750,752,755,757,759,801,738,801,북한산우이,신설동,1,1,False
741,742,744,746,747,749,751,753,755,757,800,802,804,741,804,북한산우이,신설동,1,1,False
744,745,747,749,750,752,754,756,758,800,803,805,807,744,807,북한산우이,신설동,1,1,False
747,748,750,751,753,755,757,759,801,803,805,807,809,747,809,북한산우이,신설동,1,1,False
750,751,753,754,756,758,800,801,804,806,808,810,812,750,812,북한산우이,신설동,1,1,False
752,754,756,757,759,800,803,804,807,809,811,813,815,752,815,북한산우이,신설동,1,1,False
755,757,758,800,802,803,805,807,810,812,814,816,818,755,818,북한산우이,신설동,1,1,False
758,800,801,803,805,806,808,810,813,815,817,819,821,758,821,북한산우이,신설동,1,1,False
801,803,804,806,808,809,811,813,815,818,820,822,824,801,824,북한산우이,신설동,1,1,False
804,806,807,809,810,812,814,816,818,821,823,825,827,804,827,북한산우이,신설동,1,1,False
807,808,810,812,813,815,817,819,821,823,826,828,830,807,830,북한산우이,신설동,1,1,False
810,811,813,815,816,818,820,822,824,826,828,830,832,810,832,북한산우이,신설동,1,1,False
813,814,816,817,819,821,823,825,827,829,831,833,835,813,835,북한산우이,신설동,1,1,False
815,817,819,820,822,824,826,827,830,832,834,836,838,815,838,북한산우이,신설동,1,1,False
818,820,821,823,825,826,829,830,833,835,837,839,841,818,841,북한산우이,신설동,1,1,False
821,823,824,826,828,829,831,833,836,838,840,842,844,821,844,북한산우이,신설동,1,1,False
824,826,827,829,831,832,834,836,839,841,843,845,847,824,847,북한산우이,신설동,1,1,False
827,829,830,832,833,835,837,839,841,844,846,848,850,827,850,북한산우이,신설동,1,1,False
830,831,833,835,836,838,840,842,844,847,849,851,853,830,853,북한산우이,신설동,1,1,False
833,834,836,838,839,841,843,845,847,849,852,854,856,833,856,북한산우이,신설동,1,1,False
836,837,839,841,842,844,846,848,850,852,854,856,858,836,858,북한산우이,신설동,1,1,False
839,840,842,843,845,847,849,850,853,855,857,859,901,839,901,북한산우이,신설동,1,1,False
841,843,845,846,848,849,852,853,856,858,900,902,904,841,904,북한산우이,신설동,1,1,False
844,846,847,849,851,852,854,856,859,901,903,905,907,844,907,북한산우이,신설동,1,1,False
847,849,850,852,854,855,857,859,902,904,906,908,910,847,910,북한산우이,신설동,1,1,False
850,852,853,855,857,858,900,902,905,907,909,911,913,850,913,북한산우이,신설동,1,1,False
853,855,856,858,859,901,903,905,907,910,912,914,916,853,916,북한산우이,신설동,1,1,False
