810,811,812,813,814,815,816,817,818,819,820,821,822,823,824,825,826,831,열차번호,출발시간,도착시간,출발역사명,도착역사명,요일,방향,급행선
2105.0,2103.0,2101.0,2058.0,2057.0,2054.0,2053.0,2051.0,2049.0,2048.0,2046.0,2041.0,2039.0,2037.0,2036.0,2034.0,2033.0,2044.0,8250,2033,2105,모란,암사,1,1,False
2114.0,2112.0,2110.0,2107.0,2106.0,2103.0,2102.0,2100.0,2058.0,2057.0,2055.0,2050.0,2048.0,2046.0,2045.0,2043.0,2042.0,2053.0,8252,2042,2114,모란,암사,1,1,False
2123.0,2121.0,2119.0,2116.0,2115.0,2112.0,2111.0,2109.0,2107.0,2106.0,2104.0,2059.0,2057.0,2055.0,2054.0,2052.0,2051.0,2102.0,8254,2051,2123,모란,암사,1,1,False
2132.0,2130.0,2128.0,2125.0,2124.0,2121.0,2120.0,2118.0,2116.0,2115.0,2113.0,2108.0,2106.0,2104.0,2103.0,2101.0,2100.0,2111.0,8256,2100,2132,모란,암사,1,1,False
2141.0,2139.0,2137.0,2134.0,2133.0,2130.0,2129.0,2127.0,2125.0,2124.0,2122.0,2117.0,2115.0,2113.0,2112.0,2110.0,2109.0,2120.0,8258,2109,2141,모란,암사,1,1,False
2150.0,2148.0,2146.0,2143.0,2142.0,2139.0,2138.0,2136.0,2134.0,2133.0,2131.0,2126.0,2124.0,2122.0,2121.0,2119.0,2118.0,2129.0,8260,2118,2150,모란,암사,1,1,False
2159.0,2157.0,2155.0,2152.0,2151.0,2148.0,2147.0,2145.0,2143.0,2142.0,2140.0,2135.0,2133.0,2131.0,2130.0,2128.0,2127.0,2138.0,8262,2127,2159,모란,암사,1,1,False
2208.0,2206.0,2204.0,2201.0,2200.0,2157.0,2156.0,2154.0,2152.0,2151.0,2149.0,2144.0,2142.0,2140.0,2139.0,2137.0,2136.0,2147.0,8264,2136,2208,모란,암사,1,1,False
2217.0,2215.0,2213.0,2210.0,2209.0,2206.0,2205.0,2203.0,2201.0,2200.0,2158.0,2153.0,2151.0,2149.0,2148.0,2146.0,2145.0,2156.0,8266,2145,2217,모란,암사,1,1,False
2227.0,2225.0,2223.0,2220.0,2219.0,2216.0,2215.0,2213.0,2211.0,2210.0,2208.0,2203.0,2201.0,2159.0,2158.0,2156.0,2155.0,2206.0,8268,2155,2227,모란,암사,1,1,False
2237.0,2235.0,2233.0,2230.0,2229.0,2226.0,2225.0,2223.0,2221.0,2220.0,2218.0,2213.0,2211.0,2209.0,2208.0,2206.0,2205.0,2216.0,8270,2205,2237,모란,암사,1,1,False
2247.0,2245.0,2243.0,2240.0,2239.0,2236.0,2235.0,2233.0,2231.0,2230.0,2228.0,2223.0,2221.0,2219.0,2218.0,2216.0,2215.0,2226.0,8272,2215,2247,모란,암사,1,1,False
2257.0,2255.0,2253.0,2250.0,2249.0,2246.0,2245.0,2243.0,2241.0,2240.0,2238.0,2233.0,2231.0,2229.0,2228.0,2226.0,2225.0,2236.0,8274,2225,2257,모란,암사,1,1,False
