1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,열차번호,출발시간,도착시간,출발역사명,도착역사명,요일,방향,급행선
,,,,2106.0,2104.0,2101.0,2057.0,2055.0,2053.0,2049.0,2046.0,2042,2038.0,2035.0,2029.0,2023.0,2018.0,2012.0,2008.0,2004.0,1959.0,1953.0,1948.0,1945.0,K8086,1945,2106,춘천,상봉,1,1,False
2123.0,2119.0,,,2114.0,,,2107.0,2105.0,2102.0,2059.0,,2052,,2047.0,,2036.0,,2027.0,,,2016.0,,2006.0,2003.0,K8404,2003,2123,춘천,청량리,1,1,True
,,,,2133.0,2131.0,2128.0,2124.0,2122.0,2120.0,2116.0,2113.0,2109,2105.0,2102.0,2056.0,2050.0,2045.0,2039.0,2035.0,2031.0,2026.0,2020.0,2015.0,2012.0,K8088,2012,2133,춘천,상봉,1,1,False
2157.0,2153.0,2150.0,,2148.0,2146.0,2143.0,2139.0,2137.0,2135.0,2131.0,2128.0,2124,2120.0,2117.0,2111.0,2105.0,2100.0,2054.0,2050.0,2046.0,2041.0,2035.0,2030.0,2027.0,K8090,2027,2157,춘천,청량리,1,1,False
,,,,2215.0,2213.0,2210.0,2207.0,2205.0,2158.0,2154.0,2151.0,2147,2143.0,2140.0,2134.0,2128.0,2123.0,2117.0,2113.0,2109.0,2104.0,2058.0,2053.0,2050.0,K8092,2050,2215,춘천,상봉,1,1,False
,,,,2233.0,2231.0,2228.0,2224.0,2222.0,2220.0,2216.0,2213.0,2209,2205.0,2202.0,2156.0,2150.0,2145.0,2139.0,2135.0,2131.0,2121.0,2115.0,2110.0,2107.0,K8094,2107,2233,춘천,상봉,1,1,False
,,,,2249.0,2247.0,2244.0,2240.0,2238.0,2236.0,2232.0,2229.0,2225,2221.0,2218.0,2212.0,2206.0,2201.0,2155.0,2151.0,2147.0,2142.0,2136.0,2131.0,2128.0,K8096,2128,2249,춘천,상봉,1,1,False
,,,,2312.0,2310.0,2307.0,2304.0,2302.0,2255.0,2251.0,2248.0,2244,2240.0,2237.0,2231.0,2225.0,2220.0,2214.0,2210.0,2206.0,2201.0,2155.0,2150.0,2147.0,K8098,2147,2312,춘천,상봉,1,1,False
2333.0,2330.0,2327.0,,2324.0,2322.0,2319.0,2316.0,2314.0,2311.0,2308.0,2304.0,2300,2256.0,2254.0,2248.0,2237.0,2232.0,2226.0,2222.0,2218.0,2213.0,2207.0,2202.0,2159.0,K8100,2159,2333,춘천,청량리,1,1,False
,,,,2341.0,2339.0,2336.0,2332.0,2330.0,2328.0,2324.0,2321.0,2317,2313.0,2310.0,2304.0,2258.0,2253.0,2247.0,2243.0,2239.0,2234.0,2228.0,2223.0,2220.0,K8102,2220,2341,춘천,상봉,1,1,False
,,,,2405.0,2403.0,2400.0,2356.0,2354.0,2352.0,2348.0,2345.0,2341,2337.0,2334.0,2328.0,2322.0,2317.0,2311.0,2307.0,2303.0,2258.0,2252.0,2247.0,2244.0,K8104,2244,2405,춘천,상봉,1,1,False
,,,,,,,,,,,,2402,2358.0,2355.0,2349.0,2343.0,2338.0,2332.0,2328.0,2324.0,2319.0,2313.0,2308.0,2305.0,K8106,2305,2402,춘천,평내호,1,1,False
,,,,,,,,,,,,2427,2423.0,2420.0,2414.0,2408.0,2403.0,2357.0,2353.0,2349.0,2344.0,2338.0,2333.0,2330.0,K8108,2330,2427,춘천,평내호,1,1,False
,,,,1955.0,1956.0,1959.0,2003.0,2005.0,2007.0,2011.0,2014.0,2018,2022.0,2025.0,2031.0,2037.0,2042.0,2048.0,2052.0,2056.0,2101.0,2107.0,2112.0,2116.0,K8087,1955,2116,상봉,춘천,1,2,False
,,,,2012.0,2013.0,2016.0,2020.0,2022.0,2024.0,2028.0,2031.0,2035,2039.0,2042.0,2048.0,2054.0,2103.0,2109.0,2113.0,2117.0,2122.0,2128.0,2133.0,2137.0,K8089,2012,2137,상봉,춘천,1,2,False
,,,2031.0,2039.0,2041.0,2044.0,2047.0,2049.0,2052.0,2055.0,2059.0,2103,2107.0,2109.0,2115.0,2122.0,2132.0,2138.0,2142.0,2146.0,2151.0,2157.0,2202.0,2206.0,K8303,2031,2206,광운대,춘천,1,2,False
,,,,2104.0,2105.0,2108.0,2112.0,2114.0,2116.0,2120.0,2123.0,2127,2131.0,2134.0,2140.0,2146.0,2151.0,2157.0,2201.0,2205.0,2210.0,2216.0,2221.0,2225.0,K8093,2104,2225,상봉,춘천,1,2,False
,,,,2125.0,2126.0,2129.0,2133.0,2135.0,2137.0,2141.0,2144.0,2148,2152.0,2155.0,2201.0,2207.0,2216.0,2222.0,2226.0,2230.0,2235.0,2241.0,2246.0,2250.0,K8095,2125,2250,상봉,춘천,1,2,False
2142.0,2145.0,,,2150.0,,,2157.0,2159.0,2202.0,2205.0,,2212,,2217.0,,2228.0,,2237.0,,,2248.0,,2258.0,2302.0,K8405,2142,2302,청량리,춘천,1,2,True
,,,,2156.0,2157.0,2200.0,2204.0,2206.0,2208.0,2212.0,2215.0,2219,2223.0,2226.0,2232.0,2238.0,2243.0,2249.0,2253.0,2257.0,2302.0,2308.0,2313.0,2317.0,K8097,2156,2317,상봉,춘천,1,2,False
2211.0,2214.0,2217.0,,2219.0,2221.0,2224.0,2228.0,2230.0,2232.0,2236.0,2239.0,2243,2247.0,2250.0,2256.0,2302.0,2307.0,2313.0,2317.0,2321.0,2326.0,2332.0,2337.0,2341.0,K8099,2211,2341,청량리,춘천,1,2,False
,,,,2242.0,2243.0,2246.0,2250.0,2252.0,2254.0,2258.0,2301.0,2305,2309.0,2312.0,2318.0,2324.0,2329.0,2335.0,2339.0,2343.0,2348.0,2358.0,2404.0,2407.0,K8101,2242,2407,상봉,춘천,1,2,False
,,,,2257.0,2258.0,2301.0,2305.0,2307.0,2309.0,2313.0,2316.0,2320,,,,,,,,,,,,,K8103,2257,2320,상봉,평내호,1,2,False
,,,,2316.0,2317.0,2320.0,2324.0,2326.0,2328.0,2332.0,2335.0,2339,2343.0,2346.0,2352.0,2358.0,2403.0,2409.0,2413.0,2417.0,2422.0,2428.0,2433.0,2437.0,K8105,2316,2437,상봉,춘천,1,2,False
,,,,2330.0,2331.0,2334.0,2338.0,2340.0,2342.0,2346.0,2349.0,2353,2357.0,2400.0,,,,,,,,,,,K8107,2330,2400,상봉,마석,1,2,False
2345.0,2348.0,2351.0,,2353.0,2355.0,2358.0,2402.0,2404.0,2406.0,2410.0,2413.0,2417,2421.0,2424.0,,,,,,,,,,,K8109,2345,2424,청량리,마석,1,2,False
,,,,2111.0,2109.0,2106.0,2103.0,2101.0,2058.0,2055.0,2051.0,2047,2043.0,2041.0,2035.0,2028.0,2023.0,2017.0,2013.0,2009.0,2004.0,1958.0,1953.0,1950.0,K8072,1950,2111,춘천,상봉,2,1,False
2146.0,2143.0,2140.0,,2137.0,2135.0,2132.0,2129.0,2127.0,2124.0,2121.0,2117.0,2113,2109.0,2102.0,2056.0,2050.0,2045.0,2039.0,2035.0,2031.0,2026.0,2020.0,2015.0,2012.0,K8074,2012,2146,춘천,청량리,2,1,False
,,,,2201.0,2159.0,2156.0,2152.0,2150.0,2148.0,2144.0,2141.0,2137,2133.0,2130.0,2124.0,2118.0,2113.0,2107.0,2103.0,2059.0,2054.0,2048.0,2043.0,2040.0,K8076,2040,2201,춘천,상봉,2,1,False
,,,,2235.0,2233.0,2230.0,2227.0,2225.0,2222.0,2219.0,2215.0,2211,2207.0,2205.0,2159.0,2152.0,2148.0,2142.0,2137.0,2134.0,2124.0,2118.0,2113.0,2110.0,K8078,2110,2235,춘천,상봉,2,1,False
,,,,2301.0,2259.0,2256.0,2253.0,2251.0,2248.0,2245.0,2241.0,2237,2233.0,2231.0,2225.0,2218.0,2214.0,2202.0,2158.0,2154.0,2149.0,2143.0,2138.0,2135.0,K8080,2135,2301,춘천,상봉,2,1,False
2330.0,2326.0,2323.0,,2321.0,2319.0,2316.0,2312.0,2310.0,2308.0,2304.0,2301.0,2257,2253.0,2250.0,2240.0,2234.0,2229.0,2223.0,2219.0,2215.0,2210.0,2204.0,2159.0,2156.0,K8082,2156,2330,춘천,청량리,2,1,False
,,,,2339.0,2337.0,2334.0,2330.0,2328.0,2326.0,2322.0,2319.0,2315,2311.0,2308.0,2302.0,2256.0,2251.0,2245.0,2241.0,2237.0,2232.0,2226.0,2221.0,2218.0,K8084,2218,2339,춘천,상봉,2,1,False
,,,,2406.0,2404.0,2401.0,2357.0,2355.0,2353.0,2349.0,2346.0,2342,2338.0,2335.0,2329.0,2323.0,2318.0,2312.0,2308.0,2304.0,2259.0,2253.0,2248.0,2245.0,K8086,2245,2406,춘천,상봉,2,1,False
,,,,,,,,,,,,2407,2403.0,2400.0,2354.0,2348.0,2343.0,2337.0,2333.0,2329.0,2324.0,2318.0,2313.0,2310.0,K8088,2310,2407,춘천,평내호,2,1,False
1928.0,1931.0,1934.0,,1936.0,1938.0,1941.0,1945.0,1947.0,1949.0,1953.0,1956.0,2000,2004.0,2007.0,2013.0,2019.0,2028.0,2034.0,2038.0,2042.0,2047.0,2053.0,2058.0,2102.0,K8067,1928,2102,청량리,춘천,2,2,False
