11711,11712,11713,11714,11715,11716,11717,11718,11719,11720,11721,출발시간,도착시간,출발역사명,도착역사명,요일,방향,급행선
2100,2058,2057,2055,2054,2052,2051,2049,2048,2046,2044,2044,2100,관악산(서울대),샛강,1,1,False
2107,2105,2104,2102,2101,2059,2058,2056,2055,2053,2051,2051,2107,관악산(서울대),샛강,1,1,False
2114,2112,2111,2109,2108,2106,2105,2103,2102,2100,2058,2058,2114,관악산(서울대),샛강,1,1,False
2121,2119,2118,2116,2115,2113,2112,2110,2109,2107,2105,2105,2121,관악산(서울대),샛강,1,1,False
2128,2126,2125,2123,2122,2120,2119,2117,2116,2114,2112,2112,2128,관악산(서울대),샛강,1,1,False
2135,2133,2132,2130,2129,2127,2126,2124,2123,2121,2119,2119,2135,관악산(서울대),샛강,1,1,False
2142,2140,2139,2137,2136,2134,2133,2131,2130,2128,2126,2126,2142,관악산(서울대),샛강,1,1,False
2149,2147,2146,2144,2143,2141,2140,2138,2137,2135,2133,2133,2149,관악산(서울대),샛강,1,1,False
2156,2154,2153,2151,2150,2148,2147,2145,2144,2142,2140,2140,2156,관악산(서울대),샛강,1,1,False
2203,2201,2200,2158,2157,2155,2154,2152,2151,2149,2147,2147,2203,관악산(서울대),샛강,1,1,False
2210,2208,2207,2205,2204,2202,2201,2159,2158,2156,2154,2154,2210,관악산(서울대),샛강,1,1,False
2217,2215,2214,2212,2211,2209,2208,2206,2205,2203,2201,2201,2217,관악산(서울대),샛강,1,1,False
2224,2222,2221,2219,2218,2216,2215,2213,2212,2210,2208,2208,2224,관악산(서울대),샛강,1,1,False
2231,2229,2228,2226,2225,2223,2222,2220,2219,2217,2215,2215,2231,관악산(서울대),샛강,1,1,False
2239,2237,2235,2234,2232,2231,2229,2228,2226,2224,2222,2222,2239,관악산(서울대),샛강,1,1,False
2246,2244,2243,2241,2240,2238,2237,2235,2234,2232,2230,2230,2246,관악산(서울대),샛강,1,1,False
2254,2252,2250,2249,2247,2246,2244,2243,2241,2239,2237,2237,2254,관악산(서울대),샛강,1,1,False
2301,2259,2258,2256,2255,2253,2252,2250,2249,2247,2245,2245,2301,관악산(서울대),샛강,1,1,False
2309,2307,2305,2304,2302,2301,2259,2258,2256,2254,2252,2252,2309,관악산(서울대),샛강,1,1,False
2316,2314,2313,2311,2310,2308,2307,2305,2304,2302,2300,2300,2316,관악산(서울대),샛강,1,1,False
2322,2320,2319,2317,2316,2314,2313,2311,2310,2308,2306,2306,2322,관악산(서울대),샛강,1,1,False
2330,2328,2327,2325,2324,2322,2321,2319,2318,2316,2314,2314,2330,관악산(서울대),샛강,1,1,False
2340,2338,2337,2335,2334,2332,2331,2329,2328,2326,2324,2324,2340,관악산(서울대),샛강,1,1,False
2350,2348,2347,2345,2344,2342,2341,2339,2338,2336,2334,2334,2350,관악산(서울대),샛강,1,1,False
2400,2358,2357,2355,2354,2352,2351,2349,2348,2346,2344,2344,2400,관악산(서울대),샛강,1,1,False
2410,2408,2407,2405,2404,2402,2401,2309,2358,2356,2354,2354,2410,관악산(서울대),샛강,1,1,False
2420,2418,2417,2415,2414,2412,2411,2409,2408,2406,2404,2404,2420,관악산(서울대),샛강,1,1,False
2430,2428,2427,2425,2424,2422,2421,2419,2418,2416,2414,2414,2430,관악산(서울대),샛강,1,1,False
2440,2438,2437,2435,2434,2432,2431,2429,2428,2426,2424,2424,2440,관악산(서울대),샛강,1,1,False
2450,2448,2447,2445,2444,2442,2441,2439,2438,2436,2434,2434,2450,관악산(서울대),샛강,1,1,False
2500,2458,2457,2455,2454,2452,2451,2449,2448,2446,2444,2444,2500,관악산(서울대),샛강,1,1,False
2046,2054,2049,2050,2052,2053,2055,2056,2058,2100,2103,2046,2103,샛강,관악산(서울대),1,2,False
2053,2101,2056,2057,2059,2100,2102,2103,2105,2107,2110,2053,2110,샛강,관악산(서울대),1,2,False
2100,2108,2103,2104,2106,2107,2109,2110,2112,2114,2117,2100,2117,샛강,관악산(서울대),1,2,False
2107,2115,2110,2111,2113,2114,2116,2117,2119,2121,2124,2107,2124,샛강,관악산(서울대),1,2,False
2114,2122,2117,2118,2120,2121,2123,2124,2126,2128,2131,2114,2131,샛강,관악산(서울대),1,2,False
2121,2129,2124,2125,2127,2128,2130,2131,2133,2135,2138,2121,2138,샛강,관악산(서울대),1,2,False
2128,2136,2131,2132,2134,2135,2137,2138,2140,2142,2145,2128,2145,샛강,관악산(서울대),1,2,False
2135,2143,2138,2139,2141,2142,2144,2145,2147,2149,2152,2135,2152,샛강,관악산(서울대),1,2,False
2142,2150,2145,2146,2148,2149,2151,2152,2154,2156,2159,2142,2159,샛강,관악산(서울대),1,2,False
2149,2157,2152,2153,2155,2156,2158,2159,2201,2203,2206,2149,2206,샛강,관악산(서울대),1,2,False
2156,2205,2159,2200,2202,2203,2205,2206,2208,2210,2213,2156,2213,샛강,관악산(서울대),1,2,False
2203,2212,2206,2208,2209,2211,2212,2214,2215,2217,2220,2203,2220,샛강,관악산(서울대),1,2,False
2211,2220,2214,2215,2217,2218,2220,2221,2223,2225,2228,2211,2228,샛강,관악산(서울대),1,2,False
2218,2227,2221,2223,2224,2226,2227,2229,2230,2232,2235,2218,2235,샛강,관악산(서울대),1,2,False
2226,2235,2229,2230,2232,2233,2235,2236,2238,2240,2243,2226,2243,샛강,관악산(서울대),1,2,False
2233,2242,2236,2238,2239,2241,2242,2244,2245,2247,2250,2233,2250,샛강,관악산(서울대),1,2,False
2241,2250,2244,2245,2247,2248,2250,2251,2253,2255,2258,2241,2258,샛강,관악산(서울대),1,2,False
2248,2257,2251,2253,2254,2256,2257,2259,2300,2302,2305,2248,2305,샛강,관악산(서울대),1,2,False
2256,2305,2259,2300,2302,2303,2305,2306,2308,2310,2313,2256,2313,샛강,관악산(서울대),1,2,False
2304,2315,2307,2308,2310,2311,2313,2314,2316,2318,2321,2304,2321,샛강,관악산(서울대),1,2,False
2314,2325,2317,2318,2320,2321,2323,2324,2326,2328,2331,2314,2331,샛강,관악산(서울대),1,2,False
2324,2335,2327,2328,2330,2331,2333,2334,2336,2338,2341,2324,2341,샛강,관악산(서울대),1,2,False
2334,2345,2337,2338,2340,2341,2343,2344,2346,2348,2351,2334,2351,샛강,관악산(서울대),1,2,False
2344,2345,2347,2348,2350,2351,2353,2354,2356,2358,2401,2344,2401,샛강,관악산(서울대),1,2,False
2354,2355,2357,2358,2400,2401,2403,2404,2406,2408,2411,2354,2411,샛강,관악산(서울대),1,2,False
2404,2405,2407,2408,2410,2411,2413,2414,2416,2418,2421,2404,2421,샛강,관악산(서울대),1,2,False
2414,2415,2417,2418,2420,2421,2423,2424,2426,2428,2431,2414,2431,샛강,관악산(서울대),1,2,False
2424,2425,2427,2428,2430,2431,2433,2434,2436,2438,2441,2424,2441,샛강,관악산(서울대),1,2,False
2434,2435,2437,2438,2440,2441,2443,2444,2446,2448,2451,2434,2451,샛강,관악산(서울대),1,2,False
2444,2445,2447,2448,2450,2451,2453,2454,2456,2458,2501,2444,2501,샛강,관악산(서울대),1,2,False
2100,2058,2057,2055,2054,2052,2051,2049,2048,2046,2044,2044,2100,관악산(서울대),샛강,2,1,False
2107,2105,2104,2102,2101,2059,2058,2056,2055,2053,2051,2051,2107,관악산(서울대),샛강,2,1,False
2114,2112,2111,2109,2108,2106,2105,2103,2102,2100,2058,2058,2114,관악산(서울대),샛강,2,1,False
2121,2119,2118,2116,2115,2113,2112,2110,2109,2107,2105,2105,2121,관악산(서울대),샛강,2,1,False
2128,2126,2125,2123,2122,2120,2119,2117,2116,2114,2112,2112,2128,관악산(서울대),샛강,2,1,False
2135,2133,2132,2130,2129,2127,2126,2124,2123,2121,2119,2119,2135,관악산(서울대),샛강,2,1,False
2142,2140,2139,2137,2136,2134,2133,2131,2130,2128,2126,2126,2142,관악산(서울대),샛강,2,1,False
2149,2147,2146,2144,2143,2141,2140,2138,2137,2135,2133,2133,2149,관악산(서울대),샛강,2,1,False
2156,2154,2153,2151,2150,2148,2147,2145,2144,2142,2140,2140,2156,관악산(서울대),샛강,2,1,False
2203,2201,2200,2158,2157,2155,2154,2152,2151,2149,2147,2147,2203,관악산(서울대),샛강,2,1,False
2210,2208,2207,2205,2204,2202,2201,2159,2158,2156,2154,2154,2210,관악산(서울대),샛강,2,1,False
2217,2215,2214,2212,2211,2209,2208,2206,2205,2203,2201,2201,2217,관악산(서울대),샛강,2,1,False
2224,2222,2221,2219,2218,2216,2215,2213,2212,2210,2208,2208,2224,관악산(서울대),샛강,2,1,False
2231,2229,2228,2226,2225,2223,2222,2220,2219,2217,2215,2215,2231,관악산(서울대),샛강,2,1,False
2238,2236,2235,2233,2232,2230,2229,2227,2226,2224,2222,2222,2238,관악산(서울대),샛강,2,1,False
2245,2243,2242,2240,2239,2237,2236,2234,2233,2231,2229,2229,2245,관악산(서울대),샛강,2,1,False
2252,2250,2249,2247,2246,2244,2243,2241,2240,2238,2236,2236,2252,관악산(서울대),샛강,2,1,False
2259,2257,2256,2254,2253,2251,2250,2248,2247,2245,2243,2243,2259,관악산(서울대),샛강,2,1,False
2306,2304,2303,2301,2300,2258,2257,2255,2254,2252,2250,2250,2306,관악산(서울대),샛강,2,1,False
2312,2310,2309,2307,2306,2304,2303,2301,2300,2258,2256,2256,2312,관악산(서울대),샛강,2,1,False
2320,2318,2317,2315,2314,2312,2311,2309,2308,2306,2304,2304,2320,관악산(서울대),샛강,2,1,False
2330,2328,2327,2325,2324,2322,2321,2319,2318,2316,2314,2314,2330,관악산(서울대),샛강,2,1,False
2340,2338,2337,2335,2334,2332,2331,2329,2328,2326,2324,2324,2340,관악산(서울대),샛강,2,1,False
