1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,출발시간,도착시간,출발역사명,도착역사명,요일,방향,급행선
2100.0,2059.0,2057.0,2056.0,2053.0,2051.0,2048.0,2041.0,2038.0,2035.0,2033.0,2030.0,2027.0,2024.0,2021.0,2018.0,2018,2100,광교(경기대),신사,1.0,1.0,False
2108.0,2107.0,2105.0,2104.0,2101.0,2059.0,2056.0,2049.0,2046.0,2043.0,2041.0,2038.0,2035.0,2032.0,2029.0,2026.0,2026,2108,광교(경기대),신사,1.0,1.0,False
2115.0,2114.0,2112.0,2111.0,2108.0,2106.0,2103.0,2056.0,2053.0,2050.0,2048.0,2045.0,2042.0,2039.0,2036.0,2033.0,2033,2115,광교(경기대),신사,1.0,1.0,False
2123.0,2122.0,2120.0,2119.0,2116.0,2114.0,2111.0,2104.0,2101.0,2058.0,2056.0,2053.0,2050.0,2047.0,2044.0,2041.0,2041,2123,광교(경기대),신사,1.0,1.0,False
2130.0,2129.0,2127.0,2125.0,2123.0,2121.0,2118.0,2111.0,2108.0,2105.0,2103.0,2100.0,2057.0,2054.0,2051.0,2048.0,2048,2130,광교(경기대),신사,1.0,1.0,False
2137.0,2136.0,2134.0,2133.0,2130.0,2128.0,2125.0,2118.0,2115.0,2112.0,2110.0,2107.0,2104.0,2101.0,2058.0,2055.0,2055,2137,광교(경기대),신사,1.0,1.0,False
2143.0,2142.0,2141.0,2139.0,2137.0,2134.0,2131.0,2125.0,2122.0,2119.0,2116.0,2114.0,2111.0,2108.0,2105.0,2101.0,2101,2143,광교(경기대),신사,1.0,1.0,False
2150.0,2149.0,2148.0,2146.0,2144.0,2141.0,2138.0,2132.0,2129.0,2126.0,2123.0,2121.0,2118.0,2115.0,2112.0,2108.0,2108,2150,광교(경기대),신사,1.0,1.0,False
2157.0,2156.0,2155.0,2153.0,2151.0,2148.0,2145.0,2139.0,2136.0,2133.0,2130.0,2128.0,2125.0,2122.0,2119.0,2115.0,2115,2157,광교(경기대),신사,1.0,1.0,False
2203.0,2202.0,2201.0,2159.0,2157.0,2154.0,2151.0,2145.0,2142.0,2139.0,2136.0,2134.0,2131.0,2128.0,2125.0,2121.0,2121,2203,광교(경기대),신사,1.0,1.0,False
