11321,11322,11323,11324,11325,11326,11327,11328,11329,11330,11331,11332,11333,출발시간,도착시간,출발역사명,도착역사명,요일,방향,급행선
2037,2039,2040,2042,2044,2045,2047,2049,2052,2054,2056,2058,2100,2037,2100,북한산우이,신설동,1,1,False
2040,2042,2043,2045,2047,2049,2051,2052,2055,2057,2059,2102,2104,2040,2104,북한산우이,신설동,1,1,False
2043,2045,2047,2048,2050,2052,2054,2056,2058,2100,2103,2105,2107,2043,2107,북한산우이,신설동,1,1,False
2047,2048,2050,2052,2053,2055,2057,2059,2101,2104,2106,2108,2110,2047,2110,북한산우이,신설동,1,1,False
2050,2051,2053,2055,2056,2058,2100,2102,2105,2107,2109,2111,2113,2050,2113,북한산우이,신설동,1,1,False
2053,2055,2056,2058,2100,2101,2103,2105,2108,2110,2112,2114,2116,2053,2116,북한산우이,신설동,1,1,False
2056,2058,2059,2101,2103,2105,2107,2108,2111,2113,2115,2118,2120,2056,2120,북한산우이,신설동,1,1,False
2059,2101,2103,2104,2106,2108,2110,2112,2114,2116,2119,2121,2123,2059,2123,북한산우이,신설동,1,1,False
2103,2104,2106,2108,2109,2111,2113,2115,2117,2120,2122,2124,2126,2103,2126,북한산우이,신설동,1,1,False
2106,2108,2109,2111,2113,2114,2117,2118,2121,2123,2125,2127,2129,2106,2129,북한산우이,신설동,1,1,False
2110,2111,2113,2115,2116,2118,2120,2122,2124,2127,2129,2131,2133,2110,2133,북한산우이,신설동,1,1,False
2113,2115,2116,2118,2120,2121,2124,2125,2128,2130,2132,2134,2136,2113,2136,북한산우이,신설동,1,1,False
2117,2118,2120,2122,2123,2125,2127,2129,2131,2134,2136,2138,2140,2117,2140,북한산우이,신설동,1,1,False
2120,2122,2123,2125,2127,2128,2131,2132,2135,2137,2139,2141,2143,2120,2143,북한산우이,신설동,1,1,False
2124,2125,2127,2129,2130,2132,2134,2136,2138,2141,2143,2145,2147,2124,2147,북한산우이,신설동,1,1,False
2128,2129,2131,2133,2134,2136,2138,2140,2142,2145,2147,2149,2151,2128,2151,북한산우이,신설동,1,1,False
2132,2133,2135,2137,2138,2140,2142,2144,2146,2149,2151,2153,2155,2132,2155,북한산우이,신설동,1,1,False
2136,2137,2139,2141,2142,2144,2146,2148,2150,2153,2155,2157,2159,2136,2159,북한산우이,신설동,1,1,False
2140,2141,2143,2145,2146,2148,2150,2152,2154,2157,2159,2201,2203,2140,2203,북한산우이,신설동,1,1,False
2144,2145,2147,2149,2150,2152,2154,2156,2158,2201,2203,2205,2207,2144,2207,북한산우이,신설동,1,1,False
2148,2149,2151,2153,2154,2156,2158,2200,2202,2205,2207,2209,2211,2148,2211,북한산우이,신설동,1,1,False
2152,2153,2155,2157,2158,2200,2202,2204,2206,2209,2211,2213,2215,2152,2215,북한산우이,신설동,1,1,False
2156,2157,2159,2201,2202,2204,2206,2208,2210,2213,2215,2217,2219,2156,2219,북한산우이,신설동,1,1,False
2201,2202,2204,2206,2207,2209,2211,2213,2215,2218,2220,2222,2224,2201,2224,북한산우이,신설동,1,1,False
2206,2207,2209,2211,2212,2214,2216,2218,2220,2223,2225,2227,2229,2206,2229,북한산우이,신설동,1,1,False
2211,2212,2214,2216,2217,2219,2221,2223,2225,2228,2230,2232,2234,2211,2234,북한산우이,신설동,1,1,False
2217,2218,2220,2222,2223,2225,2227,2229,2231,2234,2236,2238,2240,2217,2240,북한산우이,신설동,1,1,False
2223,2224,2226,2228,2229,2231,2233,2235,2237,2240,2242,2244,2246,2223,2246,북한산우이,신설동,1,1,False
2229,2230,2232,2234,2235,2237,2239,2241,2243,2246,2248,2250,2252,2229,2252,북한산우이,신설동,1,1,False
2235,2236,2238,2240,2241,2243,2245,2247,2249,2252,2254,2256,2258,2235,2258,북한산우이,신설동,1,1,False
2241,2242,2244,2246,2247,2249,2251,2253,2255,2258,2300,2302,2304,2241,2304,북한산우이,신설동,1,1,False
2249,2250,2252,2254,2255,2257,2259,2301,2303,2306,2308,2310,2312,2249,2312,북한산우이,신설동,1,1,False
2301,2302,2304,2306,2307,2309,2311,2313,2315,2318,2320,2322,2324,2301,2324,북한산우이,신설동,1,1,False
2313,2314,2316,2318,2319,2321,2323,2325,2327,2330,2332,2334,2336,2313,2336,북한산우이,신설동,1,1,False
2325,2326,2328,2330,2331,2333,2335,2337,2339,2342,2344,2346,2348,2325,2348,북한산우이,신설동,1,1,False
2337,2338,2340,2342,2343,2345,2347,2349,2351,2354,2356,2358,2400,2337,2400,북한산우이,신설동,1,1,False
2349,2350,2352,2354,2355,2347,2359,2401,2403,2406,2408,2410,2412,2349,2412,북한산우이,신설동,1,1,False
2401,2402,2404,2406,2407,2409,2407,2413,2415,2418,2420,2422,2424,2401,2424,북한산우이,신설동,1,1,False
2413,2414,2416,2418,2419,2421,2419,2425,2427,2430,2432,2434,2436,2413,2436,북한산우이,신설동,1,1,False
2425,2426,2428,2430,2431,2433,2431,2437,2439,2442,2444,2446,2448,2425,2448,북한산우이,신설동,1,1,False
2437,2438,2440,2442,2443,2445,2443,2449,2451,2454,2456,2458,2500,2437,2500,북한산우이,신설동,1,1,False
2102,2100,2059,2057,2055,2054,2052,2050,2047,2045,2043,2041,2039,2039,2102,신설동,북한산우이,1,2,False
2106,2104,2102,2100,2059,2057,2055,2053,2050,2048,2046,2044,2042,2042,2106,신설동,북한산우이,1,2,False
2109,2107,2105,2103,2102,2100,2058,2056,2053,2051,2049,2047,2045,2045,2109,신설동,북한산우이,1,2,False
2112,2110,2108,2107,2105,2103,2101,2059,2057,2054,2052,2050,2048,2048,2112,신설동,북한산우이,1,2,False
2115,2113,2112,2110,2108,2106,2104,2102,2100,2058,2056,2053,2051,2051,2115,신설동,북한산우이,1,2,False
2118,2116,2115,2113,2111,2110,2108,2106,2103,2101,2059,2057,2055,2055,2118,신설동,북한산우이,1,2,False
2122,2120,2118,2116,2115,2113,2111,2109,2106,2104,2102,2100,2058,2058,2122,신설동,북한산우이,1,2,False
2125,2123,2121,2119,2118,2116,2114,2112,2109,2107,2105,2103,2101,2101,2125,신설동,북한산우이,1,2,False
2128,2126,2124,2123,2121,2119,2117,2115,2113,2110,2108,2106,2104,2104,2128,신설동,북한산우이,1,2,False
2131,2129,2128,2126,2124,2122,2120,2118,2116,2114,2112,2109,2107,2107,2131,신설동,북한산우이,1,2,False
2134,2132,2131,2129,2127,2126,2124,2122,2119,2117,2115,2113,2111,2111,2134,신설동,북한산우이,1,2,False
2138,2136,2134,2132,2131,2129,2127,2125,2122,2120,2118,2116,2114,2114,2138,신설동,북한산우이,1,2,False
2141,2139,2137,2135,2134,2132,2130,2128,2125,2123,2121,2119,2117,2117,2141,신설동,북한산우이,1,2,False
2144,2142,2140,2139,2137,2135,2133,2131,2129,2126,2124,2122,2120,2120,2144,신설동,북한산우이,1,2,False
2147,2145,2144,2142,2140,2138,2136,2134,2132,2130,2128,2125,2123,2123,2147,신설동,북한산우이,1,2,False
2150,2148,2147,2145,2143,2142,2140,2138,2135,2133,2131,2129,2127,2127,2150,신설동,북한산우이,1,2,False
2154,2152,2150,2149,2147,2145,2143,2141,2139,2136,2134,2132,2130,2130,2154,신설동,북한산우이,1,2,False
2157,2155,2154,2152,2150,2149,2147,2145,2142,2140,2138,2136,2134,2134,2157,신설동,북한산우이,1,2,False
2201,2159,2157,2156,2154,2152,2150,2148,2146,2143,2141,2139,2137,2137,2201,신설동,북한산우이,1,2,False
2204,2202,2201,2159,2157,2156,2154,2152,2149,2147,2145,2143,2141,2141,2204,신설동,북한산우이,1,2,False
2208,2206,2204,2203,2201,2159,2157,2155,2153,2150,2148,2146,2144,2144,2208,신설동,북한산우이,1,2,False
2211,2209,2208,2206,2204,2203,2201,2159,2156,2154,2152,2150,2148,2148,2211,신설동,북한산우이,1,2,False
2215,2213,2212,2210,2208,2207,2205,2203,2200,2158,2156,2154,2152,2152,2215,신설동,북한산우이,1,2,False
2219,2217,2216,2214,2212,2211,2209,2207,2204,2202,2200,2158,2156,2156,2219,신설동,북한산우이,1,2,False
2223,2221,2220,2218,2216,2215,2213,2211,2208,2206,2204,2202,2200,2200,2223,신설동,북한산우이,1,2,False
2227,2225,2224,2222,2220,2219,2217,2215,2212,2210,2208,2206,2204,2204,2227,신설동,북한산우이,1,2,False
2231,2229,2228,2226,2224,2223,2221,2219,2216,2214,2212,2210,2208,2208,2231,신설동,북한산우이,1,2,False
2235,2233,2232,2230,2228,2227,2225,2223,2220,2218,2216,2214,2212,2212,2235,신설동,북한산우이,1,2,False
2239,2237,2236,2234,2232,2231,2229,2227,2224,2222,2220,2218,2216,2216,2239,신설동,북한산우이,1,2,False
2243,2241,2240,2238,2236,2235,2233,2231,2228,2226,2224,2222,2220,2220,2243,신설동,북한산우이,1,2,False
2248,2246,2245,2243,2241,2240,2238,2236,2233,2231,2229,2227,2225,2225,2248,신설동,북한산우이,1,2,False
2253,2251,2250,2248,2246,2245,2243,2241,2238,2236,2234,2232,2230,2230,2253,신설동,북한산우이,1,2,False
2258,2256,2255,2253,2251,2250,2248,2246,2243,2241,2239,2237,2235,2235,2258,신설동,북한산우이,1,2,False
2304,2302,2301,2259,2257,2255,2254,2252,2249,2247,2245,2243,2241,2241,2304,신설동,북한산우이,1,2,False
2310,2308,2307,2305,2303,2302,2300,2258,2255,2253,2251,2249,2247,2247,2310,신설동,북한산우이,1,2,False
2316,2314,2313,2311,2309,2308,2306,2304,2301,2259,2257,2255,2253,2253,2316,신설동,북한산우이,1,2,False
2322,2320,2319,2317,2315,2314,2312,2310,2307,2305,2303,2301,2259,2259,2322,신설동,북한산우이,1,2,False
2328,2326,2325,2323,2321,2320,2318,2316,2313,2311,2309,2307,2305,2305,2328,신설동,북한산우이,1,2,False
2336,2334,2333,2331,2329,2328,2326,2324,2321,2319,2317,2315,2313,2313,2336,신설동,북한산우이,1,2,False
2348,2346,2345,2343,2341,2340,2338,2336,2333,2331,2329,2327,2325,2325,2348,신설동,북한산우이,1,2,False
2400,2358,2357,2355,2353,2352,2350,2348,2345,2343,2341,2339,2337,2337,2400,신설동,북한산우이,1,2,False
2412,2410,2409,2407,2405,2404,2402,2400,2357,2355,2353,2351,2349,2349,2412,신설동,북한산우이,1,2,False
2424,2422,2421,2419,2417,2416,2414,2412,2409,2407,2405,2403,2401,2401,2424,신설동,북한산우이,1,2,False
2436,2434,2433,2431,2429,2428,2426,2424,2421,2419,2417,2415,2413,2413,2436,신설동,북한산우이,1,2,False
2448,2446,2445,2443,2441,2440,2438,2436,2433,2431,2429,2427,2425,2425,2448,신설동,북한산우이,1,2,False
2500,2458,2457,2455,2453,2452,2450,2448,2445,2443,2441,2439,2437,2437,2500,신설동,북한산우이,1,2,False
2042,2043,2045,2047,2048,2050,2052,2054,2056,2059,2101,2103,2105,2042,2105,북한산우이,신설동,2,1,False
2048,2049,2051,2053,2054,2056,2058,2100,2102,2105,2107,2109,2111,2048,2111,북한산우이,신설동,2,1,False
2054,2055,2057,2059,2100,2102,2104,2106,2108,2111,2113,2115,2117,2054,2117,북한산우이,신설동,2,1,False
2101,2102,2104,2106,2107,2109,2111,2113,2115,2118,2120,2122,2124,2101,2124,북한산우이,신설동,2,1,False
2108,2109,2111,2113,2114,2116,2118,2120,2122,2125,2127,2129,2131,2108,2131,북한산우이,신설동,2,1,False
2115,2116,2118,2120,2121,2123,2125,2127,2129,2132,2134,2136,2138,2115,2138,북한산우이,신설동,2,1,False
2122,2123,2125,2127,2128,2130,2132,2134,2136,2139,2141,2143,2145,2122,2145,북한산우이,신설동,2,1,False
2129,2130,2132,2134,2135,2137,2139,2141,2143,2146,2148,2150,2152,2129,2152,북한산우이,신설동,2,1,False
2137,2138,2140,2142,2143,2145,2147,2149,2151,2154,2156,2158,2200,2137,2200,북한산우이,신설동,2,1,False
2145,2146,2148,2150,2151,2153,2155,2157,2159,2202,2204,2206,2208,2145,2208,북한산우이,신설동,2,1,False
2153,2154,2156,2158,2159,2201,2203,2205,2207,2210,2212,2214,2216,2153,2216,북한산우이,신설동,2,1,False
2201,2202,2204,2206,2207,2209,2211,2213,2215,2218,2220,2222,2224,2201,2224,북한산우이,신설동,2,1,False
2209,2210,2212,2214,2215,2217,2219,2221,2223,2226,2228,2230,2232,2209,2232,북한산우이,신설동,2,1,False
2217,2218,2220,2222,2223,2225,2227,2229,2231,2234,2236,2238,2240,2217,2240,북한산우이,신설동,2,1,False
2225,2226,2228,2230,2231,2233,2235,2237,2239,2242,2244,2246,2248,2225,2248,북한산우이,신설동,2,1,False
