노선명,역코드,열차번호,도착시간,출발역코드,도착역코드,요일,방향,급행선
3호선,319.0,3012,0559,333.0,310.0,1,1,False
3호선,319.0,3016,0616,344.0,310.0,1,1,False
3호선,319.0,3022,0632,349.0,310.0,1,1,False
3호선,319.0,3024K,0638,352.0,310.0,1,1,False
3호선,319.0,3026,0645,352.0,310.0,1,1,False
3호선,319.0,3032,0657,352.0,310.0,1,1,False
3호선,319.0,3040K,0708,352.0,310.0,1,1,False
3호선,319.0,3046,0717,352.0,310.0,1,1,False
3호선,319.0,3050,0728,349.0,310.0,1,1,False
3호선,319.0,3052,0732,352.0,310.0,1,1,False
3호선,319.0,3056,0742,352.0,310.0,1,1,False
3호선,319.0,3058,0747,349.0,310.0,1,1,False
3호선,319.0,3060,0752,352.0,310.0,1,1,False
3호선,319.0,3062,0756,349.0,310.0,1,1,False
3호선,319.0,3064,0800,352.0,310.0,1,1,False
3호선,319.0,3068K,0808,352.0,310.0,1,1,False
3호선,319.0,3072,0817,352.0,310.0,1,1,False
3호선,319.0,3076K,0825,352.0,310.0,1,1,False
3호선,319.0,3078K,0830,352.0,310.0,1,1,False
3호선,319.0,3080K,0834,352.0,310.0,1,1,False
3호선,319.0,3084,0842,352.0,310.0,1,1,False
3호선,319.0,3088,0849,352.0,310.0,1,1,False
3호선,319.0,3092,0857,352.0,310.0,1,1,False
3호선,319.0,3098,0907,352.0,310.0,1,1,False
3호선,319.0,3102,0914,349.0,310.0,1,1,False
3호선,319.0,3106K,0922,352.0,310.0,1,1,False
3호선,319.0,3108,0926,352.0,310.0,1,1,False
3호선,319.0,3112,0934,352.0,310.0,1,1,False
3호선,319.0,3116,0944,352.0,310.0,1,1,False
3호선,319.0,3122,0955,352.0,310.0,1,1,False
3호선,319.0,3124K,1000,352.0,310.0,1,1,False
3호선,319.0,3126K,1005,352.0,310.0,1,1,False
3호선,319.0,3130K,1017,352.0,310.0,1,1,False
3호선,319.0,3132,1021,352.0,310.0,1,1,False
3호선,319.0,3136,1028,352.0,310.0,1,1,False
3호선,319.0,3140,1035,352.0,310.0,1,1,False
3호선,319.0,3144K,1046,352.0,310.0,1,1,False
3호선,319.0,3150,1100,352.0,310.0,1,1,False
3호선,319.0,3152,1106,352.0,310.0,1,1,False
3호선,319.0,3156,1117,352.0,310.0,1,1,False
3호선,319.0,3160,1129,352.0,310.0,1,1,False
3호선,319.0,3162,1136,352.0,310.0,1,1,False
3호선,319.0,3164,1142,352.0,310.0,1,1,False
3호선,319.0,3168K,1156,352.0,310.0,1,1,False
3호선,319.0,3172K,1210,352.0,310.0,1,1,False
3호선,319.0,3174,1217,352.0,310.0,1,1,False
3호선,319.0,3176,1223,352.0,310.0,1,1,False
3호선,319.0,3180,1238,352.0,310.0,1,1,False
3호선,319.0,3182,1246,352.0,310.0,1,1,False
3호선,319.0,3186K,1255,352.0,310.0,1,1,False
3호선,319.0,3190,1306,352.0,310.0,1,1,False
3호선,319.0,3192,1314,352.0,310.0,1,1,False
3호선,319.0,3194,1324,352.0,310.0,1,1,False
3호선,319.0,3198K,1331,352.0,310.0,1,1,False
3호선,319.0,3202K,1347,352.0,310.0,1,1,False
3호선,319.0,3204,1354,352.0,310.0,1,1,False
3호선,319.0,3206,1401,352.0,310.0,1,1,False
3호선,319.0,3210,1414,352.0,310.0,1,1,False
3호선,319.0,3212,1420,352.0,310.0,1,1,False
3호선,319.0,3216,1433,352.0,310.0,1,1,False
3호선,319.0,3220,1446,352.0,310.0,1,1,False
3호선,319.0,3222,1453,352.0,310.0,1,1,False
3호선,319.0,3224,1500,352.0,310.0,1,1,False
3호선,319.0,3228,1515,352.0,310.0,1,1,False
3호선,319.0,3232,1524,352.0,310.0,1,1,False
3호선,319.0,3234K,1533,352.0,310.0,1,1,False
3호선,319.0,3238K,1542,352.0,310.0,1,1,False
3호선,319.0,3240,1551,352.0,310.0,1,1,False
3호선,319.0,3242,1600,352.0,310.0,1,1,False
3호선,319.0,3248,1608,352.0,310.0,1,1,False
3호선,319.0,3250,1615,352.0,310.0,1,1,False
3호선,319.0,3254K,1630,352.0,310.0,1,1,False
3호선,319.0,3256,1635,352.0,310.0,1,1,False
3호선,319.0,3258,1641,352.0,310.0,1,1,False
3호선,319.0,3262K,1653,352.0,310.0,1,1,False
3호선,319.0,3266K,1705,352.0,310.0,1,1,False
3호선,319.0,3268K,1711,352.0,310.0,1,1,False
3호선,319.0,3270K,1717,352.0,310.0,1,1,False
3호선,319.0,3272,1725,349.0,310.0,1,1,False
3호선,319.0,3276,1733,352.0,310.0,1,1,False
3호선,319.0,3278,1741,352.0,310.0,1,1,False
3호선,319.0,3280,1749,352.0,310.0,1,1,False
3호선,319.0,3284,1758,352.0,310.0,1,1,False
3호선,319.0,3288,1811,352.0,310.0,1,1,False
3호선,319.0,3294,1822,349.0,310.0,1,1,False
3호선,319.0,3298,1831,352.0,310.0,1,1,False
3호선,319.0,3302,1841,352.0,310.0,1,1,False
3호선,319.0,3306,1851,352.0,310.0,1,1,False
3호선,319.0,3308,1855,352.0,310.0,1,1,False
3호선,319.0,3312K,1904,352.0,310.0,1,1,False
3호선,319.0,3316,1913,352.0,310.0,1,1,False
3호선,319.0,3320,1921,349.0,310.0,1,1,False
3호선,319.0,3324,1930,352.0,310.0,1,1,False
3호선,319.0,3328,1938,352.0,310.0,1,1,False
3호선,319.0,3332,1948,352.0,310.0,1,1,False
3호선,319.0,3336,1958,352.0,310.0,1,1,False
3호선,319.0,3340K,2008,352.0,310.0,1,1,False
3호선,319.0,3342,2013,352.0,310.0,1,1,False
3호선,319.0,3344K,2019,352.0,310.0,1,1,False
3호선,319.0,3348K,2029,352.0,310.0,1,1,False
3호선,319.0,3352K,2040,352.0,310.0,1,1,False
3호선,319.0,3354K,2046,352.0,310.0,1,1,False
3호선,319.0,3358,2057,352.0,310.0,1,1,False
3호선,319.0,3362,2108,352.0,310.0,1,1,False
3호선,319.0,3366,2118,352.0,310.0,1,1,False
3호선,319.0,3370,2128,352.0,310.0,1,1,False
3호선,319.0,3374K,2139,352.0,310.0,1,1,False
3호선,319.0,3376K,2145,352.0,310.0,1,1,False
3호선,319.0,3378,2151,352.0,310.0,1,1,False
3호선,319.0,3382,2202,352.0,310.0,1,1,False
3호선,319.0,3384K,2208,352.0,310.0,1,1,False
3호선,319.0,3388,2218,352.0,310.0,1,1,False
3호선,319.0,3392,2229,352.0,310.0,1,1,False
3호선,319.0,3396K,2243,352.0,310.0,1,1,False
3호선,319.0,3398,2250,352.0,310.0,1,1,False
3호선,319.0,3402,2304,352.0,310.0,1,1,False
3호선,319.0,3406,2313,352.0,310.0,1,1,False
3호선,319.0,3410,2329,352.0,310.0,1,1,False
3호선,319.0,3414K,2345,352.0,310.0,1,1,False
3호선,319.0,3422K,2412,352.0,310.0,1,1,False
3호선,319.0,3009K,0543,310.0,352.0,1,2,False
3호선,319.0,3013K,0559,310.0,352.0,1,2,False
3호선,319.0,3017K,0611,310.0,352.0,1,2,False
3호선,319.0,3019,0618,310.0,352.0,1,2,False
3호선,319.0,3023,0629,310.0,352.0,1,2,False
3호선,319.0,3025K,0635,310.0,352.0,1,2,False
3호선,319.0,3029,0647,310.0,352.0,1,2,False
3호선,319.0,3033K,0657,310.0,352.0,1,2,False
3호선,319.0,3037,0705,310.0,352.0,1,2,False
3호선,319.0,3041K,0713,310.0,352.0,1,2,False
3호선,319.0,3047,0723,310.0,349.0,1,2,False
3호선,319.0,3051,0730,310.0,352.0,1,2,False
3호선,319.0,3053,0734,310.0,349.0,1,2,False
3호선,319.0,3057K,0742,310.0,352.0,1,2,False
3호선,319.0,3061,0749,310.0,349.0,1,2,False
3호선,319.0,3065,0757,310.0,352.0,1,2,False
3호선,319.0,3069,0803,310.0,352.0,1,2,False
3호선,319.0,3075,0812,310.0,352.0,1,2,False
3호선,319.0,3079K,0820,310.0,352.0,1,2,False
3호선,319.0,3081K,0823,310.0,352.0,1,2,False
3호선,319.0,3083,0826,310.0,352.0,1,2,False
3호선,319.0,3087,0833,310.0,352.0,1,2,False
3호선,319.0,3089,0837,310.0,352.0,1,2,False
3호선,319.0,3093,0845,310.0,352.0,1,2,False
3호선,319.0,3097,0853,310.0,352.0,1,2,False
3호선,319.0,3103,0901,310.0,352.0,1,2,False
3호선,319.0,3107,0909,310.0,352.0,1,2,False
3호선,319.0,3113,0919,310.0,352.0,1,2,False
3호선,319.0,3117K,0929,310.0,352.0,1,2,False
3호선,319.0,3119K,0934,310.0,352.0,1,2,False
3호선,319.0,3121K,0940,310.0,352.0,1,2,False
3호선,319.0,3123,0946,310.0,352.0,1,2,False
3호선,319.0,3127,0957,310.0,352.0,1,2,False
3호선,319.0,3129,1003,310.0,352.0,1,2,False
3호선,319.0,3131,1010,310.0,352.0,1,2,False
3호선,319.0,3135,1024,310.0,349.0,1,2,False
3호선,319.0,3137K,1032,310.0,352.0,1,2,False
3호선,319.0,3143,1041,310.0,352.0,1,2,False
3호선,319.0,3145,1048,310.0,352.0,1,2,False
3호선,319.0,3149,1100,310.0,349.0,1,2,False
3호선,319.0,3151K,1107,310.0,352.0,1,2,False
3호선,319.0,3155K,1119,310.0,352.0,1,2,False
3호선,319.0,3161,1132,310.0,352.0,1,2,False
3호선,319.0,3163,1139,310.0,352.0,1,2,False
3호선,319.0,3165,1146,310.0,352.0,1,2,False
3호선,319.0,3169K,1157,310.0,352.0,1,2,False
3호선,319.0,3171,1204,310.0,352.0,1,2,False
3호선,319.0,3175,1218,310.0,352.0,1,2,False
3호선,319.0,3177,1225,310.0,352.0,1,2,False
3호선,319.0,3181,1239,310.0,352.0,1,2,False
3호선,319.0,3183,1246,310.0,352.0,1,2,False
3호선,319.0,3187,1255,310.0,352.0,1,2,False
3호선,319.0,3189K,1304,310.0,352.0,1,2,False
3호선,319.0,3193K,1314,310.0,352.0,1,2,False
3호선,319.0,3195,1323,310.0,352.0,1,2,False
3호선,319.0,3197,1331,310.0,352.0,1,2,False
3호선,319.0,3201,1340,310.0,352.0,1,2,False
3호선,319.0,3205,1355,310.0,352.0,1,2,False
3호선,319.0,3207K,1402,310.0,352.0,1,2,False
3호선,319.0,3211,1414,310.0,352.0,1,2,False
3호선,319.0,3213,1421,310.0,352.0,1,2,False
3호선,319.0,3217,1434,310.0,352.0,1,2,False
3호선,319.0,3219K,1441,310.0,352.0,1,2,False
3호선,319.0,3223K,1454,310.0,352.0,1,2,False
3호선,319.0,3225,1501,310.0,349.0,1,2,False
3호선,319.0,3229,1514,310.0,352.0,1,2,False
3호선,319.0,3231,1522,310.0,352.0,1,2,False
3호선,319.0,3235,1531,310.0,352.0,1,2,False
3호선,319.0,3237,1541,310.0,352.0,1,2,False
3호선,319.0,3241,1550,310.0,352.0,1,2,False
3호선,319.0,3243,1559,310.0,352.0,1,2,False
3호선,319.0,3247,1608,310.0,352.0,1,2,False
3호선,319.0,3249,1616,310.0,352.0,1,2,False
3호선,319.0,3253,1631,310.0,352.0,1,2,False
3호선,319.0,3257K,1642,310.0,352.0,1,2,False
3호선,319.0,3261K,1652,310.0,352.0,1,2,False
3호선,319.0,3263,1656,310.0,352.0,1,2,False
3호선,319.0,3267,1704,310.0,352.0,1,2,False
3호선,319.0,3271K,1712,310.0,352.0,1,2,False
3호선,319.0,3275,1721,310.0,352.0,1,2,False
3호선,319.0,3279,1731,310.0,352.0,1,2,False
3호선,319.0,3283K,1737,310.0,352.0,1,2,False
3호선,319.0,3285,1742,310.0,352.0,1,2,False
3호선,319.0,3289,1752,310.0,352.0,1,2,False
3호선,319.0,3293K,1800,310.0,352.0,1,2,False
3호선,319.0,3297K,1809,310.0,352.0,1,2,False
3호선,319.0,3301K,1817,310.0,352.0,1,2,False
3호선,319.0,3305K,1824,310.0,352.0,1,2,False
3호선,319.0,3309,1832,310.0,352.0,1,2,False
3호선,319.0,3313,1841,310.0,349.0,1,2,False
3호선,319.0,3317,1849,310.0,352.0,1,2,False
3호선,319.0,3319,1854,310.0,352.0,1,2,False
3호선,319.0,3323,1904,310.0,352.0,1,2,False
3호선,319.0,3327,1914,310.0,349.0,1,2,False
3호선,319.0,3329K,1919,310.0,352.0,1,2,False
3호선,319.0,3333,1930,310.0,352.0,1,2,False
3호선,319.0,3337,1939,310.0,352.0,1,2,False
3호선,319.0,3341,1949,310.0,352.0,1,2,False
3호선,319.0,3345,1959,310.0,352.0,1,2,False
3호선,319.0,3347,2005,310.0,352.0,1,2,False
3호선,319.0,3351K,2015,310.0,352.0,1,2,False
3호선,319.0,3353,2021,310.0,352.0,1,2,False
3호선,319.0,3357,2031,310.0,352.0,1,2,False
3호선,319.0,3361,2041,310.0,349.0,1,2,False
