노선명,역코드,열차번호,도착시간,출발역코드,도착역코드,요일,방향,급행선
경의중앙선,1314.0,K5004,0514,1310.0,1629.0,1,1,False
경의중앙선,1314.0,K5008,0541,1308.0,1629.0,1,1,False
경의중앙선,1314.0,K5010,0559,1300.0,1629.0,1,1,False
경의중앙선,1314.0,K5012,0610,1300.0,1622.0,1,1,False
경의중앙선,1314.0,K5014,0623,1300.0,1629.0,1,1,False
경의중앙선,1314.0,K5016,0634,1300.0,1629.0,1,1,False
경의중앙선,1314.0,K5018,0647,1300.0,1629.0,1,1,False
경의중앙선,1314.0,K5020,0703,1300.0,1629.0,1,1,False
경의중앙선,1314.0,K5702,0710,1300.0,1629.0,1,1,True
경의중앙선,1314.0,K5022,0722,1300.0,1629.0,1,1,False
경의중앙선,1314.0,K5704,0730,1300.0,1629.0,1,1,True
경의중앙선,1314.0,K5024,0737,1300.0,1629.0,1,1,False
경의중앙선,1314.0,K5026,0749,1300.0,1629.0,1,1,False
경의중앙선,1314.0,K5028,0801,1300.0,1622.0,1,1,False
경의중앙선,1314.0,K5030,0814,1308.0,1629.0,1,1,False
경의중앙선,1314.0,K5032,0823,1300.0,1629.0,1,1,False
경의중앙선,1314.0,K5034,0834,1300.0,1629.0,1,1,False
경의중앙선,1314.0,K5036,0846,1300.0,1629.0,1,1,False
경의중앙선,1314.0,K5038,0855,1308.0,1629.0,1,1,False
경의중앙선,1314.0,K5040,0908,1310.0,1629.0,1,1,False
경의중앙선,1314.0,K5042,0918,1299.0,1629.0,1,1,False
경의중앙선,1314.0,K5044,0926,1308.0,1629.0,1,1,False
경의중앙선,1314.0,K5046,0939,1300.0,1629.0,1,1,False
경의중앙선,1314.0,K5048,0953,1308.0,1629.0,1,1,False
경의중앙선,1314.0,K5050,1012,1300.0,1318.0,1,1,False
경의중앙선,1314.0,K5052,1025,1310.0,1629.0,1,1,False
경의중앙선,1314.0,K5054,1037,1300.0,1629.0,1,1,False
경의중앙선,1314.0,K5056,1056,1310.0,1629.0,1,1,False
경의중앙선,1314.0,K5058,1113,1300.0,1629.0,1,1,False
경의중앙선,1314.0,K5060,1130,1310.0,1629.0,1,1,False
경의중앙선,1314.0,K5062,1140,1299.0,1629.0,1,1,False
경의중앙선,1314.0,K5064,1206,1310.0,1629.0,1,1,False
경의중앙선,1314.0,K5066,1216,1300.0,1629.0,1,1,False
경의중앙선,1314.0,K5068,1228,1310.0,1622.0,1,1,False
경의중앙선,1314.0,K5070,1241,1300.0,1629.0,1,1,False
경의중앙선,1314.0,K5072,1302,1310.0,1622.0,1,1,False
경의중앙선,1314.0,K5074,1313,1300.0,1629.0,1,1,False
경의중앙선,1314.0,K5076,1322,1310.0,1629.0,1,1,False
경의중앙선,1314.0,K5078,1343,1300.0,1629.0,1,1,False
경의중앙선,1314.0,K5080,1405,1310.0,1629.0,1,1,False
경의중앙선,1314.0,K5082,1414,1300.0,1629.0,1,1,False
경의중앙선,1314.0,K5084,1426,1310.0,1629.0,1,1,False
경의중앙선,1314.0,K5086,1443,1300.0,1629.0,1,1,False
경의중앙선,1314.0,K5088,1507,1310.0,1629.0,1,1,False
