노선명,역코드,열차번호,도착시간,출발역코드,도착역코드,요일,방향,급행선
경춘선,1824.0,K8008,0527,1830.0,1806.0,1,1,False
경춘선,1824.0,K8010,0553,1830.0,1806.0,1,1,False
경춘선,1824.0,K8012,0620,1830.0,1810.0,1,1,False
경춘선,1824.0,K8402,0636,1830.0,1806.0,1,1,True
경춘선,1824.0,K8016,0652,1830.0,1810.0,1,1,False
경춘선,1824.0,K8018,0709,1830.0,1810.0,1,1,False
경춘선,1824.0,K8302,0730,1830.0,1809.0,1,1,False
경춘선,1824.0,K8020,0749,1830.0,1810.0,1,1,False
경춘선,1824.0,K8022,0805,1830.0,1810.0,1,1,False
경춘선,1824.0,K8026,0843,1830.0,1806.0,1,1,False
경춘선,1824.0,K8028,0858,1830.0,1806.0,1,1,False
경춘선,1824.0,K8030,0920,1830.0,1810.0,1,1,False
경춘선,1824.0,K8032,0936,1830.0,1810.0,1,1,False
경춘선,1824.0,K8034,1003,1830.0,1810.0,1,1,False
경춘선,1824.0,K8036,1029,1830.0,1810.0,1,1,False
경춘선,1824.0,K8038,1058,1830.0,1810.0,1,1,False
경춘선,1824.0,K8040,1120,1830.0,1810.0,1,1,False
경춘선,1824.0,K8042,1148,1830.0,1810.0,1,1,False
경춘선,1824.0,K8044,1210,1830.0,1810.0,1,1,False
경춘선,1824.0,K8046,1235,1830.0,1810.0,1,1,False
경춘선,1824.0,K8048,1246,1830.0,1806.0,1,1,False
경춘선,1824.0,K8050,1319,1830.0,1810.0,1,1,False
경춘선,1824.0,K8052,1347,1830.0,1810.0,1,1,False
경춘선,1824.0,K8054,1411,1830.0,1810.0,1,1,False
경춘선,1824.0,K8056,1438,1830.0,1810.0,1,1,False
경춘선,1824.0,K8058,1457,1830.0,1810.0,1,1,False
경춘선,1824.0,K8060,1520,1830.0,1806.0,1,1,False
경춘선,1824.0,K8062,1544,1830.0,1810.0,1,1,False
경춘선,1824.0,K8064,1612,1830.0,1810.0,1,1,False
경춘선,1824.0,K8066,1637,1830.0,1810.0,1,1,False
경춘선,1824.0,K8068,1700,1830.0,1810.0,1,1,False
경춘선,1824.0,K8070,1726,1830.0,1810.0,1,1,False
경춘선,1824.0,K8074,1742,1830.0,1806.0,1,1,False
경춘선,1824.0,K8076,1758,1830.0,1810.0,1,1,False
경춘선,1824.0,K8078,1820,1830.0,1810.0,1,1,False
경춘선,1824.0,K8080,1846,1830.0,1810.0,1,1,False
경춘선,1824.0,K8304,1919,1830.0,1809.0,1,1,False
경춘선,1824.0,K8084,1944,1830.0,1810.0,1,1,False
경춘선,1824.0,K8086,2012,1830.0,1810.0,1,1,False
경춘선,1824.0,K8404,2027,1830.0,1806.0,1,1,True
경춘선,1824.0,K8088,2039,1830.0,1810.0,1,1,False
경춘선,1824.0,K8090,2054,1830.0,1806.0,1,1,False
경춘선,1824.0,K8092,2117,1830.0,1810.0,1,1,False
경춘선,1824.0,K8094,2139,1830.0,1810.0,1,1,False
경춘선,1824.0,K8096,2155,1830.0,1810.0,1,1,False
경춘선,1824.0,K8098,2214,1830.0,1810.0,1,1,False
경춘선,1824.0,K8100,2226,1830.0,1806.0,1,1,False
경춘선,1824.0,K8102,2247,1830.0,1810.0,1,1,False
경춘선,1824.0,K8104,2311,1830.0,1810.0,1,1,False
경춘선,1824.0,K8106,2332,1830.0,1818.0,1,1,False
경춘선,1824.0,K8108,2357,1830.0,1818.0,1,1,False
