노선명,역코드,열차번호,도착시간,출발역코드,도착역코드,요일,방향,급행선
공항철도선,4004.0,A3332,0530,4004.0,4001.0,1,1,False
공항철도선,4003.0,A3332,0533,4004.0,4001.0,1,1,False
공항철도선,4002.0,A3332,0537,4004.0,4001.0,1,1,False
공항철도선,4001.0,A3332,0542,4004.0,4001.0,1,1,False
공항철도선,4004.0,A3334,0542,4004.0,4001.0,1,1,False
공항철도선,4003.0,A3334,0545,4004.0,4001.0,1,1,False
공항철도선,4002.0,A3334,0549,4004.0,4001.0,1,1,False
공항철도선,4001.0,A3334,0553,4004.0,4001.0,1,1,False
공항철도선,4007.0,A3002,0530,4007.0,4001.0,1,1,False
공항철도선,4006.0,A3002,0536,4007.0,4001.0,1,1,False
공항철도선,4005.0,A3002,0542,4007.0,4001.0,1,1,False
공항철도선,4020.0,A3002,0545,4007.0,4001.0,1,1,False
공항철도선,4004.0,A3002,0553,4007.0,4001.0,1,1,False
공항철도선,4003.0,A3002,0557,4007.0,4001.0,1,1,False
공항철도선,4002.0,A3002,0600,4007.0,4001.0,1,1,False
공항철도선,4001.0,A3002,0605,4007.0,4001.0,1,1,False
공항철도선,4013.0,A1002,0515,4013.0,4001.0,1,1,True
공항철도선,4010.0,A1002,0521,4013.0,4001.0,1,1,True
공항철도선,4001.0,A1002,0607,4013.0,4001.0,1,1,True
공항철도선,4007.0,A3004,0542,4007.0,4001.0,1,1,False
공항철도선,4006.0,A3004,0547,4007.0,4001.0,1,1,False
공항철도선,4005.0,A3004,0554,4007.0,4001.0,1,1,False
공항철도선,4020.0,A3004,0557,4007.0,4001.0,1,1,False
공항철도선,4004.0,A3004,0604,4007.0,4001.0,1,1,False
공항철도선,4003.0,A3004,0608,4007.0,4001.0,1,1,False
공항철도선,4002.0,A3004,0612,4007.0,4001.0,1,1,False
공항철도선,4001.0,A3004,0616,4007.0,4001.0,1,1,False
공항철도선,4013.0,A2002,0518,4013.0,4001.0,1,1,False
공항철도선,4010.0,A2002,0523,4013.0,4001.0,1,1,False
공항철도선,4009.0,A2002,0527,4013.0,4001.0,1,1,False
공항철도선,4008.0,A2002,0532,4013.0,4001.0,1,1,False
공항철도선,4012.0,A2002,0536,4013.0,4001.0,1,1,False
공항철도선,4011.0,A2002,0544,4013.0,4001.0,1,1,False
공항철도선,4007.0,A2002,0549,4013.0,4001.0,1,1,False
공항철도선,4006.0,A2002,0555,4013.0,4001.0,1,1,False
공항철도선,4005.0,A2002,0602,4013.0,4001.0,1,1,False
공항철도선,4020.0,A2002,0605,4013.0,4001.0,1,1,False
공항철도선,4004.0,A2002,0612,4013.0,4001.0,1,1,False
공항철도선,4003.0,A2002,0616,4013.0,4001.0,1,1,False
공항철도선,4002.0,A2002,0620,4013.0,4001.0,1,1,False
공항철도선,4001.0,A2002,0624,4013.0,4001.0,1,1,False
공항철도선,4013.0,A2004,0524,4013.0,4001.0,1,1,False
공항철도선,4010.0,A2004,0530,4013.0,4001.0,1,1,False
공항철도선,4009.0,A2004,0534,4013.0,4001.0,1,1,False
공항철도선,4008.0,A2004,0538,4013.0,4001.0,1,1,False
공항철도선,4012.0,A2004,0542,4013.0,4001.0,1,1,False
공항철도선,4011.0,A2004,0551,4013.0,4001.0,1,1,False
공항철도선,4007.0,A2004,0556,4013.0,4001.0,1,1,False
공항철도선,4006.0,A2004,0602,4013.0,4001.0,1,1,False
공항철도선,4005.0,A2004,0608,4013.0,4001.0,1,1,False
공항철도선,4020.0,A2004,0611,4013.0,4001.0,1,1,False
공항철도선,4004.0,A2004,0619,4013.0,4001.0,1,1,False
공항철도선,4003.0,A2004,0623,4013.0,4001.0,1,1,False
공항철도선,4002.0,A2004,0626,4013.0,4001.0,1,1,False
공항철도선,4001.0,A2004,0631,4013.0,4001.0,1,1,False
공항철도선,4013.0,A2006,0531,4013.0,4001.0,1,1,False
공항철도선,4010.0,A2006,0536,4013.0,4001.0,1,1,False
공항철도선,4009.0,A2006,0540,4013.0,4001.0,1,1,False
공항철도선,4008.0,A2006,0545,4013.0,4001.0,1,1,False
공항철도선,4012.0,A2006,0549,4013.0,4001.0,1,1,False
공항철도선,4011.0,A2006,0557,4013.0,4001.0,1,1,False
공항철도선,4007.0,A2006,0602,4013.0,4001.0,1,1,False
공항철도선,4006.0,A2006,0608,4013.0,4001.0,1,1,False
공항철도선,4005.0,A2006,0615,4013.0,4001.0,1,1,False
공항철도선,4020.0,A2006,0618,4013.0,4001.0,1,1,False
공항철도선,4004.0,A2006,0625,4013.0,4001.0,1,1,False
공항철도선,4003.0,A2006,0629,4013.0,4001.0,1,1,False
공항철도선,4002.0,A2006,0633,4013.0,4001.0,1,1,False
공항철도선,4001.0,A2006,0637,4013.0,4001.0,1,1,False
공항철도선,4013.0,A2008,0537,4013.0,4001.0,1,1,False
공항철도선,4010.0,A2008,0543,4013.0,4001.0,1,1,False
공항철도선,4009.0,A2008,0547,4013.0,4001.0,1,1,False
공항철도선,4008.0,A2008,0551,4013.0,4001.0,1,1,False
공항철도선,4012.0,A2008,0555,4013.0,4001.0,1,1,False
공항철도선,4011.0,A2008,0604,4013.0,4001.0,1,1,False
공항철도선,4007.0,A2008,0609,4013.0,4001.0,1,1,False
공항철도선,4006.0,A2008,0615,4013.0,4001.0,1,1,False
공항철도선,4005.0,A2008,0621,4013.0,4001.0,1,1,False
공항철도선,4020.0,A2008,0624,4013.0,4001.0,1,1,False
공항철도선,4004.0,A2008,0632,4013.0,4001.0,1,1,False
공항철도선,4003.0,A2008,0637,4013.0,4001.0,1,1,False
공항철도선,4002.0,A2008,0641,4013.0,4001.0,1,1,False
