노선명,역코드,열차번호,도착시간,출발역코드,도착역코드,요일,방향,급행선
수인분당선,1523.0,K6000,0523,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6002,0534,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6004,0548,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6006,0555,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6008,0602,11109.0,1510.0,1,1,False
수인분당선,1523.0,K6010,0610,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6012,0619,11109.0,1510.0,1,1,False
수인분당선,1523.0,K6014,0626,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6016,0632,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6018,0639,11109.0,1510.0,1,1,False
수인분당선,1523.0,K6020,0645,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6022,0652,11109.0,1510.0,1,1,False
수인분당선,1523.0,K6024,0657,1534.0,1509.0,1,1,False
수인분당선,1523.0,K6026,0702,11109.0,1510.0,1,1,False
수인분당선,1523.0,K6028,0706,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6500,0712,11121.0,1510.0,1,1,False
수인분당선,1523.0,K6030,0717,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6402,0723,11109.0,1510.0,1,1,True
수인분당선,1523.0,K6032,0729,11109.0,1510.0,1,1,False
수인분당선,1523.0,K6502,0734,11134.0,1510.0,1,1,False
수인분당선,1523.0,K6034,0738,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6036,0742,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6038,0746,11109.0,1510.0,1,1,False
수인분당선,1523.0,K6040,0749,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6404,0753,11109.0,1510.0,1,1,True
수인분당선,1523.0,K6042,0756,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6044,0800,11109.0,1510.0,1,1,False
수인분당선,1523.0,K6504,0805,11134.0,1510.0,1,1,False
수인분당선,1523.0,K6406,0808,11109.0,1510.0,1,1,True
수인분당선,1523.0,K6046,0811,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6048,0815,11109.0,1510.0,1,1,False
수인분당선,1523.0,K6506,0820,11134.0,1510.0,1,1,False
수인분당선,1523.0,K6408,0824,11109.0,1510.0,1,1,True
수인분당선,1523.0,K6050,0829,11109.0,1510.0,1,1,False
수인분당선,1523.0,K6052,0833,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6508,0837,11134.0,1510.0,1,1,False
수인분당선,1523.0,K6054,0842,11109.0,1510.0,1,1,False
수인분당선,1523.0,K6056,0846,11109.0,1510.0,1,1,False
수인분당선,1523.0,K6510,0850,11134.0,1510.0,1,1,False
수인분당선,1523.0,K6410,0855,11109.0,1509.0,1,1,True
수인분당선,1523.0,K6058,0901,11109.0,1510.0,1,1,False
수인분당선,1523.0,K6512,0907,11134.0,1510.0,1,1,False
수인분당선,1523.0,K6060,0913,11109.0,1510.0,1,1,False
수인분당선,1523.0,K6514,0919,11134.0,1510.0,1,1,False
수인분당선,1523.0,K6062,0926,11109.0,1510.0,1,1,False
수인분당선,1523.0,K6516,0932,11134.0,1510.0,1,1,False
수인분당선,1523.0,K6064,0941,11109.0,1510.0,1,1,False
수인분당선,1523.0,K6518,0951,11134.0,1509.0,1,1,False
수인분당선,1523.0,K6066,0958,11109.0,1510.0,1,1,False
수인분당선,1523.0,K6520,1006,11134.0,1510.0,1,1,False
수인분당선,1523.0,K6068,1015,11109.0,1510.0,1,1,False
수인분당선,1523.0,K6522,1022,11134.0,1510.0,1,1,False
수인분당선,1523.0,K6070,1027,11109.0,1510.0,1,1,False
수인분당선,1523.0,K6524,1034,11134.0,1510.0,1,1,False
수인분당선,1523.0,K6072,1041,11109.0,1510.0,1,1,False
수인분당선,1523.0,K6074,1051,11109.0,1510.0,1,1,False
수인분당선,1523.0,K6076,1056,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6528,1104,11134.0,1509.0,1,1,False
수인분당선,1523.0,K6078,1111,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6530,1121,11134.0,1510.0,1,1,False
수인분당선,1523.0,K6080,1128,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6082,1135,11109.0,1510.0,1,1,False
수인분당선,1523.0,K6084,1140,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6532,1146,11134.0,1509.0,1,1,False
수인분당선,1523.0,K6086,1156,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6534,1205,11134.0,1510.0,1,1,False
수인분당선,1523.0,K6088,1212,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6090,1220,11109.0,1510.0,1,1,False
수인분당선,1523.0,K6092,1225,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6536,1231,11134.0,1510.0,1,1,False
수인분당선,1523.0,K6094,1240,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6538,1249,11134.0,1510.0,1,1,False
수인분당선,1523.0,K6096,1256,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6098,1304,11109.0,1510.0,1,1,False
수인분당선,1523.0,K6100,1311,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6540,1317,11134.0,1510.0,1,1,False
수인분당선,1523.0,K6102,1328,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6542,1337,11134.0,1510.0,1,1,False
수인분당선,1523.0,K6104,1343,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6106,1350,11109.0,1509.0,1,1,False
수인분당선,1523.0,K6108,1356,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6544,1402,11134.0,1510.0,1,1,False
수인분당선,1523.0,K6110,1411,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6546,1420,11134.0,1510.0,1,1,False
수인분당선,1523.0,K6112,1428,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6114,1434,11109.0,1510.0,1,1,False
수인분당선,1523.0,K6116,1440,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6548,1446,11134.0,1510.0,1,1,False
수인분당선,1523.0,K6118,1455,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6550,1504,11134.0,1509.0,1,1,False
수인분당선,1523.0,K6120,1509,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6122,1515,11109.0,1510.0,1,1,False
수인분당선,1523.0,K6124,1524,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6552,1531,11134.0,1510.0,1,1,False
수인분당선,1523.0,K6126,1541,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6554,1550,11134.0,1510.0,1,1,False
수인분당선,1523.0,K6128,1557,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6130,1604,11109.0,1510.0,1,1,False
수인분당선,1523.0,K6132,1611,1534.0,1509.0,1,1,False
수인분당선,1523.0,K6556,1621,11134.0,1510.0,1,1,False
수인분당선,1523.0,K6134,1629,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6558,1636,11134.0,1510.0,1,1,False
수인분당선,1523.0,K6136,1640,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6138,1645,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6140,1650,11109.0,1510.0,1,1,False
수인분당선,1523.0,K6142,1655,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6144,1700,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6560,1706,11134.0,1510.0,1,1,False
수인분당선,1523.0,K6146,1711,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6562,1718,11134.0,1510.0,1,1,False
수인분당선,1523.0,K6148,1722,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6150,1728,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6152,1734,11109.0,1510.0,1,1,False
수인분당선,1523.0,K6154,1740,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6156,1745,1534.0,1510.0,1,1,False
수인분당선,1523.0,K6158,1749,1534.0,1510.0,1,1,False
