노선명,역코드,열차번호,도착시간,출발역코드,도착역코드,요일,방향,급행선
신림선,11711.0,1,0530,11711.0,11721.0,1,2,False
신림선,11711.0,2,0540,11711.0,11721.0,1,2,False
신림선,11711.0,3,0550,11711.0,11721.0,1,2,False
신림선,11711.0,4,0600,11711.0,11721.0,1,2,False
신림선,11711.0,5,0610,11711.0,11721.0,1,2,False
신림선,11711.0,6,0620,11711.0,11721.0,1,2,False
신림선,11711.0,7,0630,11711.0,11721.0,1,2,False
신림선,11711.0,8,0636,11711.0,11721.0,1,2,False
신림선,11711.0,9,0640,11711.0,11721.0,1,2,False
신림선,11711.0,10,0650,11711.0,11721.0,1,2,False
신림선,11711.0,11,0653,11711.0,11721.0,1,2,False
신림선,11711.0,12,0700,11711.0,11721.0,1,2,False
신림선,11711.0,13,0708,11711.0,11721.0,1,2,False
신림선,11711.0,14,0714,11711.0,11721.0,1,2,False
신림선,11711.0,15,0721,11711.0,11721.0,1,2,False
신림선,11711.0,16,0725,11711.0,11721.0,1,2,False
신림선,11711.0,17,0728,11711.0,11721.0,1,2,False
신림선,11711.0,18,0732,11711.0,11721.0,1,2,False
신림선,11711.0,19,0735,11711.0,11721.0,1,2,False
신림선,11711.0,20,0739,11711.0,11721.0,1,2,False
신림선,11711.0,21,0742,11711.0,11721.0,1,2,False
신림선,11711.0,22,0746,11711.0,11721.0,1,2,False
신림선,11711.0,23,0749,11711.0,11721.0,1,2,False
신림선,11711.0,24,0752,11711.0,11721.0,1,2,False
신림선,11711.0,25,0756,11711.0,11721.0,1,2,False
신림선,11711.0,26,0759,11711.0,11721.0,1,2,False
신림선,11711.0,27,0803,11711.0,11721.0,1,2,False
신림선,11711.0,28,0806,11711.0,11721.0,1,2,False
신림선,11711.0,29,0810,11711.0,11721.0,1,2,False
신림선,11711.0,30,0813,11711.0,11721.0,1,2,False
신림선,11711.0,31,0817,11711.0,11721.0,1,2,False
신림선,11711.0,32,0820,11711.0,11721.0,1,2,False
신림선,11711.0,33,0824,11711.0,11721.0,1,2,False
신림선,11711.0,34,0827,11711.0,11721.0,1,2,False
신림선,11711.0,35,0831,11711.0,11721.0,1,2,False
신림선,11711.0,36,0834,11711.0,11721.0,1,2,False
신림선,11711.0,37,0838,11711.0,11721.0,1,2,False
신림선,11711.0,38,0841,11711.0,11721.0,1,2,False
신림선,11711.0,39,0845,11711.0,11721.0,1,2,False
신림선,11711.0,40,0848,11711.0,11721.0,1,2,False
신림선,11711.0,41,0852,11711.0,11721.0,1,2,False
신림선,11711.0,42,0855,11711.0,11721.0,1,2,False
신림선,11711.0,43,0859,11711.0,11721.0,1,2,False
신림선,11711.0,44,0902,11711.0,11721.0,1,2,False
신림선,11711.0,45,0906,11711.0,11721.0,1,2,False
신림선,11711.0,46,0909,11711.0,11721.0,1,2,False
신림선,11711.0,47,0913,11711.0,11721.0,1,2,False
신림선,11711.0,48,0916,11711.0,11721.0,1,2,False
신림선,11711.0,49,0920,11711.0,11721.0,1,2,False
신림선,11711.0,50,0924,11711.0,11721.0,1,2,False
신림선,11711.0,51,0931,11711.0,11721.0,1,2,False
신림선,11711.0,52,0938,11711.0,11721.0,1,2,False
신림선,11711.0,53,0945,11711.0,11721.0,1,2,False
신림선,11711.0,54,0952,11711.0,11721.0,1,2,False
신림선,11711.0,55,0959,11711.0,11721.0,1,2,False
신림선,11711.0,56,1006,11711.0,11721.0,1,2,False
신림선,11711.0,57,1014,11711.0,11721.0,1,2,False
신림선,11711.0,58,1021,11711.0,11721.0,1,2,False
신림선,11711.0,59,1029,11711.0,11721.0,1,2,False
신림선,11711.0,60,1036,11711.0,11721.0,1,2,False
신림선,11711.0,61,1044,11711.0,11721.0,1,2,False
신림선,11711.0,62,1051,11711.0,11721.0,1,2,False
신림선,11711.0,63,1059,11711.0,11721.0,1,2,False
신림선,11711.0,64,1107,11711.0,11721.0,1,2,False
신림선,11711.0,65,1116,11711.0,11721.0,1,2,False
신림선,11711.0,66,1124,11711.0,11721.0,1,2,False
신림선,11711.0,67,1133,11711.0,11721.0,1,2,False
신림선,11711.0,68,1141,11711.0,11721.0,1,2,False
신림선,11711.0,69,1150,11711.0,11721.0,1,2,False
신림선,11711.0,70,1158,11711.0,11721.0,1,2,False
신림선,11711.0,71,1207,11711.0,11721.0,1,2,False
신림선,11711.0,72,1215,11711.0,11721.0,1,2,False
신림선,11711.0,73,1224,11711.0,11721.0,1,2,False
신림선,11711.0,74,1232,11711.0,11721.0,1,2,False
신림선,11711.0,75,1241,11711.0,11721.0,1,2,False
신림선,11711.0,76,1249,11711.0,11721.0,1,2,False
신림선,11711.0,77,1258,11711.0,11721.0,1,2,False
신림선,11711.0,78,1305,11711.0,11721.0,1,2,False
신림선,11711.0,79,1313,11711.0,11721.0,1,2,False
신림선,11711.0,80,1320,11711.0,11721.0,1,2,False
신림선,11711.0,81,1328,11711.0,11721.0,1,2,False
신림선,11711.0,82,1335,11711.0,11721.0,1,2,False
신림선,11711.0,83,1343,11711.0,11721.0,1,2,False
신림선,11711.0,84,1350,11711.0,11721.0,1,2,False
신림선,11711.0,85,1358,11711.0,11721.0,1,2,False
신림선,11711.0,86,1405,11711.0,11721.0,1,2,False
신림선,11711.0,87,1413,11711.0,11721.0,1,2,False
신림선,11711.0,88,1420,11711.0,11721.0,1,2,False
신림선,11711.0,89,1428,11711.0,11721.0,1,2,False
신림선,11711.0,90,1435,11711.0,11721.0,1,2,False
신림선,11711.0,91,1443,11711.0,11721.0,1,2,False
신림선,11711.0,92,1450,11711.0,11721.0,1,2,False
신림선,11711.0,93,1457,11711.0,11721.0,1,2,False
신림선,11711.0,94,1504,11711.0,11721.0,1,2,False
신림선,11711.0,95,1511,11711.0,11721.0,1,2,False
신림선,11711.0,96,1518,11711.0,11721.0,1,2,False
신림선,11711.0,97,1525,11711.0,11721.0,1,2,False
신림선,11711.0,98,1532,11711.0,11721.0,1,2,False
신림선,11711.0,99,1539,11711.0,11721.0,1,2,False
신림선,11711.0,100,1546,11711.0,11721.0,1,2,False
신림선,11711.0,101,1553,11711.0,11721.0,1,2,False
신림선,11711.0,102,1600,11711.0,11721.0,1,2,False
신림선,11711.0,103,1607,11711.0,11721.0,1,2,False
신림선,11711.0,104,1614,11711.0,11721.0,1,2,False
신림선,11711.0,105,1621,11711.0,11721.0,1,2,False
신림선,11711.0,106,1628,11711.0,11721.0,1,2,False
신림선,11711.0,107,1635,11711.0,11721.0,1,2,False
신림선,11711.0,108,1642,11711.0,11721.0,1,2,False
신림선,11711.0,109,1649,11711.0,11721.0,1,2,False
신림선,11711.0,110,1656,11711.0,11721.0,1,2,False
신림선,11711.0,111,1703,11711.0,11721.0,1,2,False
신림선,11711.0,112,1710,11711.0,11721.0,1,2,False
신림선,11711.0,113,1717,11711.0,11721.0,1,2,False
신림선,11711.0,114,1724,11711.0,11721.0,1,2,False
신림선,11711.0,115,1728,11711.0,11721.0,1,2,False
신림선,11711.0,116,1731,11711.0,11721.0,1,2,False
신림선,11711.0,117,1735,11711.0,11721.0,1,2,False
신림선,11711.0,118,1738,11711.0,11721.0,1,2,False
