노선명,역코드,열차번호,도착시간,출발역코드,도착역코드,요일,방향,급행선
7호선,709.0,7338,2115,709.0,709.0,1,1,False
7호선,709.0,7346,2139,709.0,709.0,1,1,False
7호선,709.0,7352,2200,709.0,709.0,1,1,False
7호선,709.0,7358,2222,709.0,709.0,1,1,False
7호선,709.0,7362,2236,709.0,709.0,1,1,False
7호선,709.0,7368,2258,709.0,709.0,1,1,False
7호선,709.0,7376,2328,709.0,709.0,1,1,False
7호선,709.0,7382,2351,709.0,709.0,1,1,False
7호선,709.0,7386,2406,709.0,709.0,1,1,False
7호선,709.0,7390,2430,709.0,709.0,1,1,False
7호선,710.0,7336,2104,710.0,710.0,1,1,False
7호선,710.0,7338,2110,709.0,709.0,1,1,False
7호선,710.0,7340,2116,710.0,710.0,1,1,False
7호선,710.0,7342,2122,710.0,710.0,1,1,False
7호선,710.0,7344,2128,710.0,710.0,1,1,False
7호선,710.0,7346,2134,709.0,709.0,1,1,False
7호선,710.0,7348,2141,710.0,710.0,1,1,False
7호선,710.0,7350,2148,710.0,710.0,1,1,False
7호선,710.0,7352,2155,709.0,709.0,1,1,False
7호선,710.0,7354,2202,710.0,710.0,1,1,False
7호선,710.0,7356,2209,710.0,710.0,1,1,False
7호선,710.0,7358,2217,709.0,709.0,1,1,False
7호선,710.0,7360,2224,710.0,710.0,1,1,False
7호선,710.0,7362,2231,709.0,709.0,1,1,False
7호선,710.0,7364,2238,710.0,710.0,1,1,False
7호선,710.0,7366,2246,710.0,710.0,1,1,False
7호선,710.0,7368,2253,709.0,709.0,1,1,False
7호선,710.0,7370,2301,710.0,710.0,1,1,False
7호선,710.0,7372,2308,710.0,710.0,1,1,False
7호선,710.0,7374,2316,710.0,710.0,1,1,False
7호선,710.0,7376,2323,709.0,709.0,1,1,False
7호선,710.0,7378,2331,710.0,710.0,1,1,False
7호선,710.0,7380,2338,710.0,710.0,1,1,False
7호선,710.0,7382,2346,709.0,709.0,1,1,False
7호선,710.0,7384,2353,710.0,710.0,1,1,False
7호선,710.0,7386,2401,709.0,709.0,1,1,False
7호선,710.0,7388,2413,710.0,710.0,1,1,False
7호선,710.0,7390,2425,709.0,709.0,1,1,False
7호선,710.0,7392,2441,710.0,710.0,1,1,False
7호선,710.0,7394,2455,710.0,710.0,1,1,False
7호선,711.0,7336,2101,710.0,710.0,1,1,False
7호선,711.0,7338,2107,709.0,709.0,1,1,False
7호선,711.0,7340,2113,710.0,710.0,1,1,False
7호선,711.0,7342,2119,710.0,710.0,1,1,False
7호선,711.0,7344,2125,710.0,710.0,1,1,False
7호선,711.0,7346,2131,709.0,709.0,1,1,False
7호선,711.0,7348,2138,710.0,710.0,1,1,False
7호선,711.0,7350,2145,710.0,710.0,1,1,False
7호선,711.0,7352,2152,709.0,709.0,1,1,False
7호선,711.0,7354,2159,710.0,710.0,1,1,False
7호선,711.0,7356,2206,710.0,710.0,1,1,False
7호선,711.0,7358,2214,709.0,709.0,1,1,False
7호선,711.0,7360,2221,710.0,710.0,1,1,False
7호선,711.0,7362,2228,709.0,709.0,1,1,False
7호선,711.0,7364,2235,710.0,710.0,1,1,False
7호선,711.0,7366,2243,710.0,710.0,1,1,False
7호선,711.0,7368,2250,709.0,709.0,1,1,False
7호선,711.0,7370,2258,710.0,710.0,1,1,False
7호선,711.0,7372,2305,710.0,710.0,1,1,False
7호선,711.0,7374,2313,710.0,710.0,1,1,False
7호선,711.0,7376,2320,709.0,709.0,1,1,False
7호선,711.0,7378,2328,710.0,710.0,1,1,False
7호선,711.0,7380,2335,710.0,710.0,1,1,False
7호선,711.0,7382,2343,709.0,709.0,1,1,False
7호선,711.0,7384,2350,710.0,710.0,1,1,False
7호선,711.0,7386,2358,709.0,709.0,1,1,False
7호선,711.0,7388,2410,710.0,710.0,1,1,False
7호선,711.0,7390,2422,709.0,709.0,1,1,False
7호선,711.0,7392,2438,710.0,710.0,1,1,False
7호선,711.0,7394,2452,710.0,710.0,1,1,False
7호선,712.0,7338,2104,709.0,709.0,1,1,False
7호선,712.0,7340,2110,710.0,710.0,1,1,False
7호선,712.0,7342,2116,710.0,710.0,1,1,False
7호선,712.0,7344,2122,710.0,710.0,1,1,False
7호선,712.0,7346,2129,709.0,709.0,1,1,False
7호선,712.0,7348,2136,710.0,710.0,1,1,False
7호선,712.0,7350,2143,710.0,710.0,1,1,False
7호선,712.0,7352,2150,709.0,709.0,1,1,False
7호선,712.0,7354,2157,710.0,710.0,1,1,False
7호선,712.0,7356,2204,710.0,710.0,1,1,False
7호선,712.0,7358,2212,709.0,709.0,1,1,False
7호선,712.0,7360,2218,710.0,710.0,1,1,False
7호선,712.0,7362,2225,709.0,709.0,1,1,False
7호선,712.0,7364,2233,710.0,710.0,1,1,False
7호선,712.0,7366,2240,710.0,710.0,1,1,False
7호선,712.0,7368,2248,709.0,709.0,1,1,False
7호선,712.0,7370,2255,710.0,710.0,1,1,False
7호선,712.0,7372,2303,710.0,710.0,1,1,False
7호선,712.0,7374,2310,710.0,710.0,1,1,False
7호선,712.0,7376,2318,709.0,709.0,1,1,False
7호선,712.0,7378,2325,710.0,710.0,1,1,False
7호선,712.0,7380,2333,710.0,710.0,1,1,False
7호선,712.0,7382,2340,709.0,709.0,1,1,False
7호선,712.0,7384,2348,710.0,710.0,1,1,False
7호선,712.0,7386,2355,709.0,709.0,1,1,False
7호선,712.0,7388,2408,710.0,710.0,1,1,False
7호선,712.0,7390,2420,709.0,709.0,1,1,False
7호선,712.0,7392,2436,710.0,710.0,1,1,False
7호선,712.0,7394,2450,710.0,710.0,1,1,False
7호선,713.0,7338,2102,709.0,709.0,1,1,False
7호선,713.0,7340,2108,710.0,710.0,1,1,False
7호선,713.0,7342,2114,710.0,710.0,1,1,False
7호선,713.0,7344,2120,710.0,710.0,1,1,False
7호선,713.0,7346,2127,709.0,709.0,1,1,False
7호선,713.0,7348,2134,710.0,710.0,1,1,False
