노선명,역코드,열차번호,도착시간,출발역코드,도착역코드,요일,방향,급행선
경의중앙선,191.0,K5144,2101,1300.0,1629.0,1,1,False
경의중앙선,191.0,K5148,2119,1299.0,1629.0,1,1,False
경의중앙선,191.0,K5146,2132,1310.0,1622.0,1,1,False
경의중앙선,191.0,K5150,2149,1300.0,1629.0,1,1,False
경의중앙선,191.0,K5152,2202,1300.0,1629.0,1,1,False
경의중앙선,191.0,K5154,2223,1310.0,1629.0,1,1,False
경의중앙선,191.0,K5156,2235,1300.0,1629.0,1,1,False
경의중앙선,191.0,K5158,2255,1300.0,1629.0,1,1,False
경의중앙선,191.0,K5160,2316,1310.0,1617.0,1,1,False
경의중앙선,191.0,K5162,2327,1299.0,1617.0,1,1,False
경의중앙선,191.0,K5164,2347,1310.0,1318.0,1,1,False
경의중앙선,191.0,K5166,2409,1300.0,1318.0,1,1,False
경의중앙선,192.0,K5144,2105,1300.0,1629.0,1,1,False
경의중앙선,192.0,K5148,2123,1299.0,1629.0,1,1,False
경의중앙선,192.0,K5146,2136,1310.0,1622.0,1,1,False
경의중앙선,192.0,K5150,2153,1300.0,1629.0,1,1,False
경의중앙선,192.0,K5152,2206,1300.0,1629.0,1,1,False
경의중앙선,192.0,K5154,2228,1310.0,1629.0,1,1,False
경의중앙선,192.0,K5156,2240,1300.0,1629.0,1,1,False
경의중앙선,192.0,K5158,2259,1300.0,1629.0,1,1,False
경의중앙선,192.0,K5160,2320,1310.0,1617.0,1,1,False
경의중앙선,192.0,K5162,2331,1299.0,1617.0,1,1,False
경의중앙선,192.0,K5164,2356,1310.0,1318.0,1,1,False
경의중앙선,192.0,K5166,2413,1300.0,1318.0,1,1,False
경의중앙선,193.0,K5142,2102,191.0,1622.0,1,1,False
경의중앙선,193.0,K5144,2108,1300.0,1629.0,1,1,False
경의중앙선,193.0,K5148,2126,1299.0,1629.0,1,1,False
경의중앙선,193.0,K5146,2139,1310.0,1622.0,1,1,False
경의중앙선,193.0,K5150,2156,1300.0,1629.0,1,1,False
경의중앙선,193.0,K5152,2208,1300.0,1629.0,1,1,False
경의중앙선,193.0,K5154,2230,1310.0,1629.0,1,1,False
경의중앙선,193.0,K5156,2242,1300.0,1629.0,1,1,False
경의중앙선,193.0,K5158,2302,1300.0,1629.0,1,1,False
경의중앙선,193.0,K5160,2323,1310.0,1617.0,1,1,False
경의중앙선,193.0,K5162,2333,1299.0,1617.0,1,1,False
경의중앙선,193.0,K5164,2359,1310.0,1318.0,1,1,False
경의중앙선,193.0,K5166,2416,1300.0,1318.0,1,1,False
경의중앙선,195.0,K5142,2104,191.0,1622.0,1,1,False
경의중앙선,195.0,K5144,2110,1300.0,1629.0,1,1,False
경의중앙선,195.0,K5148,2128,1299.0,1629.0,1,1,False
경의중앙선,195.0,K5146,2141,1310.0,1622.0,1,1,False
경의중앙선,195.0,K5150,2158,1300.0,1629.0,1,1,False
경의중앙선,195.0,K5152,2211,1300.0,1629.0,1,1,False
경의중앙선,195.0,K5154,2233,1310.0,1629.0,1,1,False
경의중앙선,195.0,K5156,2245,1300.0,1629.0,1,1,False
경의중앙선,195.0,K5158,2304,1300.0,1629.0,1,1,False
경의중앙선,195.0,K5160,2325,1310.0,1617.0,1,1,False
경의중앙선,195.0,K5162,2336,1299.0,1617.0,1,1,False
경의중앙선,195.0,K5164,2401,1310.0,1318.0,1,1,False
경의중앙선,195.0,K5166,2418,1300.0,1318.0,1,1,False
경의중앙선,196.0,K5142,2107,191.0,1622.0,1,1,False
경의중앙선,196.0,K5144,2113,1300.0,1629.0,1,1,False
경의중앙선,196.0,K5148,2131,1299.0,1629.0,1,1,False
경의중앙선,196.0,K5146,2144,1310.0,1622.0,1,1,False
경의중앙선,196.0,K5150,2201,1300.0,1629.0,1,1,False
경의중앙선,196.0,K5152,2213,1300.0,1629.0,1,1,False
경의중앙선,196.0,K5154,2235,1310.0,1629.0,1,1,False
경의중앙선,196.0,K5156,2247,1300.0,1629.0,1,1,False
경의중앙선,196.0,K5158,2307,1300.0,1629.0,1,1,False
경의중앙선,196.0,K5160,2328,1310.0,1617.0,1,1,False
경의중앙선,196.0,K5162,2338,1299.0,1617.0,1,1,False
경의중앙선,196.0,K5164,2404,1310.0,1318.0,1,1,False
경의중앙선,196.0,K5166,2421,1300.0,1318.0,1,1,False
경의중앙선,197.0,K5140,2102,1310.0,1629.0,1,1,False
경의중앙선,197.0,K5142,2110,191.0,1622.0,1,1,False
경의중앙선,197.0,K5144,2116,1300.0,1629.0,1,1,False
경의중앙선,197.0,K5148,2134,1299.0,1629.0,1,1,False
경의중앙선,197.0,K5146,2147,1310.0,1622.0,1,1,False
경의중앙선,197.0,K5150,2204,1300.0,1629.0,1,1,False
경의중앙선,197.0,K5152,2216,1300.0,1629.0,1,1,False
경의중앙선,197.0,K5154,2238,1310.0,1629.0,1,1,False
경의중앙선,197.0,K5156,2250,1300.0,1629.0,1,1,False
경의중앙선,197.0,K5158,2310,1300.0,1629.0,1,1,False
경의중앙선,197.0,K5160,2331,1310.0,1617.0,1,1,False
경의중앙선,197.0,K5162,2341,1299.0,1617.0,1,1,False
경의중앙선,197.0,K5164,2407,1310.0,1318.0,1,1,False
경의중앙선,197.0,K5166,2424,1300.0,1318.0,1,1,False
경의중앙선,198.0,K5140,2105,1310.0,1629.0,1,1,False
경의중앙선,198.0,K5142,2112,191.0,1622.0,1,1,False
경의중앙선,198.0,K5144,2118,1300.0,1629.0,1,1,False
경의중앙선,198.0,K5148,2140,1299.0,1629.0,1,1,False
경의중앙선,198.0,K5146,2149,1310.0,1622.0,1,1,False
경의중앙선,198.0,K5150,2206,1300.0,1629.0,1,1,False
경의중앙선,198.0,K5152,2222,1300.0,1629.0,1,1,False
경의중앙선,198.0,K5154,2241,1310.0,1629.0,1,1,False
경의중앙선,198.0,K5156,2253,1300.0,1629.0,1,1,False
경의중앙선,198.0,K5158,2312,1300.0,1629.0,1,1,False
경의중앙선,198.0,K5160,2333,1310.0,1617.0,1,1,False
경의중앙선,198.0,K5162,2344,1299.0,1617.0,1,1,False
경의중앙선,198.0,K5164,2409,1310.0,1318.0,1,1,False
경의중앙선,198.0,K5166,2426,1300.0,1318.0,1,1,False
경의중앙선,1299.0,K5162,2202,1299.0,1617.0,1,1,False
경의중앙선,1300.0,K5156,2119,1300.0,1629.0,1,1,False
경의중앙선,1300.0,K5158,2139,1300.0,1629.0,1,1,False
경의중앙선,1300.0,K5162,2206,1299.0,1617.0,1,1,False
경의중앙선,1300.0,K5166,2241,1300.0,1318.0,1,1,False
경의중앙선,1301.0,K5156,2123,1300.0,1629.0,1,1,False
경의중앙선,1301.0,K5158,2143,1300.0,1629.0,1,1,False
경의중앙선,1301.0,K5162,2211,1299.0,1617.0,1,1,False
경의중앙선,1301.0,K5166,2245,1300.0,1318.0,1,1,False
경의중앙선,1302.0,K5156,2129,1300.0,1629.0,1,1,False
경의중앙선,1302.0,K5158,2149,1300.0,1629.0,1,1,False
경의중앙선,1302.0,K5162,2217,1299.0,1617.0,1,1,False
경의중앙선,1302.0,K5166,2251,1300.0,1318.0,1,1,False
경의중앙선,1303.0,K5156,2136,1300.0,1629.0,1,1,False
경의중앙선,1303.0,K5158,2156,1300.0,1629.0,1,1,False
경의중앙선,1303.0,K5162,2224,1299.0,1617.0,1,1,False
경의중앙선,1303.0,K5166,2258,1300.0,1318.0,1,1,False
경의중앙선,1304.0,K5152,2103,1300.0,1629.0,1,1,False
경의중앙선,1304.0,K5156,2140,1300.0,1629.0,1,1,False
경의중앙선,1304.0,K5158,2200,1300.0,1629.0,1,1,False
경의중앙선,1304.0,K5162,2228,1299.0,1617.0,1,1,False
경의중앙선,1304.0,K5166,2306,1300.0,1318.0,1,1,False
경의중앙선,1305.0,K5152,2107,1300.0,1629.0,1,1,False
경의중앙선,1305.0,K5156,2148,1300.0,1629.0,1,1,False
경의중앙선,1305.0,K5158,2203,1300.0,1629.0,1,1,False
경의중앙선,1305.0,K5162,2231,1299.0,1617.0,1,1,False
경의중앙선,1305.0,K5166,2309,1300.0,1318.0,1,1,False
경의중앙선,1306.0,K5152,2111,1300.0,1629.0,1,1,False
경의중앙선,1306.0,K5156,2152,1300.0,1629.0,1,1,False
경의중앙선,1306.0,K5158,2208,1300.0,1629.0,1,1,False
경의중앙선,1306.0,K5162,2236,1299.0,1617.0,1,1,False
경의중앙선,1306.0,K5166,2314,1300.0,1318.0,1,1,False
경의중앙선,1307.0,K5150,2101,1300.0,1629.0,1,1,False
경의중앙선,1307.0,K5152,2114,1300.0,1629.0,1,1,False
경의중앙선,1307.0,K5156,2155,1300.0,1629.0,1,1,False
경의중앙선,1307.0,K5158,2210,1300.0,1629.0,1,1,False
경의중앙선,1307.0,K5162,2239,1299.0,1617.0,1,1,False
경의중앙선,1307.0,K5166,2321,1300.0,1318.0,1,1,False
경의중앙선,1308.0,K5150,2110,1300.0,1629.0,1,1,False
경의중앙선,1308.0,K5152,2123,1300.0,1629.0,1,1,False
경의중앙선,1308.0,K5156,2200,1300.0,1629.0,1,1,False
