노선명,역코드,열차번호,도착시간,출발역코드,도착역코드,요일,방향,급행선
공항철도선,4001.0,A2164,2102,4013.0,4001.0,1,1,False
공항철도선,4001.0,A3100,2108,4007.0,4001.0,1,1,False
공항철도선,4001.0,A2166,2115,4013.0,4001.0,1,1,False
공항철도선,4001.0,A3102,2123,4007.0,4001.0,1,1,False
공항철도선,4001.0,A2168,2129,4013.0,4001.0,1,1,False
공항철도선,4001.0,A2170,2139,4013.0,4001.0,1,1,False
공항철도선,4001.0,A1048,2141,4013.0,4001.0,1,1,True
공항철도선,4001.0,A3104,2145,4007.0,4001.0,1,1,False
공항철도선,4001.0,A2172,2152,4013.0,4001.0,1,1,False
공항철도선,4001.0,A2174,2201,4013.0,4001.0,1,1,False
공항철도선,4001.0,A2176,2212,4013.0,4001.0,1,1,False
공항철도선,4001.0,A2178,2223,4013.0,4001.0,1,1,False
공항철도선,4001.0,A1050,2231,4013.0,4001.0,1,1,True
공항철도선,4001.0,A2180,2235,4013.0,4001.0,1,1,False
공항철도선,4001.0,A2182,2245,4013.0,4001.0,1,1,False
공항철도선,4001.0,A2184,2256,4013.0,4001.0,1,1,False
공항철도선,4001.0,A2186,2305,4013.0,4001.0,1,1,False
공항철도선,4001.0,A2188,2313,4013.0,4001.0,1,1,False
공항철도선,4001.0,A2190,2322,4013.0,4001.0,1,1,False
공항철도선,4001.0,A2192,2330,4013.0,4001.0,1,1,False
공항철도선,4001.0,A1052,2331,4013.0,4001.0,1,1,True
공항철도선,4001.0,A2194,2341,4013.0,4001.0,1,1,False
공항철도선,4001.0,A2196,2352,4013.0,4001.0,1,1,False
공항철도선,4001.0,A2198,2403,4013.0,4001.0,1,1,False
공항철도선,4001.0,A2200,2419,4013.0,4001.0,1,1,False
공항철도선,4001.0,A2202,2438,4013.0,4001.0,1,1,False
공항철도선,4002.0,A3100,2104,4007.0,4001.0,1,1,False
공항철도선,4002.0,A2166,2110,4013.0,4001.0,1,1,False
공항철도선,4002.0,A3102,2118,4007.0,4001.0,1,1,False
공항철도선,4002.0,A2168,2125,4013.0,4001.0,1,1,False
공항철도선,4002.0,A2170,2134,4013.0,4001.0,1,1,False
공항철도선,4002.0,A3104,2141,4007.0,4001.0,1,1,False
공항철도선,4002.0,A2172,2147,4013.0,4001.0,1,1,False
공항철도선,4002.0,A2174,2157,4013.0,4001.0,1,1,False
공항철도선,4002.0,A2176,2208,4013.0,4001.0,1,1,False
공항철도선,4002.0,A2178,2218,4013.0,4001.0,1,1,False
공항철도선,4002.0,A2180,2231,4013.0,4001.0,1,1,False
공항철도선,4002.0,A2182,2241,4013.0,4001.0,1,1,False
공항철도선,4002.0,A2184,2252,4013.0,4001.0,1,1,False
공항철도선,4002.0,A2186,2300,4013.0,4001.0,1,1,False
공항철도선,4002.0,A2188,2309,4013.0,4001.0,1,1,False
공항철도선,4002.0,A2190,2317,4013.0,4001.0,1,1,False
공항철도선,4002.0,A2192,2325,4013.0,4001.0,1,1,False
공항철도선,4002.0,A2194,2337,4013.0,4001.0,1,1,False
공항철도선,4002.0,A2196,2347,4013.0,4001.0,1,1,False
공항철도선,4002.0,A2198,2359,4013.0,4001.0,1,1,False
공항철도선,4002.0,A2200,2415,4013.0,4001.0,1,1,False
공항철도선,4002.0,A2202,2434,4013.0,4001.0,1,1,False
공항철도선,4003.0,A3100,2100,4007.0,4001.0,1,1,False
공항철도선,4003.0,A2166,2107,4013.0,4001.0,1,1,False
공항철도선,4003.0,A3102,2115,4007.0,4001.0,1,1,False
공항철도선,4003.0,A2168,2121,4013.0,4001.0,1,1,False
공항철도선,4003.0,A2170,2131,4013.0,4001.0,1,1,False
공항철도선,4003.0,A3104,2137,4007.0,4001.0,1,1,False
공항철도선,4003.0,A2172,2144,4013.0,4001.0,1,1,False
공항철도선,4003.0,A2174,2153,4013.0,4001.0,1,1,False
공항철도선,4003.0,A2176,2204,4013.0,4001.0,1,1,False
공항철도선,4003.0,A2178,2215,4013.0,4001.0,1,1,False
공항철도선,4003.0,A2180,2227,4013.0,4001.0,1,1,False
공항철도선,4003.0,A2182,2237,4013.0,4001.0,1,1,False
공항철도선,4003.0,A2184,2248,4013.0,4001.0,1,1,False
공항철도선,4003.0,A2186,2257,4013.0,4001.0,1,1,False
공항철도선,4003.0,A2188,2305,4013.0,4001.0,1,1,False
공항철도선,4003.0,A2190,2314,4013.0,4001.0,1,1,False
공항철도선,4003.0,A2192,2322,4013.0,4001.0,1,1,False
공항철도선,4003.0,A2194,2333,4013.0,4001.0,1,1,False
공항철도선,4003.0,A2196,2344,4013.0,4001.0,1,1,False
공항철도선,4003.0,A2198,2355,4013.0,4001.0,1,1,False
공항철도선,4003.0,A2200,2411,4013.0,4001.0,1,1,False
공항철도선,4003.0,A2202,2430,4013.0,4001.0,1,1,False
공항철도선,4004.0,A2166,2103,4013.0,4001.0,1,1,False
공항철도선,4004.0,A3102,2111,4007.0,4001.0,1,1,False
공항철도선,4004.0,A2168,2117,4013.0,4001.0,1,1,False
공항철도선,4004.0,A2170,2127,4013.0,4001.0,1,1,False
공항철도선,4004.0,A3104,2132,4007.0,4001.0,1,1,False
공항철도선,4004.0,A2172,2140,4013.0,4001.0,1,1,False
공항철도선,4004.0,A2174,2149,4013.0,4001.0,1,1,False
공항철도선,4004.0,A2176,2200,4013.0,4001.0,1,1,False
공항철도선,4004.0,A2178,2211,4013.0,4001.0,1,1,False
공항철도선,4004.0,A2180,2222,4013.0,4001.0,1,1,False
공항철도선,4004.0,A2182,2233,4013.0,4001.0,1,1,False
공항철도선,4004.0,A2184,2244,4013.0,4001.0,1,1,False
공항철도선,4004.0,A2186,2253,4013.0,4001.0,1,1,False
공항철도선,4004.0,A2188,2301,4013.0,4001.0,1,1,False
공항철도선,4004.0,A2190,2310,4013.0,4001.0,1,1,False
공항철도선,4004.0,A2192,2318,4013.0,4001.0,1,1,False
공항철도선,4004.0,A2194,2329,4013.0,4001.0,1,1,False
공항철도선,4004.0,A2196,2340,4013.0,4001.0,1,1,False
공항철도선,4004.0,A2198,2351,4013.0,4001.0,1,1,False
