노선명,역코드,열차번호,도착시간,출발역코드,도착역코드,요일,방향,급행선
수인분당선,1510.0,K6198,2101,11109.0,1510.0,1,1,False
수인분당선,1510.0,K6582,2107,11134.0,1510.0,1,1,False
수인분당선,1510.0,K6202,2116,11109.0,1510.0,1,1,False
수인분당선,1510.0,K6584,2124,11134.0,1510.0,1,1,False
수인분당선,1510.0,K6204,2129,11109.0,1510.0,1,1,False
수인분당선,1510.0,K6206,2135,11109.0,1510.0,1,1,False
수인분당선,1510.0,K6208,2140,11109.0,1510.0,1,1,False
수인분당선,1510.0,K6586,2150,11134.0,1510.0,1,1,False
수인분당선,1510.0,K6212,2158,11109.0,1510.0,1,1,False
수인분당선,1510.0,K6588,2207,11134.0,1510.0,1,1,False
수인분당선,1510.0,K6214,2213,11109.0,1510.0,1,1,False
수인분당선,1510.0,K6216,2219,11109.0,1510.0,1,1,False
수인분당선,1510.0,K6218,2228,11109.0,1510.0,1,1,False
수인분당선,1510.0,K6590,2239,11134.0,1510.0,1,1,False
수인분당선,1510.0,K6222,2252,11109.0,1510.0,1,1,False
수인분당선,1510.0,K6592,2305,11134.0,1510.0,1,1,False
수인분당선,1510.0,K6224,2314,11109.0,1510.0,1,1,False
수인분당선,1510.0,K6226,2326,11109.0,1510.0,1,1,False
수인분당선,1510.0,K6228,2335,1534.0,1510.0,1,1,False
수인분당선,1510.0,K6598,2348,11134.0,1510.0,1,1,False
수인분당선,1510.0,K6600,2409,11134.0,1510.0,1,1,False
수인분당선,1510.0,K6234,2421,1534.0,1510.0,1,1,False
수인분당선,1511.0,K6582,2104,11134.0,1510.0,1,1,False
수인분당선,1511.0,K6202,2112,11109.0,1510.0,1,1,False
수인분당선,1511.0,K6584,2121,11134.0,1510.0,1,1,False
수인분당선,1511.0,K6204,2125,11109.0,1510.0,1,1,False
수인분당선,1511.0,K6206,2131,11109.0,1510.0,1,1,False
수인분당선,1511.0,K6208,2136,11109.0,1510.0,1,1,False
수인분당선,1511.0,K6586,2147,11134.0,1510.0,1,1,False
수인분당선,1511.0,K6212,2154,11109.0,1510.0,1,1,False
수인분당선,1511.0,K6588,2204,11134.0,1510.0,1,1,False
수인분당선,1511.0,K6214,2209,11109.0,1510.0,1,1,False
수인분당선,1511.0,K6216,2215,11109.0,1510.0,1,1,False
수인분당선,1511.0,K6218,2224,11109.0,1510.0,1,1,False
수인분당선,1511.0,K6590,2236,11134.0,1510.0,1,1,False
수인분당선,1511.0,K6222,2248,11109.0,1510.0,1,1,False
수인분당선,1511.0,K6592,2302,11134.0,1510.0,1,1,False
수인분당선,1511.0,K6224,2310,11109.0,1510.0,1,1,False
수인분당선,1511.0,K6226,2322,11109.0,1510.0,1,1,False
수인분당선,1511.0,K6228,2332,1534.0,1510.0,1,1,False
수인분당선,1511.0,K6598,2345,11134.0,1510.0,1,1,False
수인분당선,1511.0,K6600,2406,11134.0,1510.0,1,1,False
수인분당선,1511.0,K6234,2418,1534.0,1510.0,1,1,False
수인분당선,1512.0,K6582,2102,11134.0,1510.0,1,1,False
수인분당선,1512.0,K6202,2110,11109.0,1510.0,1,1,False
수인분당선,1512.0,K6584,2119,11134.0,1510.0,1,1,False
수인분당선,1512.0,K6204,2123,11109.0,1510.0,1,1,False
수인분당선,1512.0,K6206,2129,11109.0,1510.0,1,1,False
수인분당선,1512.0,K6208,2134,11109.0,1510.0,1,1,False
수인분당선,1512.0,K6586,2145,11134.0,1510.0,1,1,False
수인분당선,1512.0,K6212,2152,11109.0,1510.0,1,1,False
수인분당선,1512.0,K6588,2202,11134.0,1510.0,1,1,False
수인분당선,1512.0,K6214,2207,11109.0,1510.0,1,1,False
수인분당선,1512.0,K6216,2213,11109.0,1510.0,1,1,False
수인분당선,1512.0,K6218,2222,11109.0,1510.0,1,1,False
수인분당선,1512.0,K6590,2234,11134.0,1510.0,1,1,False
수인분당선,1512.0,K6222,2246,11109.0,1510.0,1,1,False
수인분당선,1512.0,K6592,2300,11134.0,1510.0,1,1,False
수인분당선,1512.0,K6224,2308,11109.0,1510.0,1,1,False
수인분당선,1512.0,K6226,2320,11109.0,1510.0,1,1,False
수인분당선,1512.0,K6228,2330,1534.0,1510.0,1,1,False
수인분당선,1512.0,K6598,2343,11134.0,1510.0,1,1,False
수인분당선,1512.0,K6600,2404,11134.0,1510.0,1,1,False
수인분당선,1512.0,K6234,2416,1534.0,1510.0,1,1,False
수인분당선,1513.0,K6202,2108,11109.0,1510.0,1,1,False
수인분당선,1513.0,K6584,2116,11134.0,1510.0,1,1,False
수인분당선,1513.0,K6204,2121,11109.0,1510.0,1,1,False
수인분당선,1513.0,K6206,2127,11109.0,1510.0,1,1,False
수인분당선,1513.0,K6208,2132,11109.0,1510.0,1,1,False
수인분당선,1513.0,K6586,2142,11134.0,1510.0,1,1,False
수인분당선,1513.0,K6212,2150,11109.0,1510.0,1,1,False
수인분당선,1513.0,K6588,2159,11134.0,1510.0,1,1,False
수인분당선,1513.0,K6214,2205,11109.0,1510.0,1,1,False
수인분당선,1513.0,K6216,2211,11109.0,1510.0,1,1,False
수인분당선,1513.0,K6218,2220,11109.0,1510.0,1,1,False
수인분당선,1513.0,K6590,2231,11134.0,1510.0,1,1,False
수인분당선,1513.0,K6222,2244,11109.0,1510.0,1,1,False
수인분당선,1513.0,K6592,2257,11134.0,1510.0,1,1,False
수인분당선,1513.0,K6224,2306,11109.0,1510.0,1,1,False
수인분당선,1513.0,K6226,2318,11109.0,1510.0,1,1,False
수인분당선,1513.0,K6228,2327,1534.0,1510.0,1,1,False
수인분당선,1513.0,K6598,2340,11134.0,1510.0,1,1,False
수인분당선,1513.0,K6600,2401,11134.0,1510.0,1,1,False
수인분당선,1513.0,K6234,2413,1534.0,1510.0,1,1,False
수인분당선,1514.0,K6202,2106,11109.0,1510.0,1,1,False
수인분당선,1514.0,K6584,2115,11134.0,1510.0,1,1,False
수인분당선,1514.0,K6204,2119,11109.0,1510.0,1,1,False
수인분당선,1514.0,K6206,2125,11109.0,1510.0,1,1,False
수인분당선,1514.0,K6208,2130,11109.0,1510.0,1,1,False
수인분당선,1514.0,K6586,2141,11134.0,1510.0,1,1,False
수인분당선,1514.0,K6212,2148,11109.0,1510.0,1,1,False
수인분당선,1514.0,K6588,2158,11134.0,1510.0,1,1,False
수인분당선,1514.0,K6214,2203,11109.0,1510.0,1,1,False
수인분당선,1514.0,K6216,2209,11109.0,1510.0,1,1,False
수인분당선,1514.0,K6218,2218,11109.0,1510.0,1,1,False
수인분당선,1514.0,K6590,2230,11134.0,1510.0,1,1,False
수인분당선,1514.0,K6222,2242,11109.0,1510.0,1,1,False
수인분당선,1514.0,K6592,2256,11134.0,1510.0,1,1,False
수인분당선,1514.0,K6224,2304,11109.0,1510.0,1,1,False
수인분당선,1514.0,K6226,2316,11109.0,1510.0,1,1,False
수인분당선,1514.0,K6228,2326,1534.0,1510.0,1,1,False
수인분당선,1514.0,K6598,2339,11134.0,1510.0,1,1,False
수인분당선,1514.0,K6600,2400,11134.0,1510.0,1,1,False
수인분당선,1514.0,K6234,2412,1534.0,1510.0,1,1,False
수인분당선,1515.0,K6202,2104,11109.0,1510.0,1,1,False
수인분당선,1515.0,K6584,2113,11134.0,1510.0,1,1,False
수인분당선,1515.0,K6204,2117,11109.0,1510.0,1,1,False
수인분당선,1515.0,K6206,2123,11109.0,1510.0,1,1,False
수인분당선,1515.0,K6208,2128,11109.0,1510.0,1,1,False
수인분당선,1515.0,K6586,2139,11134.0,1510.0,1,1,False
수인분당선,1515.0,K6212,2146,11109.0,1510.0,1,1,False
