노선명,역코드,열차번호,도착시간,출발역코드,도착역코드,요일,방향,급행선
신림선,11711.0,162,2100,11721.0,11711.0,1,1,False
신림선,11711.0,163,2107,11721.0,11711.0,1,1,False
신림선,11711.0,164,2114,11721.0,11711.0,1,1,False
신림선,11711.0,165,2121,11721.0,11711.0,1,1,False
신림선,11711.0,166,2128,11721.0,11711.0,1,1,False
신림선,11711.0,167,2135,11721.0,11711.0,1,1,False
신림선,11711.0,168,2142,11721.0,11711.0,1,1,False
신림선,11711.0,169,2149,11721.0,11711.0,1,1,False
신림선,11711.0,170,2156,11721.0,11711.0,1,1,False
신림선,11711.0,171,2203,11721.0,11711.0,1,1,False
신림선,11711.0,172,2210,11721.0,11711.0,1,1,False
신림선,11711.0,173,2217,11721.0,11711.0,1,1,False
신림선,11711.0,174,2224,11721.0,11711.0,1,1,False
신림선,11711.0,175,2231,11721.0,11711.0,1,1,False
신림선,11711.0,176,2239,11721.0,11711.0,1,1,False
신림선,11711.0,177,2246,11721.0,11711.0,1,1,False
신림선,11711.0,178,2254,11721.0,11711.0,1,1,False
신림선,11711.0,179,2301,11721.0,11711.0,1,1,False
신림선,11711.0,180,2309,11721.0,11711.0,1,1,False
신림선,11711.0,181,2316,11721.0,11711.0,1,1,False
신림선,11711.0,182,2322,11721.0,11711.0,1,1,False
신림선,11711.0,183,2330,11721.0,11711.0,1,1,False
신림선,11711.0,184,2340,11721.0,11711.0,1,1,False
신림선,11711.0,185,2350,11721.0,11711.0,1,1,False
신림선,11711.0,186,2400,11721.0,11711.0,1,1,False
신림선,11711.0,187,2410,11721.0,11711.0,1,1,False
신림선,11711.0,188,2420,11721.0,11711.0,1,1,False
신림선,11711.0,189,2430,11721.0,11711.0,1,1,False
신림선,11711.0,190,2440,11721.0,11711.0,1,1,False
신림선,11711.0,191,2450,11721.0,11711.0,1,1,False
신림선,11711.0,192,2500,11721.0,11711.0,1,1,False
신림선,11712.0,163,2105,11721.0,11711.0,1,1,False
신림선,11712.0,164,2112,11721.0,11711.0,1,1,False
신림선,11712.0,165,2119,11721.0,11711.0,1,1,False
신림선,11712.0,166,2126,11721.0,11711.0,1,1,False
신림선,11712.0,167,2133,11721.0,11711.0,1,1,False
신림선,11712.0,168,2140,11721.0,11711.0,1,1,False
신림선,11712.0,169,2147,11721.0,11711.0,1,1,False
신림선,11712.0,170,2154,11721.0,11711.0,1,1,False
신림선,11712.0,171,2201,11721.0,11711.0,1,1,False
신림선,11712.0,172,2208,11721.0,11711.0,1,1,False
신림선,11712.0,173,2215,11721.0,11711.0,1,1,False
신림선,11712.0,174,2222,11721.0,11711.0,1,1,False
신림선,11712.0,175,2229,11721.0,11711.0,1,1,False
신림선,11712.0,176,2237,11721.0,11711.0,1,1,False
신림선,11712.0,177,2244,11721.0,11711.0,1,1,False
신림선,11712.0,178,2252,11721.0,11711.0,1,1,False
신림선,11712.0,179,2259,11721.0,11711.0,1,1,False
신림선,11712.0,180,2307,11721.0,11711.0,1,1,False
신림선,11712.0,181,2314,11721.0,11711.0,1,1,False
신림선,11712.0,182,2320,11721.0,11711.0,1,1,False
신림선,11712.0,183,2328,11721.0,11711.0,1,1,False
신림선,11712.0,184,2338,11721.0,11711.0,1,1,False
신림선,11712.0,185,2348,11721.0,11711.0,1,1,False
신림선,11712.0,186,2358,11721.0,11711.0,1,1,False
신림선,11712.0,187,2408,11721.0,11711.0,1,1,False
신림선,11712.0,188,2418,11721.0,11711.0,1,1,False
신림선,11712.0,189,2428,11721.0,11711.0,1,1,False
신림선,11712.0,190,2438,11721.0,11711.0,1,1,False
신림선,11712.0,191,2448,11721.0,11711.0,1,1,False
신림선,11712.0,192,2458,11721.0,11711.0,1,1,False
신림선,11713.0,163,2104,11721.0,11711.0,1,1,False
신림선,11713.0,164,2111,11721.0,11711.0,1,1,False
신림선,11713.0,165,2118,11721.0,11711.0,1,1,False
신림선,11713.0,166,2125,11721.0,11711.0,1,1,False
신림선,11713.0,167,2132,11721.0,11711.0,1,1,False
신림선,11713.0,168,2139,11721.0,11711.0,1,1,False
신림선,11713.0,169,2146,11721.0,11711.0,1,1,False
신림선,11713.0,170,2153,11721.0,11711.0,1,1,False
신림선,11713.0,171,2200,11721.0,11711.0,1,1,False
신림선,11713.0,172,2207,11721.0,11711.0,1,1,False
신림선,11713.0,173,2214,11721.0,11711.0,1,1,False
신림선,11713.0,174,2221,11721.0,11711.0,1,1,False
신림선,11713.0,175,2228,11721.0,11711.0,1,1,False
신림선,11713.0,176,2235,11721.0,11711.0,1,1,False
신림선,11713.0,177,2243,11721.0,11711.0,1,1,False
신림선,11713.0,178,2250,11721.0,11711.0,1,1,False
신림선,11713.0,179,2258,11721.0,11711.0,1,1,False
신림선,11713.0,180,2305,11721.0,11711.0,1,1,False
신림선,11713.0,181,2313,11721.0,11711.0,1,1,False
신림선,11713.0,182,2319,11721.0,11711.0,1,1,False
신림선,11713.0,183,2327,11721.0,11711.0,1,1,False
신림선,11713.0,184,2337,11721.0,11711.0,1,1,False
신림선,11713.0,185,2347,11721.0,11711.0,1,1,False
신림선,11713.0,186,2357,11721.0,11711.0,1,1,False
신림선,11713.0,187,2407,11721.0,11711.0,1,1,False
신림선,11713.0,188,2417,11721.0,11711.0,1,1,False
신림선,11713.0,189,2427,11721.0,11711.0,1,1,False
신림선,11713.0,190,2437,11721.0,11711.0,1,1,False
신림선,11713.0,191,2447,11721.0,11711.0,1,1,False
신림선,11713.0,192,2457,11721.0,11711.0,1,1,False
신림선,11714.0,163,2102,11721.0,11711.0,1,1,False
신림선,11714.0,164,2109,11721.0,11711.0,1,1,False
신림선,11714.0,165,2116,11721.0,11711.0,1,1,False
신림선,11714.0,166,2123,11721.0,11711.0,1,1,False
신림선,11714.0,167,2130,11721.0,11711.0,1,1,False
신림선,11714.0,168,2137,11721.0,11711.0,1,1,False
신림선,11714.0,169,2144,11721.0,11711.0,1,1,False
신림선,11714.0,170,2151,11721.0,11711.0,1,1,False
신림선,11714.0,171,2158,11721.0,11711.0,1,1,False
신림선,11714.0,172,2205,11721.0,11711.0,1,1,False
신림선,11714.0,173,2212,11721.0,11711.0,1,1,False
신림선,11714.0,174,2219,11721.0,11711.0,1,1,False
신림선,11714.0,175,2226,11721.0,11711.0,1,1,False
신림선,11714.0,176,2234,11721.0,11711.0,1,1,False
신림선,11714.0,177,2241,11721.0,11711.0,1,1,False
신림선,11714.0,178,2249,11721.0,11711.0,1,1,False
신림선,11714.0,179,2256,11721.0,11711.0,1,1,False
신림선,11714.0,180,2304,11721.0,11711.0,1,1,False
신림선,11714.0,181,2311,11721.0,11711.0,1,1,False
신림선,11714.0,182,2317,11721.0,11711.0,1,1,False
신림선,11714.0,183,2325,11721.0,11711.0,1,1,False
신림선,11714.0,184,2335,11721.0,11711.0,1,1,False
신림선,11714.0,185,2345,11721.0,11711.0,1,1,False
신림선,11714.0,186,2355,11721.0,11711.0,1,1,False
신림선,11714.0,187,2405,11721.0,11711.0,1,1,False
신림선,11714.0,188,2415,11721.0,11711.0,1,1,False
신림선,11714.0,189,2425,11721.0,11711.0,1,1,False
신림선,11714.0,190,2435,11721.0,11711.0,1,1,False
신림선,11714.0,191,2445,11721.0,11711.0,1,1,False
신림선,11714.0,192,2455,11721.0,11711.0,1,1,False
신림선,11715.0,163,2101,11721.0,11711.0,1,1,False
신림선,11715.0,164,2108,11721.0,11711.0,1,1,False
