route_name,stat_code,train_code,time_old,weeks,inout,hour,min,time_new
1호선,138,K1168,2100,1,1,21,0,1260
1호선,137,K1168,2102,1,1,21,2,1262
1호선,136,K1168,2104,1,1,21,4,1264
1호선,135,K1168,2108,1,1,21,8,1268
1호선,141,K1170,2102,1,1,21,2,1262
1호선,140,K1170,2104,1,1,21,4,1264
1호선,139,K1170,2107,1,1,21,7,1267
1호선,138,K1170,2109,1,1,21,9,1269
1호선,137,K1170,2111,1,1,21,11,1271
1호선,136,K1170,2113,1,1,21,13,1273
1호선,135,K1170,2117,1,1,21,17,1277
1호선,146,K1172,2102,1,1,21,2,1262
1호선,143,K1172,2107,1,1,21,7,1267
1호선,141,K1172,2111,1,1,21,11,1271
1호선,140,K1172,2113,1,1,21,13,1273
1호선,139,K1172,2116,1,1,21,16,1276
1호선,138,K1172,2118,1,1,21,18,1278
1호선,137,K1172,2120,1,1,21,20,1280
1호선,136,K1172,2122,1,1,21,22,1282
1호선,135,K1172,2126,1,1,21,26,1286
1호선,152,K1174,2102,1,1,21,2,1262
1호선,150,K1174,2105,1,1,21,5,1265
1호선,148,K1174,2109,1,1,21,9,1269
1호선,146,K1174,2112,1,1,21,12,1272
1호선,143,K1174,2117,1,1,21,17,1277
1호선,141,K1174,2121,1,1,21,21,1281
1호선,140,K1174,2123,1,1,21,23,1283
1호선,139,K1174,2126,1,1,21,26,1286
1호선,138,K1174,2128,1,1,21,28,1288
1호선,137,K1174,2130,1,1,21,30,1290
1호선,136,K1174,2132,1,1,21,32,1292
1호선,135,K1174,2136,1,1,21,36,1296
1호선,156,K1176,2101,1,1,21,1,1261
1호선,154,K1176,2104,1,1,21,4,1264
1호선,152,K1176,2108,1,1,21,8,1268
1호선,150,K1176,2111,1,1,21,11,1271
1호선,148,K1176,2115,1,1,21,15,1275
1호선,146,K1176,2118,1,1,21,18,1278
1호선,143,K1176,2123,1,1,21,23,1283
1호선,141,K1176,2127,1,1,21,27,1287
1호선,160,K1178,2106,1,1,21,6,1266
1호선,158,K1178,2109,1,1,21,9,1269
1호선,156,K1178,2112,1,1,21,12,1272
1호선,154,K1178,2115,1,1,21,15,1275
1호선,152,K1178,2119,1,1,21,19,1279
1호선,150,K1178,2122,1,1,21,22,1282
1호선,148,K1178,2126,1,1,21,26,1286
1호선,146,K1178,2129,1,1,21,29,1289
1호선,143,K1178,2134,1,1,21,34,1294
1호선,141,K1178,2138,1,1,21,38,1298
1호선,140,K1178,2140,1,1,21,40,1300
1호선,139,K1178,2143,1,1,21,43,1303
1호선,138,K1178,2145,1,1,21,45,1305
1호선,137,K1178,2147,1,1,21,47,1307
1호선,136,K1178,2149,1,1,21,49,1309
1호선,135,K1178,2153,1,1,21,53,1313
1호선,160,K1180,2112,1,1,21,12,1272
1호선,158,K1180,2115,1,1,21,15,1275
1호선,156,K1180,2118,1,1,21,18,1278
1호선,154,K1180,2121,1,1,21,21,1281
1호선,152,K1180,2125,1,1,21,25,1285
1호선,150,K1180,2128,1,1,21,28,1288
1호선,148,K1180,2132,1,1,21,32,1292
1호선,146,K1180,2135,1,1,21,35,1295
1호선,143,K1180,2140,1,1,21,40,1300
1호선,141,K1180,2144,1,1,21,44,1304
1호선,160,K1182,2120,1,1,21,20,1280
1호선,158,K1182,2123,1,1,21,23,1283
1호선,156,K1182,2126,1,1,21,26,1286
1호선,154,K1182,2129,1,1,21,29,1289
1호선,152,K1182,2133,1,1,21,33,1293
1호선,150,K1182,2136,1,1,21,36,1296
1호선,148,K1182,2140,1,1,21,40,1300
1호선,146,K1182,2143,1,1,21,43,1303
1호선,143,K1182,2148,1,1,21,48,1308
1호선,141,K1182,2152,1,1,21,52,1312
1호선,140,K1182,2154,1,1,21,54,1314
1호선,139,K1182,2157,1,1,21,57,1317
1호선,138,K1182,2159,1,1,21,59,1319
