,route_name,stat_id,train_id,time,weeks,inout,week,is_direct
0,1호선,138.0,K1168,2100,,1,1.0,True
1,1호선,137.0,K1168,2102,,1,1.0,True
2,1호선,136.0,K1168,2104,,1,1.0,True
3,1호선,135.0,K1168,2108,,1,1.0,True
4,1호선,141.0,K1170,2102,,1,1.0,True
5,1호선,140.0,K1170,2104,,1,1.0,True
6,1호선,139.0,K1170,2107,,1,1.0,True
7,1호선,138.0,K1170,2109,,1,1.0,True
8,1호선,137.0,K1170,2111,,1,1.0,True
9,1호선,136.0,K1170,2113,,1,1.0,True
10,1호선,135.0,K1170,2117,,1,1.0,True
11,1호선,146.0,K1172,2102,,1,1.0,True
12,1호선,143.0,K1172,2107,,1,1.0,True
13,1호선,141.0,K1172,2111,,1,1.0,True
14,1호선,140.0,K1172,2113,,1,1.0,True
15,1호선,139.0,K1172,2116,,1,1.0,True
16,1호선,138.0,K1172,2118,,1,1.0,True
17,1호선,137.0,K1172,2120,,1,1.0,True
18,1호선,136.0,K1172,2122,,1,1.0,True
19,1호선,135.0,K1172,2126,,1,1.0,True
21,1호선,150.0,K1174,2105,,1,1.0,True
22,1호선,148.0,K1174,2109,,1,1.0,True
23,1호선,146.0,K1174,2112,,1,1.0,True
24,1호선,143.0,K1174,2117,,1,1.0,True
25,1호선,141.0,K1174,2121,,1,1.0,True
26,1호선,140.0,K1174,2123,,1,1.0,True
27,1호선,139.0,K1174,2126,,1,1.0,True
28,1호선,138.0,K1174,2128,,1,1.0,True
29,1호선,137.0,K1174,2130,,1,1.0,True
30,1호선,136.0,K1174,2132,,1,1.0,True
31,1호선,135.0,K1174,2136,,1,1.0,True
35,1호선,150.0,K1176,2111,,1,1.0,True
36,1호선,148.0,K1176,2115,,1,1.0,True
37,1호선,146.0,K1176,2118,,1,1.0,True
38,1호선,143.0,K1176,2123,,1,1.0,True
39,1호선,141.0,K1176,2127,,1,1.0,True
45,1호선,150.0,K1178,2122,,1,1.0,True
46,1호선,148.0,K1178,2126,,1,1.0,True
47,1호선,146.0,K1178,2129,,1,1.0,True
48,1호선,143.0,K1178,2134,,1,1.0,True
49,1호선,141.0,K1178,2138,,1,1.0,True
50,1호선,140.0,K1178,2140,,1,1.0,True
51,1호선,139.0,K1178,2143,,1,1.0,True
