,Column1,route_name,stat_id,train_id,time,inout,week,is_direct,order,time_new
0,0,1호선,138,K1168,2100,1,1,1,1,1260
1,1,1호선,137,K1168,2102,1,1,1,2,1262
2,2,1호선,136,K1168,2104,1,1,1,3,1264
3,3,1호선,135,K1168,2108,1,1,1,4,1268
4,4,1호선,141,K1170,2102,1,1,1,1,1262
5,5,1호선,140,K1170,2104,1,1,1,2,1264
6,6,1호선,139,K1170,2107,1,1,1,3,1267
7,7,1호선,138,K1170,2109,1,1,1,4,1269
8,8,1호선,137,K1170,2111,1,1,1,5,1271
9,9,1호선,136,K1170,2113,1,1,1,6,1273
10,10,1호선,135,K1170,2117,1,1,1,7,1277
11,11,1호선,146,K1172,2102,1,1,1,1,1262
12,12,1호선,143,K1172,2107,1,1,1,2,1267
13,13,1호선,141,K1172,2111,1,1,1,3,1271
14,14,1호선,140,K1172,2113,1,1,1,4,1273
15,15,1호선,139,K1172,2116,1,1,1,5,1276
16,16,1호선,138,K1172,2118,1,1,1,6,1278
17,17,1호선,137,K1172,2120,1,1,1,7,1280
18,18,1호선,136,K1172,2122,1,1,1,8,1282
19,19,1호선,135,K1172,2126,1,1,1,9,1286
20,20,1호선,150,K1174,2105,1,1,1,1,1265
21,21,1호선,148,K1174,2109,1,1,1,2,1269
22,22,1호선,146,K1174,2112,1,1,1,3,1272
23,23,1호선,143,K1174,2117,1,1,1,4,1277
24,24,1호선,141,K1174,2121,1,1,1,5,1281
25,25,1호선,140,K1174,2123,1,1,1,6,1283
26,26,1호선,139,K1174,2126,1,1,1,7,1286
27,27,1호선,138,K1174,2128,1,1,1,8,1288
28,28,1호선,137,K1174,2130,1,1,1,9,1290
29,29,1호선,136,K1174,2132,1,1,1,10,1292
30,30,1호선,135,K1174,2136,1,1,1,11,1296
31,31,1호선,150,K1176,2111,1,1,1,1,1271
32,32,1호선,148,K1176,2115,1,1,1,2,1275
33,33,1호선,146,K1176,2118,1,1,1,3,1278
34,34,1호선,143,K1176,2123,1,1,1,4,1283
35,35,1호선,141,K1176,2127,1,1,1,5,1287
36,36,1호선,150,K1178,2122,1,1,1,1,1282
37,37,1호선,148,K1178,2126,1,1,1,2,1286
38,38,1호선,146,K1178,2129,1,1,1,3,1289
39,39,1호선,143,K1178,2134,1,1,1,4,1294
40,40,1호선,141,K1178,2138,1,1,1,5,1298
41,41,1호선,140,K1178,2140,1,1,1,6,1300
42,42,1호선,139,K1178,2143,1,1,1,7,1303
43,43,1호선,138,K1178,2145,1,1,1,8,1305
44,44,1호선,137,K1178,2147,1,1,1,9,1307
45,45,1호선,136,K1178,2149,1,1,1,10,1309
46,46,1호선,135,K1178,2153,1,1,1,11,1313
47,47,1호선,150,K1180,2128,1,1,1,1,1288
48,48,1호선,148,K1180,2132,1,1,1,2,1292
49,49,1호선,146,K1180,2135,1,1,1,3,1295
50,50,1호선,143,K1180,2140,1,1,1,4,1300
51,51,1호선,141,K1180,2144,1,1,1,5,1304
52,52,1호선,150,K1182,2136,1,1,1,1,1296
53,53,1호선,148,K1182,2140,1,1,1,2,1300
54,54,1호선,146,K1182,2143,1,1,1,3,1303
55,55,1호선,143,K1182,2148,1,1,1,4,1308
56,56,1호선,141,K1182,2152,1,1,1,5,1312
57,57,1호선,140,K1182,2154,1,1,1,6,1314
58,58,1호선,139,K1182,2157,1,1,1,7,1317
59,59,1호선,138,K1182,2159,1,1,1,8,1319
60,60,1호선,137,K1182,2201,1,1,1,9,1321
61,61,1호선,136,K1182,2203,1,1,1,10,1323
62,62,1호선,135,K1182,2207,1,1,1,11,1327
63,63,1호선,150,K1184,2145,1,1,1,1,1305
64,64,1호선,148,K1184,2149,1,1,1,2,1309
65,65,1호선,146,K1184,2152,1,1,1,3,1312
66,66,1호선,143,K1184,2157,1,1,1,4,1317
67,67,1호선,141,K1184,2201,1,1,1,5,1321
68,68,1호선,150,K1186,2153,1,1,1,1,1313
69,69,1호선,148,K1186,2157,1,1,1,2,1317
70,70,1호선,146,K1186,2200,1,1,1,3,1320
71,71,1호선,143,K1186,2205,1,1,1,4,1325
72,72,1호선,141,K1186,2209,1,1,1,5,1329
73,73,1호선,140,K1186,2211,1,1,1,6,1331
74,74,1호선,139,K1186,2214,1,1,1,7,1334
75,75,1호선,138,K1186,2216,1,1,1,8,1336
76,76,1호선,137,K1186,2218,1,1,1,9,1338
77,77,1호선,136,K1186,2220,1,1,1,10,1340
78,78,1호선,135,K1186,2224,1,1,1,11,1344
79,79,1호선,150,K1188,2206,1,1,1,1,1326
80,80,1호선,148,K1188,2210,1,1,1,2,1330
81,81,1호선,146,K1188,2213,1,1,1,3,1333
82,82,1호선,143,K1188,2218,1,1,1,4,1338
83,83,1호선,141,K1188,2222,1,1,1,5,1342
84,84,1호선,140,K1188,2224,1,1,1,6,1344
85,85,1호선,139,K1188,2227,1,1,1,7,1347
86,86,1호선,138,K1188,2229,1,1,1,8,1349
87,87,1호선,137,K1188,2231,1,1,1,9,1351
88,88,1호선,136,K1188,2233,1,1,1,10,1353
89,89,1호선,135,K1188,2237,1,1,1,11,1357
90,90,1호선,150,K1190,2217,1,1,1,1,1337
91,91,1호선,148,K1190,2221,1,1,1,2,1341
92,92,1호선,146,K1190,2224,1,1,1,3,1344
93,93,1호선,143,K1190,2229,1,1,1,4,1349
94,94,1호선,141,K1190,2233,1,1,1,5,1353
95,95,1호선,140,K1190,2235,1,1,1,6,1355
96,96,1호선,139,K1190,2238,1,1,1,7,1358
97,97,1호선,138,K1190,2240,1,1,1,8,1360
98,98,1호선,137,K1190,2242,1,1,1,9,1362
99,99,1호선,136,K1190,2244,1,1,1,10,1364
100,100,1호선,135,K1190,2248,1,1,1,11,1368
101,101,1호선,150,K1192,2228,1,1,1,1,1348
102,102,1호선,148,K1192,2232,1,1,1,2,1352
103,103,1호선,146,K1192,2235,1,1,1,3,1355
104,104,1호선,143,K1192,2240,1,1,1,4,1360
105,105,1호선,141,K1192,2244,1,1,1,5,1364
106,106,1호선,140,K1192,2246,1,1,1,6,1366
107,107,1호선,139,K1192,2249,1,1,1,7,1369
108,108,1호선,138,K1192,2251,1,1,1,8,1371
109,109,1호선,137,K1192,2253,1,1,1,9,1373
110,110,1호선,136,K1192,2255,1,1,1,10,1375
111,111,1호선,135,K1192,2259,1,1,1,11,1379
112,112,1호선,150,K1194,2240,1,1,1,1,1360
113,113,1호선,148,K1194,2244,1,1,1,2,1364
114,114,1호선,146,K1194,2247,1,1,1,3,1367
115,115,1호선,143,K1194,2252,1,1,1,4,1372
116,116,1호선,141,K1194,2256,1,1,1,5,1376
117,117,1호선,150,K1196,2253,1,1,1,1,1373
118,118,1호선,148,K1196,2257,1,1,1,2,1377
119,119,1호선,146,K1196,2300,1,1,1,3,1380
120,120,1호선,143,K1196,2305,1,1,1,4,1385
121,121,1호선,141,K1196,2309,1,1,1,5,1389
122,122,1호선,140,K1196,2311,1,1,1,6,1391
123,123,1호선,139,K1196,2314,1,1,1,7,1394
124,124,1호선,138,K1196,2316,1,1,1,8,1396
125,125,1호선,137,K1196,2318,1,1,1,9,1398
126,126,1호선,136,K1196,2320,1,1,1,10,1400
127,127,1호선,135,K1196,2324,1,1,1,11,1404
128,128,1호선,150,K1198,2307,1,1,1,1,1387
129,129,1호선,148,K1198,2311,1,1,1,2,1391
130,130,1호선,146,K1198,2314,1,1,1,3,1394
131,131,1호선,143,K1198,2319,1,1,1,4,1399
132,132,1호선,141,K1198,2323,1,1,1,5,1403
133,133,1호선,150,K1200,2322,1,1,1,1,1402
134,134,1호선,148,K1200,2326,1,1,1,2,1406
135,135,1호선,116,K182,2102,1,1,0,1,1262
136,136,1호선,115,K182,2104,1,1,0,2,1264
137,137,1호선,114,K182,2106,1,1,0,3,1266
138,138,1호선,120,K184,2100,1,1,0,1,1260
139,139,1호선,119,K184,2103,1,1,0,2,1263
140,140,1호선,118,K184,2105,1,1,0,3,1265
141,141,1호선,117,K184,2107,1,1,0,4,1267
142,142,1호선,116,K184,2110,1,1,0,5,1270
143,143,1호선,115,K184,2112,1,1,0,6,1272
144,144,1호선,114,K184,2114,1,1,0,7,1274
145,145,1호선,123,K186,2101,1,1,0,1,1261
146,146,1호선,122,K186,2102,1,1,0,2,1262
147,147,1호선,121,K186,2105,1,1,0,3,1265
148,148,1호선,120,K186,2107,1,1,0,4,1267
149,149,1호선,119,K186,2110,1,1,0,5,1270
150,150,1호선,118,K186,2112,1,1,0,6,1272
151,151,1호선,117,K186,2114,1,1,0,7,1274
152,152,1호선,116,K186,2117,1,1,0,8,1277
153,153,1호선,115,K186,2119,1,1,0,9,1279
154,154,1호선,114,K186,2121,1,1,0,10,1281
155,155,1호선,127,K188,2101,1,1,0,1,1261
156,156,1호선,126,K188,2103,1,1,0,2,1263
157,157,1호선,125,K188,2105,1,1,0,3,1265
158,158,1호선,124,K188,2108,1,1,0,4,1268
159,159,1호선,123,K188,2110,1,1,0,5,1270
160,160,1호선,122,K188,2111,1,1,0,6,1271
161,161,1호선,121,K188,2114,1,1,0,7,1274
162,162,1호선,120,K188,2116,1,1,0,8,1276
163,163,1호선,119,K188,2119,1,1,0,9,1279
164,164,1호선,118,K188,2121,1,1,0,10,1281
165,165,1호선,117,K188,2123,1,1,0,11,1283
166,166,1호선,116,K188,2126,1,1,0,12,1286
167,167,1호선,115,K188,2128,1,1,0,13,1288
168,168,1호선,114,K188,2130,1,1,0,14,1290
169,169,1호선,130,K190,2100,1,1,0,1,1260
170,170,1호선,129,K190,2102,1,1,0,2,1262
171,171,1호선,128,K190,2104,1,1,0,3,1264
172,172,1호선,199,K190,2106,1,1,0,4,1266
173,173,1호선,127,K190,2108,1,1,0,5,1268
174,174,1호선,126,K190,2110,1,1,0,6,1270
175,175,1호선,125,K190,2112,1,1,0,7,1272
176,176,1호선,124,K190,2115,1,1,0,8,1275
177,177,1호선,123,K190,2117,1,1,0,9,1277
178,178,1호선,122,K190,2118,1,1,0,10,1278
179,179,1호선,121,K190,2121,1,1,0,11,1281
180,180,1호선,120,K190,2123,1,1,0,12,1283
181,181,1호선,119,K190,2126,1,1,0,13,1286
182,182,1호선,118,K190,2128,1,1,0,14,1288
183,183,1호선,117,K190,2130,1,1,0,15,1290
184,184,1호선,116,K190,2133,1,1,0,16,1293
185,185,1호선,115,K190,2135,1,1,0,17,1295
186,186,1호선,114,K190,2137,1,1,0,18,1297
187,187,1호선,134,K192,2101,1,1,0,1,1261
188,188,1호선,133,K192,2104,1,1,0,2,1264
189,189,1호선,132,K192,2106,1,1,0,3,1266
190,190,1호선,131,K192,2109,1,1,0,4,1269
191,191,1호선,130,K192,2111,1,1,0,5,1271
192,192,1호선,129,K192,2113,1,1,0,6,1273
193,193,1호선,128,K192,2115,1,1,0,7,1275
194,194,1호선,199,K192,2117,1,1,0,8,1277
195,195,1호선,127,K192,2119,1,1,0,9,1279
196,196,1호선,126,K192,2121,1,1,0,10,1281
197,197,1호선,125,K192,2123,1,1,0,11,1283
198,198,1호선,124,K192,2126,1,1,0,12,1286
199,199,1호선,123,K192,2128,1,1,0,13,1288
200,200,1호선,122,K192,2129,1,1,0,14,1289
201,201,1호선,121,K192,2132,1,1,0,15,1292
202,202,1호선,120,K192,2134,1,1,0,16,1294
203,203,1호선,119,K192,2137,1,1,0,17,1297
204,204,1호선,118,K192,2139,1,1,0,18,1299
205,205,1호선,117,K192,2141,1,1,0,19,1301
206,206,1호선,116,K192,2144,1,1,0,20,1304
207,207,1호선,115,K192,2146,1,1,0,21,1306
208,208,1호선,114,K192,2148,1,1,0,22,1308
209,209,1호선,138,K1944,2102,1,1,1,1,1262
210,210,1호선,137,K1944,2103,1,1,1,2,1263
211,211,1호선,136,K1944,2106,1,1,1,3,1266
212,212,1호선,135,K1944,2109,1,1,1,4,1269
213,213,1호선,134,K1944,2112,1,1,1,5,1272
214,214,1호선,133,K1944,2115,1,1,1,6,1275
215,215,1호선,132,K1944,2117,1,1,1,7,1277
216,216,1호선,131,K1944,2120,1,1,1,8,1280
217,217,1호선,130,K1944,2122,1,1,1,9,1282
218,218,1호선,129,K1944,2124,1,1,1,10,1284
219,219,1호선,128,K1944,2126,1,1,1,11,1286
220,220,1호선,199,K1944,2128,1,1,1,12,1288
221,221,1호선,127,K1944,2130,1,1,1,13,1290
222,222,1호선,126,K1944,2132,1,1,1,14,1292
223,223,1호선,125,K1944,2134,1,1,1,15,1294
224,224,1호선,179,K1946,2111,1,1,1,1,1271
225,225,1호선,177,K1946,2115,1,1,1,2,1275
226,226,1호선,172,K1946,2125,1,1,1,3,1285
227,227,1호선,141,K1946,2130,1,1,1,4,1290
228,228,1호선,140,K1946,2132,1,1,1,5,1292
229,229,1호선,139,K1946,2135,1,1,1,6,1295
230,230,1호선,138,K1946,2137,1,1,1,7,1297
231,231,1호선,137,K1946,2139,1,1,1,8,1299
232,232,1호선,136,K1946,2141,1,1,1,9,1301
233,233,1호선,135,K1946,2145,1,1,1,10,1305
234,234,1호선,134,K1946,2147,1,1,1,11,1307
235,235,1호선,133,K1946,2150,1,1,1,12,1310
236,236,1호선,132,K1946,2153,1,1,1,13,1313
237,237,1호선,131,K1946,2155,1,1,1,14,1315
238,238,1호선,130,K1946,2157,1,1,1,15,1317
239,239,1호선,129,K1946,2159,1,1,1,16,1319
240,240,1호선,128,K1946,2201,1,1,1,17,1321
241,241,1호선,199,K1946,2203,1,1,1,18,1323
242,242,1호선,127,K1946,2205,1,1,1,19,1325
243,243,1호선,126,K1946,2207,1,1,1,20,1327
244,244,1호선,125,K1946,2209,1,1,1,21,1329
245,245,1호선,179,K1948,2141,1,1,1,1,1301
246,246,1호선,177,K1948,2145,1,1,1,2,1305
247,247,1호선,172,K1948,2155,1,1,1,3,1315
